layer,entity,axis_a,axis_b,slot,joint_value,independent_child_product,connected_relation,ara9_coordinate
raw_linear,Psi-plus,X,Z,XZ,0.28666666666666674,0.0027444444444444482,0.2839222222222223,0.7160777777777777
raw_linear,Psi-plus,Y,X,YX,-0.29333333333333333,-0.0003111111111111133,-0.29302222222222224,1.2930222222222223
raw_linear,Psi-plus,Y,Y,YY,0.7966666666666666,-0.002644444444444446,0.7993111111111111,0.20068888888888892
raw_linear,Psi-plus,Y,Z,YZ,0.04666666666666666,0.0020222222222222273,0.04464444444444443,0.9553555555555555
raw_linear,Psi-plus,Z,X,ZX,0.18999999999999995,2.2222222222222704e-05,0.18997777777777772,0.8100222222222223
raw_linear,Psi-plus,Z,Y,ZY,-0.04666666666666666,0.00018888888888889178,-0.04685555555555555,1.0468555555555557
raw_linear,Psi-plus,Z,Z,ZZ,-0.9266666666666667,-0.00014444444444444693,-0.9265222222222224,1.9265222222222222
raw_linear,Psi-minus,X,X,XX,-0.835,0.003555555555555557,-0.8385555555555555,1.8385555555555555
raw_linear,Psi-minus,X,Y,XY,-0.06499999999999997,0.00217777777777778,-0.06717777777777775,1.0671777777777778
raw_linear,Psi-minus,X,Z,XZ,0.2066666666666666,0.002044444444444446,0.20462222222222215,0.7953777777777779
raw_linear,Psi-minus,Y,X,YX,0.09833333333333333,-0.006666666666666674,0.105,0.895
raw_linear,Psi-minus,Y,Y,YY,-0.8816666666666667,-0.004083333333333341,-0.8775833333333334,1.8775833333333334
raw_linear,Psi-minus,Y,Z,YZ,0.013333333333333364,-0.003833333333333339,0.0171666666666667,0.9828333333333333
raw_linear,Psi-minus,Z,X,ZX,-0.3433333333333333,-0.008888888888888896,-0.33444444444444443,1.3344444444444443
raw_linear,Psi-minus,Z,Y,ZY,-0.04499999999999996,-0.005444444444444453,-0.039555555555555504,1.0395555555555556
raw_linear,Psi-minus,Z,Z,ZZ,-0.8500000000000001,-0.0051111111111111175,-0.844888888888889,1.844888888888889
raw_linear,Phi-classical,X,X,XX,-0.04833333333333345,0.00032777777777777726,-0.048661111111111224,1.0486611111111113
raw_linear,Phi-classical,X,Y,XY,0.02333333333333333,4.999999999999967e-05,0.023283333333333333,0.9767166666666667
raw_linear,Phi-classical,X,Z,XZ,-0.019166666666666693,-0.000277777777777777,-0.018888888888888917,1.018888888888889
raw_linear,Phi-classical,Y,X,YX,0.05916666666666667,0.0004097222222222229,0.05875694444444445,0.9412430555555555
raw_linear,Phi-classical,Y,Y,YY,0.00500000000000006,6.24999999999998e-05,0.00493750000000006,0.9950625
raw_linear,Phi-classical,Y,Z,YZ,-0.06833333333333332,-0.0003472222222222224,-0.0679861111111111,1.067986111111111
raw_linear,Phi-classical,Z,X,ZX,0.04083333333333332,-0.0012291666666666653,0.04206249999999998,0.9579375
raw_linear,Phi-classical,Z,Y,ZY,-0.021666666666666654,-0.00018749999999999887,-0.021479166666666653,1.0214791666666667
raw_linear,Phi-classical,Z,Z,ZZ,0.9483333333333333,0.0010416666666666643,0.9472916666666665,0.05270833333333347
raw_linear,Psi-classical,X,X,XX,0.010000000000000009,0.002849999999999999,0.0071500000000000105,0.99285
