condition,wait_index,wait_us,mode,real,imag,radius,theta_deg
Ramsey,6,24.02,family,0.06497858935023215,-0.15756863110420205,0.17044087121931234,-67.58959258688567
Ramsey,6,24.02,sign,0.0675566961753955,0.08143865472037148,0.10581191653494697,50.32290477130666
Ramsey,6,24.02,interaction,0.04679888356355755,-0.1527471451524809,0.15975551901273546,-72.96591002342545
Ramsey,7,28.02,common,0.24565755666171085,0.5551014088805832,0.6070298256973953,66.128436265024
Ramsey,7,28.02,family,-0.0039309543222526555,0.007473494336274478,0.008444259557709222,117.74374744818317
Ramsey,7,28.02,sign,-0.009369327239077685,0.09142371217934059,0.09190255405353995,95.85138466171847
Ramsey,7,28.02,interaction,0.009369806823266935,0.14954330779535746,0.14983655824358205,86.41475420830079
Ramsey,8,32.02,common,0.09470230744175923,0.30568382632781266,0.3200173881419662,72.78676952461959
Ramsey,8,32.02,family,-0.011336863723176993,-0.27267045087982644,0.27290602643050177,-92.3808247044203
Ramsey,8,32.02,sign,0.028222678769199483,-0.04333972786303464,0.05171896758589951,-56.927966192543806
Ramsey,8,32.02,interaction,-0.11158812248778172,-0.009306788190650894,0.11197555709517061,-175.23239220932814
Ramsey,9,36.02,common,0.019112173671895938,0.20396500422485425,0.20485848318024208,84.64683302464103
Ramsey,9,36.02,family,0.20674597000720923,-0.11813126126707812,0.2381152893091339,-29.7429398134038
Ramsey,9,36.02,sign,0.068969852094874,0.009775880667844905,0.0696592301193513,8.067441562124444
Ramsey,9,36.02,interaction,-0.03416941970920434,-0.23094530481085057,0.23345938202916677,-98.41611727071994
Ramsey,10,40.02,common,-0.021132949983005966,0.028691503559561626,0.03563430862936125,126.37379193937291
Ramsey,10,40.02,family,0.03588885974927747,0.8302860053423754,0.8310612858998441,87.52494805167562
Ramsey,10,40.02,sign,0.07408842924346448,0.06266696577726605,0.09703733275133276,40.225881447713206
Ramsey,10,40.02,interaction,0.017066619511181047,-0.06955753935708187,0.07162067287418779,-76.21425670255739
Hahn,0,1.0,common,0.09580056480763555,0.0,0.09580056480763555,0.0
Hahn,0,1.0,family,0.01061812467578005,0.0,0.01061812467578005,0.0
Hahn,0,1.0,sign,-0.016184623518838648,0.0,0.016184623518838648,180.0
Hahn,0,1.0,interaction,-0.03468708926384678,0.0,0.03468708926384678,180.0
Hahn,1,1.99,common,0.1573763184064968,0.09420793681796663,0.18341875845910924,30.905401878838365
Hahn,1,1.99,family,-0.06770054532655745,0.11383068010475422,0.1324416383567651,120.74197202559368
Hahn,1,1.99,sign,0.018923799712693756,-0.09332123980696089,0.09522060698543383,-78.53692369821609
Hahn,1,1.99,interaction,-0.046372765459868126,-0.04832822392718611,0.06697798596816855,-133.8170810199295
Hahn,2,3.98,common,0.058686435422212135,0.1054034502665866,0.12063989817082187,60.89185488437966
Hahn,2,3.98,family,-0.015839754778635473,0.12986682876879385,0.13082924384827166,96.9539732565211
Hahn,2,3.98,sign,-0.04069482584127487,-0.060826749549141024,0.07318444036108783,-123.78364857806707
Hahn,2,3.98,interaction,0.033831364359572735,-0.036209462739512865,0.049554882769655896,-46.94461835520519
Hahn,3,7.94,common,0.06732995296975336,0.020801828193646288,0.07047012574919373,17.168719716327356
Hahn,3,7.94,family,-0.005556352934414643,-0.07283366761470955,0.0730453023550575,-94.36254457395081
Hahn,3,7.94,sign,0.005556352934414643,0.09863255072315835,0.09878893217404561,86.7757150913044
Hahn,3,7.94,interaction,-0.06732995296975336,0.01981651132040041,0.07018558746509683,163.5998210358438
Hahn,4,15.85,common,-0.07386815891556181,0.130142355594088,0.14964470462115503,119.57903033656095
Hahn,4,15.85,family,0.10688508448741357,-0.06273108598377847,0.12393389542246198,-30.40876423292234
Hahn,4,15.85,sign,-0.06648824067130904,-0.0680162291756558,0.09511515956376905,-134.34914039090032
Hahn,4,15.85,interaction,0.0995051662431608,-0.04025323202928793,0.1073387199377874,-22.025010743804852
