split,candidate,lag,predicted_step,loss
evaluation,calibration_fitted,1,0.0002561938594707028,0.20784297398360918
evaluation,calibration_fitted,2,0.0005123877189414056,0.20237582779330082
evaluation,calibration_fitted,3,0.0007685815784121085,0.2061825877484248
evaluation,calibration_fitted,5,0.001280969297353514,0.20921823965594333
evaluation,calibration_fitted,8,0.0020495508757656226,0.2088480322871344
evaluation,calibration_fitted,13,0.0033305201731191367,0.21078899584816668
evaluation,calibration_fitted,21,0.005380071048884759,0.21670676186737547
holdout,phi_2_over_phi,1,1.2360679774997896,0.5840607338738792
holdout,phi_2_over_phi,2,0.47213595499957917,0.49112581889249607
holdout,phi_2_over_phi,3,1.7082039324993685,0.42923535830644965
holdout,phi_2_over_phi,5,0.18033988749894814,0.41288859623545626
holdout,phi_2_over_phi,8,1.8885438199983167,0.3897339816354703
holdout,phi_2_over_phi,13,0.06888370749726391,0.38778685973124705
holdout,phi_2_over_phi,21,1.9574275274955824,0.38964407760164244
holdout,rational_26_over_21,1,1.2380952380952381,0.5835906277935687
holdout,rational_26_over_21,2,0.4761904761904763,0.49119191883882757
holdout,rational_26_over_21,3,1.7142857142857144,0.42770753235355596
holdout,rational_26_over_21,5,0.1904761904761907,0.41591749406859113
holdout,rational_26_over_21,8,1.904761904761905,0.38554566482568686
holdout,rational_26_over_21,13,0.0952380952380949,0.3903858178815178
holdout,rational_26_over_21,21,0.0,0.3916297505539972
holdout,rational_5_over_4,1,1.25,0.580723906894468
holdout,rational_5_over_4,2,0.5,0.49901144863166735
holdout,rational_5_over_4,3,1.75,0.421365212995752
holdout,rational_5_over_4,5,0.25,0.42433213552907023
holdout,rational_5_over_4,8,0.0,0.3800582266724935
holdout,rational_5_over_4,13,0.25,0.4232678869413775
holdout,rational_5_over_4,21,0.25,0.4164528546669881
holdout,anti_phi_orientation,1,0.7639320225002104,0.5680281037556952
holdout,anti_phi_orientation,2,1.5278640450004208,0.4895706875557462
holdout,anti_phi_orientation,3,0.2917960675006315,0.42407725545837005
holdout,anti_phi_orientation,5,1.8196601125010519,0.40619725693038966
holdout,anti_phi_orientation,8,0.11145618000168334,0.394331161451923
holdout,anti_phi_orientation,13,1.931116292502736,0.38315296959466794
holdout,anti_phi_orientation,21,0.04257247250441765,0.38773462971582706
holdout,two_over_e,1,0.7357588823428847,0.5574584170531223
holdout,two_over_e,2,1.4715177646857693,0.5090382354778349
holdout,two_over_e,3,0.207276647028654,0.4032726612469473
