branch,split,child,record_index,residual_axis_1,predicted_survivor
AA,holdout,C10,24,-0.10220344473315723,C11
AA,holdout,C10,25,-0.020199381084774707,C11
AA,holdout,C10,26,-0.12565792451689423,C11
AA,holdout,C10,27,-0.031189073994171652,C11
AA,holdout,C10,28,-0.07722500512506345,C11
AA,holdout,C10,29,-0.06533142630772984,C11
AA,holdout,C10,30,-0.0219953927441795,C11
AA,holdout,C10,31,-0.11379118364639583,C11
AA,holdout,C10,32,-0.013160977795326212,C11
AA,holdout,C10,33,-0.11284205065987672,C11
AA,holdout,C10,34,-0.06519698678708744,C11
AA,holdout,C10,35,-0.05060517573277977,C11
AA,holdout,C10,36,-0.13941122883435703,C11
AA,holdout,C10,37,-0.04730814484005608,C11
AA,holdout,C10,38,-0.1103770653869118,C11
AA,holdout,C10,39,-0.03824287543069388,C11
AA,holdout,C11,0,0.20664766312189037,C11
AA,holdout,C11,1,0.26474474781544327,C11
AA,holdout,C11,2,0.17442270310257582,C11
AA,holdout,C11,3,0.2087291641844886,C11
AA,holdout,C11,4,0.2451341087803719,C11
AA,holdout,C11,5,0.11383631058353055,C11
AA,holdout,C11,6,0.19400757479134134,C11
AA,holdout,C11,7,0.2595809071484059,C11
AA,holdout,C11,8,0.22853314054757262,C11
AA,holdout,C11,9,0.2138654339748562,C11
AA,holdout,C11,10,0.23252391487853663,C11
AA,holdout,C11,11,0.30072224704473616,C11
AA,holdout,C11,12,0.15060856446056914,C11
AA,holdout,C11,13,0.22278848610865354,C11
AA,holdout,C11,14,0.227039213354909,C11
AA,holdout,C11,15,0.21406255533260934,C11
AA,holdout,C11,16,0.16685270736530536,C11
AA,holdout,C11,17,0.2922327350887018,C11
AA,holdout,C11,18,0.21418732556786751,C11
AA,holdout,C11,19,0.26648107555562445,C11
AA,holdout,C11,20,0.15973759217941896,C11
AA,holdout,C11,21,0.23510049114649392,C11
AA,holdout,C11,22,0.24395529434040128,C11
AA,holdout,C11,23,0.2647867352026691,C11
AA,holdout,C11,24,0.21441550250096256,C11
AA,holdout,C11,25,0.18916037498931149,C11
AA,holdout,C11,26,0.18594212381913525,C11
AA,holdout,C11,27,0.2384020430616689,C11
AA,holdout,C11,28,0.28047881432865474,C11
AA,holdout,C11,29,0.14358822250893014,C11
AA,holdout,C11,30,0.2160385713778355,C11
AA,holdout,C11,31,0.14216338095187456,C11
AA,holdout,C11,32,0.2911204556245109,C11
AA,holdout,C11,33,0.11687075075283207,C11
AA,holdout,C11,34,0.2837427385857799,C11
AA,holdout,C11,35,0.2595381809669487,C11
AA,holdout,C11,36,0.21391555445379123,C11
AA,holdout,C11,37,0.14153299206005943,C11
AA,holdout,C11,38,0.24821302949864116,C11
AA,holdout,C11,39,0.21087282238966104,C11
AB,development,C00,0,-0.0496056834214926,C10
AB,development,C00,1,-0.07607678111860337,C10
AB,development,C00,2,0.02060053995986951,C10
AB,development,C00,3,-0.04366847781786919,C10
AB,development,C00,4,0.01654941410078166,C10
AB,development,C00,5,0.02099504759547143,C10
AB,development,C00,6,-0.1173736939707267,C10
AB,development,C00,7,-0.06369165671597796,C10
AB,development,C00,8,-0.08885556501248845,C10
AB,development,C00,9,-0.035773923490284604,C10
AB,development,C00,10,-0.01651853436798245,C10
AB,development,C00,11,0.016167305646879994,C10
AB,development,C00,12,-0.13236477356227472,C10
AB,development,C00,13,-0.06857977020738723,C10
AB,development,C00,14,-0.04491361118033948,C10
AB,development,C00,15,-0.02469721938021452,C10
AB,development,C00,16,-0.13289758172126198,C10
AB,development,C00,17,-0.1528822266448698,C10
AB,development,C00,18,0.04179671604309731,C10
AB,development,C00,19,-0.15114394228906175,C10
AB,development,C00,20,-0.10879764226049633,C10
AB,development,C00,21,-0.13675564725303324,C10
AB,development,C00,22,0.007174778674050919,C10
AB,development,C00,23,-0.06650542938456103,C10
AB,development,C00,24,-0.1289382605307975,C10
AB,development,C00,25,-0.13013541313468804,C10
AB,development,C00,26,-0.18248370916338547,C10
AB,development,C00,27,-0.005542271820708346,C10
AB,development,C00,28,-0.07505889578054283,C10
AB,development,C00,29,-0.04325385384000538,C10
AB,development,C00,30,0.0917917708073541,C10
AB,development,C00,31,-0.040625191991809154,C10
AB,development,C00,32,-0.06392661030831794,C10
AB,development,C00,33,-0.15352719771921625,C10
AB,development,C00,34,-0.004431385978744887,C10
AB,development,C00,35,-0.03770070661705469,C10
AB,development,C00,36,-0.12244894088019898,C10
AB,development,C00,37,0.022871062493365145,C10
AB,development,C00,38,-0.16022725253380435,C10
AB,development,C00,39,-0.11723404374018584,C10
AB,development,C01,0,-0.09921448005380892,C10
AB,development,C01,1,-0.07720935939491899,C10
AB,development,C01,2,-0.01584779466367852,C10
AB,development,C01,3,-0.09782849050660901,C10
AB,development,C01,4,-0.05022305100117096,C10
AB,development,C01,5,-0.10072110645404367,C10
AB,development,C01,6,-0.1028726506528844,C10
AB,development,C01,7,-0.05421091344884214,C10
AB,development,C01,8,-0.10709013133403542,C10
AB,development,C01,9,-0.08450590516053746,C10
AB,development,C01,10,-0.06649314040116484,C10
AB,development,C01,11,0.028561978174532807,C10
AB,development,C01,12,-0.046601206010677625,C10
AB,development,C01,13,-0.03685881760641601,C10
AB,development,C01,14,-0.12383298103147164,C10
AB,development,C01,15,-0.06593421540257269,C10
AB,development,C01,16,0.04491316169484826,C10
AB,development,C01,17,-0.08298532695650597,C10
AB,development,C01,18,-0.05106654318352422,C10
AB,development,C01,19,-0.04751166812987725,C10
AB,development,C01,20,-0.013805140420505048,C10
AB,development,C01,21,-0.10763255801485366,C10
AB,development,C01,22,-0.15517267055712172,C10
AB,development,C01,23,0.004425177438243361,C10
AB,development,C01,24,-0.18920697876022782,C10
AB,development,C01,25,-0.05476789352682081,C10
AB,development,C01,26,-0.024385219688424047,C10
AB,development,C01,27,-0.02071886845755807,C10
AB,development,C01,28,-0.016412532436225716,C10
AB,development,C01,29,-0.010337429860160355,C10
AB,development,C01,30,-0.04578917654018315,C10
AB,development,C01,31,-0.02806151837329104,C10
AB,development,C01,32,0.00473543181104054,C10
AB,development,C01,33,-0.03415357338495515,C10
AB,development,C01,34,-0.10558313231632653,C10
AB,development,C01,35,-0.10091810757016095,C10
AB,development,C01,36,-0.15702879711537387,C10
AB,development,C01,37,-0.0540954159178345,C10
AB,development,C01,38,-0.1589931045053065,C10
AB,development,C01,39,-0.033255108798106406,C10
