run,condition_hz,fold_index,arm,selected_axis,training_cv_i_ba,training_cv_q_ba,balanced_accuracy,mcc,kappa,tn,fp,fn,tp,ara_raw_disagreements,pole_reversal_disagreements,complement_max_residual,ara_out_of_range_fraction,score_margin_median
replication_second_readout,500,4,selected_onecut,I,0.855372,0.577878,0.7949900000000001,0.5957044922377992,0.58998,43207,6793,13708,36292,,,,,
replication_second_readout,500,4,ara_twocut,I,0.855372,0.577878,0.79498,0.5956658360240212,0.58996,43201,6799,13703,36297,0,0,4.440892098500626e-16,0.53312,2.4319493000784442
replication_second_readout,500,4,raw_iq_lda,I,0.855372,0.577878,0.79498,0.5956658360240212,0.58996,43201,6799,13703,36297,,,,,2.431949300078422
replication_second_readout,500,4,raw_iq_qda,I,0.855372,0.577878,0.79511,0.5959401008525846,0.59022,43211,6789,13700,36300,,,,,
replication_second_readout,500,4,label_shuffle,I,0.855372,0.577878,0.7432,0.48726969454962965,0.48639999999999994,38653,11347,14333,35667,,,,,
replication_second_readout,500,4,pair_destroyed,I,0.855372,0.577878,0.79498,0.5956691904659746,0.58996,43202,6798,13704,36296,,,,,
replication_second_readout,1000,5,i_only,I,0.8716200000000001,0.5828659999999999,0.7166699999999999,0.44004482359662167,0.43334000000000006,40181,9819,18514,31486,,,,,
replication_second_readout,1000,5,q_only,I,0.8716200000000001,0.5828659999999999,0.56077,0.12440291537151774,0.12153999999999998,33371,16629,27294,22706,,,,,
replication_second_readout,1000,5,selected_onecut,I,0.8716200000000001,0.5828659999999999,0.7166699999999999,0.44004482359662167,0.43334000000000006,40181,9819,18514,31486,,,,,
replication_second_readout,1000,5,ara_twocut,I,0.8716200000000001,0.5828659999999999,0.71661,0.4399513988380184,0.43321999999999994,40187,9813,18526,31474,0,0,4.440892098500626e-16,0.552145,2.6935297099805764
replication_second_readout,1000,5,raw_iq_lda,I,0.8716200000000001,0.5828659999999999,0.71661,0.4399513988380184,0.43321999999999994,40187,9813,18526,31474,,,,,2.6935297099805786
replication_second_readout,1000,5,raw_iq_qda,I,0.8716200000000001,0.5828659999999999,0.71661,0.4395316543104364,0.43321999999999994,40052,9948,18391,31609,,,,,
replication_second_readout,1000,5,label_shuffle,I,0.8716200000000001,0.5828659999999999,0.63808,0.2761873779336618,0.27615999999999996,32256,17744,18448,31552,,,,,
replication_second_readout,1000,5,pair_destroyed,I,0.8716200000000001,0.5828659999999999,0.7168300000000001,0.4403982355849108,0.43365999999999993,40198,9802,18515,31485,,,,,
replication_prep_first,0,0,i_only,I,0.8594200000000001,0.541646,0.864,0.7376960241543679,0.728,39160,10840,2760,47240,,,,,
replication_prep_first,0,0,q_only,I,0.8594200000000001,0.541646,0.4591,-0.09311197323019027,-0.08179999999999998,34898,15102,38988,11012,,,,,
replication_prep_first,0,0,selected_onecut,I,0.8594200000000001,0.541646,0.864,0.7376960241543679,0.728,39160,10840,2760,47240,,,,,
replication_prep_first,0,0,ara_twocut,I,0.8594200000000001,0.541646,0.86338,0.7366509021742154,0.7267600000000001,39086,10914,2748,47252,0,0,4.440892098500626e-16,0.42994,1.9349483378011056
replication_prep_first,0,0,raw_iq_lda,I,0.8594200000000001,0.541646,0.86338,0.7366509021742154,0.7267600000000001,39086,10914,2748,47252,,,,,1.9349483378010892
replication_prep_first,0,0,raw_iq_qda,I,0.8594200000000001,0.541646,0.8650800000000001,0.7395442457402585,0.7301599999999999,39284,10716,2776,47224,,,,,
replication_prep_first,0,0,label_shuffle,I,0.8594200000000001,0.541646,0.7097199999999999,0.4212879191555992,0.41944000000000004,37825,12175,16853,33147,,,,,
