branch,seed,pair,time,source_x,neighbour_x,mirror_x,split
c2,0,0-2,165,2.0175989753739123,2.097922288549031,2.0175989753739123,exposed
c2,0,0-2,166,1.2838444270758145,1.753564102495627,1.2838444270758145,exposed
c2,0,0-2,167,0.7417899699127258,1.261470657269191,0.7417899699127258,exposed
c2,0,0-2,168,0.10758207661521929,0.37067860197811003,0.10758207661521929,exposed
c2,0,0-2,169,0.05220372943602971,1.655191883690327,0.05220372943602971,exposed
c2,0,0-2,170,0.3025201382493392,0.6063043109739632,0.3025201382493392,exposed
c2,0,0-2,171,0.09706599666065398,0.6559507006586714,0.09706599666065398,exposed
c2,0,0-2,172,0.3141928039444611,1.6760130923964438,0.3141928039444611,exposed
c2,0,0-2,173,0.5367645338767181,2.5884126576795823,0.5367645338767181,exposed
c2,0,0-2,174,0.027462970027626522,0.43396741255177407,0.027462970027626522,exposed
c2,0,0-2,175,0.544259133070191,1.2262978987716366,0.544259133070191,exposed
c2,0,0-2,176,0.94582901308924,2.518563278293858,0.94582901308924,exposed
c2,0,0-2,177,1.326899342046929,2.4516411397979923,1.326899342046929,exposed
c2,0,0-2,178,1.9418377385274246,2.410935843043472,1.9418377385274246,exposed
c2,0,0-2,179,2.106535930009353,2.5681805248516016,2.106535930009353,exposed
c2,0,0-2,180,2.605716298158012,0.8518988732672658,2.605716298158012,exposed
c2,0,0-2,181,2.155438781888101,2.2134308472249713,2.155438781888101,exposed
c2,0,0-2,182,1.3517378246731648,1.3745404463956432,1.3517378246731648,exposed
c2,0,0-2,183,1.429793895720651,0.1149608098259401,1.429793895720651,exposed
c2,0,0-2,184,1.341881409269386,0.33123638166066505,1.341881409269386,exposed
c2,0,0-2,185,0.52518339540439,0.7246359784479658,0.52518339540439,exposed
c2,0,0-2,186,0.3477478299006901,0.49822548488290946,0.3477478299006901,exposed
c2,0,0-2,187,0.18194079009405872,0.5693634663250664,0.18194079009405872,exposed
c2,0,0-2,188,0.03674933001117849,0.3520927020280253,0.03674933001117849,exposed
c2,0,0-2,189,0.2276553110640056,0.659775406875371,0.2276553110640056,exposed
c2,0,0-2,190,0.23343823976678857,0.4447249967321963,0.23343823976678857,exposed
c2,0,0-2,191,0.15133701566292793,0.3391741469233517,0.15133701566292793,exposed
c2,0,0-2,192,0.09621118811198208,0.5723311581933583,0.09621118811198208,exposed
c2,0,0-2,193,0.025753609604450996,0.24160879756726936,0.025753609604450996,exposed
c2,0,0-2,194,0.23631291086251963,0.19743640552959454,0.23631291086251963,exposed
c2,0,0-2,195,0.512165359123088,0.20338213778728798,0.512165359123088,exposed
c2,0,0-2,196,0.7640769600874711,0.3777804644406883,0.7640769600874711,exposed
c2,0,0-2,197,0.6280331882867213,0.2185561685856097,0.6280331882867213,exposed
c2,0,0-2,198,0.7661424509448153,0.5760782554737153,0.7661424509448153,exposed
c2,0,0-2,199,0.4745161533546228,0.5344092739526176,0.4745161533546228,exposed
c2,0,0-2,200,0.22633859247800447,0.4761009297805902,0.22633859247800447,exposed
c2,0,0-2,201,0.0661508665148009,0.3187490793096086,0.0661508665148009,exposed
c2,0,0-2,202,0.0037437631141796607,0.124286804100068,0.0037437631141796607,exposed
c2,0,0-2,203,0.0020479392687970084,0.05735340171549959,0.0020479392687970084,exposed
c2,0,0-2,204,0.0017474915844379736,0.05422136891551677,0.0017474915844379736,exposed
c2,0,0-2,205,0.04504418354909373,0.26557279771736614,0.04504418354909373,exposed
c2,0,0-2,206,0.025446281087531625,0.23510468950761418,0.025446281087531625,exposed
c2,0,0-2,207,0.007439624660421271,0.24004815548458663,0.007439624660421271,exposed
c2,0,0-2,208,0.0539828316132519,0.3368763680580671,0.0539828316132519,exposed
c2,0,0-2,209,0.18392510028422918,0.2878304846360904,0.18392510028422918,exposed
c2,0,0-2,210,0.3497887437089919,0.1905428763349561,0.3497887437089919,exposed
c2,0,0-2,211,0.302647703321247,0.19789650309140647,0.302647703321247,exposed
c2,0,0-2,212,0.2147783858835849,0.04638462250041384,0.2147783858835849,exposed
c2,0,0-2,213,0.2114502968850221,0.22393826337862072,0.2114502968850221,exposed
c2,0,0-2,214,0.1837023469006158,0.3633235973291319,0.1837023469006158,exposed
c2,0,0-2,215,0.13866963211048255,0.4299133190891245,0.13866963211048255,exposed
c2,0,0-2,216,0.15992228507876802,0.09610307553254659,0.15992228507876802,exposed
c2,0,0-2,217,0.15996330519235755,0.15709752115905667,0.15996330519235755,exposed
c2,0,0-2,218,0.1387826483334106,0.18791470668460086,0.1387826483334106,exposed
c2,0,0-2,219,0.10212765105337682,0.18041823940589183,0.10212765105337682,exposed
c2,0,0-2,220,0.01591669248371061,0.19072929102381989,0.01591669248371061,exposed
c2,0,0-2,221,0.00021536566931378045,0.005419634677450376,0.00021536566931378045,exposed
c2,0,0-2,222,0.006706751762024791,0.05861764944627039,0.006706751762024791,exposed
c2,0,0-2,223,0.006482866226459885,0.26150683116768414,0.006482866226459885,exposed
c2,0,0-2,224,0.08171700078146105,0.4630930842045937,0.08171700078146105,exposed
