seed,source_pair,counterpart_pair,lag,development_opposition,pair_control
5,47,3,1,0.8639295579071984,4
5,49,38,4,0.8118193573578832,39
5,50,3,0,0.8552580361002232,4
5,51,60,7,0.8107153405686335,62
5,59,14,7,0.7644088323016214,17
5,60,13,6,0.8354222040392126,14
5,62,3,1,0.8468359657791776,4
5,63,14,1,0.8202288216779016,17
5,65,13,4,0.7838367934912706,14
6,0,54,2,0.7524832909025216,56
6,11,45,6,0.7883191058415553,46
6,13,51,4,0.7991383936404326,52
6,17,51,1,0.7698686392295228,52
6,18,0,7,0.795248090226542,11
6,19,46,6,0.7868466395423921,47
6,21,18,1,0.8025540424139328,19
6,24,21,5,0.80999524450501,25
6,25,21,5,0.8287884344529894,24
6,27,46,6,0.8547119047478847,47
6,28,21,7,0.8107872361562358,24
6,29,18,1,0.6672715934266317,19
6,31,13,2,0.7809296516233772,17
6,34,42,2,0.7254804189991003,45
6,36,18,1,0.7725228219262491,19
6,42,51,4,0.8212552620218984,52
6,45,27,1,0.8412862629533434,28
6,46,45,4,0.8612476927380808,47
6,47,51,0,0.7841044256479967,52
6,50,13,2,0.7021794226770475,17
6,51,21,4,0.8188167350870217,24
6,52,45,4,0.7965919212533049,46
6,54,28,6,0.7412801048735984,29
6,56,45,4,0.7710961657148554,46
6,58,21,6,0.798967309881717,24
6,63,27,4,0.8214984551141226,28
6,65,18,1,0.6080974294888314,19
7,0,15,4,0.8669982136569119,16
7,2,5,6,0.8171901969878682,6
7,5,52,7,0.8881929020338213,55
7,6,15,4,0.8561571040072982,16
7,7,16,1,0.8750064348220561,17
7,8,22,7,0.8649344219839208,23
7,10,52,6,0.8282246335873097,55
7,11,30,2,0.8605388221512759,31
7,14,16,6,0.8573930533531697,17
7,15,51,4,0.8435988300132563,52
7,16,5,0,0.8868514272446875,6
7,17,50,7,0.8524035367740773,51
7,18,37,3,0.8603853075232724,38
7,21,15,1,0.8846799278603112,16
7,22,31,4,0.9055860023420474,32
7,23,16,5,0.9130421164246159,17
7,25,16,6,0.883448638410485,17
7,28,16,5,0.9173857893383234,17
7,29,22,4,0.8860303391317998,23
7,30,37,7,0.8718645381240028,38
7,31,15,1,0.895441709540173,16
7,32,5,6,0.838093670986822,6
7,36,22,4,0.8779260017021543,23
7,37,5,5,0.8677096281566727,6
7,38,15,1,0.8789214256180768,16
7,39,5,6,0.8756879570231426,6
7,43,15,1,0.879126547359928,16
7,44,5,5,0.8921204996985143,6
7,46,16,6,0.8856777145631141,17
7,49,16,5,0.9139797928036996,17
7,50,22,4,0.901350063423834,23
7,51,50,6,0.8431934676343771,52
7,52,7,7,0.8703743256660312,8
7,55,5,6,0.8612315476097636,6
7,56,0,4,0.6830341561940321,2
7,57,18,7,0.873783565275108,21
7,58,16,6,0.8942416523637319,17
7,60,15,5,0.8998381695909518,16
7,65,22,4,0.8592718757250725,23
8,4,55,0,0.5753418491713428,63
8,5,50,4,0.6376673552480869,55
8,10,26,0,0.7080092935737274,45
8,16,10,0,0.6091576195896665,25
8,25,4,4,0.5674345527207467,5
8,26,10,0,0.7080092935737274,16
8,45,50,4,0.6609391907918776,55
8,48,50,4,0.7563423009267601,55
8,49,55,0,0.5607138974607282,63
8,50,5,4,0.6555588837977393,10
8,55,4,0,0.5753418491713428,5
8,63,50,4,0.7402209202446401,55
8,65,10,4,0.6831794449413319,16
11,0,41,5,0.8240650693109239,43
11,3,41,7,0.8364372261677978,43
11,5,3,6,0.8063732948060738,7
11,7,3,7,0.8008075921112089,5
11,8,40,2,0.9217524561694701,41
11,9,41,6,0.8441748805740888,43
11,10,40,2,0.8347405850340721,41
11,15,41,4,0.829265632180212,43
11,19,41,5,0.6366182256099406,43
11,29,9,0,0.7107113376569664,10
11,33,54,3,0.7809136804624613,56
11,34,40,4,0.8786898603099899,41
11,35,33,6,0.7991463457296006,34
11,37,3,0,0.7902848175090446,5
11,40,45,0,0.83967070552636,48
11,41,64,2,0.806845367831714,65
11,43,41,6,0.8206863467842018,45
11,45,40,0,0.83967070552636,41
11,48,57,6,0.8467705978367783,59
11,50,15,1,0.8368163833225737,19
11,54,3,6,0.8403220364095295,5
11,56,40,4,0.8339265577983438,41
11,57,54,2,0.8053014968566786,56
11,59,15,3,0.8256676771904848,19
11,61,3,7,0.8247643440629246,5
11,63,40,2,0.8417293135104996,41
11,64,35,7,0.8257107871685889,37
11,65,34,2,0.8438367468359325,35
12,0,27,2,0.7656186898727113,30
12,1,30,0,0.7607702773018917,31
12,4,6,7,0.7467345452745842,7
12,5,31,3,0.7505920656941556,32
12,6,25,7,0.7921955480584529,26
12,7,30,0,0.7194290432238162,31
12,13,39,7,0.7960299425102504,40
12,14,0,4,0.7739305478053777,1
12,15,35,6,0.7913748738137277,38
12,16,5,4,0.758145785452689,6
12,18,53,7,0.761421380541892,56
12,21,16,5,0.7507645112827324,18
12,22,65,7,0.7256216226725253,0
12,23,53,0,0.7412441996159685,56
12,24,65,7,0.7277311588731165,0
12,25,30,0,0.7974248101776491,31
12,26,35,0,0.7762051879725,38
12,27,51,5,0.7900456947793059,53
12,30,25,0,0.7974248101776491,26
12,31,40,4,0.7990440510428499,45
12,32,35,7,0.831718507022411,38
12,33,40,4,0.7571662419346382,45
12,34,0,6,0.7755263195955995,1
12,35,25,1,0.797887459433454,26
12,38,16,4,0.7548700033041198,18
12,39,53,7,0.7960318748401102,56
12,40,5,4,0.7844604214530431,6
12,45,16,4,0.7754234276780589,18
12,46,30,0,0.7347939440177633,31
12,47,53,0,0.7572390448814548,56
12,49,6,6,0.739985376584295,7
12,51,65,7,0.7619686945667731,0
12,53,35,7,0.7964644876553538,38
12,56,35,0,0.7542735047750243,38
12,58,6,7,0.7413321699073161,7
12,65,34,7,0.8055933295362766,35
13,0,64,0,0.7404034905526446,65
13,1,18,4,0.8371655729226866,19
13,7,61,7,0.7280830640831126,63
13,8,30,7,0.8089325331013612,31
13,9,64,0,0.7644915622068356,65
13,10,30,7,0.7965344819907022,31
13,15,23,0,0.71781677304575,25
13,17,59,0,0.7862062700493275,61
13,18,20,4,0.786902334934698,23
13,19,64,0,0.7404705962394067,65
13,20,10,4,0.8221691190580809,15
13,23,17,2,0.8048638159333804,18
13,25,27,7,0.7764770134985493,28
13,27,29,7,0.8294927718900373,30
13,28,18,4,0.8923715128677739,19
13,29,64,7,0.8081578280707766,65
13,30,20,0,0.7909835491804592,23
13,31,34,6,0.8039050582723389,40
13,34,61,6,0.8523481579485782,63
13,40,64,5,0.8179747018108546,65
13,45,20,6,0.7730325290354815,23
13,48,34,4,0.7863466511489271,40
13,50,34,4,0.78437768580821,40
13,57,29,6,0.7736954836215133,30
13,59,17,0,0.7862062700493276,18
13,61,64,0,0.7808886296004208,65
13,63,20,3,0.8218676561608194,23
13,64,29,7,0.8351940709885737,30
13,65,10,4,0.7802957995846643,15
14,1,37,2,0.7841515059671971,40
14,2,57,6,0.8704051812225736,58
14,3,24,5,0.8665518116323446,26
14,6,43,7,0.8531057387306675,44
14,9,3,7,0.8665710734274091,6
14,10,57,6,0.8395179589071894,58
14,11,30,0,0.8561133131736207,31
14,14,40,4,0.8827766244713057,43
14,15,11,3,0.8309050729999309,14
14,16,24,2,0.8561065722983475,26
14,19,58,7,0.8794697300670673,60
14,22,60,4,0.8430064642950307,61
14,23,61,1,0.8178466981561668,62
14,24,14,0,0.8799478096003837,15
14,26,16,0,0.8465081055876611,19
14,27,14,2,0.8470364549408917,15
14,30,11,0,0.8561133131736209,14
14,31,40,2,0.872041110722865,43
14,34,40,0,0.869521458127423,43
14,35,40,0,0.8742833196985746,43
14,37,40,1,0.8973906528661073,43
14,40,60,1,0.8893031133105753,61
14,43,3,7,0.8776150745055081,6
14,44,57,6,0.8713435861181327,58
14,45,44,6,0.87573170100814,50
14,50,40,2,0.8661958725675657,43
14,56,11,6,0.8772168479922495,14
14,57,11,6,0.8866996791111157,14
14,58,40,7,0.8864646441964139,43
14,60,58,0,0.8789171495818191,61
14,61,11,6,0.8959267129404742,14
14,62,40,0,0.8660361779022335,43
14,63,11,6,0.89717316230707,14
14,64,40,0,0.8671752066503369,43
15,0,55,1,0.8326292882880305,56
15,1,55,0,0.7259165233835212,56
15,2,50,4,0.8636643792764678,51
15,11,39,4,0.852522180000842,41
15,12,65,1,0.7225752446932958,0
15,15,39,6,0.8161613462973509,41
15,19,52,6,0.8329664143200914,53
15,21,53,7,0.8754499742939323,54
15,23,52,2,0.7937783905504099,53
15,27,52,2,0.8021994217331255,53
15,39,57,0,0.8222537656442586,58
15,41,57,0,0.6944044236866213,58
15,43,39,7,0.8306445813822179,41
15,46,52,0,0.814808733854089,53
15,48,11,4,0.648943513484858,12
15,49,0,7,0.7384540062266138,1
15,50,54,0,0.8268778796147265,55
15,51,55,4,0.8789326933933026,56
15,52,39,7,0.8597296023121784,41
15,53,0,7,0.8546061037958946,1
15,54,52,7,0.8851192449170202,53
15,55,21,0,0.8675619876253313,23
15,56,55,4,0.8251199814753637,57
15,57,52,0,0.8444592470460581,53
15,58,55,4,0.8834349663210943,56
15,59,50,7,0.8394157579085794,51
15,61,39,7,0.8705807704128279,41
15,62,55,4,0.7592320002085066,56
15,63,0,7,0.7981152701781397,1
15,64,54,0,0.7828496698234321,55
15,65,53,3,0.8348231771178155,54
16,0,13,4,0.8142051298742897,14
16,1,14,1,0.807742491251189,17
16,2,29,3,0.7542596692726773,31
16,3,31,0,0.8234946025138619,32
16,4,11,3,0.758089459539428,12
16,7,13,4,0.8094771029169635,14
16,8,31,0,0.7739761703820839,32
16,9,28,7,0.8164624707888748,29
16,10,11,4,0.6769532797061857,12
16,11,36,3,0.7770479370931684,37
16,12,22,0,0.8404061964611097,26
16,13,11,3,0.809096874386043,12
16,14,37,6,0.8423589262812173,41
16,17,22,0,0.8103683803596279,26
16,18,13,4,0.7826737407472757,14
16,20,55,6,0.7969350820800141,60
16,21,2,4,0.7691061837486127,3
16,22,12,0,0.8404061964611097,13
16,26,29,3,0.7399880620375718,31
16,27,14,1,0.777492757123278,17
16,28,12,1,0.7958728155213264,13
16,29,13,5,0.807465493597681,14
16,31,20,7,0.8412196325980006,21
16,32,22,2,0.7622857698497237,26
16,34,22,0,0.8001970810792253,26
16,35,29,3,0.722089391498975,31
16,36,21,4,0.8130094979958962,22
16,37,3,1,0.7945825640641743,4
16,41,4,4,0.7735879405132621,7
16,42,14,0,0.8119589536175595,17
16,47,31,7,0.8130738242675485,32
16,48,21,3,0.7293777578099307,22
16,50,20,7,0.7264650659376752,21
16,55,22,2,0.8150965367490272,26
16,60,13,4,0.7828036658089438,14
16,61,21,4,0.6653635598105341,22
16,62,22,1,0.7928529668198201,26
16,63,14,1,0.7830093515073397,17
17,2,43,0,0.8364736545537287,45
17,4,9,3,0.8094172042709185,10
17,5,8,7,0.859351879652364,9
17,6,49,1,0.8072554935071145,50
17,8,65,0,0.8484704346296179,2
17,9,10,4,0.8694190205922468,11
17,10,22,1,0.8410332328687279,25
17,11,40,5,0.8038639187575038,41
17,12,63,6,0.8055774667126069,64
17,13,53,3,0.8240862571467431,54
17,17,8,2,0.8091992934134311,9
17,19,41,7,0.7844821245255673,43
17,20,41,7,0.7699268798901391,43
17,21,49,3,0.812116107804547,50
17,22,30,4,0.8522298183428475,33
17,25,43,1,0.8013246423465581,45
17,30,40,4,0.8360010463118023,41
17,33,49,2,0.803054543097507,50
17,34,63,5,0.7901763151161657,64
17,35,43,0,0.8508876506316674,45
17,38,43,7,0.8294990817676111,45
17,40,56,4,0.811308337509283,57
17,41,8,2,0.852275242266478,9
17,43,41,7,0.8746785662289097,45
17,45,10,3,0.8306826839519412,11
17,47,43,6,0.8015123137542925,45
17,49,43,6,0.8921228733683624,45
17,50,49,7,0.8684558993816673,51
17,51,65,0,0.7759329545583415,2
17,53,8,7,0.8519679604156218,9
17,54,9,3,0.6958555009970666,10
17,55,9,3,0.8146028991272192,10
17,56,9,5,0.834856382010363,10
17,57,49,1,0.8020844810169133,50
17,61,43,7,0.8461545753032668,45
17,62,43,7,0.8324227740987723,45
17,63,9,4,0.8312833924984779,10
17,64,10,4,0.8510160711156277,11
17,65,41,6,0.8632363886667886,43
19,0,29,0,0.8647657443246837,30
19,1,4,4,0.871008723106699,5
19,4,1,3,0.8818029576852044,5
19,5,50,0,0.8793305324571935,52
19,7,50,1,0.8639973672864927,52
19,8,59,1,0.8263098542289529,60
19,10,4,4,0.8602430929840575,5
19,11,1,4,0.8634438520916237,4
19,14,55,4,0.8161417963042998,56
19,15,7,7,0.8480354185837549,8
19,16,63,2,0.806181119366253,0
19,17,50,1,0.8504543387094207,52
19,18,50,2,0.8379000492788319,52
19,20,1,4,0.8708114183206551,4
19,23,43,4,0.8779140333309788,45
19,24,63,1,0.8197045543689272,0
19,25,5,1,0.8457226910994489,7
19,26,45,5,0.8086579111378103,46
19,28,43,6,0.8599830236501464,45
19,29,58,6,0.8695326619907955,59
19,30,1,0,0.8688246767527074,4
19,31,43,2,0.8373306616875704,45
19,34,50,3,0.8145658658554391,52
19,35,43,0,0.880588307125959,45
19,42,30,3,0.7621199113941945,31
19,43,5,4,0.8862897866351092,7
19,45,1,3,0.888417062825931,4
19,46,43,5,0.8659355439628166,45
19,50,43,4,0.9085316232767909,45
19,52,7,7,0.8579664839351977,8
19,55,1,3,0.870886205311301,4
19,56,4,5,0.8261829995273714,5
19,58,43,6,0.8628331623461895,45
19,59,43,5,0.8897324029649248,45
19,60,50,2,0.8597530251556228,52
19,62,45,5,0.7421657454221154,46
19,63,1,6,0.8770664080334334,4
20,1,56,7,0.793953821471863,57
20,2,44,0,0.8435366041737784,45
20,5,8,7,0.8457028736173289,10
20,6,8,7,0.8547681714294347,10
20,8,18,7,0.8553220327789951,20
20,10,46,6,0.8131255413171521,47
20,11,46,7,0.8503270968529383,47
20,12,47,4,0.848620258685444,48
20,18,47,2,0.831314033074581,48
20,20,30,2,0.7115308407822198,31
20,22,18,2,0.8267057788635136,20
20,28,44,6,0.7942072293612542,45
20,29,8,1,0.825262315769236,10
20,30,46,1,0.8510877901188268,47
20,31,47,6,0.8242986210167951,48
20,34,47,6,0.8296480975285171,48
20,40,18,4,0.8331177086125635,20
20,44,2,0,0.8435366041737786,5
20,45,46,4,0.8512061111581352,47
20,46,56,4,0.8051133230636093,57
20,47,49,7,0.8531922223059616,50
20,48,45,4,0.7902673469336167,46
20,49,22,4,0.834692797037865,28
20,50,57,1,0.811049620174024,58
20,51,8,6,0.869087690788204,10
20,52,46,4,0.84475540359417,47
20,53,8,6,0.8640105946004998,10
20,54,30,7,0.8186009626574994,31
20,56,48,3,0.8457991215457774,49
20,57,8,6,0.8599803370198156,10
20,58,46,4,0.7397134358992352,47
20,60,11,1,0.7116780435742266,12
20,61,57,0,0.8414972225336229,58
20,62,65,7,0.8005767383420274,1
20,63,46,5,0.8657893981265855,47
20,65,8,0,0.8188740607163439,10
21,0,45,1,0.7887999228861575,46
21,3,42,7,0.7376708053311734,45
21,8,42,6,0.7864526622283452,45
21,9,21,0,0.7765945350630515,25
21,14,8,1,0.7657056731024068,9
21,17,8,0,0.7623977581894785,9
21,18,21,0,0.7348925167624712,25
21,19,8,0,0.7628664324101565,9
21,21,9,0,0.7765945350630515,14
21,25,55,2,0.7378665563460131,56
21,39,46,0,0.8134120633176671,51
21,40,45,4,0.794209203191152,46
21,42,56,0,0.764140782139722,61
21,45,18,6,0.811409222001427,19
21,46,42,1,0.8166773240021235,45
21,51,45,4,0.8166492227895406,46
21,55,39,6,0.7902958376310325,40
21,56,42,0,0.764140782139722,45
21,61,8,0,0.5042649081214569,9
22,1,42,3,0.7951278290134878,46
22,5,42,3,0.6094871308990943,46
22,6,42,3,0.7769992053103613,46
22,9,42,2,0.7852406596197872,46
22,10,63,7,0.8652967305203678,1
22,11,63,5,0.8118177755071518,1
22,13,36,1,0.7535812950099006,42
22,14,36,2,0.7771288025170121,42
22,15,11,4,0.7960934775008992,13
22,16,63,5,0.8407230013802788,1
22,17,36,2,0.7907822575417576,42
22,18,36,1,0.809246132328068,42
22,20,58,2,0.815744668255574,60
22,23,63,5,0.8160581684698269,1
22,24,42,2,0.764547987628478,46
22,25,42,2,0.8228403973043648,46
22,26,63,5,0.8512375424648071,1
22,28,42,1,0.8167656805103449,46
22,30,63,3,0.8486048958161195,1
22,33,58,7,0.8490181719332436,60
22,35,63,3,0.7752759599896113,1
22,36,42,0,0.8357499337129615,46
22,42,36,0,0.8357499337129616,46
22,46,63,5,0.8309458149070801,1
22,47,25,0,0.7754987262920469,26
22,48,58,0,0.7748324588352302,60
22,50,36,3,0.7898198704905259,42
22,51,42,2,0.4942651961934829,46
22,56,63,5,0.8770970358161985,1
22,57,63,4,0.7202597867019066,1
22,58,42,1,0.8323415812868491,46
22,60,58,0,0.8027681932480859,61
22,61,10,1,0.7377044231200943,11
22,63,30,5,0.8918140154207048,33
23,0,6,4,0.841601829931892,7
23,4,40,0,0.8758855143161999,43
23,5,9,7,0.8585071599336168,13
23,6,51,4,0.8479888138801612,54
23,7,9,6,0.837998674418678,13
23,9,40,0,0.8429081518049115,43
23,13,4,0,0.8484935353054139,5
23,15,51,4,0.846962612482276,54
23,16,40,7,0.8843029649191327,43
23,19,51,5,0.6695730216994059,54
23,20,13,7,0.5987896814870098,15
23,21,60,3,0.7962919019994773,0
23,26,35,0,0.8333869489440808,36
23,27,21,4,0.8363981679415506,26
23,31,40,2,0.8494973917485971,43
23,33,16,6,0.7996631430829753,19
23,34,51,1,0.8588524513794704,54
23,35,40,4,0.8831181279618726,43
23,36,51,3,0.48362212666862464,54
23,38,0,5,0.8292886544118045,4
23,40,4,0,0.8758855143162002,5
23,43,60,0,0.7777482697228069,0
23,45,40,0,0.8569574503245496,43
23,49,40,1,0.8490708535896123,43
23,51,38,2,0.838695009807979,40
23,54,9,7,0.674903297749027,13
23,57,16,6,0.8592805933149905,19
23,60,34,4,0.8135952665958246,35
26,4,16,7,0.855306290282857,17
26,5,13,3,0.8874588843635728,16
26,8,45,5,0.8232161001464356,48
26,9,13,4,0.907018902986502,16
26,10,16,0,0.8934210343346688,17
26,11,40,4,0.8765000361567459,41
26,12,40,4,0.8701709907051244,41
26,13,21,0,0.8972957448270038,22
26,16,10,0,0.8934210343346686,11
26,17,13,7,0.912725396600536,16
26,21,13,0,0.8972957448270035,16
26,22,40,4,0.8927456880365127,41
26,24,13,1,0.8558324328425535,16
26,25,13,0,0.8904880134899482,16
26,26,10,0,0.8871361660748508,11
26,27,5,3,0.8304032631155198,8
26,30,22,4,0.8713606418663555,24
26,32,13,1,0.8729975303133669,16
26,33,13,0,0.8934476527841786,16
26,34,45,1,0.8721262221073652,48
26,40,45,1,0.888298324547945,48
26,41,13,7,0.9062619685119393,16
26,44,33,2,0.8601304917552401,34
26,45,10,3,0.8681045489480113,11
26,48,54,0,0.8514183793751449,55
26,50,5,0,0.8842745946097527,8
26,51,13,1,0.8536103170260071,16
26,54,13,3,0.8615835175820147,16
26,55,45,4,0.8393736593281915,48
26,56,10,0,0.8844876583511775,11
26,57,5,3,0.8389428167782162,8
26,63,10,5,0.8764910556569397,11
26,64,5,1,0.8785379016654096,8
26,65,12,0,0.8372800553451707,13
28,0,60,5,0.8238587429498733,62
28,6,47,3,0.8499255430954831,50
28,7,65,7,0.753798743707251,0
28,8,6,6,0.8705532780616663,7
28,12,22,1,0.8596609508361808,23
28,14,22,1,0.8671120226131382,23
28,15,43,4,0.8434221089582227,46
28,17,22,2,0.8846194502669844,23
28,21,0,1,0.8192937106057698,6
28,22,31,0,0.9113331343982859,33
28,23,0,1,0.8189891905601954,6
28,27,47,0,0.8580943499085187,50
28,28,22,7,0.8599055727555618,23
28,31,22,0,0.9113331343982862,23
28,33,47,5,0.8219463848982121,50
28,34,22,1,0.8884939500273894,23
28,36,60,2,0.6498757624803201,62
28,37,47,6,0.8837454398598712,50
28,42,34,0,0.822308096192623,36
28,43,22,7,0.8984243505985592,23
28,46,31,6,0.8004157869535523,33
28,47,27,0,0.8580943499085187,28
28,50,22,0,0.880582508569983,23
28,51,0,5,0.7886201979575003,6
28,54,43,6,0.843581264481013,46
28,57,6,7,0.820232433496058,7
28,59,47,5,0.8458381239723238,50
28,60,23,5,0.8097660126263937,27
28,62,22,0,0.8484305031940942,23
28,65,0,7,0.8170137134717506,6
29,0,24,3,0.8511844258010645,25
29,1,12,0,0.8523559908033632,15
29,5,65,5,0.7406876170341993,0
29,6,32,0,0.8362966457063369,33
29,9,65,4,0.8021765390452629,0
29,10,1,7,0.8341310710553901,5
29,11,24,3,0.8676960112057206,25
29,12,32,7,0.8709775111039495,33
29,15,32,7,0.8113088067758529,33
29,16,60,7,0.7594199947862619,62
29,18,32,5,0.8248396657758024,33
29,19,32,6,0.8751851812642236,33
29,20,60,6,0.8475906448549911,62
29,21,38,1,0.8097479179498989,40
29,22,63,4,0.7924150298678699,65
29,24,9,5,0.87578442137525,10
29,25,32,0,0.8584541466330079,33
29,29,6,7,0.8420165182018865,9
29,32,25,0,0.8584541466330076,29
29,33,24,4,0.8656290217590997,25
29,36,32,6,0.8030679322894475,33
29,38,21,7,0.8115012551153816,22
29,40,42,6,0.8319170236819299,43
29,41,65,1,0.7516522872681151,0
29,42,54,4,0.8350531690300927,59
29,43,19,6,0.8276148232580248,20
29,47,42,0,0.8043689738295872,43
29,48,33,7,0.7329042110155418,36
29,51,9,5,0.8503628097357652,10
29,54,29,0,0.7905360028945225,32
29,59,12,0,0.8183728157854576,15
29,60,24,0,0.8390826841122216,25
29,62,29,6,0.8427402884607876,32
29,63,32,5,0.8503369274029001,33
29,65,0,3,0.8348291163024174,1
30,0,48,3,0.816382173950977,49
30,2,25,1,0.7665458578353816,30
30,3,25,3,0.8415007295708624,30
30,4,51,6,0.8557707049799645,56
30,5,25,1,0.8007147106446358,30
30,7,21,7,0.833714535231443,24
30,8,25,3,0.8141905080168244,30
30,10,25,3,0.8094975327174381,30
30,13,4,4,0.8296395688271685,5
30,14,3,0,0.7926993477015357,4
30,17,32,3,0.7967837780016622,33
30,18,21,7,0.8121018781128244,24
30,19,32,3,0.7819312622584204,33
30,21,13,1,0.8404563508279408,14
30,24,13,1,0.8116675053618946,14
30,25,32,0,0.7961698303177028,33
30,30,3,6,0.79372676580945,4
30,32,44,4,0.8193807036088813,46
30,33,13,1,0.8841826974926061,14
30,36,44,2,0.7734503923752708,46
30,38,13,4,0.8547876101683792,14
30,41,13,4,0.8366616166288962,14
30,42,25,3,0.8169577937627394,30
30,44,25,4,0.8315953661677623,30
30,46,32,2,0.7957470951516857,33
30,47,32,3,0.7945624125277738,33
30,48,33,7,0.8423129505727008,36
30,49,44,0,0.7970488504290375,46
30,51,0,2,0.831316678535297,2
30,56,32,2,0.7782692898281728,33
30,60,33,7,0.8362757493146802,36
30,61,32,4,0.7897630559893134,33
30,62,51,7,0.839405821092376,56
30,63,51,7,0.8405704868844187,56
