entity,entity_type,replicate,s1,s2,s3,chsh_smax,retained_axes_at_0p50
Psi-plus,physically_prepared,3019,0.9132882826783403,0.8831969271651622,0.7964922880291606,2.5409701292471243,3
Psi-minus,physically_prepared,3019,0.9624739097010789,0.8539344532445787,0.8197747844883628,2.573371389670289,3
Phi-classical,equal_weight_reconstruction,3019,0.9048383715956668,0.018633780045424264,0.0012315423727796715,1.8100604370801316,1
Psi-classical,equal_weight_reconstruction,3019,0.8795271977390807,0.10739993236661083,0.026986110908588178,1.772120579458534,1
Bell-uniform-mixed,equal_weight_reconstruction,3019,0.0913364407277062,0.0451774455369297,0.03126128056030593,0.20379741892426448,0
Phi-plus,physically_prepared,3020,0.9980935313335,0.8843311892806001,0.8830049729137578,2.6670075737606873,3
Phi-minus,physically_prepared,3020,0.9556348911201465,0.8720166638685067,0.8298824286105067,2.5873933656795014,3
Psi-plus,physically_prepared,3020,0.9587632416908106,0.8411683773505992,0.8009227985418,2.5509144969379998,3
Psi-minus,physically_prepared,3020,0.9584357321958991,0.8293214773331284,0.7972114263485061,2.534855550532134,3
Phi-classical,equal_weight_reconstruction,3020,0.9121289777055535,0.12611463480464297,0.08388655250731007,1.8416125250248343,1
Psi-classical,equal_weight_reconstruction,3020,0.9128912008102852,0.0935247223093762,0.06319478024349628,1.8353388986232384,1
Bell-uniform-mixed,equal_weight_reconstruction,3020,0.137499336295008,0.054692611379633486,0.02379104697442813,0.29595505889301044,0
Phi-plus,physically_prepared,3021,0.9843842767887352,0.8859262042199206,0.8732953968258927,2.648680912237182,3
Phi-minus,physically_prepared,3021,0.9615682908553157,0.9204132519668954,0.9135701648092223,2.662160124691743,3
Psi-plus,physically_prepared,3021,0.9372799112420297,0.8311541332886199,0.7687750254295354,2.50544273556641,3
Psi-minus,physically_prepared,3021,0.9078048108423845,0.8606604508925586,0.7946482869110141,2.501876085116255,3
Phi-classical,equal_weight_reconstruction,3021,0.9233806517125923,0.0744352639059706,0.025268882334627065,1.8527519385712954,1
Psi-classical,equal_weight_reconstruction,3021,0.8819793817359718,0.07159964416411152,0.029801910785914102,1.769761722777159,1
Bell-uniform-mixed,equal_weight_reconstruction,3021,0.07939274585663868,0.023306497112528114,0.0014735610663027068,0.16548596197035081,0
Phi-plus,physically_prepared,3022,0.9669822206509625,0.9336868518941761,0.9096746365343265,2.688364374451591,3
Phi-minus,physically_prepared,3022,0.9826845387070823,0.822024326210673,0.8214157492775235,2.562337132772393,3
Psi-plus,physically_prepared,3022,0.9189652737230491,0.8894232025424033,0.8102755499156143,2.5577887383673135,3
Psi-minus,physically_prepared,3022,0.9554982256510239,0.8637947596555812,0.8361778868399312,2.5761352806331415,3
Phi-classical,equal_weight_reconstruction,3022,0.9255106617956137,0.0967205129593135,0.06548014644101537,1.8611016551757376,1
Psi-classical,equal_weight_reconstruction,3022,0.8888364952812955,0.09755669264921156,0.029038566353945357,1.7883485383163866,1
Bell-uniform-mixed,equal_weight_reconstruction,3022,0.12162645952542751,0.02764475382969346,0.008607040742392442,0.2494572353810954,0
Phi-plus,physically_prepared,3023,0.945131985253208,0.9149238835489697,0.8685291929173189,2.630863114825246,3
Phi-minus,physically_prepared,3023,0.9198872164344425,0.8798590418038614,0.8512840890026806,2.545855003258054,3
Psi-plus,physically_prepared,3023,0.9328729975969778,0.8735102207856132,0.8064666923251732,2.555990716307477,3
Psi-minus,physically_prepared,3023,0.9743591040738865,0.8659555843180614,0.8464424609839385,2.607109309333463,3
Phi-classical,equal_weight_reconstruction,3023,0.917777829365404,0.08134669760122158,0.059041838540554885,1.8427516699602224,1
Psi-classical,equal_weight_reconstruction,3023,0.8995031363289551,0.12312909942188179,0.05181648656030115,1.8157826603314289,1
Bell-uniform-mixed,equal_weight_reconstruction,3023,0.10842041241091108,0.06891362425657563,0.011803657529965376,0.2569363612689222,0
Phi-plus,physically_prepared,3024,0.9620312532930388,0.9330743609583777,0.9105560704760877,2.6803969074675935,3
Phi-minus,physically_prepared,3024,0.9888770646108297,0.8546688961687173,0.8436469670980284,2.6140671536833824,3
Psi-plus,physically_prepared,3024,0.9561179889160695,0.8608879886932271,0.8181498698456189,2.5731612757891247,3
Psi-minus,physically_prepared,3024,0.9277118444426737,0.8781120399776259,0.8264863923212643,2.554783764683732,3
Phi-classical,equal_weight_reconstruction,3024,0.938626040834403,0.08894169945224842,0.03933969872281178,1.8856611259013858,1
Psi-classical,equal_weight_reconstruction,3024,0.9119050078795654,0.07705290251840594,0.056854289113808736,1.8303091467643833,1
Bell-uniform-mixed,equal_weight_reconstruction,3024,0.17501882301584115,0.04273459864269422,0.03397996017907555,0.3603211585849629,0
Phi-plus,physically_prepared,3025,0.9530347684721707,0.9134554066133589,0.8713286563352327,2.6402091203448115,3
Phi-minus,physically_prepared,3025,0.9668239667887163,0.8911446351802484,0.8683462370814435,2.6297432145117186,3
Psi-plus,physically_prepared,3025,0.9669365792205993,0.8506128285833489,0.8181045874781361,2.575661881835735,3
Psi-minus,physically_prepared,3025,0.910487742997478,0.8807895430257086,0.8233631104808792,2.5335967708000244,3
Phi-classical,equal_weight_reconstruction,3025,0.9141547437699065,0.024220469041029858,0.01916904351161334,1.8289510946743117,1
Psi-classical,equal_weight_reconstruction,3025,0.9195260908038216,0.08111586072952436,0.029011218620221116,1.8461939383833428,1
Bell-uniform-mixed,equal_weight_reconstruction,3025,0.12384431985968096,0.04730178053589396,0.0090373425551558,0.2651405212589946,0
Phi-plus,physically_prepared,3026,0.9523235123842152,0.9359807301301255,0.8883304314501291,2.6705654827505962,3
Phi-minus,physically_prepared,3026,0.9727627757258616,0.9260571352746653,0.902077326195099,2.686149091641045,3
Psi-plus,physically_prepared,3026,0.9290010072082635,0.8923318152272188,0.8235273354683815,2.5762755596874114,3
Psi-minus,physically_prepared,3026,0.934627531368945,0.8492895250009107,0.8159879702625386,2.52572470365959,3
Phi-classical,equal_weight_reconstruction,3026,0.9357241591584481,0.08256329320695995,0.03091666899626607,1.8787191375167955,1
Psi-classical,equal_weight_reconstruction,3026,0.8894100161774581,0.07655238844876504,0.05896549994050346,1.7853968130967377,1
Bell-uniform-mixed,equal_weight_reconstruction,3026,0.1534842240328184,0.06235897423014949,0.011610821665324659,0.33133698069483786,0
Phi-plus,physically_prepared,3027,0.9496297354471662,0.9098983163067804,0.8601177224077892,2.630369997139846,3
Phi-minus,physically_prepared,3027,0.9849417745568593,0.9112955258069438,0.8985803674346784,2.6837062690413562,3
Psi-plus,physically_prepared,3027,0.9474311875578585,0.8818199226177641,0.8318663367035992,2.58861525227902,3
Psi-minus,physically_prepared,3027,0.9499950336984901,0.8562583824838406,0.8244100224225133,2.5578655020353502,3
Phi-classical,equal_weight_reconstruction,3027,0.9420909466253592,0.03262523307205242,0.001098436961114073,1.885311388122897,1
