branch,seed,events,exact_start_x_mean,exact_gain_mean,exact_overlap_mean,exact_flow_x_mean,topology_start_x_mean,topology_gain_mean,topology_overlap_mean,topology_flow_x_mean,seed_start_x_mean,seed_gain_mean,seed_overlap_mean,seed_flow_x_mean,time_start_x_mean,time_gain_mean,time_overlap_mean,time_flow_x_mean
c2,40,114,1.0029671569874778,0.10999564007656815,0.1427349866489868,0.5734413828113053,0.03822117751963525,0.03478630731218547,0.012810188280147843,0.2039333058736478,0.5633574796219706,-0.05555501429545528,0.052250624141378293,0.2572300861821275,0.810981026808037,0.08368285015726301,0.09984141259165917,0.4718512568619421
c2,41,119,1.2019346845636532,0.029320180644402446,0.1429640018823495,0.48410530852765354,0.038404094563939874,0.03333310039267306,0.018209030400307052,0.16864793827419133,0.7115518285210644,0.008804272844991686,0.06127982051933804,0.3716110148411465,0.6549354930437026,-0.009243121938222848,0.05332971059762343,0.36148107302374166
c2,42,146,1.287116858408123,0.058471653213290314,0.187589889475233,0.46248288801996285,0.040224199288903334,0.02587129788270824,0.01782998840163547,0.16289419210958075,0.7393101592986326,-0.0665169712147168,0.0562645349676235,0.28698663937183827,0.8140929714755216,0.06436975045149579,0.10378558165588826,0.330330934912217
c2,43,132,1.0128661130200916,0.10083900573530907,0.14637747629621525,0.4998645655795527,0.03546111398046773,0.0279506250347736,0.015972673668450885,0.1482776575457047,0.5812801453857454,-0.01327092908418813,0.06595458634306205,0.2560692059108588,0.6351635826054496,0.020812124492821583,0.07989471341863244,0.2898018975486702
c2,44,114,0.8569928560275292,0.0976171429469935,0.10622343391298009,0.513476072270267,0.04065528668903939,0.02012703262322227,0.013521572880516015,0.1341216149052592,0.61008860376441,0.026016089281305357,0.06631954415386793,0.2763679482562347,0.6063580281111683,0.02758568668564908,0.08538077815836685,0.3539475698462951
c2,45,131,1.1493592041034455,0.005622708079969692,0.14411708175061522,0.5231611430134185,0.038500523400770245,0.04951274403473507,0.032556341712040325,0.1776014261994223,0.5632909457303227,-0.004588627964988246,0.06281281777231101,0.29740442584442606,0.6487580418831371,0.10679397769697418,0.12658396559188123,0.3977932949589848
c2,46,128,0.8010388167998611,0.12388659323270754,0.1570320501348432,0.5305012611375229,0.030978039372015313,0.026900951528273452,0.01870195977733813,0.1457567106994851,0.7445530658929194,0.06416651345625049,0.09699816006999505,0.3823575624797182,0.5772960398349023,0.03466136443821389,0.06289380299808911,0.3188926004918027
c2,47,105,1.150344346711863,0.09898430054925461,0.16377038439404001,0.4952596628651597,0.048380369745526536,0.01983791327243312,0.014652158216962188,0.15277365701185594,0.7705472530960962,-0.030419032922244613,0.09368038662864737,0.28348603994566535,0.5816331860500332,-0.02504145362340518,0.048585901022357394,0.2849265886772522
c2,48,106,0.8041367191927521,0.1398473209664467,0.13835341712349974,0.5872136747480728,0.03238106309107766,0.028434306101922064,0.015602065388030165,0.1799735182434897,0.46837200908875953,-0.013416759025150425,0.07710862049795658,0.2911677757226676,0.510957333159698,-0.02540585130355612,0.05411955924377454,0.18730385107491135
c2,49,94,0.9189003724641825,0.05639748754017189,0.1359131097119742,0.46426586883148474,0.038225603011307216,0.01597579008859403,0.015490358577817503,0.10464033929507079,0.5704174216742238,-0.0506675924579917,0.056713123049128,0.21998790168268267,0.5827782788777907,0.04102152606880202,0.07735912018254751,0.38416240036412175
c2,50,113,0.8912729968577857,0.054763454382873715,0.11639620185942395,0.49894727678044093,0.03986152491794524,0.035710803513281444,0.016145683191888364,0.20098214924785462,0.5209497416879942,0.010745009028183037,0.06873357023707831,0.3635392150739548,0.4083544999449274,0.03769502815285988,0.051850142822745464,0.3157739839321708
c2,51,109,0.865015548486675,0.09401621373088372,0.10686004985972193,0.5496629543821967,0.049340807995653754,0.0683023897795905,0.027361107234523157,0.32336354939076756,0.9392144923674847,0.03803085189471402,0.0659228802193252,0.42309949854723145,0.4062090453627931,0.1023607462222606,0.07614791680233347,0.45635940882601966
c2,52,115,0.8654856981654705,0.07402493073684345,0.09920323375725565,0.5698045904205471,0.030490593007262482,0.03786927347402391,0.014127219415136777,0.20799614182079007,0.4506498082623856,-0.05397215326907159,0.02490471904719267,0.2461288711286045,0.6299603663632012,-0.07346701443466959,0.032739452053627216,0.2913470433593459
c2,53,117,0.759769474277941,0.13340108324120922,0.13795701825791218,0.5365260148524753,0.05675112264532645,0.039900232033209526,0.025151817925688214,0.17333132433312948,0.6910037032386315,-0.03789121402554454,0.0905057695262836,0.28889871336209866,0.5683530010856114,-0.004656720160228765,0.05745852904068653,0.2994268292410893
c2,54,117,1.0586915365516847,0.03943017234918537,0.11759661095684823,0.5027641317356147,0.02967726714116347,0.01958841730855604,0.011709323445514862,0.13451972152840114,0.5909708756701667,0.04225747612225666,0.059897975909206244,0.3135555423459198,0.5518066855115702,0.04291262420467898,0.08962069627343801,0.2585118218262266
c2,55,101,0.8728602835170282,0.09974589884436962,0.1282003332156157,0.5265217908128281,0.026384363636580192,0.02032379425479911,0.010384629008013674,0.1312063588133176,0.6889728005177392,-0.011654478932830899,0.08900255637309736,0.3383899647782274,0.47955977699828345,0.04274839306120053,0.06530332136532724,0.2931287312195438
c2,56,100,1.1981023893912326,0.09250090057223147,0.15364279839228273,0.5805963214556011,0.030118595607832428,0.032236645332556324,0.00983684534533411,0.20586833088131637,0.4543183329516776,-0.008001690851726114,0.07263977261211543,0.22105628754415282,0.6431687444274381,0.047474575626488796,0.07254700317010418,0.2930759151727871
