split,child,cut,setting,segment,ridge_current,ara_mean,ara_std,ara_q05,ara_median,ara_q95,n_records
development,C01,K1G2,K1,G2,-0.004699925999999999,1.0166831963090588,0.06939035933420862,0.9697336178826015,0.9929234032252244,1.1888377299623096,40
development,C01,K1G3,K1,G3,-0.004822002,1.0265471024043404,0.0833050958399094,0.9603469269742001,0.9922588292551698,1.1991571655987736,40
development,C01,K1G4,K1,G4,-0.004822002,1.027411678071283,0.07908747980697718,0.964135755272964,0.991164626016809,1.1815414782550993,40
development,C01,K2G0,K2,G0,-0.002624634,1.0044529736262109,0.025722453499655407,0.9512658273056189,1.0037433784860688,1.0455626888253327,40
development,C01,K2G1,K2,G1,-0.004699925999999999,1.0451262898212448,0.07928274169030135,0.9787791194936328,1.0102256087922998,1.2065340433607812,40
development,C01,K2G2,K2,G2,-0.00457785,1.0284999346647947,0.0806374759148378,0.9679799747267459,0.9992754790640768,1.2054422608281263,40
development,C01,K2G3,K2,G3,-0.004822002,1.056915867260026,0.09593816741267965,0.9675138149723568,1.0104641228151612,1.228077805968346,40
development,C01,K2G4,K2,G4,-0.004822002,1.0623021147973748,0.09397350490411767,0.979908179292014,1.014102183163244,1.2159417832699773,40
development,C01,K3G0,K3,G0,-0.002624634,1.0085194914418714,0.02422568895617109,0.97165377210476,1.0080892848976606,1.0480982106998376,40
development,C01,K3G1,K3,G1,-0.00457785,1.0740494583835922,0.09968286982973427,0.9665293669783166,1.0082164148422244,1.2023092474171404,40
development,C01,K3G2,K3,G2,-0.004699925999999999,1.0346345098438414,0.07184434236160595,0.9802071787350507,1.0055085268503379,1.1999032678226114,40
development,C01,K3G3,K3,G3,-0.004822002,1.0145703388299174,0.06457600742052702,0.9735636062720147,0.9943079625864325,1.2063006319191953,40
development,C01,K3G4,K3,G4,-0.004699925999999999,1.0524186699074447,0.09863789276572571,0.9635239663251264,0.9978808021342025,1.2100335265468514,40
development,C01,K4G0,K4,G0,-0.00274671,1.0132890624309157,0.025670620622230245,0.9805579459849872,1.0136665578327002,1.049750244938188,40
development,C01,K4G1,K4,G1,-0.004699925999999999,1.131420030858282,0.08803608926155868,0.9789042271590432,1.176442855902662,1.2166398240561502,40
development,C01,K4G2,K4,G2,-0.004699925999999999,0.9990894267208754,0.03075765988745309,0.9760628362885276,0.9968525340132226,1.0157565054503601,40
development,C01,K4G3,K4,G3,-0.004944077999999999,1.0185300834459974,0.045095247621652026,0.9789601434949874,1.012528141892278,1.0549662332731309,40
development,C01,K4G4,K4,G4,-0.004822002,1.0309480700657396,0.07254906790685543,0.9694695165718904,0.9972241460954643,1.1803512541099697,40
development,C01,K5G0,K5,G0,-0.002624634,1.0032977237803657,0.026866141450325776,0.9638998921456455,1.002955797235113,1.044349972527015,40
development,C01,K5G1,K5,G1,-0.00457785,1.0629966820171428,0.09668160442879602,0.9686762404532575,1.002416102052002,1.2025719452779016,40
development,C01,K5G2,K5,G2,-0.004699925999999999,1.0366204156540018,0.07430593954849435,0.9818957780856835,1.00937847209866,1.1992945807494888,40
development,C01,K5G3,K5,G3,-0.004822002,1.016869600918849,0.06361162572054663,0.9702399780671241,0.99824673974732,1.176590572265471,40
development,C01,K5G4,K5,G4,-0.004699925999999999,1.0493973242036196,0.09892631947052578,0.9638165272488767,0.9938932834819099,1.2097163318291468,40
development,C01,K6G0,K6,G0,-0.00274671,1.016741111834921,0.025767956326197865,0.9779457591763481,1.013718545058922,1.055274601819326,40
development,C01,K6G1,K6,G1,-0.004699925999999999,1.0460069087268447,0.08049857347180339,0.984979526519024,1.0021775960825277,1.2001525169066025,40
development,C01,K6G2,K6,G2,-0.00457785,1.0251470665552058,0.07339666419785564,0.9593908702516813,0.9960729882696214,1.1695001749494511,40
development,C01,K6G3,K6,G3,-0.004791482999999999,1.0676442307692307,0.0991957475744846,0.9742548076923078,1.0057692307692307,1.211610576923077,40
development,C01,K6G4,K6,G4,-0.004822002,1.0436765659701464,0.07803895020595603,0.9801898156960239,1.0142632954761694,1.2024009327534306,40
development,C01,K7G0,K7,G0,-0.002624634,1.0108005204364279,0.02255327468294567,0.9761413634858305,1.0076064518074164,1.0457527029573077,40
development,C01,K7G1,K7,G1,-0.00457785,1.015136077567524,0.06763243243805846,0.970234131484775,0.9911205697350913,1.1830033361776835,40
development,C01,K7G2,K7,G2,-0.004516811999999999,1.0598197115384616,0.09031850428893833,0.9740144230769231,1.0063701923076924,1.2009014423076922,40
development,C01,K7G3,K7,G3,-0.004822002,1.0785308947823347,0.10420592580957204,0.9774530368958212,1.0231882748603858,1.2390825553463263,40
development,C01,K7G4,K7,G4,-0.004699925999999999,1.0276475164774843,0.07516546122336853,0.9647427408285113,1.002117625907075,1.1974753857674318,40
development,C01,K8G0,K8,G0,-0.0025025579999999998,1.008630548019334,0.026058421720232407,0.9732720653655934,1.0064666466085215,1.052101956994443,40
development,C01,K8G1,K8,G1,-0.00457785,1.1033233699574965,0.10575255709153107,0.9794893554317541,1.098568065495896,1.2327120957652011,40
development,C01,K8G2,K8,G2,-0.00457785,1.00990917744526,0.04265910851415137,0.9728517767958013,1.0032625040743706,1.054449905432699,40
development,C01,K8G3,K8,G3,-0.004822002,1.0136625327377333,0.032790519257588274,0.9792591356148248,1.0070733153020612,1.058143487869804,40
development,C01,K8G4,K8,G4,-0.004699925999999999,1.0871734187068847,0.10347515376509961,0.9713044585338528,1.023553778306767,1.2225792295587221,40
development,C10,K0G0,K0,G0,-0.00274671,0.9986357115641171,0.027582737754364622,0.9470868158274725,1.0038081812162643,1.0372461288860404,40
development,C10,K0G1,K0,G1,-0.004699925999999999,1.0927176682017794,0.0985814822427353,0.9680282454218646,1.1430114609039774,1.2074495531142386,40
development,C10,K0G2,K0,G2,-0.004699925999999999,0.9893572080186411,0.015470554973215806,0.9678904037891561,0.990440403855818,1.0161427877619023,40
development,C10,K0G3,K0,G3,-0.004944077999999999,0.9980102461314433,0.01600771815782644,0.9753757870183901,0.9979428975434563,1.0220122527062059,40
development,C10,K0G4,K0,G4,-0.004822002,1.0641244601823665,0.0938411601745424,0.9653286565121101,1.0019353765946994,1.2047692680245117,40
development,C10,K1G0,K1,G0,-0.00274671,1.0132029763985169,0.026565900999474888,0.9800735918872132,1.006951463219698,1.0612133211208825,40
development,C10,K1G1,K1,G1,-0.004699925999999999,1.0331053002873627,0.08135804814719333,0.9701606529527662,0.9939551269411502,1.1932440381483063,40
development,C10,K1G2,K1,G2,-0.004699925999999999,1.0305657013840548,0.07682518452880223,0.968540028980629,1.0035054232369003,1.1951002901645829,40
development,C10,K1G3,K1,G3,-0.004822002,1.0602897399237936,0.09577106652492252,0.9740093084415893,1.006713307498466,1.1994801580374796,40
development,C10,K1G4,K1,G4,-0.004822002,1.0399103175553286,0.08121925226646662,0.9704737732656514,1.0096020109082229,1.1984725514085803,40
development,C10,K2G0,K2,G0,-0.002624634,1.003298380232972,0.02314963737157894,0.9687669061343179,1.0024185115964759,1.0401983340796968,40
development,C10,K2G1,K2,G1,-0.004699925999999999,1.0404215749661736,0.09284311723614429,0.9684715298374035,0.9876022862625771,1.205978014160986,40
development,C10,K2G2,K2,G2,-0.00457785,1.042614247068408,0.09151644165261849,0.9518789589873867,0.9955314861363962,1.196044365916538,40
development,C10,K2G3,K2,G3,-0.004822002,1.0273383912086926,0.08336715111973632,0.9588139056222329,0.9931709638697879,1.2095401408243653,40
development,C10,K2G4,K2,G4,-0.004822002,1.034546327758977,0.08343330166839893,0.9719951635294074,0.9940733295969008,1.1950762029333963,40
development,C10,K3G0,K3,G0,-0.002624634,0.9979133893319737,0.03203094989389114,0.9602222980775837,0.9926294354063073,1.0539086693866329,40
development,C10,K3G1,K3,G1,-0.00457785,1.0350042748266006,0.09195918854590669,0.9557188512181447,0.9885125460802752,1.1788912203622923,40
development,C10,K3G2,K3,G2,-0.004699925999999999,1.0318191264265857,0.07892815810201263,0.9725493086896083,0.9977643778356422,1.1980113857283898,40
development,C10,K3G3,K3,G3,-0.004822002,1.0192503934158328,0.07640130255335223,0.9622700128782733,0.9912371185528777,1.199895831183326,40
development,C10,K3G4,K3,G4,-0.004699925999999999,1.0458637152475259,0.0915646342155688,0.9547351071615866,0.9951014360310377,1.1955756956530494,40
development,C10,K4G0,K4,G0,-0.00274671,1.0038234888669286,0.026078037633282473,0.9581599176821203,1.0066502541112177,1.0393700228814922,40
development,C10,K4G1,K4,G1,-0.004699925999999999,0.9839834168596532,0.015081570132212981,0.9600458711721819,0.9837137208862803,1.0072541175053684,40
development,C10,K4G2,K4,G2,-0.004699925999999999,1.113574484590488,0.08642166035169865,0.9826416593621745,1.158581537534964,1.1959129506364379,40
development,C10,K4G3,K4,G3,-0.004944077999999999,1.0564444993303836,0.09631927799444635,0.9750665852250804,1.0036866348134046,1.2185221647316256,40
development,C10,K4G4,K4,G4,-0.004822002,0.9835532406442139,0.012879583954339116,0.9660826285807862,0.9847736587532623,1.003299843008396,40
development,C10,K5G0,K5,G0,-0.002624634,0.9822506946753744,0.025682807741072622,0.9324727464725653,0.988892913195702,1.0114051447990267,40
development,C10,K5G1,K5,G1,-0.00457785,0.9934043250575215,0.06750318264642097,0.9481289309015591,0.9721883736477896,1.1693871328096395,40
development,C10,K5G2,K5,G2,-0.004699925999999999,1.001399348935739,0.060622114050642016,0.9534260415995445,0.9819894895684669,1.1650979085676134,40
development,C10,K5G3,K5,G3,-0.004822002,1.0658511222483975,0.10002996023695244,0.9571001405793103,1.0073713848436525,1.2061219725698242,40
development,C10,K5G4,K5,G4,-0.004699925999999999,1.0337666691215004,0.08910106437130373,0.953247043495855,0.9795497666365833,1.1722432416080166,40
development,C10,K6G0,K6,G0,-0.00274671,0.9929209347064107,0.025616024056657617,0.9532105162316349,0.9879633897816962,1.032834011119521,40
development,C10,K6G1,K6,G1,-0.004699925999999999,1.0302850050632013,0.08282573801980087,0.9586113885006021,0.9967305311421968,1.1927277493532826,40
development,C10,K6G2,K6,G2,-0.00457785,1.022569794235761,0.08500670032079839,0.9521802931283015,0.9820534599938061,1.186992381452778,40
development,C10,K6G3,K6,G3,-0.004791482999999999,1.0285697115384616,0.09908692978594921,0.9444230769230769,0.9804086538461538,1.2082331730769231,40
development,C10,K6G4,K6,G4,-0.004822002,1.019250381712551,0.0806746320896911,0.9617277150306573,0.9888799721648559,1.1861223900446094,40
development,C10,K7G0,K7,G0,-0.002624634,0.9940832553592072,0.02164251332344693,0.9525839916421398,0.9938395285378424,1.0319922419242435,40
development,C10,K7G1,K7,G1,-0.00457785,1.050046279551538,0.10121386889921406,0.9526939042348666,0.9838031564176253,1.2064712920274951,40
development,C10,K7G2,K7,G2,-0.004516811999999999,1.0216586538461538,0.08232325275962372,0.949375,0.9788461538461539,1.1718870192307693,40
development,C10,K7G3,K7,G3,-0.004822002,1.0337764548235344,0.09340914790082644,0.9594834037104207,0.9883378271545045,1.197724920623342,40
development,C10,K7G4,K7,G4,-0.004699925999999999,0.9896088146154962,0.05652239080201284,0.9556748180470616,0.9740791458501216,1.155882547715254,40
development,C10,K8G0,K8,G0,-0.0025025579999999998,0.9896462120732924,0.026924201782459214,0.9424939642783463,0.9905728338366049,1.024952786234367,40
development,C10,K8G1,K8,G1,-0.00457785,1.0874032850824462,0.0992503308425382,0.9548503083711503,1.1425292909771712,1.1984800007699097,40
development,C10,K8G2,K8,G2,-0.00457785,0.9891409966595097,0.03240360479066264,0.9612510989023156,0.9858049255684056,1.0094628847314422,40
development,C10,K8G3,K8,G3,-0.004822002,0.983932424869135,0.03776567111216368,0.9542132948738421,0.9829546321441067,1.0003809189393167,40
development,C10,K8G4,K8,G4,-0.004699925999999999,1.0485199131242102,0.0963600471602359,0.9605049137062889,0.9826831588376894,1.1921650430171187,40
development,C11,K0G0,K0,G0,-0.00274671,0.9357544324338049,0.031872735734014876,0.8840584964950448,0.9376551747540665,0.9808585811879473,40
development,C11,K0G1,K0,G1,-0.004699925999999999,1.0253677181729568,0.09713331010152451,0.9086534768407613,1.0510406844254416,1.159460113787677,40
development,C11,K0G2,K0,G2,-0.004699925999999999,0.946728471699752,0.04701294340776434,0.8953864008475745,0.9399382483534797,0.9746537831191261,40
development,C11,K0G3,K0,G3,-0.004944077999999999,0.9492104343122799,0.030462751002744922,0.9118092126617637,0.9500726040658276,0.9737686259232128,40
development,C11,K0G4,K0,G4,-0.004822002,1.0090603554250899,0.09810000706246917,0.9047803925490131,0.9556276509530275,1.1505162992366926,40
development,C11,K1G0,K1,G0,-0.00274671,0.971760866778092,0.01995838930481204,0.9445920678055345,0.9687403029983093,1.0058072374334257,40
development,C11,K1G1,K1,G1,-0.004699925999999999,1.0148302772299997,0.08455654940429509,0.9531667183758192,0.9724628002236173,1.1883355924390577,40
development,C11,K1G2,K1,G2,-0.004699925999999999,1.013077578867971,0.07164844770947647,0.9632939770781328,0.9794183584282543,1.1463128780845944,40
development,C11,K1G3,K1,G3,-0.004822002,1.0271975881639404,0.09328404574251563,0.9515104494350487,0.9754326515793296,1.180121334166577,40
development,C11,K1G4,K1,G4,-0.004822002,1.0105752712962346,0.08367129207106863,0.9496303454935155,0.9670435734845431,1.1652425123108698,40
development,C11,K2G0,K2,G0,-0.002624634,0.9698951900920209,0.025574600324982717,0.9332781065544521,0.9739068686699908,1.0085965788042557,40
development,C11,K2G1,K2,G1,-0.004699925999999999,1.0131175241720893,0.07557351448768311,0.9521718729435563,0.9803867941812319,1.1610907466564568,40
development,C11,K2G2,K2,G2,-0.00457785,1.012140066505759,0.08306159834872931,0.9461043726610543,0.9705650038941025,1.1762590846241667,40
development,C11,K2G3,K2,G3,-0.004822002,1.0273445473197547,0.09202598012481922,0.9538703485544779,0.9817120026604157,1.1988581856012606,40
development,C11,K2G4,K2,G4,-0.004822002,1.019529747336783,0.09290391466521636,0.9548743782035166,0.9707934386088053,1.1909398868755685,40
development,C11,K3G0,K3,G0,-0.002624634,0.9806126515550624,0.023294369206989074,0.9411969069421762,0.9809204387047912,1.0156977783381091,40
development,C11,K3G1,K3,G1,-0.00457785,1.005058244586913,0.08454213576737075,0.9426892523377447,0.9674574556382846,1.1706507304116867,40
development,C11,K3G2,K3,G2,-0.004699925999999999,1.012677820906341,0.07227745563336062,0.9607502396693121,0.9859052794025536,1.1815930542683906,40
development,C11,K3G3,K3,G3,-0.004822002,1.0384598876047,0.09823067150952634,0.9478294096004193,0.9790140805012393,1.1863213478439658,40
development,C11,K3G4,K3,G4,-0.004699925999999999,1.0101746645605842,0.08792073418879645,0.9443589126047973,0.9656761553290409,1.1743682746947164,40
development,C11,K4G0,K4,G0,-0.00274671,0.985619630932242,0.01904594850093644,0.9529305760462771,0.9878586346869855,1.0189408577314256,40
development,C11,K4G1,K4,G1,-0.004699925999999999,1.0684453279078254,0.09728901694099225,0.962299006193955,1.056337378865706,1.1902682800514843,40
development,C11,K4G2,K4,G2,-0.004699925999999999,0.9825457888787078,0.03613954057700039,0.9556132014843329,0.973771667068457,1.0097325178002245,40
development,C11,K4G3,K4,G3,-0.004944077999999999,0.9870123185321349,0.030230321589248193,0.9611871614956542,0.9844072206992165,1.0104736873125915,40
development,C11,K4G4,K4,G4,-0.004822002,1.0641656755488043,0.0968946274056337,0.9595303708848948,1.0009065634933831,1.1952986541232469,40
development,C11,K5G0,K5,G0,-0.002624634,0.9783159541111166,0.021605378978437048,0.9408860902159337,0.9787451232806188,1.0124426996241624,40
development,C11,K5G1,K5,G1,-0.00457785,1.0373698446327317,0.09608448111648532,0.9506858277777807,0.9798681571681407,1.1799641515207135,40
development,C11,K5G2,K5,G2,-0.004699925999999999,1.005739650941562,0.06490222155945205,0.9602577058899012,0.9819937814072544,1.1648612183751896,40
development,C11,K5G3,K5,G3,-0.004822002,1.0110142956503938,0.0815884576645226,0.9516466073287543,0.9791255786926018,1.1817326353032014,40
development,C11,K5G4,K5,G4,-0.004699925999999999,1.026029109007069,0.09209803262932134,0.9481123472823656,0.9754475930047499,1.1809970626665325,40
development,C11,K6G0,K6,G0,-0.00274671,0.990086832989902,0.025728909370178365,0.956665559752168,0.9904994946212529,1.0362292031078626,40
development,C11,K6G1,K6,G1,-0.004699925999999999,1.0318353742166642,0.09157687355706023,0.9613118827701268,0.982224938293667,1.192533517271479,40
development,C11,K6G2,K6,G2,-0.00457785,1.0212867453781926,0.08325835113791191,0.9532065151682411,0.9809046714752385,1.189167486337986,40
development,C11,K6G3,K6,G3,-0.004791482999999999,1.035612980769231,0.0992425295996444,0.9527403846153846,0.9777644230769231,1.2039663461538463,40
development,C11,K6G4,K6,G4,-0.004822002,1.005121108543296,0.06877332619191337,0.957737155723284,0.9822336475726694,1.1770204240103668,40
development,C11,K7G0,K7,G0,-0.002624634,0.9854675813431172,0.022273263958045995,0.9548654992484534,0.9847826078078022,1.013847828557903,40
development,C11,K7G1,K7,G1,-0.00457785,1.0161743054854027,0.08517699281204388,0.9437486043730429,0.9729987207841747,1.1664088931851135,40
development,C11,K7G2,K7,G2,-0.004516811999999999,1.0089963942307691,0.07744173578892635,0.9496634615384615,0.9711538461538461,1.1678846153846152,40
development,C11,K7G3,K7,G3,-0.004822002,1.0038619861123625,0.07025851261994705,0.9542589189704499,0.9821646910604409,1.2000022693252075,40
development,C11,K7G4,K7,G4,-0.004699925999999999,1.0304345063998306,0.09034011236504282,0.9515816555658202,0.9741447521137563,1.175271931029014,40
development,C11,K8G0,K8,G0,-0.0025025579999999998,0.9804944498968385,0.020978771529546685,0.9471758049029565,0.9780677794342905,1.0136295925674954,40
development,C11,K8G1,K8,G1,-0.00457785,0.9672071737124055,0.011797457480081484,0.948149958348211,0.9684235982895064,0.987206142909412,40
development,C11,K8G2,K8,G2,-0.00457785,1.051771179322492,0.09624391367881222,0.9553134250510545,0.9931087547379212,1.1994903013454883,40
development,C11,K8G3,K8,G3,-0.004822002,1.0778393933450472,0.10683599813457699,0.9542242605063387,1.1435297249678227,1.1996471229458476,40
development,C11,K8G4,K8,G4,-0.004699925999999999,0.9751145771431062,0.05219580700283711,0.9410030092037108,0.9624919021986889,1.0065251200129084,40
holdout,C00,K0G0,K0,G0,-0.00274671,1.0235358367782257,0.03230760784083521,0.9715867028147492,1.0261520924930794,1.07248248577301,40
holdout,C00,K0G1,K0,G1,-0.004699925999999999,1.0195884715747336,0.033035732248583555,0.9883268410612767,1.0162723312185908,1.0607540904492965,40
holdout,C00,K0G2,K0,G2,-0.004699925999999999,1.0864700246170091,0.09524078242442671,0.9965680272039126,1.0403577681429788,1.2244198518316904,40
holdout,C00,K0G3,K0,G3,-0.004944077999999999,1.1341787935259635,0.10584184269117372,0.9979982755780715,1.1885000957632992,1.2514789837783993,40
holdout,C00,K0G4,K0,G4,-0.004822002,1.0179003105809525,0.04411727796514851,0.9885038572416078,1.0075536634213806,1.0462024114037045,40
holdout,C00,K1G0,K1,G0,-0.00274671,1.0362968018706646,0.028011058037936295,0.9969537344602198,1.0310957184475706,1.089967878094726,40
holdout,C00,K1G1,K1,G1,-0.004699925999999999,1.0688902945059506,0.09335048271913701,0.9946873300649722,1.0274226168514458,1.2592901244402395,40
holdout,C00,K1G2,K1,G2,-0.004699925999999999,1.0936422927119347,0.10005851711365256,1.0046249880657518,1.0310330976635633,1.2486866095220088,40
holdout,C00,K1G3,K1,G3,-0.004822002,1.067727835460881,0.09966857536509162,0.9751713745504006,1.0233879993068302,1.243697926696334,40
holdout,C00,K1G4,K1,G4,-0.004822002,1.0367465185320281,0.06180838807421451,0.9894507710873743,1.0180608245706797,1.2074807147970978,40
holdout,C00,K2G0,K2,G0,-0.002624634,1.0197641660090615,0.0236356972010035,0.9836190651590877,1.0195020415340603,1.0591437712874476,40
holdout,C00,K2G1,K2,G1,-0.004699925999999999,1.0719032096355465,0.08816859837968939,0.9976630953548351,1.03210980122107,1.2305857423703612,40
holdout,C00,K2G2,K2,G2,-0.00457785,1.0674279624300316,0.08737627120822775,0.9894115208189601,1.0232164449818621,1.2280286017566984,40
holdout,C00,K2G3,K2,G3,-0.004822002,1.0754895588118374,0.09785298368305077,0.9860545602472107,1.0202527383669022,1.2255713507627182,40
holdout,C00,K2G4,K2,G4,-0.004822002,1.0453127596382863,0.06519517602810243,0.9979496399371907,1.0253277583953444,1.210232134314511,40
holdout,C00,K3G0,K3,G0,-0.002624634,1.0076793822853467,0.026043909300227326,0.9678112776179143,1.0087545446237036,1.0446575448428856,40
