repetition,source_child,start,reverse,passed_all,u_cosine,v_cosine,u_sign_retention,v_sign_retention,bit_u_balanced_accuracy,bit_v_balanced_accuracy,four_child_balanced_accuracy
34,C01,14,1,0,0.40524864719541115,0.036617211652113325,0.6888888888888889,0.4444444444444444,0.575,0.525,0.35
35,C11,9,1,0,0.023149678780466747,0.30891047206947264,0.4888888888888889,0.4666666666666667,0.45,0.375,0.25
36,C01,76,0,0,0.010078451487450416,0.03661721165211305,0.5111111111111111,0.5555555555555556,0.475,0.475,0.275
37,C01,25,0,0,0.3303754597346554,0.05775063185537123,0.6222222222222222,0.4888888888888889,0.575,0.55,0.325
38,C00,20,1,0,0.16961270776481246,0.1964725604339083,0.6222222222222222,0.5333333333333333,0.55,0.6,0.425
39,C11,55,1,0,0.020010750433260782,0.31053716760635464,0.4444444444444444,0.6444444444444445,0.475,0.55,0.225
40,C01,2,1,0,0.2872903511679326,0.10958709807578401,0.6,0.5777777777777777,0.575,0.45,0.25
41,C10,18,1,0,0.22770815047625778,0.11601539191278991,0.5333333333333333,0.4888888888888889,0.55,0.5,0.325
42,C10,54,0,0,0.16847250833748217,0.1891239649955981,0.5111111111111111,0.4666666666666667,0.55,0.6,0.325
43,C10,44,0,0,0.0580081039425468,0.189123964995598,0.4666666666666667,0.5333333333333333,0.475,0.4,0.125
44,C00,5,1,0,0.11885982005352944,0.35880915619799886,0.4888888888888889,0.5111111111111111,0.525,0.45,0.175
45,C01,2,0,0,0.2947813004130511,0.17911910694727853,0.5333333333333333,0.5111111111111111,0.575,0.425,0.225
46,C11,50,0,0,0.034734954127142656,0.27477320490368295,0.6222222222222222,0.4888888888888889,0.45,0.425,0.2
47,C10,0,0,0,0.2010011868456732,0.07419476303848505,0.5555555555555556,0.5111111111111111,0.525,0.475,0.3
48,C00,60,1,0,0.16961270776481172,0.1964725604339083,0.6222222222222222,0.5333333333333333,0.55,0.6,0.425
49,C11,51,1,0,0.10935849205104611,0.033430132544980576,0.6222222222222222,0.4666666666666667,0.55,0.475,0.275
50,C01,43,1,0,0.07490374570912435,0.12990894548943058,0.4666666666666667,0.5333333333333333,0.575,0.375,0.225
51,C00,76,0,0,0.04755127224265252,0.3206086389939536,0.5111111111111111,0.5333333333333333,0.45,0.5,0.175
52,C01,75,1,0,0.1398909579155488,0.05775063185537256,0.5777777777777777,0.4888888888888889,0.575,0.525,0.3
53,C00,35,1,0,0.07064010678716987,0.358809156197999,0.4888888888888889,0.4888888888888889,0.5,0.5,0.275
54,C11,21,0,0,0.35898719908211224,0.3089104720694706,0.6444444444444445,0.5333333333333333,0.625,0.625,0.35
55,C01,27,0,0,0.38654432586029,0.12990894548943277,0.6666666666666666,0.4666666666666667,0.6,0.625,0.375
56,C11,20,1,0,0.019304978993135404,0.2747732049036814,0.4444444444444444,0.5111111111111111,0.55,0.575,0.325
57,C11,8,1,0,0.050548680834879754,0.43957310373646535,0.35555555555555557,0.4666666666666667,0.525,0.425,0.275
58,C01,37,0,0,0.07490374570912255,0.12990894548943271,0.4666666666666667,0.5333333333333333,0.5,0.45,0.225
59,C11,40,0,0,0.2500335860715089,0.2747732049036829,0.6,0.5111111111111111,0.625,0.6,0.25
60,C10,78,0,0,0.13241566067095928,0.002536359701067425,0.6,0.5111111111111111,0.575,0.475,0.3
61,C01,63,0,0,0.29156076525501107,0.3331329180585939,0.6888888888888889,0.5333333333333333,0.55,0.425,0.25
62,C01,39,1,0,0.30903303359421636,0.13902647467593238,0.6222222222222222,0.4888888888888889,0.7,0.5,0.35
63,C11,34,0,0,0.018866487117948763,0.3507006469560149,0.5333333333333333,0.37777777777777777,0.375,0.45,0.225
64,C00,76,1,0,0.17920294578639634,0.35860413406125413,0.5555555555555556,0.5333333333333333,0.45,0.625,0.325
65,C00,16,1,0,0.13148610710450492,0.35860413406125413,0.35555555555555557,0.5333333333333333,0.575,0.625,0.425
66,C11,36,0,0,0.11169972116540114,0.019848919331103505,0.6666666666666666,0.4666666666666667,0.475,0.5,0.3
67,C00,56,0,0,0.049147272653799715,0.3206086389939538,0.35555555555555557,0.5333333333333333,0.525,0.5,0.275
68,C10,60,1,0,0.14129838662631247,0.0741947630384836,0.5333333333333333,0.5111111111111111,0.55,0.525,0.325
69,C10,34,0,0,0.05391543471333358,0.1891239649955985,0.5555555555555556,0.4666666666666667,0.5,0.6,0.325
70,C10,33,1,0,0.2216977196974617,0.10238073217523384,0.6444444444444445,0.5333333333333333,0.6,0.475,0.3
71,C10,2,1,0,0.13241566067095842,0.002536359701065891,0.6,0.5111111111111111,0.475,0.475,0.225
72,C10,72,1,0,0.1557464796225837,0.0025363597010657265,0.5777777777777777,0.4888888888888889,0.45,0.525,0.25
73,C01,17,1,0,0.29156076525501057,0.3331329180585932,0.6888888888888889,0.5333333333333333,0.55,0.35,0.25
74,C01,30,0,0,0.28582203776630283,0.3071595581406747,0.4888888888888889,0.4666666666666667,0.575,0.575,0.35
75,C11,25,0,0,0.02001075043326158,0.3105371676063559,0.4444444444444444,0.6444444444444445,0.525,0.575,0.275
76,C00,67,0,0,0.0015384643089592811,0.06209288271453821,0.5777777777777777,0.5555555555555556,0.4,0.6,0.3
77,C11,53,0,0,0.217303599816045,0.4611411166829241,0.5111111111111111,0.3111111111111111,0.425,0.325,0.125
78,C10,38,1,0,0.1391731474803279,0.1160153919127898,0.4666666666666667,0.4888888888888889,0.575,0.5,0.275
79,C01,10,0,0,0.11403423838703072,0.30715955814067447,0.4888888888888889,0.4666666666666667,0.475,0.575,0.325
80,C11,71,1,0,0.023114185874133525,0.03343013254498052,0.5555555555555556,0.4666666666666667,0.55,0.475,0.15
81,C10,39,1,0,0.09691210363062136,0.15378192040113084,0.5333333333333333,0.5555555555555556,0.5,0.5,0.275
82,C01,39,1,0,0.30903303359421636,0.13902647467593238,0.6222222222222222,0.4888888888888889,0.7,0.5,0.35
83,C00,1,0,0,0.04402960928700612,0.20150402156944114,0.4888888888888889,0.4444444444444444,0.575,0.525,0.3
84,C11,22,1,0,0.038895578649221725,0.08460680723082185,0.5777777777777777,0.6444444444444445,0.45,0.55,0.25
85,C00,44,1,0,0.04755127224265625,0.3206086389939536,0.5111111111111111,0.5333333333333333,0.525,0.425,0.125
86,C11,73,0,0,0.026929392382863446,0.46114111668292396,0.4444444444444444,0.3111111111111111,0.475,0.325,0.2
87,C11,53,1,0,0.15607118958669627,0.23646917654709576,0.5333333333333333,0.4,0.575,0.5,0.375
88,C01,40,0,0,0.3620296241750987,0.3071595581406747,0.6444444444444445,0.5333333333333333,0.575,0.45,0.275
89,C11,77,0,0,0.17078352389353724,0.23646917654709773,0.5555555555555556,0.6,0.525,0.5,0.275
90,C00,58,1,0,0.010080192098571014,0.4615252320182903,0.4666666666666667,0.5777777777777777,0.525,0.6,0.425
91,C11,31,1,0,0.023114185874133508,0.033430132544980444,0.5555555555555556,0.4666666666666667,0.55,0.475,0.15
92,C10,73,1,0,0.22169771969746163,0.1023807321752337,0.6444444444444445,0.5333333333333333,0.6,0.475,0.3
93,C00,50,0,0,0.2316019371151145,0.19647256043390882,0.4666666666666667,0.4666666666666667,0.55,0.4,0.225
94,C01,78,0,0,0.2872903511679339,0.10958709807578536,0.6,0.5777777777777777,0.525,0.475,0.225
95,C01,44,0,0,0.1078871132955414,0.136726137034564,0.4888888888888889,0.5111111111111111,0.55,0.525,0.3
96,C10,66,0,0,0.4534290476393667,0.005699386516943052,0.5555555555555556,0.5111111111111111,0.625,0.525,0.275
97,C01,19,0,0,0.05980977232775809,0.1799527990409753,0.5777777777777777,0.5555555555555556,0.5,0.425,0.225
98,C01,40,0,0,0.3620296241750987,0.3071595581406747,0.6444444444444445,0.5333333333333333,0.575,0.45,0.275
99,C01,71,0,0,0.33210454203378814,0.13902647467593285,0.5555555555555556,0.5111111111111111,0.575,0.5,0.3
100,C01,31,0,0,0.3321045420337879,0.13902647467593296,0.5555555555555556,0.5111111111111111,0.575,0.5,0.3
101,C00,57,1,0,0.18897235486933484,0.5389656908464694,0.4,0.6,0.6,0.6,0.35
102,C11,62,0,0,0.18599654697776413,0.43957310373646236,0.7111111111111111,0.5333333333333333,0.5,0.575,0.275
103,C01,76,0,0,0.010078451487450416,0.03661721165211305,0.5111111111111111,0.5555555555555556,0.475,0.475,0.275
104,C01,11,0,0,0.0842320312507757,0.13902647467593285,0.4888888888888889,0.5111111111111111,0.55,0.5,0.325
105,C11,79,0,0,0.1446064622599224,0.03343013254497948,0.5111111111111111,0.5333333333333333,0.6,0.525,0.225
106,C10,60,0,0,0.14129838662631442,0.07419476303848534,0.5333333333333333,0.5111111111111111,0.525,0.475,0.225
107,C10,22,0,0,0.22770815047625725,0.11601539191279046,0.5333333333333333,0.4888888888888889,0.65,0.475,0.275
108,C01,27,0,0,0.38654432586029,0.12990894548943277,0.6666666666666666,0.4666666666666667,0.6,0.625,0.375
109,C01,23,0,0,0.2915607652550108,0.33313291805859385,0.6888888888888889,0.5333333333333333,0.55,0.425,0.25
110,C01,31,1,0,0.045729630964834365,0.17995279904097805,0.4444444444444444,0.4444444444444444,0.55,0.575,0.225
111,C11,44,0,0,0.20454238991715998,0.35070064695601477,0.6444444444444445,0.6222222222222222,0.65,0.6,0.3
112,C01,41,1,0,0.26932885062654993,0.1799527990409778,0.6222222222222222,0.5555555555555556,0.575,0.525,0.325
113,C11,75,0,0,0.14015028926518938,0.310537167606356,0.5777777777777777,0.35555555555555557,0.525,0.45,0.325
114,C01,59,1,0,0.31057133404961657,0.13902647467593235,0.6666666666666666,0.4888888888888889,0.575,0.5,0.3
115,C00,34,0,0,0.08382375517920129,0.3586041340612548,0.35555555555555557,0.4666666666666667,0.425,0.375,0.15
116,C11,54,1,0,0.05810472297702898,0.01984891933110563,0.5333333333333333,0.5333333333333333,0.525,0.5,0.25
117,C10,57,0,0,0.21428913562929688,0.10238073217523516,0.5333333333333333,0.4666666666666667,0.6,0.525,0.3
118,C11,42,1,0,0.20812916839122225,0.08460680723082166,0.5555555555555556,0.6444444444444445,0.65,0.55,0.425
119,C01,74,1,0,0.19327685957808835,0.03661721165211319,0.5111111111111111,0.4444444444444444,0.6,0.525,0.375
120,C00,77,1,0,0.05431349679189975,0.5389656908464694,0.4444444444444444,0.6,0.525,0.6,0.35
121,C11,28,1,0,0.11169640163710289,0.43957310373646497,0.4666666666666667,0.4666666666666667,0.45,0.425,0.175
122,C01,63,0,0,0.29156076525501107,0.3331329180585939,0.6888888888888889,0.5333333333333333,0.55,0.425,0.25
123,C00,33,1,0,0.03939335759997602,0.062092882714539874,0.5333333333333333,0.5555555555555556,0.5,0.475,0.225
124,C00,53,0,0,0.01290169417877269,0.5389656908464684,0.4444444444444444,0.4,0.475,0.4,0.225
125,C01,62,0,0,0.2123075876122542,0.1791191069472787,0.6666666666666666,0.5111111111111111,0.5,0.425,0.25
126,C10,23,1,0,0.21428913562929866,0.10238073217523401,0.5333333333333333,0.4666666666666667,0.575,0.5,0.25
127,C00,33,1,0,0.03939335759997602,0.062092882714539874,0.5333333333333333,0.5555555555555556,0.5,0.475,0.225
128,C00,66,1,0,0.20359609055937503,0.35860413406125413,0.4444444444444444,0.4666666666666667,0.55,0.375,0.35
129,C00,6,0,0,0.01731093852961108,0.3206086389939537,0.4666666666666667,0.4666666666666667,0.475,0.575,0.25
130,C01,36,1,0,0.10788711329554257,0.13672613703456069,0.4888888888888889,0.5111111111111111,0.6,0.4,0.25
131,C00,26,0,0,0.14551956421207923,0.3206086389939536,0.5111111111111111,0.4666666666666667,0.5,0.575,0.325
132,C01,49,0,0,0.04572963096483556,0.17995279904097533,0.4444444444444444,0.4444444444444444,0.575,0.475,0.275
133,C10,32,1,0,0.1557464796225837,0.0025363597010659034,0.5777777777777777,0.4888888888888889,0.45,0.525,0.25
134,C01,72,0,0,0.365710918395085,0.17911910694727862,0.6666666666666666,0.4888888888888889,0.625,0.6,0.3
135,C01,28,0,0,0.45724918420806054,0.10958709807578548,0.5777777777777777,0.4222222222222222,0.575,0.55,0.325
136,C01,48,1,0,0.36571091839508696,0.17911910694727923,0.6666666666666666,0.4888888888888889,0.525,0.575,0.325
137,C11,33,1,0,0.1462837823089392,0.23646917654709612,0.6222222222222222,0.4,0.625,0.5,0.25
138,C00,57,0,0,0.09031034849577134,0.06209288271453821,0.5333333333333333,0.4444444444444444,0.55,0.525,0.25
139,C10,34,1,0,0.19558591720716068,0.005699386516945289,0.4888888888888889,0.5111111111111111,0.575,0.5,0.325
140,C11,8,1,0,0.050548680834879754,0.43957310373646535,0.35555555555555557,0.4666666666666667,0.525,0.425,0.275
141,C10,42,1,0,0.13241566067095875,0.0025363597010659607,0.6,0.5111111111111111,0.475,0.475,0.225
142,C11,70,0,0,0.07088296649860128,0.2747732049036831,0.4888888888888889,0.4888888888888889,0.5,0.425,0.25
143,C10,40,1,0,0.20100118684567106,0.07419476303848363,0.5555555555555556,0.5111111111111111,0.5,0.525,0.25
144,C11,35,0,0,0.14015028926518905,0.31053716760635575,0.5777777777777777,0.35555555555555557,0.525,0.45,0.325
145,C11,61,0,0,0.35898719908211146,0.3089104720694709,0.6444444444444445,0.5333333333333333,0.625,0.625,0.35
146,C01,75,0,0,0.11633351165832148,0.05775063185537111,0.6,0.5111111111111111,0.5,0.475,0.15
147,C11,19,1,0,0.3589871990821114,0.3089104720694724,0.6444444444444445,0.5333333333333333,0.575,0.575,0.325
148,C00,41,1,0,0.1962771445722456,0.21007915430855528,0.4444444444444444,0.4888888888888889,0.525,0.525,0.25
149,C11,15,1,0,0.020010750433260838,0.31053716760635475,0.4444444444444444,0.6444444444444445,0.475,0.55,0.225
150,C00,22,0,0,0.010080192098572738,0.4615252320182891,0.4666666666666667,0.5777777777777777,0.375,0.65,0.25
151,C01,29,1,0,0.0842320312507762,0.13902647467593246,0.4888888888888889,0.5111111111111111,0.525,0.525,0.275
152,C11,12,0,0,0.11169640163710183,0.4395731037364623,0.4666666666666667,0.4666666666666667,0.5,0.325,0.2
153,C10,30,0,0,0.34135956456061256,0.07419476303848528,0.6222222222222222,0.4888888888888889,0.55,0.475,0.275
154,C00,41,0,0,0.044029609287005195,0.2015040215694411,0.4888888888888889,0.4444444444444444,0.575,0.525,0.3
155,C11,72,1,0,0.10586692050015276,0.08460680723082206,0.5333333333333333,0.35555555555555557,0.525,0.525,0.25
156,C11,67,0,0,0.15607118958669672,0.23646917654709754,0.5333333333333333,0.4,0.575,0.375,0.175
157,C10,47,1,0,0.04647183604267588,0.0482091219857508,0.5333333333333333,0.4444444444444444,0.5,0.5,0.275
158,C01,71,1,0,0.04572963096483485,0.17995279904097816,0.4444444444444444,0.4444444444444444,0.55,0.575,0.225
159,C00,30,0,0,0.4262419846539805,0.19647256043390882,0.4444444444444444,0.4666666666666667,0.4,0.4,0.2
160,C10,14,1,0,0.45342904763936653,0.00569938651694542,0.5555555555555556,0.5111111111111111,0.675,0.5,0.35
161,C11,7,0,0,0.14628378230893838,0.23646917654709737,0.6222222222222222,0.4,0.625,0.375,0.2
162,C01,65,0,0,0.33037545973465554,0.05775063185537133,0.6222222222222222,0.4888888888888889,0.575,0.55,0.325
163,C00,19,1,0,0.12775402433848213,0.20150402156943817,0.4666666666666667,0.4444444444444444,0.575,0.575,0.4
164,C11,69,0,0,0.1093584920510458,0.03343013254497938,0.6222222222222222,0.4666666666666667,0.55,0.45,0.225
165,C00,65,0,0,0.24898580919475205,0.3588091561979991,0.5333333333333333,0.4888888888888889,0.475,0.55,0.275
166,C01,7,1,0,0.40052052677212546,0.3331329180585931,0.6888888888888889,0.4666666666666667,0.625,0.575,0.35
167,C01,18,1,0,0.212307587612256,0.17911910694727917,0.6666666666666666,0.5111111111111111,0.575,0.4,0.275
168,C11,37,1,0,0.019644585830856712,0.4611411166829257,0.5333333333333333,0.6888888888888889,0.525,0.675,0.35
169,C11,57,0,0,0.11515011370873346,0.23646917654709723,0.5333333333333333,0.6,0.575,0.5,0.3
170,C00,42,0,0,0.010844930501629761,0.4615252320182892,0.4444444444444444,0.5777777777777777,0.575,0.65,0.4
171,C11,54,1,0,0.05810472297702898,0.01984891933110563,0.5333333333333333,0.5333333333333333,0.525,0.5,0.25
172,C01,26,0,0,0.4052486471954131,0.03661721165211281,0.6888888888888889,0.4444444444444444,0.575,0.525,0.325
173,C11,65,1,0,0.25979890418997015,0.3105371676063545,0.4222222222222222,0.35555555555555557,0.475,0.425,0.15
174,C01,12,0,0,0.006089112619757896,0.17911910694727853,0.4222222222222222,0.4888888888888889,0.6,0.6,0.4
175,C10,49,1,0,0.17738341673976843,0.15378192040113073,0.6,0.4444444444444444,0.55,0.5,0.275
176,C01,65,1,0,0.017997818894065258,0.05775063185537254,0.4444444444444444,0.5111111111111111,0.525,0.45,0.25
177,C10,36,0,0,0.05290966221412582,0.005699386516943274,0.6,0.4888888888888889,0.475,0.5,0.225
178,C00,41,1,0,0.1962771445722456,0.21007915430855528,0.4444444444444444,0.4888888888888889,0.525,0.525,0.25
179,C10,70,0,0,0.3413595645606123,0.07419476303848523,0.6222222222222222,0.4888888888888889,0.55,0.475,0.275
180,C01,61,1,0,0.05980977232775825,0.17995279904097808,0.5777777777777777,0.5555555555555556,0.5,0.525,0.3
181,C00,71,0,0,0.402828941309802,0.20150402156944114,0.35555555555555557,0.5555555555555556,0.425,0.425,0.175
182,C10,0,0,0,0.2010011868456732,0.07419476303848505,0.5555555555555556,0.5111111111111111,0.525,0.475,0.3
183,C00,26,0,0,0.14551956421207923,0.3206086389939536,0.5111111111111111,0.4666666666666667,0.5,0.575,0.325
184,C01,40,0,0,0.3620296241750987,0.3071595581406747,0.6444444444444445,0.5333333333333333,0.575,0.45,0.275
185,C00,29,0,0,0.3199400999638604,0.2100791543085539,0.4444444444444444,0.5111111111111111,0.4,0.475,0.175
186,C10,46,1,0,0.05391543471333541,0.18912396499559833,0.5555555555555556,0.4666666666666667,0.475,0.6,0.275
187,C10,65,0,0,0.27836543159868715,0.07663862966662846,0.5777777777777777,0.6,0.6,0.425,0.225
188,C11,22,1,0,0.038895578649221725,0.08460680723082185,0.5777777777777777,0.6444444444444445,0.45,0.55,0.25
189,C11,38,1,0,0.14563902238560125,0.43957310373646535,0.5333333333333333,0.5333333333333333,0.35,0.675,0.275
190,C10,56,1,0,0.15510599947835252,0.1891239649955981,0.5777777777777777,0.5333333333333333,0.7,0.4,0.325
191,C01,33,0,0,0.4005205267721252,0.3331329180585937,0.6888888888888889,0.4666666666666667,0.65,0.65,0.375
192,C00,60,1,0,0.16961270776481172,0.1964725604339083,0.6222222222222222,0.5333333333333333,0.55,0.6,0.425
193,C11,24,0,0,0.1406726480771797,0.35070064695601494,0.4666666666666667,0.6222222222222222,0.475,0.6,0.25
194,C11,27,0,0,0.15607118958669763,0.23646917654709756,0.5333333333333333,0.4,0.575,0.375,0.175
195,C00,55,0,0,0.16033947996400985,0.35880915619799897,0.5555555555555556,0.5111111111111111,0.6,0.5,0.35
196,C10,48,1,0,0.10347976853603537,0.11601539191278983,0.5333333333333333,0.5111111111111111,0.525,0.525,0.3
197,C01,44,0,0,0.1078871132955414,0.136726137034564,0.4888888888888889,0.5111111111111111,0.55,0.525,0.3
198,C11,49,1,0,0.0231496787804668,0.3089104720694725,0.4888888888888889,0.4666666666666667,0.45,0.375,0.25
199,C01,7,1,0,0.40052052677212546,0.3331329180585931,0.6888888888888889,0.4666666666666667,0.625,0.575,0.35
200,C00,36,1,0,0.1792029457863979,0.35860413406125413,0.5555555555555556,0.5333333333333333,0.45,0.625,0.325
201,C00,67,0,0,0.0015384643089592811,0.06209288271453821,0.5777777777777777,0.5555555555555556,0.4,0.6,0.3
202,C01,22,0,0,0.21230758761225357,0.17911910694727853,0.6666666666666666,0.5111111111111111,0.5,0.425,0.25
203,C11,29,0,0,0.10935849205104523,0.03343013254497931,0.6222222222222222,0.4666666666666667,0.55,0.45,0.225
204,C00,55,0,0,0.16033947996400985,0.35880915619799897,0.5555555555555556,0.5111111111111111,0.6,0.5,0.35
205,C11,59,0,0,0.19917085338224175,0.03343013254497954,0.4666666666666667,0.5333333333333333,0.45,0.525,0.275
206,C01,47,0,0,0.1212326264246269,0.1299089454894329,0.4888888888888889,0.4666666666666667,0.475,0.625,0.3
207,C11,29,0,0,0.10935849205104523,0.03343013254497931,0.6222222222222222,0.4666666666666667,0.55,0.45,0.225
208,C10,20,1,0,0.14129838662631164,0.07419476303848341,0.5333333333333333,0.5111111111111111,0.55,0.525,0.325
209,C00,21,0,0,0.12775402433847763,0.2015040215694411,0.4666666666666667,0.4444444444444444,0.5,0.525,0.275
210,C00,18,0,0,0.07479183762009681,0.1406929630829566,0.5333333333333333,0.5111111111111111,0.525,0.525,0.275
211,C10,2,1,0,0.13241566067095842,0.002536359701065891,0.6,0.5111111111111111,0.475,0.475,0.225
212,C00,1,1,0,0.19627714457224577,0.21007915430855528,0.4444444444444444,0.4888888888888889,0.525,0.525,0.25
213,C10,38,0,0,0.13241566067095803,0.00253635970106757,0.6,0.5111111111111111,0.575,0.475,0.3
214,C00,53,1,0,0.0015384643089581202,0.062092882714539874,0.5777777777777777,0.5555555555555556,0.55,0.475,0.3
215,C01,68,1,0,0.0060891126197597355,0.17911910694727926,0.4222222222222222,0.4888888888888889,0.5,0.575,0.35
216,C00,61,0,0,0.12775402433847846,0.20150402156944114,0.4666666666666667,0.4444444444444444,0.5,0.525,0.275
217,C00,10,1,0,0.42624198465397817,0.1964725604339083,0.4444444444444444,0.4666666666666667,0.325,0.45,0.15
218,C00,44,1,0,0.04755127224265625,0.3206086389939536,0.5111111111111111,0.5333333333333333,0.525,0.425,0.125
219,C00,30,0,0,0.4262419846539805,0.19647256043390882,0.4444444444444444,0.4666666666666667,0.4,0.4,0.2
220,C11,32,1,0,0.10586692050015237,0.08460680723082195,0.5333333333333333,0.35555555555555557,0.525,0.525,0.25
221,C01,72,1,0,0.012474390764598239,0.10958709807578405,0.4222222222222222,0.4222222222222222,0.525,0.525,0.25
222,C00,43,0,0,0.054313496791898605,0.5389656908464684,0.4444444444444444,0.6,0.525,0.7,0.4
223,C10,29,1,0,0.15723920571441277,0.15378192040113073,0.4888888888888889,0.4444444444444444,0.45,0.5,0.275
224,C10,47,1,0,0.04647183604267588,0.0482091219857508,0.5333333333333333,0.4444444444444444,0.5,0.5,0.275
225,C10,44,0,0,0.0580081039425468,0.189123964995598,0.4666666666666667,0.5333333333333333,0.475,0.4,0.125
226,C01,51,1,0,0.3242940267499233,0.17995279904097797,0.5111111111111111,0.4444444444444444,0.6,0.575,0.4
227,C10,54,0,0,0.16847250833748217,0.1891239649955981,0.5111111111111111,0.4666666666666667,0.55,0.6,0.325
228,C01,49,0,0,0.04572963096483556,0.17995279904097533,0.4444444444444444,0.4444444444444444,0.575,0.475,0.275
229,C00,37,0,0,0.011855747096950437,0.06209288271453821,0.4666666666666667,0.4444444444444444,0.5,0.525,0.25
230,C11,18,0,0,0.038895578649221586,0.08460680723082138,0.5777777777777777,0.6444444444444445,0.525,0.475,0.275
231,C10,72,0,0,0.1034797685360342,0.11601539191279008,0.5333333333333333,0.5111111111111111,0.5,0.5,0.175
232,C11,45,1,0,0.14015028926518783,0.3105371676063549,0.5777777777777777,0.35555555555555557,0.5,0.425,0.25
233,C11,28,1,0,0.11169640163710289,0.43957310373646497,0.4666666666666667,0.4666666666666667,0.45,0.425,0.175
234,C01,18,0,0,0.17134437354659424,0.10958709807578552,0.5555555555555556,0.5777777777777777,0.525,0.475,0.2
235,C01,42,1,0,0.28729035116793233,0.10958709807578401,0.6,0.5777777777777777,0.575,0.45,0.25
