path_id,group,step_index,source_time_start,source_time_end,heading_start_turns,heading_end_turns,ara_x_start,ara_x_end,absolute_circular_step_turns,step_mean_relative_movement,path_normalized_movement,quadrant_start,quadrant_end,quadrant_transition,large_step_ge_0_125_turn,q52_period
q51_mimic,Q51 cross-archive,12,312.5,337.5,0.041207262,0.961907116,1.23298721,1.221977643,0.07930014600000002,0.002238420783,0.010864148810758912,2,2,0,0,not_applicable
q51_mimic,Q51 cross-archive,13,337.5,362.5,0.961907116,0.86515257,1.221977643,1.226001867,0.096754546,0.0025541076705,0.012396331387624,2,1,1,0,not_applicable
q51_mimic,Q51 cross-archive,14,362.5,387.5,0.86515257,0.16012176,1.226001867,1.203764518,0.29496919,0.0021436814955,0.010404332798755208,1,3,1,1,not_applicable
q51_mimic,Q51 cross-archive,15,387.5,412.5,0.16012176,0.861416574,1.203764518,1.1834835,0.29870518599999984,0.0022271366195,0.010809381256597523,3,1,1,1,not_applicable
q51_mimic,Q51 cross-archive,16,412.5,437.5,0.861416574,0.159658474,1.1834835,1.214008778,0.29824189999999995,0.0022091343954999997,0.01072200767521105,1,3,1,1,not_applicable
q51_mimic,Q51 cross-archive,17,437.5,462.5,0.159658474,0.859590446,1.214008778,1.130575388,0.3000680280000001,0.0028196840674999998,0.01368530329118463,3,1,1,1,not_applicable
q51_mimic,Q51 cross-archive,18,462.5,487.5,0.859590446,0.190626351,1.130575388,1.321219927,0.331035905,0.0043617935325,0.02116991335086518,1,3,1,1,not_applicable
q52_fixed_A,Q52 continuation,0,25.0,75.0,0.499663599,0.465953999,0.393278634,0.416241341,0.033709600000000006,0.089711226783,1.0,0,0,0,0,historical
q52_fixed_A,Q52 continuation,1,75.0,125.0,0.465953999,0.452189753,0.416241341,0.599714305,0.01376424599999998,0.02188408041,0.24393915003453018,0,0,0,0,historical
q52_fixed_A,Q52 continuation,2,125.0,175.0,0.452189753,0.000830461,0.599714305,1.995093208,0.451359292,0.0016702312690000001,0.018617862322182665,0,2,1,1,historical
q52_fixed_A,Q52 continuation,3,175.0,225.0,0.000830461,0.000954503,1.995093208,1.994077991,0.0001240420000000464,0.00027977617649999997,0.003118630594326202,2,2,0,0,historical
q52_fixed_A,Q52 continuation,4,225.0,275.0,0.000954503,0.004219008,1.994077991,1.992022549,0.003264504999999973,0.0002658294245,0.00296316786686027,2,2,0,0,historical
q52_fixed_A,Q52 continuation,5,275.0,325.0,0.004219008,0.001613813,1.992022549,1.993890949,0.0026051950000000046,0.0002599864925,0.00289803742321877,2,2,0,0,historical
q52_fixed_A,Q52 continuation,6,325.0,375.0,0.001613813,0.002365697,1.993890949,1.993288734,0.000751884000000036,0.000240680641,0.002682837473420977,2,2,0,0,historical
q52_fixed_A,Q52 continuation,7,375.0,425.0,0.002365697,0.00318402,1.993288734,1.992472939,0.0008183229999999542,0.00022877822499999998,0.002550162707655144,2,2,0,0,historical
q52_fixed_A,Q52 continuation,8,425.0,475.0,0.00318402,0.992449295,1.992472939,1.684343506,0.010734724999999834,0.0289081426,0.3222355064871101,2,2,0,0,historical
q52_fixed_A,Q52 continuation,9,475.0,525.0,0.992449295,0.002802051,1.684343506,1.423155491,0.010352755999999963,0.0403070030605,0.4492972006502318,2,2,0,0,continuation
q52_fixed_A,Q52 continuation,10,525.0,575.0,0.002802051,0.976605396,1.423155491,1.994727054,0.026196655000000124,0.0115139139395,0.12834418112853016,2,2,0,0,continuation
q52_fixed_A,Q52 continuation,11,575.0,625.0,0.976605396,0.972012844,1.994727054,1.99130058,0.004592551999999972,0.0,0.0,2,2,0,0,continuation
q52_fixed_A,Q52 continuation,12,625.0,725.0,0.972012844,0.033820837,1.99130058,1.967218645,0.06180799300000006,5e-13,5.5734384416505205e-12,2,2,0,0,continuation
q52_fixed_A,Q52 continuation,13,725.0,975.0,0.033820837,0.931773907,1.967218645,1.924168975,0.1020469300000002,1e-12,1.1146876883301041e-11,2,2,0,0,continuation
q52_fixed_A,Q52 continuation,14,975.0,1025.0,0.931773907,0.980194762,1.924168975,1.996777849,0.04842085500000004,5e-13,5.5734384416505205e-12,2,2,0,0,continuation
q52_fixed_A,Q52 continuation,15,1025.0,1125.0,0.980194762,0.941554859,1.996777849,1.948297799,0.038639902999999975,1.5e-12,1.6720315324951563e-11,2,2,0,0,continuation
q52_fixed_A,Q52 continuation,16,1125.0,1175.0,0.941554859,0.030052233,1.948297799,1.972960065,0.08849737400000002,1.5e-12,1.6720315324951563e-11,2,2,0,0,continuation
q52_fixed_A,Q52 continuation,17,1175.0,1225.0,0.030052233,0.088059472,1.972960065,1.826717496,0.058007239000000044,1e-12,1.1146876883301041e-11,2,2,0,0,continuation
q52_fixed_A,Q52 continuation,18,1225.0,1275.0,0.088059472,0.152475334,1.826717496,1.538378102,0.06441586199999993,1e-12,1.1146876883301041e-11,2,3,1,0,continuation
q52_fixed_A,Q52 continuation,19,1275.0,1325.0,0.152475334,0.083165042,1.538378102,1.746081165,0.069310292,0.0,0.0,3,2,1,0,continuation
q52_fixed_A,Q52 continuation,20,1325.0,1425.0,0.083165042,0.094347162,1.746081165,1.803851037,0.011182119999999962,1e-12,1.1146876883301041e-11,2,2,0,0,continuation
q52_fixed_A,Q52 continuation,21,1425.0,1475.0,0.094347162,0.074391166,1.803851037,1.857860088,0.019955995999999976,2.5000000000000003e-12,2.7867192208252607e-11,2,2,0,0,continuation
