condition,state,wait_index,wait_us,visible_u,parent_transverse_radius,previous_v,following_v,actual_hidden_v,inferred_magnitude,temporal_direction_lock,ara_information3_fill,zero_fill,time_only_fill,positive_branch_only_fill,ara_abs_error,zero_abs_error,time_only_abs_error,positive_branch_abs_error,ara_sign_correct,magnitude_within_parent
Ramsey,Phi-minus,2,8.02,0.5360883596522966,0.7986802641712301,-0.7756958347673368,0.42952106350259445,0.5916201993772001,0.592029927471522,-0.1730873856323712,-0.592029927471522,0.0,-0.1730873856323712,0.592029927471522,1.1836501268487223,0.5916201993772001,0.7647075850095713,0.00040972809432193724,False,True
Ramsey,Phi-minus,3,12.02,-0.4772499578016137,0.6406665536727252,0.5916201993772001,-0.3913146235428452,0.42952106350259445,0.4274179579442642,0.10015278791717747,0.4274179579442642,0.0,0.10015278791717747,0.4274179579442642,0.002103105558330265,0.42952106350259445,0.329368275585417,0.002103105558330265,True,True
Ramsey,Phi-minus,4,16.02,-0.1758390102537472,0.427941449772965,0.42952106350259445,-0.11559371709846178,-0.3913146235428452,0.39014680173848626,0.15696367320206633,0.39014680173848626,0.0,0.15696367320206633,0.39014680173848626,0.7814614252813314,0.3913146235428452,0.5482782967449116,0.7814614252813314,False,True
Ramsey,Phi-minus,5,20.02,0.2777332132122941,0.299397239492299,-0.3913146235428452,0.1291995172983959,-0.11559371709846178,0.11181667717466584,-0.13105755312222464,-0.11181667717466584,0.0,-0.13105755312222464,0.11181667717466584,0.0037770399237959384,0.11559371709846178,0.015463836023762861,0.22741039427312762,True,True
Ramsey,Phi-minus,6,24.02,0.09307632695459904,0.1642891685125718,-0.11559371709846178,0.030725749501678112,0.1291995172983959,0.13537994035747244,-0.04243398379839183,-0.13537994035747244,0.0,-0.04243398379839183,0.13537994035747244,0.2645794576558683,0.1291995172983959,0.17163350109678774,0.00618042305907654,False,True
Ramsey,Phi-minus,7,28.02,-0.0927808801771447,0.0988142002215669,0.1291995172983959,-0.08375859131531925,0.030725749501678112,0.033999329978430894,0.022720462991538327,0.033999329978430894,0.0,0.022720462991538327,0.033999329978430894,0.0032735804767527812,0.030725749501678112,0.008005286510139785,0.0032735804767527812,True,True
Ramsey,Phi-minus,8,32.02,0.03575213876581401,0.0917376341019375,0.030725749501678112,-0.08914556320452954,-0.08375859131531925,0.08448418836853996,-0.029209906851425715,-0.08448418836853996,0.0,-0.029209906851425715,0.08448418836853996,0.000725597053220714,0.08375859131531925,0.054548684463893535,0.1682427796838592,True,True
Ramsey,Phi-minus,9,36.02,0.03833074370340553,0.09919933337330322,-0.08375859131531925,-0.024355386974570264,-0.08914556320452954,0.0914945999983146,-0.05405698914494476,-0.0914945999983146,0.0,-0.05405698914494476,0.0914945999983146,0.0023490367937850504,0.08914556320452954,0.035088574059584786,0.18064016320284415,True,True
Ramsey,Psi-plus,1,4.02,0.7063534837648162,0.9247676039059091,0.10506183272523487,-0.8310692488502733,-0.612499927787236,0.5968750934719791,-0.36300370806251925,-0.5968750934719791,0.0,-0.36300370806251925,0.5968750934719791,0.015624834315256964,0.612499927787236,0.2494962197247168,1.2093750212592151,True,True
Ramsey,Psi-plus,2,8.02,0.14193189164131711,0.82187037768005,-0.612499927787236,-0.3389158468862025,-0.8310692488502733,0.8095222392516869,-0.4757078873367193,-0.8095222392516869,0.0,-0.4757078873367193,0.8095222392516869,0.021547009598586464,0.8310692488502733,0.355361361513554,1.6405914881019603,True,True
