orientation,timestamp,record_index,readout,measurement,outcome,segment_tunnelling_fraction,classified_present
II,115025,49,2,10,UPDOWN,0.175,0
II,115025,49,2,10,UPUP,0.8,1
II,115025,50,2,11,DOWNDOWN,0.15,0
II,115025,50,2,11,DOWNUP,0.125,0
II,115025,50,2,11,UPDOWN,0.1,0
II,115025,50,2,11,UPUP,0.75,1
II,115025,51,2,12,DOWNDOWN,0.2,0
II,115025,51,2,12,DOWNUP,0.275,0
II,115025,51,2,12,UPDOWN,0.3,0
II,115025,51,2,12,UPUP,0.675,1
II,115025,52,2,13,DOWNDOWN,0.85,1
II,115025,52,2,13,DOWNUP,0.125,0
II,115025,52,2,13,UPDOWN,0.125,0
II,115025,52,2,13,UPUP,0.15,0
II,115025,53,2,14,DOWNDOWN,0.225,0
II,115025,53,2,14,DOWNUP,0.175,0
II,115025,53,2,14,UPDOWN,0.3,0
II,115025,53,2,14,UPUP,0.875,1
II,115025,54,2,15,DOWNDOWN,0.875,1
II,115025,54,2,15,DOWNUP,0.125,0
II,115025,54,2,15,UPDOWN,0.125,0
II,115025,54,2,15,UPUP,0.2,0
II,115025,55,2,16,DOWNDOWN,0.2,0
II,115025,55,2,16,DOWNUP,0.1,0
II,115025,55,2,16,UPDOWN,0.275,0
II,115025,55,2,16,UPUP,0.8,1
II,115025,56,2,17,DOWNDOWN,0.2,0
II,115025,56,2,17,DOWNUP,0.125,0
II,115025,56,2,17,UPDOWN,0.15,0
II,115025,56,2,17,UPUP,0.8,1
II,115025,57,2,18,DOWNDOWN,0.85,1
II,115025,57,2,18,DOWNUP,0.125,0
II,115025,57,2,18,UPDOWN,0.25,0
II,115025,57,2,18,UPUP,0.2,0
II,115025,58,2,19,DOWNDOWN,0.175,0
II,115025,58,2,19,DOWNUP,0.15,0
II,115025,58,2,19,UPDOWN,0.225,0
II,115025,58,2,19,UPUP,0.85,1
II,115025,59,2,20,DOWNDOWN,0.925,1
II,115025,59,2,20,DOWNUP,0.15,0
II,115025,59,2,20,UPDOWN,0.2,0
II,115025,59,2,20,UPUP,0.125,0
II,115025,60,2,21,DOWNDOWN,0.8,1
II,115025,60,2,21,DOWNUP,0.225,0
II,115025,60,2,21,UPDOWN,0.125,0
II,115025,60,2,21,UPUP,0.175,0
II,115025,61,2,22,DOWNDOWN,0.2,0
II,115025,61,2,22,DOWNUP,0.15,0
II,115025,61,2,22,UPDOWN,0.225,0
II,115025,61,2,22,UPUP,0.85,1
II,115025,62,2,23,DOWNDOWN,0.775,1
II,115025,62,2,23,DOWNUP,0.15,0
II,115025,62,2,23,UPDOWN,0.125,0
II,115025,62,2,23,UPUP,0.15,0
