branch_index,branch,seed,pair_index,pair,scale_h_q95_exposed,crest_start,crest_end,trough_start,trough_end,predicted_return,timing_tolerance,observed_return,local_reconstruction,timing_hit,timing_error,mirror_mae,persistence_mae,no_return_mae,source_hidden_trough,neighbour_hidden_crest,direct_neighbour_transfer,transfer_lag,exact_transfer_overlap,orientation_eligible,orientation_flip,orientation_before,orientation_after,final_source_x,final_neighbour_x
1,c4,11,62,8-11,0.20845380872488006,136,147,203,211,259,14,,0,0,,1.5123171776769058,0.37212038157604377,0.40428650067465643,250,342,0,92,0.3061717707738324,0,0,-1,0,2.098925275262382,0.34967584890364883
1,c4,11,63,9-10,0.40178100913763043,41,60,231,237,402,43,341,1,0,61,0.9645765232460577,0.2731209978328227,0.26248161059486264,250,342,0,92,0.2042277316974229,1,0,-1,-1,0.019451229734172196,0.4019668830999612
1,c4,11,65,10-11,0.3210140869021415,53,63,187,199,311,31,273,1,0,38,1.5369698004977683,0.5185669330248732,0.5537805264355292,250,448,0,198,0.2057694580628352,1,0,-1,-1,1.003814404535785,0.4258573741004265
1,c4,12,1,0-2,0.199550911039114,19,28,147,159,266,30,313,1,0,47,1.830962007102905,0.5933954695192133,0.4021479352515621,251,,0,,0.3568986069649308,1,0,-1,-1,0.06741705761625469,0.7820908587436632
1,c4,12,2,0-3,0.16536270976066528,23,35,147,158,259,28,251,1,1,8,1.7578363786688656,0.944876350824238,0.6370959696512823,274,,0,,0.27497875469624616,1,0,-1,-1,0.9101747022583069,1.3815241078582012
1,c4,12,5,0-6,0.2909889683127403,162,171,228,241,285,15,351,1,0,66,1.2393524984358781,0.35792749703177607,0.4151127638580127,250,,0,,0.3237885003561434,1,0,-1,-1,1.1889188040329357,1.0314148584077556
1,c4,12,6,0-7,0.15666530057787892,164,173,233,241,293,15,251,1,0,42,1.92191881362001,0.8949726977244162,0.9544298985380248,298,362,0,64,0.28621684705949635,1,0,-1,-1,0.29425314063852365,1.1945498977106999
1,c4,12,8,0-9,0.19969426095485673,88,100,238,249,376,35,285,1,0,91,1.2043166388452584,0.41559138175296506,0.4404503036972159,253,363,0,110,0.18944656109042207,1,0,-1,-1,2.9760275436890073,1.4923413807121897
1,c4,12,9,0-10,0.15894296094775195,143,147,207,232,267,15,264,1,1,3,1.3745537252661504,0.8246700204973081,0.8655627925848387,275,,0,,0.2469667341619144,1,0,-1,-1,0.33469272255010846,1.0415636097275587
1,c4,12,10,0-11,0.1945938147604464,85,96,181,199,266,22,251,1,1,15,1.4086179129267298,1.1793391526722825,0.6553990772612039,289,266,0,-23,0.3589276420578496,1,0,-1,-1,0.6043800231302323,1.5862476688251788
1,c4,12,11,1-2,0.2537798225879669,79,84,187,196,290,26,335,1,0,45,1.3658360773572262,0.46879217385383315,0.4414565467883639,251,,0,,0.20585280510431295,1,0,-1,-1,0.047076722966610134,0.5865688918297556
1,c4,12,12,1-3,0.3260001182556148,31,38,161,170,284,31,,0,0,,1.2259302754280883,0.3574741193310232,0.31314242382668894,263,,0,,0.31823806981176284,0,0,-1,0,0.4089046271910007,1.231402202279593
1,c4,12,13,1-4,0.30071811825037,183,187,240,249,293,14,469,1,0,176,1.1936716398450566,0.26549556504392546,0.2604306950599719,250,,0,,0.3553057117106114,1,0,-1,-1,0.03868499776815659,0.599913468752765
1,c4,12,15,1-6,0.20371654555201527,110,116,230,241,344,29,332,1,1,12,0.9510466230752749,0.4537136432283663,0.43274736699978494,250,,0,,0.35803541584948845,1,0,-1,-1,1.5040292828436002,0.8431976684406853
1,c4,12,16,1-7,0.16905882060527774,170,174,237,246,300,16,333,1,0,33,1.3190234338424587,0.908072425702488,0.9517214305181545,258,,0,,0.43031007692066997,1,0,-1,-1,0.24159738230622793,0.8696432023683601
1,c4,12,17,1-8,0.253081740438938,35,46,162,172,278,29,329,1,0,51,1.0498911149970256,0.6608349066305896,0.5993524892763696,264,328,0,64,0.43437593131388913,1,0,-1,-1,0.08556084966675254,0.7992028407995431
