split,branch,branch_index,seed,events,weight,trials,mean_available_lags,exact_error,exact_sign_flip_share,exact_same_source_pair_share,exact_shares_source_endpoint,exact_strongest_child_share,exact_partner_persistence,exact_adjacency_share,exact_self_return,exact_mean_absolute_time_jitter,seed_error,seed_sign_flip_share,seed_same_source_pair_share,seed_shares_source_endpoint,seed_strongest_child_share,seed_partner_persistence,seed_adjacency_share,seed_self_return,seed_mean_absolute_time_jitter,time_error,time_sign_flip_share,time_same_source_pair_share,time_shares_source_endpoint,time_strongest_child_share,time_partner_persistence,time_adjacency_share,time_self_return,time_mean_absolute_time_jitter
opened_later_half,c4,1,19,171,0.19124461471565654,1,5.823873519519558,0.2850906542944951,0.3839609615464764,0.26301978131191783,0.4266566426550476,0.00014478822344140014,0.49152641718664525,0.7242017370072023,0.8787509814819655,0.9833086671526308,0.48446986310740275,0.5309488337483366,0.025821717382977276,0.32557402526426515,0.06380114971184515,0.5280891694479487,0.7473062092644887,0.08050478765055631,0.8737929519793147,0.4400302323085281,0.4820989868447259,0.002123480576565562,0.2306623588364115,0.01667645871141578,0.44273098740511224,0.6713774986553203,0.01259175765458934,1.059773092159535
opened_later_half,c4,1,20,201,0.15939810103718643,1,5.7596243060373915,0.449390624205172,0.384955344488768,0.1514424854634229,0.2265310456365311,0.0011044127788244298,0.4293257927026409,0.6756053170476379,0.6858310916348987,0.8342861557573883,0.5467134341258304,0.6519771345086329,0.0057758659994768405,0.14918211470756626,0.0007413012111112496,0.5085956231004102,0.7116767728069031,0.009061538188364852,0.9564644734772941,0.4988100296571372,0.4449368274117789,0.004351510634046102,0.17187621736340106,0.0029081442424726783,0.3836298843318439,0.4787136529177909,0.014255453677498791,0.9998205505813986
opened_later_half,c4,1,21,185,0.1577070050150471,1,5.767311463575489,0.35803236185759774,0.4548033429126923,0.17105716202780435,0.3642857080407972,0.00047111706151111284,0.45139166453957535,0.7206148903763017,0.7379044386117418,0.9280255429728733,0.4599845605223483,0.5124761408469146,0.015724201240496834,0.16228978762466575,0.02247776709904355,0.4444959229303878,0.6423586149400476,0.04529841819684519,0.7632517252285808,0.4274377646044432,0.3989234597146406,0.007626387177956308,0.14532195451196708,0.018152300429441843,0.38138753565963984,0.5818691257829978,0.03409498679395863,1.11447906822633
opened_later_half,c4,1,22,229,0.194843762221511,1,5.812785627866826,0.36090642808302925,0.48230624722430093,0.12771990917731305,0.29081012592170824,0.019496562901877457,0.4093404198084072,0.6137642189341959,0.6012218849423314,0.6999176454966957,0.41910723318526766,0.5089707997900825,0.0027656323304536506,0.2071659097044986,0.010779642392708587,0.5320121197485779,0.7409065680981213,0.015485090973521217,0.9286528378371726,0.4318320032435273,0.4636957459778848,0.006449115143283945,0.16045394635952429,0.018765176868722765,0.34389780414524523,0.5401147329219709,0.030014057215428516,0.9365985160892574
opened_later_half,c4,1,23,179,0.12707491597831963,1,5.514823528807527,0.41003145777992633,0.4896558037883308,0.1337964183907818,0.33361387195630304,0.0019589474686648248,0.4651931614065048,0.6177836573395504,0.4639004695845031,0.820082775215233,0.5008251695260757,0.5655831036139439,0.0021859604780951566,0.17120578178415138,0.008846098832536916,0.5088348445359784,0.6377264596754003,0.01066211461824309,0.8568465261803656,0.45321359748531764,0.45908026579219474,0.0024533106635072368,0.17975674029964242,0.005762466660571247,0.41667919298573064,0.6082773525712027,0.008335157489366491,1.0862232776607479
opened_later_half,c4,1,24,211,0.19875660375580106,1,5.913396094543496,0.45210465682105105,0.5049279989223225,0.11024087422596233,0.26664735041895765,0.01713741574900648,0.4093980143391195,0.6124812605863316,0.5074275612379301,0.745392642449285,0.465121141699452,0.5605412061746375,0.020232254408108052,0.1288071412288233,0.00026017195437545156,0.5305498772256002,0.7014095388410092,0.07259587563869967,0.9069772977789607,0.4973797193174821,0.5279638688517033,0.008623881673423654,0.20017586891718714,0.009170284110544798,0.3393658430805229,0.5024112716504769,0.04579237291370628,0.9899516210075959
opened_later_half,c4,1,25,180,0.23782274270579426,1,5.88636725496927,0.3581042010264359,0.3805433642581151,0.20134609848466703,0.4308057757412712,0.014051076299612547,0.45513082654547554,0.6784796492313737,0.6697416195804176,0.9945302721162691,0.5194612941171647,0.6196007097162558,0.005352548209654701,0.1782885780306093,0.005450568652067788,0.44408318998297003,0.6657084675929497,0.012770495458358616,0.7094562423542728,0.3703116978282115,0.45761484320313695,0.005689965085093965,0.22670748161709467,0.004441269592261465,0.3742401645052896,0.571432333660165,0.032006933499469106,1.1005924518802876
opened_later_half,c4,1,26,215,0.20437422857130666,1,5.754367061145335,0.3632797021618002,0.38660637433942857,0.1797624921727418,0.3646210220924741,0.001467421858069485,0.4949323508218833,0.711993470453742,0.6292033189297904,0.8659046745854719,0.5017931493682793,0.5190901267294906,0.005054450669319924,0.2420839902403009,0.0008129899523253164,0.4918084758442844,0.7069060420606704,0.015676766504651843,0.9337519930347506,0.48257096945411987,0.5087274013759027,0.01080728112625143,0.13393113222074163,0.015706955904859734,0.3829315485042494,0.5801730285701736,0.027524453515034727,0.9836811425910639
opened_later_half,c4,1,27,185,0.16922535189506988,1,5.2871570872344495,0.3534105074076172,0.329744776858904,0.17393654010789844,0.37360367283535484,0.002054448566668627,0.5134585338730384,0.7007579057720584,0.6386216799518399,0.8727158994446073,0.5307059882230889,0.5358898496072863,0.005649897720013016,0.16771073343939916,0.04737121903005755,0.5066273644804303,0.6493970759423621,0.019740608380464608,0.9247182707411912,0.4189122073536145,0.4468831807420084,0.005655092879868863,0.177328706444032,0.004925039894239965,0.44572755648965706,0.5910447864450581,0.02108085562298052,1.133654302251565
opened_later_half,c4,1,28,196,0.18753212444180423,1,5.505191420766322,0.43680122787615727,0.3870965782524374,0.15095045933171652,0.31202711956471835,0.000693320022268138,0.47113651788656047,0.7092706770942167,0.6193609615203632,0.8653631052939202,0.4776764378819409,0.5248819335930781,0.004699856213605867,0.1300277940239991,0.013700797871116261,0.5140012954980543,0.6618947082364376,0.02691264040536857,0.8851255865450028,0.47641755886733467,0.47507952969907946,0.004385223588350673,0.12898714231577693,0.021433106438843094,0.427881509868215,0.6502242691201986,0.014671755068255824,1.0396922735257128
