archive,seed,parent_pair_count,child_pair_count,parent_forward_duration,parent_return_duration,child_forward_duration,child_return_duration,r_A,s_A,r_B,s_B,P_A,P_B,C_A,C_B,h_A,h_B,h_A_local_control,h_B_local_control,ratio_phi_error_A,ratio_phi_error_B,additive_phi_error_A,additive_phi_error_B,ratio_within_phi_band_A,ratio_within_phi_band_B,additive_within_phi_band_A,additive_within_phi_band_B
greedy,57,8,12,8.0,7.0,4.0,4.0,2.0,1.5,1.75,1.5714285714285714,1.0666666666666667,0.9333333333333333,1.0,1.0,1.4333333333333333,1.5666666666666667,1.9333333333333333,2.0666666666666664,0.3819660112501051,0.1319660112501051,0.18470065541656155,0.05136732208322825,0,0,0,1
greedy,58,5,15,6.0,6.0,4.0,4.0,1.5,1.6666666666666665,1.5,1.6666666666666665,1.0,1.0,1.0,1.0,1.5,1.5,2.0,2.0,0.1180339887498949,0.1180339887498949,0.1180339887498949,0.1180339887498949,0,0,0,0
greedy,59,6,8,8.0,5.5,4.0,3.75,2.0,1.5,1.4666666666666666,1.6818181818181819,1.1851851851851851,0.8148148148148149,1.032258064516129,0.967741935483871,1.3309438470728794,1.6690561529271206,1.8470728793309439,2.152927120669056,0.3819660112501051,0.15136732208322834,0.2870901416770155,0.051022164177225715,0,0,0,1
greedy,60,9,8,7.0,7.0,3.75,4.0,1.8666666666666667,1.5357142857142856,1.75,1.5714285714285714,1.0,1.0,0.967741935483871,1.032258064516129,1.4838709677419355,1.5161290322580645,1.967741935483871,2.032258064516129,0.2486326779167718,0.1319660112501051,0.1341630210079594,0.1019049564918304,0,0,0,0
greedy,61,4,16,8.0,7.0,4.0,3.75,2.0,1.5,1.8666666666666667,1.5357142857142856,1.0666666666666667,0.9333333333333333,1.032258064516129,0.967741935483871,1.4494623655913978,1.5505376344086022,1.9655913978494624,2.0344086021505374,0.3819660112501051,0.2486326779167718,0.16857162315849705,0.06749635434129275,0,0,0,1
greedy,62,4,7,5.5,8.0,4.0,3.5,1.375,1.7272727272727273,2.2857142857142856,1.4375,0.8148148148148148,1.1851851851851851,1.0666666666666667,0.9333333333333333,1.7185185185185183,1.2814814814814817,2.2518518518518515,1.7481481481481482,0.2430339887498949,0.6676802969643907,0.10048452976862343,0.33655250726841324,0,0,0,0
greedy,64,3,9,7.0,8.0,4.0,3.5,1.75,1.5714285714285714,2.2857142857142856,1.4375,0.9333333333333333,1.0666666666666667,1.0666666666666667,0.9333333333333333,1.6,1.4,2.1333333333333333,1.8666666666666667,0.1319660112501051,0.6676802969643907,0.018033988749894814,0.218033988749895,0,0,1,0
greedy,65,2,7,7.5,5.5,3.0,4.0,2.5,1.4,1.375,1.7272727272727273,1.1538461538461537,0.8461538461538463,0.8571428571428571,1.1428571428571428,1.2747252747252749,1.7252747252747251,1.7032967032967035,2.2967032967032965,0.8819660112501051,0.2430339887498949,0.34330871402462004,0.10724073652483024,0,0,0,0
greedy,66,5,17,8.0,7.0,4.0,4.0,2.0,1.5,1.75,1.5714285714285714,1.0666666666666667,0.9333333333333333,1.0,1.0,1.4333333333333333,1.5666666666666667,1.9333333333333333,2.0666666666666664,0.3819660112501051,0.1319660112501051,0.18470065541656155,0.05136732208322825,0,0,0,1
greedy,67,4,9,7.5,7.5,4.0,4.0,1.875,1.5333333333333332,1.875,1.5333333333333332,1.0,1.0,1.0,1.0,1.5,1.5,2.0,2.0,0.2569660112501051,0.2569660112501051,0.1180339887498949,0.1180339887498949,0,0,0,0
