basis,split,shot_index,target,x_parent,time_parent,relation_j,event_fill,ara_score,count_score,ara_plus_count_score
X,development,6532,0,0.8749999865889548,0.8000000333786015,1.0365384702269849,0.0641025641025641,0.1457366752253915,-0.012995286046203697,0.13274138917918651
X,development,6783,1,1.171874982537702,1.0673077543481029,0.9338942030982047,0.05128205128205128,-0.11465600566139923,-0.09939148823018586,-0.21404749389159594
X,development,7035,1,1.0227272616437646,1.286713326121316,1.0891608206883254,0.035256410256410256,0.05280273237353149,-0.20738674096016355,-0.15458400858665486
X,development,7286,1,0.9204545454545454,0.9650349617004395,1.0043706460432573,0.07051282051282051,0.11316103053157903,0.030202815045787427,0.14336384557736995
X,development,7537,0,1.2222221854292312,1.316239374428847,0.9871795043306815,0.028846153846153848,-0.1365672503798744,-0.25058484205215464,-0.3871520924320566
X,development,7788,0,1.0757575757575757,1.0629371296275745,0.9930070241292317,0.10576923076923077,-0.02164963292824024,0.2677923710517384,0.24614273812352797
X,development,8040,0,1.0113636363636362,1.0629371296275747,1.0340909090909092,0.07051282051282051,0.04102895103017461,0.030202815045787427,0.07123176607596554
X,development,8291,1,1.2777777777777777,1.256410280863444,0.9615384207831488,0.057692307692307696,-0.19396157352530138,-0.05619338713819473,-0.2501549606635022
X,development,8542,0,1.4166666691501937,0.8974358905584383,1.141025656690965,0.019230769230769232,-0.3270287665313641,-0.31538199369014125,-0.6424107602215401
X,development,8793,0,0.9500000000000001,1.0871795018513999,0.9371795018513998,0.04807692307692308,0.08819553735096897,-0.12099053877618136,-0.03279500142522564
X,development,9045,1,1.2368421088955739,0.8016194242570491,1.0809716520445605,0.060897435897435896,-0.1773645443143137,-0.03459433659219922,-0.2119588809065166
X,development,9296,0,0.9117647034074196,1.076923092026517,1.1176470340741953,0.05448717948717949,0.1410986845326619,-0.07779243768419028,0.06330624684846317
X,development,9547,0,1.4230769230769231,1.035503020653358,0.9097632628220779,0.08333333333333333,-0.3471458268768744,0.11659901722976959,-0.23054680964709176
X,development,9798,0,1.1875000176951294,1.2500000484287748,0.8966346218680534,0.05128205128205128,-0.1194525015623781,-0.09939148823018586,-0.2188439897925748
X,development,10050,0,1.1607142516544888,1.153846161706107,1.0521977969578336,0.08974358974358974,-0.08579343408554176,0.1597971183217607,0.07400368423623677
X,development,10301,1,1.1973684060276382,1.0364372976649774,0.9807692203927139,0.060897435897435896,-0.13506753067086508,-0.03459433659219922,-0.16966186726306795
X,development,10552,1,1.2083333333333335,0.8974359300401475,0.9348290761311849,0.057692307692307696,-0.15994901817340895,-0.05619338713819473,-0.21614240531160972
X,development,10803,0,1.023809545975423,0.7619047900176096,1.1611722046722184,0.0673076923076923,0.021238963747683304,0.008603764499791866,0.02984272824747629
X,development,11055,1,0.9285714285714286,1.076923097882952,0.9542124611990792,0.0673076923076923,0.10866132658856552,0.008603764499791866,0.1172650910883585
