split,branch_label,seed,time,origin_time,source_pair,endpoint,weight,q28_fit_error,residual_fraction,residual_component_entropy,residual_largest_axis_share,residual_effective_dimension,residual_z_scaled,residual_z_ara,residual_dominant_axis,q28_source_flip,child_weight_entropy,strongest_child_weight_share,positive_child_count,origin_exact_error,origin_seed_error,origin_time_error,origin_exact_pair,origin_exact_flip,origin_exact_is_local,origin_exact_is_strongest_child,origin_exact_shares_endpoint,origin_exact_is_active,optimal_exact_error,optimal_exact_lag,optimal_exact_pair,optimal_exact_flip,path_partner_persistence,path_flip_persistence,path_adjacency_share,path_self_return
development,c2,0,222,224,2-6,2,3.5450937114133926e-05,0.004965111425997587,0.004965111425977494,0.0033075462073030274,0.9996202616280132,1.000759837356574,-0.004964168614798784,0.9950358313852012,z,Fz,0.0,1.0,1,0.9528191251514108,0.9355384889911621,0.8607348500451951,3-4,I,0.0,0.0,0.0,1.0,0.9121381509949635,5,0-3,I,0.5714285714285714,0.8571428571428571,1.0,0.0
development,c2,1,16,18,1-9,1,1.1354096197914502e-06,0.011788524570732801,0.011788524570731485,7.87850294555515e-05,0.9999936648536009,1.000012670393134,-0.011788487229657854,0.9882115127703421,z,Fz,0.0,1.0,1,0.9185524533743348,0.9270856534598416,0.9334829705577024,3-5,I,0.0,0.0,0.0,0.0,0.9093023473694591,3,2-3,Fz,0.42857142857142855,0.5714285714285714,1.0,0.0
development,c2,1,54,56,0-3,3,0.000503808231463232,0.09405835387317318,0.09405835387317277,0.034914667976935425,0.9944245404060056,1.0112289804248311,-0.09379577809068267,0.9062042219093174,z,I,0.0,1.0,1,0.939615602186786,0.9191562481690879,0.9185535523048715,2-8,Fz,0.0,0.0,0.0,0.0,0.8915328517628578,6,2-7,Fz,0.5714285714285714,1.0,1.0,0.0
development,c2,1,54,56,3-8,3,0.0014823545395348248,0.1698301078807093,0.16983010788070946,0.3872377478414975,0.8890418803073264,1.255411896921607,0.1601311399774275,1.1601311399774275,z,I,0.0,1.0,1,0.9442624172154702,0.943653937211118,0.9441541085347127,5-10,I,0.0,0.0,0.0,0.0,0.9317394755027434,6,2-7,Fx,0.42857142857142855,0.42857142857142855,0.5,0.0
development,c2,1,156,158,5-11,5,0.0008454052963760839,0.0639861956022507,0.06398619560225147,0.051118573547655415,0.9912648951640728,1.0176622991519626,-0.06370611957405135,0.9362938804259486,z,I,0.0,1.0,1,0.8722392389016005,0.9205791832064255,0.8921662438872541,3-5,Fz,0.0,0.0,1.0,0.0,0.48664397817329547,3,1-9,Fz,0.42857142857142855,0.5714285714285714,0.6666666666666666,0.0
development,c2,1,158,160,5-11,11,9.238543187507081e-06,0.06284246872860698,0.06284246872860966,0.042413531113521315,0.9929936896691463,1.0141360300393167,0.06262193484849028,1.0626219348484902,z,Fz,0.0,1.0,1,0.9292437481493123,0.9560841029644588,0.9615992818451629,3-6,Fx,0.0,0.0,0.0,0.0,0.5703508220464776,1,1-9,Fx,0.5714285714285714,1.0,0.6666666666666666,0.0
development,c2,1,170,172,7-10,7,1.81488268249483e-05,0.09648633479732605,0.09648633479732632,0.0006896303830363132,0.9999329735051486,1.0001340642216825,-0.09648310117272953,0.9035168988272705,z,Fz,0.0,1.0,1,0.8911927443190821,0.9253649286944378,0.936103190923115,4-5,Fz,0.0,0.0,0.0,1.0,0.5347095061613742,3,0-1,I,0.5714285714285714,0.8571428571428571,0.6666666666666666,0.0
development,c2,1,182,184,3-8,3,1.5208679691461162e-05,0.02137377866094666,0.02137377866094475,0.001051770194412407,0.999893400535614,1.0002132273398092,-0.02137263941390458,0.9786273605860955,z,Fz,0.0,1.0,1,0.9161553929070352,0.9540407840618343,0.9188903979850636,4-7,Fz,0.0,0.0,0.0,0.0,0.8883590180700747,5,7-8,I,0.5714285714285714,0.5714285714285714,1.0,0.0
development,c2,1,190,192,5-11,11,9.844897325936297e-05,0.07984682680228868,0.07984682680228965,0.060095738282316034,0.9894126611048321,1.0214572834600208,0.0794230193616053,1.0794230193616052,z,I,0.0,1.0,1,0.9349694398412822,0.9569051873985542,0.9365108384349641,7-8,Fx,0.0,0.0,0.0,0.0,0.9236732776686197,5,6-9,Fx,0.42857142857142855,1.0,1.0,0.0
development,c2,2,8,10,2-10,2,8.170468109918935e-07,0.04456308099843497,0.044563080998435554,0.016342739549674336,0.9976866036021826,1.0046401970715453,0.04451150511677064,1.0445115051167706,z,Fz,0.0,1.0,1,0.9068887183671999,0.9160624446317145,0.9126279626716792,4-10,Fx,0.0,0.0,0.0,0.0,0.9014195269159331,1,4-10,Fx,0.42857142857142855,1.0,1.0,0.0
development,c2,2,10,12,0-5,0,1.0540947412871629e-06,0.01027330320917803,0.010273303209170359,0.0013944604056971347,0.9998544907808313,1.0002910713768314,0.01027255575181476,1.0102725557518148,z,I,0.0,1.0,1,0.9101975515883388,0.9055498718052598,0.9327617069475295,4-10,Fx,0.0,0.0,0.0,0.0,0.9019565420340695,1,3-4,Fx,0.42857142857142855,1.0,0.8333333333333334,0.0
development,c2,2,32,34,2-10,10,4.087697564757707e-05,0.0455327288532292,0.045532728853229905,0.0006020289444573887,0.9999422486411715,1.0001155110560909,-0.045531414045765425,0.9544685859542346,z,Fz,0.0,1.0,1,0.9329696686456452,0.959585367752518,0.9334581813607998,0-11,I,0.0,0.0,0.0,0.0,0.906051842674719,6,9-11,Fz,0.42857142857142855,0.5714285714285714,1.0,0.0
development,c2,2,92,94,6-8,6,0.0014419892244637439,0.011436164625435851,0.011436164625430524,0.04333533900375149,0.9928139480341414,1.0145019450728618,-0.011395000102850371,0.9886049998971497,z,I,0.0,1.0,1,0.8647999286586768,0.9299607509557216,0.8568057613256342,5-8,Fz,0.0,0.0,0.0,0.0,0.8647999286586768,0,5-8,Fz,0.42857142857142855,1.0,1.0,0.0
development,c2,2,96,98,2-10,10,5.933112787936609e-05,0.03644880171812029,0.036448801718120025,0.00171410925755901,0.9998171709949684,1.0003657415883989,-0.036445469616735504,0.9635545303832644,z,Fz,0.0,1.0,1,0.9516248025369024,0.9169392913959485,0.8924542439138632,4-8,Fz,0.0,0.0,0.0,0.0,0.9349259729542599,4,6-9,Fz,0.42857142857142855,0.8571428571428571,1.0,0.0
development,c2,2,170,172,0-5,0,4.339614549193557e-05,0.04047408003343596,0.04047408003343546,0.022440599296440506,0.9966662525437258,1.0066953537243324,0.04040655853086792,1.040406558530868,z,Fz,0.0,1.0,1,0.9235085119551337,0.934179635291467,0.920756787970257,8-11,Fx,0.0,0.0,0.0,0.0,0.9022289865088643,4,0-7,Fx,0.42857142857142855,1.0,1.0,0.0
development,c2,2,174,176,4-11,4,0.0006130343809250538,0.08658779652679302,0.08658779652679319,0.08368464295292823,0.9842463366868704,1.0321356037065588,0.08590305151378562,1.0859030515137855,z,I,0.0,1.0,1,0.903512458060377,0.9499362285511007,0.9250898540917896,0-7,Fx,0.0,0.0,0.0,0.0,0.903512458060377,0,0-7,Fx,0.7142857142857143,0.8571428571428571,1.0,0.0
development,c2,2,232,234,2-10,2,9.800405547865127e-08,0.009386867385872966,0.009386867385866618,0.003756092535853428,0.9995622604765921,1.0008759582543065,0.009384812659555385,1.0093848126595555,z,I,0.0,1.0,1,0.9007791341654854,0.9371850839785568,0.9668428347417068,5-10,Fx,0.0,0.0,0.0,0.0,0.8985196379443343,1,5-10,Fx,0.42857142857142855,1.0,1.0,0.0
development,c2,2,234,236,0-5,0,0.0005028050696294778,0.0049434874936713025,0.0049434874936724596,0.025043458433841967,0.9962143909614194,1.0076071537179103,0.004934121565863374,1.0049341215658634,z,I,0.0,1.0,1,0.9126283831662948,0.8874141080455412,0.9624927507198288,5-10,Fx,0.0,0.0,0.0,0.0,0.9126283831662948,0,5-10,Fx,0.42857142857142855,1.0,1.0,0.0
development,c2,2,234,236,8-9,8,9.860158014930612e-06,0.02929546013975743,0.029295460139757448,0.00959296084744849,0.9987408410421371,1.002522285612295,0.029277010509643972,1.029277010509644,z,Fz,0.0,1.0,1,0.9123961682206092,0.8871104204356814,0.9623957721883366,5-10,Fx,0.0,0.0,0.0,0.0,0.9123961682206092,0,5-10,Fx,0.42857142857142855,1.0,1.0,0.0
development,c2,2,238,240,4-11,4,2.5928783434362238e-05,0.03432125181035402,0.03432125181035232,0.01620560633040542,0.9977088745117518,1.004595398176642,0.03428191211698181,1.0342819121169817,z,Fz,0.0,1.0,1,0.9376900907644744,0.8699550576485778,0.9608294045941709,6-11,Fx,0.0,0.0,0.0,0.0,0.9293919994320886,6,7-11,Fx,0.2857142857142857,1.0,1.0,0.0
development,c2,3,8,10,3-4,3,0.0006402449610976024,0.22974031021491367,0.22974031021491392,0.29328173697743215,0.923801190910924,1.1677989670613143,0.2208139273283312,1.2208139273283312,z,Fz,0.0,1.0,1,0.9387552357746055,0.9031348908140066,0.9379825022364048,4-6,Fy,0.0,0.0,0.0,0.0,0.9249556540077783,5,4-5,Fx,0.7142857142857143,0.8571428571428571,1.0,0.0
development,c2,3,34,36,1-5,1,0.0034867795574076155,0.2204364294784887,0.2204364294784891,0.4235382843410401,0.8742826401740779,1.2948796175840993,0.2061148560996811,1.206114856099681,z,Fz,0.0,1.0,1,0.9356968801241901,0.9384895478547055,0.9364373978311175,7-9,Fz,0.0,0.0,0.0,0.0,0.9356944154694723,1,9-10,I,0.5714285714285714,0.7142857142857143,0.8333333333333334,0.0
development,c2,3,64,66,8-11,11,1.2493769168616525e-05,0.029657781184230507,0.02965778118423173,0.0007012133350359271,0.9999317373717921,1.000136536906518,-0.02965676890791105,0.970343231092089,z,Fz,0.0,1.0,1,0.9386057724900567,0.908553304186238,0.9420358836590969,1-10,I,0.0,0.0,0.0,0.0,0.9171206863389045,6,0-11,Fz,0.42857142857142855,0.5714285714285714,1.0,0.0
development,c2,3,66,68,1-5,1,0.0017953135905912632,0.08468096385566222,0.08468096385566165,0.1296220504110478,0.9731085499448904,1.0556297619083224,0.08353460758468144,1.0835346075846815,z,Fz,0.0,1.0,1,0.9595406984518686,0.9300087074972881,0.9598670027962397,1-10,Fx,0.0,0.0,1.0,0.0,0.9204891983253234,5,0-11,Fx,0.7142857142857143,1.0,1.0,0.0
development,c2,3,78,80,5-7,5,0.0008686033341913646,0.07437346260535413,0.0743734626053548,0.1186218942263079,0.9758950404447813,1.0496906170978724,0.073471610019213,1.073471610019213,z,I,0.0,1.0,1,0.9366760411424255,0.9198643961028509,0.954210316701738,0-1,Fx,0.0,0.0,0.0,0.0,0.9366760411424255,0,0-1,Fx,0.5714285714285714,1.0,0.8333333333333334,0.0
development,c2,3,98,100,1-5,1,0.011512643700128944,0.01669022641020071,0.016690226410199974,0.18576265020744392,0.9578114280376936,1.0889774395829606,-0.01633436422723561,0.9836656357727644,z,Fz,0.0,1.0,1,0.8621356535567924,0.8554230738357281,0.8549397493654523,1-9,Fz,0.0,0.0,1.0,0.0,0.8510686902611105,4,2-9,I,0.5714285714285714,0.5714285714285714,1.0,0.0
development,c2,3,160,162,8-11,11,0.011197010518659845,0.015202897013773529,0.015202897013773396,0.21559208391657222,0.9489855154098861,1.1088014195092248,0.014810037064698744,1.0148100370646986,z,I,0.0,1.0,1,0.9534022162183206,0.9282981757409746,0.9306783823435097,1-11,Fx,0.0,0.0,1.0,0.0,0.9383822883681805,1,4-11,Fx,0.5714285714285714,1.0,1.0,0.0
development,c2,3,194,196,1-5,1,0.007700244005680368,0.01704638209593114,0.01704638209592797,0.11838685699231259,0.975953787920465,1.049565845377592,-0.016840184526081582,0.9831598154739184,z,I,0.0,1.0,1,0.8896264084841387,0.9035029237921396,0.8903658582249331,4-9,I,0.0,0.0,0.0,0.0,0.878426004716151,5,0-3,Fz,0.5714285714285714,0.7142857142857143,1.0,0.0
development,c2,3,196,198,5-7,7,1.6811653433593515e-07,0.03363803359163337,0.03363803359163799,0.00025480229239214787,0.9999774088502393,1.0000451835754445,-0.033637653628564766,0.9663623463714353,z,Fz,0.0,1.0,1,0.9641444787111719,0.9539173225289834,0.9509393228496843,0-4,I,0.0,0.0,0.0,0.0,0.9402970823712132,3,0-3,I,0.7142857142857143,0.8571428571428571,1.0,0.0
development,c2,3,224,226,8-11,11,0.0001266088945017889,0.009043129772929688,0.009043129772927636,0.013789088272106505,0.9980959063541005,1.0038172650334127,-0.009034516187735904,0.9909654838122641,z,I,0.0,1.0,1,0.9475008883481022,0.9278318121273146,0.9146775381779629,3-9,Fz,0.0,0.0,0.0,0.0,0.9288840306336876,6,5-8,Fz,0.42857142857142855,1.0,1.0,0.0
development,c2,3,228,230,5-7,7,0.001779990716609281,0.08005634596821085,0.08005634596820968,0.20552839218835414,0.9520159656860298,1.1019458203757633,0.07811202189631097,1.078112021896311,z,I,0.0,1.0,1,0.9512583124896501,0.9591265183667175,0.9429680770709115,2-5,Fx,0.0,0.0,0.0,0.0,0.9469153419200497,2,5-8,Fx,0.42857142857142855,1.0,1.0,0.0
development,c2,3,236,238,0-7,7,0.0026097535646324443,0.21672030172079051,0.21672030172079085,0.010346938621331766,0.9986277667003784,1.002749179328586,-0.21657155526720115,0.7834284447327988,z,I,0.0,1.0,1,0.9378612399899051,0.9633021573705437,0.882848893437707,1-6,Fz,0.0,0.0,0.0,0.0,0.916956257868162,2,1-7,I,0.5714285714285714,0.7142857142857143,1.0,1.0
development,c2,4,6,8,2-6,6,1.7269343891635532e-05,0.006747265697573679,0.006747265697580834,0.0029463900612067325,0.9996662270164061,1.00066782455257,0.006746139576104268,1.0067461395761044,z,I,0.0,1.0,1,0.911484771936477,0.9418257305288978,0.9436208353430406,0-4,Fx,0.0,0.0,0.0,0.0,0.8966468881730438,5,4-5,Fx,0.5714285714285714,1.0,1.0,0.0
development,c2,4,32,34,4-7,4,0.00042229756553907594,0.05458630588752685,0.05458630588752633,0.0702452230267142,0.9872404978247283,1.0259301769660727,0.054236940834373276,1.0542369408343732,z,I,0.0,1.0,1,0.9209164805617107,0.9501828668367899,0.9619472387520513,3-8,Fx,0.0,0.0,0.0,0.0,0.9209164805617107,0,3-8,Fx,0.42857142857142855,1.0,1.0,0.0
development,c2,4,84,86,0-9,0,0.00029311553986066663,0.05058747884948904,0.0505874788494866,0.012446858217516182,0.9983061876208456,1.0033948069803678,-0.05054461784321608,0.9494553821567839,z,Fz,0.0,1.0,1,0.9240058277297754,0.9470583372139229,0.9571019361936595,7-9,Fz,0.0,0.0,0.0,0.0,0.8948028896458234,4,7-11,Fz,0.8571428571428571,1.0,1.0,0.0
development,c2,4,94,96,3-6,6,0.00041106149803837866,0.27392643373594616,0.27392643373594633,0.03183317993988808,0.9949954024615809,1.010072060907299,-0.2732401282101966,0.7267598717898034,z,I,0.0,1.0,1,0.9134645469036224,0.9458330457802048,0.9273692236509745,6-7,Fz,1.0,1.0,1.0,1.0,0.9068100151956648,6,5-6,Fz,0.42857142857142855,0.8571428571428571,1.0,0.0
development,c2,4,96,98,4-7,4,0.0001947089163506499,0.04159809219238802,0.041598092192389406,0.028169740278064414,0.9956600469450654,1.0087271576636754,0.041507727157132655,1.0415077271571327,z,I,0.0,1.0,1,0.9538032077647697,0.9520625156312853,0.9518140000926939,6-7,Fx,0.0,0.0,0.0,0.0,0.9267882829537186,5,5-6,Fx,0.5714285714285714,1.0,1.0,0.0
development,c2,4,116,118,0-9,0,0.00040226192543084405,0.026337944895322762,0.02633794489532172,0.006589477993496213,0.9991769027698588,1.0016478892983005,-0.02632710331919917,0.9736728966808008,z,Fz,0.0,1.0,1,0.8921614093939136,0.9320997282353037,0.8835369474711199,3-4,I,0.0,0.0,0.0,0.0,0.31017481547107595,6,7-9,I,0.42857142857142855,0.7142857142857143,0.8333333333333334,0.0
development,c2,4,126,128,3-6,6,0.00012684347673719287,0.30278610184550253,0.30278610184550214,0.023771280028957318,0.9964363807117724,1.0071590775829329,-0.3022461131412291,0.6977538868587709,z,I,0.0,1.0,1,0.9038130289387314,0.9008473994825498,0.9150832690537531,2-5,Fz,0.0,0.0,0.0,0.0,0.8724699284560434,1,2-6,I,0.42857142857142855,0.7142857142857143,0.8333333333333334,1.0
development,c2,4,148,150,0-9,0,8.004923003991637e-05,0.012928154618801013,0.012928154618798213,0.011251424951983727,0.998490415002868,1.0030248739929277,0.012918392859228797,1.0129183928592287,z,Fz,0.0,1.0,1,0.9188175133090865,0.9638227357599817,0.94902662199012,5-9,Fx,0.0,0.0,0.0,0.0,0.9139994738860537,1,5-9,Fx,1.0,1.0,1.0,0.0
development,c2,4,160,162,4-7,4,0.0006645713416553178,0.07697857186539549,0.07697857186539588,0.25933983939252203,0.9351933214633379,1.1406586031789938,0.07444243116203726,1.0744424311620373,z,I,0.0,1.0,1,0.9619476701341926,0.9518431673402429,0.9357671279573552,0-7,Fx,0.0,0.0,0.0,0.0,0.9579452048595223,1,0-7,Fx,0.42857142857142855,1.0,1.0,0.0
development,c2,4,166,168,2-6,6,4.876806749832619e-05,0.056772885375537846,0.056772885375538214,0.0015155778099636057,0.9998404570570334,1.000319149528932,-0.056768356338280264,0.9432316436617197,z,Fz,0.0,1.0,1,0.9579754559631299,0.9629827899370944,0.9639433144195196,7-10,I,0.0,0.0,0.0,0.0,0.9288280034227465,6,2-6,Fz,0.2857142857142857,0.7142857142857143,1.0,1.0
development,c2,4,192,194,4-7,4,0.0024015702951336593,0.1318129470963005,0.13181294709630068,0.15101530968081522,0.9674872286385383,1.0677371626007355,-0.1296524388548717,0.8703475611451283,z,I,0.0,1.0,1,0.8687887426023109,0.8559054643982998,0.8269983283242293,4-8,I,0.0,0.0,1.0,0.0,0.7816761321102181,4,5-8,Fz,0.8571428571428571,0.8571428571428571,1.0,0.0
development,c2,4,212,214,0-9,0,0.00014725430663871213,0.10335237461170056,0.10335237461170062,0.07493057700930253,0.9862114278419474,1.0280577069715895,0.10263736046268115,1.1026373604626811,z,I,0.0,1.0,1,0.9464223640359841,0.9066581715195011,0.9050835881273235,6-10,Fx,0.0,0.0,0.0,0.0,0.9464223640359841,0,6-10,Fx,0.42857142857142855,1.0,1.0,0.0
development,c2,4,220,222,7-8,8,0.00022951949054195175,0.030303915375764788,0.030303915375768972,0.08488600449487167,0.9839724657012632,1.03270552136218,0.030060085911558492,1.0300600859115585,z,I,0.0,1.0,1,0.964718381618628,0.9307271382087121,0.9416618093362248,4-11,Fx,0.0,0.0,0.0,0.0,0.9265381861979893,6,0-3,Fx,0.42857142857142855,1.0,1.0,0.0
development,c2,5,6,8,7-10,7,0.0009310085163037052,0.01833494484176775,0.018334944841773504,0.059912188369272694,0.9894511995554384,1.0213781443095213,0.018237982617901285,1.0182379826179013,z,I,0.0,1.0,1,0.917066356565336,0.8644637163196082,0.9396441374035461,4-7,Fx,0.0,0.0,1.0,1.0,0.8911240376618905,1,4-7,Fx,0.8571428571428571,1.0,1.0,0.0
development,c2,5,90,92,5-11,11,2.2077533452791176e-07,0.1284077933653954,0.12840779336539543,0.007494062379383582,0.9990481785716092,1.0019059094916956,-0.12834666817221677,0.8716533318277833,z,I,0.0,1.0,1,0.9201269563390339,0.9030398992860765,0.9673581616283343,0-6,Fz,0.0,0.0,0.0,0.0,0.9069025175465611,4,1-6,I,0.7142857142857143,0.7142857142857143,1.0,0.0
development,c2,5,100,102,1-9,9,2.4430841582153556e-05,0.13251812041058564,0.13251812041058497,0.1032572075938884,0.9796640228712316,1.0417226878096164,0.13116375673371977,1.1311637567337198,z,I,0.0,1.0,1,0.9529528869638233,0.9579966579349949,0.9077630152929699,0-7,Fx,0.0,0.0,0.0,0.0,0.9102054304959939,4,0-7,Fx,1.0,1.0,1.0,0.0
development,c2,5,108,110,1-9,1,1.2921408424411852e-06,0.009694953683403888,0.009694953683408418,0.0037277669348780647,0.9995659515567418,1.0008685680452007,0.009692849415268186,1.0096928494152682,z,Fz,0.0,1.0,1,0.9481481682229144,0.9687934757684742,0.8967890018616981,7-11,Fx,0.0,0.0,0.0,0.0,0.9296231527741047,3,8-11,Fx,0.7142857142857143,1.0,1.0,0.0
development,c2,5,122,124,5-11,11,0.0008757798790883786,0.008059685682102972,0.008059685682105798,0.04336223594444633,0.9928086912538201,1.0145126492117775,0.008030653549103123,1.008030653549103,z,I,0.0,1.0,1,0.9585906420131804,0.9432267873261188,0.9332178192646409,1-9,Fx,0.0,0.0,0.0,0.0,0.9322281244604954,3,3-9,Fx,0.7142857142857143,1.0,0.8333333333333334,0.0
development,c2,5,140,142,4-9,9,2.6282990627988362e-05,0.04692405835856106,0.04692405835856413,0.029059487368824806,0.9955000759373503,1.009050653755348,0.04681836196840003,1.0468183619684,z,I,0.0,1.0,1,0.9569228874187936,0.9158815944274897,0.9570619080648238,2-3,Fx,0.0,0.0,0.0,1.0,0.921181598274754,2,3-6,Fx,0.5714285714285714,1.0,1.0,0.0
development,c2,5,146,148,3-8,3,0.004678205579890626,0.10858550918445427,0.1085855091844543,0.17691652412671546,0.9603373324681558,1.0833832931486203,-0.10641032711461018,0.8935896728853898,z,Fz,0.0,1.0,1,0.8724514484929626,0.8422448635601977,0.8852328550162097,0-3,Fz,0.0,0.0,1.0,0.0,0.8404143243617903,2,3-4,Fz,0.42857142857142855,1.0,1.0,0.0
development,c2,5,194,196,0-11,11,5.612485700814962e-05,0.19132933701506677,0.19132933701506705,0.22499330765293082,0.9461063136702387,1.1153625988598783,0.18610221276813088,1.1861022127681309,z,I,0.0,1.0,1,0.9591418104649613,0.9515315217934995,0.9277433892066781,0-7,Fx,0.0,0.0,0.0,0.0,0.9069406297207598,6,0-1,Fx,0.42857142857142855,1.0,1.0,0.0
development,c2,5,204,206,1-9,1,0.000636697936156061,0.1578737814615371,0.15787378146153666,0.026115762721020622,0.9960256402226196,1.0079883340080185,-0.15755974552447513,0.8424402544755248,z,I,0.0,1.0,1,0.8638170237480932,0.8994892868085862,0.9425123133544547,1-11,I,0.0,0.0,1.0,0.0,0.8638170237480932,0,1-11,I,0.5714285714285714,1.0,1.0,0.0
development,c2,5,204,206,4-9,9,5.271105792731486e-07,0.005041435975483622,0.005041435975502942,0.0009257774661203069,0.9999073706760677,1.0001852800999333,0.0050412024776926015,1.0050412024776927,z,I,0.0,1.0,1,0.8938703509177781,0.925253242028369,0.9617081348385209,1-11,Fx,0.0,0.0,0.0,0.0,0.8938703509177781,0,1-11,Fx,0.5714285714285714,1.0,1.0,0.0
development,c2,5,230,232,7-10,7,0.003583504557704842,0.006290393320505665,0.0062903933205242625,0.06410030489527865,0.9885651716206427,1.0231995391109987,-0.006254325131653348,0.9937456748683466,z,I,0.0,1.0,1,0.9266717283185887,0.9288963517277261,0.8875407679807235,3-10,I,0.0,0.0,0.0,0.0,0.8557834195977254,6,1-8,Fz,0.5714285714285714,0.7142857142857143,0.6666666666666666,0.0
development,c2,6,24,26,6-8,6,7.491714786639347e-05,0.09196999611004147,0.09196999611004218,0.11207448522461479,0.9775189827339754,1.046248297300113,0.09093033017321298,1.090930330173213,z,Fz,0.0,1.0,1,0.9516726877899048,0.9229761336314064,0.9700131875921313,5-10,Fx,0.0,0.0,0.0,0.0,0.9438082620200062,5,4-9,Fx,0.5714285714285714,1.0,0.8333333333333334,0.0
