base_id,family,shots,time,true_rx,true_ry,true_rz,observed_xx,observed_xy,observed_xz,estimated_rx,estimated_ry,estimated_rz,true_radius,estimated_radius
T0000,T2,128,0.3125,0.732482556675635,0.0,0.0,0.3125,1.09375,0.890625,0.6875,-0.09375,0.109375,0.732482556675635,0.702430212280907
T0000,T2,128,0.375,0.6882666784373823,0.0,0.0,0.34375,1.0,0.96875,0.65625,0.0,0.03125,0.6882666784373823,0.656993626300895
T0000,T2,128,0.4375,0.6467198656540846,0.0,0.0,0.359375,0.96875,1.1875,0.640625,0.03125,-0.1875,0.6467198656540846,0.6682313993857217
T0000,T2,128,0.5,0.6076810017611347,0.0,0.0,0.515625,1.09375,1.0625,0.484375,-0.09375,-0.0625,0.6076810017611347,0.4973072019637359
T0000,T2,128,0.5625,0.5709986959004802,0.0,0.0,0.453125,1.0625,1.0,0.546875,-0.0625,0.0,0.5709986959004802,0.5504348423065167
T0000,T2,128,0.625,0.5365306958340748,0.0,0.0,0.59375,0.78125,1.078125,0.40625,0.21875,-0.078125,0.5365306958340748,0.467968097870998
T0000,T2,128,0.6875,0.5041433362964609,0.0,0.0,0.515625,1.046875,1.109375,0.484375,-0.046875,-0.109375,0.5041433362964609,0.4987778031097615
T0000,T2,128,0.75,0.47371102064722703,0.0,0.0,0.5,1.046875,0.890625,0.5,-0.046875,0.109375,0.47371102064722703,0.5139651313562039
T0000,T2,128,0.8125,0.44511573381320696,0.0,0.0,0.5625,1.0,0.984375,0.4375,0.0,0.015625,0.44511573381320696,0.4377789289413094
T0000,T2,128,0.875,0.4182465846316372,0.0,0.0,0.4375,1.09375,1.09375,0.5625,-0.09375,-0.09375,0.4182465846316372,0.5779138127783415
T0000,T2,128,0.9375,0.3929993758195005,0.0,0.0,0.6875,0.96875,1.15625,0.3125,0.03125,-0.15625,0.3929993758195005,0.350780380010057
T0000,T2,128,1.0,0.36927619990141614,0.0,0.0,0.734375,0.921875,0.953125,0.265625,0.078125,0.046875,0.36927619990141614,0.28081563680642857
T0000,T2,128,1.0625,0.3469850595291054,0.0,0.0,0.5625,1.0,1.21875,0.4375,0.0,-0.21875,0.3469850595291054,0.489139870078079
T0000,T2,128,1.125,0.32603951072004916,0.0,0.0,0.71875,0.921875,1.203125,0.28125,0.078125,-0.203125,0.32603951072004916,0.35561895864815757
T0000,T2,128,1.1875,0.30635832763183396,0.0,0.0,0.6875,0.921875,0.890625,0.3125,0.078125,0.109375,0.30635832763183396,0.3401803290168319
T0000,T2,128,1.25,0.2878651875721965,0.0,0.0,0.8125,1.0,1.109375,0.1875,0.0,-0.109375,0.2878651875721965,0.2170694373351532
T0000,T2,128,1.3125,0.2704883750232521,0.0,0.0,0.6875,0.96875,0.828125,0.3125,0.03125,0.171875,0.2704883750232521,0.358013726168425
T0000,T2,128,1.375,0.2541605035321265,0.0,0.0,0.71875,1.09375,0.890625,0.28125,-0.09375,0.109375,0.2541605035321265,0.3159960690024482
T0000,T2,128,1.4375,0.23881825438949475,0.0,0.0,0.609375,1.03125,0.953125,0.390625,-0.03125,0.046875,0.23881825438949475,0.39466659188484654
T0000,T2,128,1.5,0.22440213108263754,0.0,0.0,0.6875,0.984375,1.078125,0.3125,0.015625,-0.078125,0.22440213108263754,0.32249636625859834
T0000,T2,128,1.5625,0.2108562285707937,0.0,0.0,0.78125,1.0625,1.03125,0.21875,-0.0625,-0.03125,0.2108562285707937,0.22963966338592295
T0000,T2,128,1.625,0.1981280164880697,0.0,0.0,0.5625,1.078125,1.03125,0.4375,-0.078125,-0.03125,0.1981280164880697,0.44551804466822664
T0000,T2,128,1.6875,0.18616813543317876,0.0,0.0,0.875,1.03125,0.765625,0.125,-0.03125,0.234375,0.18616813543317876,0.26745691825974516
T0000,T2,128,1.75,0.17493020555602928,0.0,0.0,0.984375,1.046875,0.984375,0.015625,-0.046875,0.015625,0.17493020555602928,0.05182226234930312
T0000,T2,128,1.8125,0.16437064669887136,0.0,0.0,0.859375,0.984375,0.890625,0.140625,0.015625,0.109375,0.16437064669887136,0.1788362990978062
T0000,T2,128,1.875,0.15444850939451701,0.0,0.0,0.765625,0.921875,0.921875,0.234375,0.078125,0.078125,0.15444850939451701,0.25911131174651564
T0000,T2,128,1.9375,0.14512531606625365,0.0,0.0,0.875,1.046875,0.953125,0.125,-0.046875,0.046875,0.14512531606625365,0.14149039278339715
T0000,T2,128,2.0,0.13636491181363067,0.0,0.0,0.84375,0.984375,1.109375,0.15625,0.015625,-0.109375,0.13636491181363067,0.19136638615493579
T0000,T2,128,2.0625,0.1281333242054747,0.0,0.0,0.765625,0.953125,0.890625,0.234375,0.046875,0.109375,0.1281333242054747,0.2628531850196988
T0000,T2,128,2.125,0.12039863153641682,0.0,0.0,1.015625,0.984375,0.984375,-0.015625,0.015625,0.015625,0.12039863153641682,0.027063293868263706
T0000,T2,128,2.1875,0.11313083903603664,0.0,0.0,1.03125,1.140625,1.0,-0.03125,-0.140625,0.0,0.11313083903603664,0.14405538214520136
T0000,T2,128,2.25,0.10630176255056907,0.0,0.0,0.953125,0.921875,1.03125,0.046875,0.078125,-0.03125,0.10630176255056907,0.09631896879639025
T0000,T2,128,2.3125,0.09988491924609567,0.0,0.0,1.03125,1.03125,0.890625,-0.03125,-0.03125,0.109375,0.09988491924609567,0.11796616305110547
T0000,T2,128,2.375,0.09385542490937412,0.0,0.0,1.015625,0.984375,0.984375,-0.015625,0.015625,0.015625,0.09385542490937412,0.027063293868263706
T0000,T2,128,2.4375,0.08818989744804231,0.0,0.0,0.8125,0.953125,0.96875,0.1875,0.046875,0.03125,0.08818989744804231,0.19578068884596356
T0000,T2,128,2.5,0.08286636621597587,0.0,0.0,0.953125,1.0,1.09375,0.046875,0.0,-0.09375,0.08286636621597587,0.10481568644530265
T0000,T2,128,2.5625,0.07786418681216709,0.0,0.0,0.90625,0.84375,0.96875,0.09375,0.15625,0.03125,0.07786418681216709,0.184877493221863
T0000,T2,128,2.625,0.07316396102271949,0.0,0.0,0.890625,1.0625,0.984375,0.109375,-0.0625,0.015625,0.07316396102271949,0.1269381000724369
T0000,T2,128,2.6875,0.06874746159549643,0.0,0.0,0.96875,1.015625,0.984375,0.03125,-0.015625,0.015625,0.06874746159549643,0.038273277230987154
T0000,T2,128,2.75,0.06459756155570409,0.0,0.0,1.03125,1.15625,1.03125,-0.03125,-0.15625,-0.03125,0.06459756155570409,0.16237976320958225
T0000,T2,128,2.8125,0.060698167788297466,0.0,0.0,0.8125,0.890625,0.953125,0.1875,0.109375,0.046875,0.060698167788297466,0.22207297505549836
T0000,T2,128,2.875,0.05703415862964543,0.0,0.0,0.984375,0.9375,0.84375,0.015625,0.0625,0.15625,0.05703415862964543,0.1690102160373745
T0000,T2,128,2.9375,0.05359132522643809,0.0,0.0,0.90625,1.0,0.96875,0.09375,0.0,0.03125,0.05359132522643809,0.09882117688026186
T0000,T2,128,3.0,0.05035631643442925,0.0,0.0,0.8125,0.9375,0.78125,0.1875,0.0625,0.21875,0.05035631643442925,0.29481191037676885
T0000,T2,128,3.0625,0.04731658704333383,0.0,0.0,0.828125,1.03125,0.984375,0.171875,-0.03125,0.015625,0.04731658704333383,0.1753901900050285
T0000,T2,128,3.125,0.04446034912709879,0.0,0.0,1.109375,0.96875,0.90625,-0.109375,0.03125,0.09375,0.04446034912709879,0.14740595518838442
T0000,T2,128,3.1875,0.04177652633088641,0.0,0.0,1.015625,0.890625,0.984375,-0.015625,0.109375,0.015625,0.04177652633088641,0.11158481919598204
T0000,T2,128,3.25,0.03925471091749682,0.0,0.0,0.96875,0.84375,1.0,0.03125,0.15625,0.0,0.03925471091749682,0.15934435979977452
T0000,T2,128,3.3125,0.03688512340665804,0.0,0.0,0.921875,0.96875,1.0,0.078125,0.03125,0.0,0.03688512340665804,0.08414320011147662
T0000,T2,128,3.375,0.034658574650666386,0.0,0.0,1.03125,0.96875,0.96875,-0.03125,0.03125,0.03125,0.034658574650666386,0.05412658773652741
T0000,T2,128,3.4375,0.03256643019930865,0.0,0.0,0.921875,1.109375,1.046875,0.078125,-0.109375,-0.046875,0.03256643019930865,0.14235052467412967
T0000,T2,128,3.5,0.030600576815874657,0.0,0.0,0.984375,1.140625,1.03125,0.015625,-0.140625,-0.03125,0.030600576815874657,0.14490028899212037
T0000,T2,128,3.5625,0.02875339101441103,0.0,0.0,1.09375,1.125,0.96875,-0.09375,-0.125,0.03125,0.02875339101441103,0.15934435979977452
T0000,T2,128,3.625,0.027017709496205185,0.0,0.0,1.203125,0.890625,1.046875,-0.203125,0.109375,-0.046875,0.027017709496205185,0.23541436208311506
T0000,T2,128,3.6875,0.025386801370853473,0.0,0.0,0.9375,0.953125,0.9375,0.0625,0.046875,0.0625,0.025386801370853473,0.10004881620988826
T0000,T2,128,3.75,0.02385434205418821,0.0,0.0,1.09375,0.984375,0.90625,-0.09375,0.015625,0.09375,0.02385434205418821,0.1335000585205864
T0000,T2,128,3.8125,0.022414388741841026,0.0,0.0,1.140625,0.921875,1.0,-0.140625,0.078125,0.0,0.022414388741841026,0.1608692209529219
T0000,T2,128,3.875,0.021061357363330018,0.0,0.0,0.9375,0.984375,1.015625,0.0625,0.015625,-0.015625,0.021061357363330018,0.06629126073623882
T0000,T2,128,3.9375,0.019790000927299954,0.0,0.0,0.984375,0.921875,0.90625,0.015625,0.078125,0.09375,0.019790000927299954,0.12303137303143455
T0000,T2,128,4.0,0.018595389173939266,0.0,0.0,1.0625,0.921875,0.96875,-0.0625,0.078125,0.03125,0.018595389173939266,0.10481568644530265
T0000,T1,128,0.0,1.0,0.0,0.0,0.0,1.09375,1.0625,0.993712150471259,-0.09316051410668054,-0.06210700940445369,1.0,1.0
T0000,T1,128,0.0625,0.9887609947907368,0.0,0.022351695180432674,0.015625,1.09375,1.015625,0.984375,-0.09375,-0.015625,0.9890136010677539,0.9889526499029162
T0000,T1,128,0.125,0.9776483048195673,0.0,0.044203792083426285,0.015625,0.890625,0.984375,0.984375,0.109375,0.015625,0.9786471188079636,0.9905559912872164
T0000,T1,128,0.1875,0.9666605104288729,0.0,0.06556745757739091,0.03125,1.015625,0.953125,0.96875,-0.015625,0.046875,0.9688816408188217,0.9700092621980473
T0000,T1,128,0.25,0.9557962079165737,0.0,0.08645360893229781,0.015625,1.046875,0.96875,0.984375,-0.046875,0.03125,0.9596981908731104,0.9859857852677187
T0000,T1,128,0.3125,0.9450540093568053,0.0,0.10687291939862731,0.046875,1.09375,1.015625,0.953125,-0.09375,-0.015625,0.9510777578632349,0.9578520077496314
T0000,T1,128,0.375,0.9344325424226091,0.0,0.12683582366161894,0.109375,1.171875,0.859375,0.890625,-0.171875,0.140625,0.9430013268825779,0.9178939464202822
T0000,T1,128,0.4375,0.9239304502106163,0.0,0.14635252317360792,0.125,0.953125,1.0,0.875,0.046875,0.0,0.9354499120026007,0.8762546808006221
T0000,T1,128,0.5,0.9135463910677022,0.0,0.16543299136717682,0.09375,0.96875,0.84375,0.90625,0.03125,0.15625,0.9284045902867539,0.920151991520966
T0000,T1,128,0.5625,0.9032790384195887,0.0,0.18408697875178315,0.234375,1.015625,0.875,0.765625,-0.015625,0.125,0.9218465365743781,0.775919313620946
T0000,T1,128,0.625,0.8931270806013727,0.0,0.20232401789646914,0.078125,1.0625,0.84375,0.921875,-0.0625,0.15625,0.9157570585702857,0.9371092935858656
T0000,T1,128,0.6875,0.8830892206899598,0.0,0.22015342830119955,0.171875,1.21875,0.796875,0.828125,-0.21875,0.203125,0.9101176317880958,0.8802853763127046
T0000,T1,128,0.75,0.8731641763383811,0.0,0.2375843211593165,0.1875,0.921875,0.65625,0.8125,0.078125,0.34375,0.9049099339168604,0.8856770450480242
T0000,T1,128,0.8125,0.863350679611972,0.0,0.25462560401354606,0.171875,0.9375,0.84375,0.828125,0.0625,0.15625,0.9001158782099764,0.8450510801868725
T0000,T1,128,0.875,0.8536474768263921,0.0,0.27128598530793435,0.1875,1.0,0.609375,0.8125,0.0,0.390625,0.8957176455315382,0.9015232335469785
T0000,T1,128,0.9375,0.8440533283874658,0.0,0.2875739788380407,0.09375,1.0,0.859375,0.90625,0.0,0.140625,0.8916977147367268,0.9170956619268243
T0000,T1,128,1.0,0.8345670086328232,0.0,0.30349790810166133,0.234375,0.90625,0.796875,0.765625,0.09375,0.203125,0.8880388911080546,0.7976405636312637
T0000,T1,128,1.0625,0.8251873056753196,0.0,0.3190659105523066,0.125,1.015625,0.703125,0.875,-0.015625,0.296875,0.8847243326168134,0.9241233176638278
T0000,T1,128,1.125,0.8159130212482169,0.0,0.33428594175760695,0.171875,0.9375,0.78125,0.828125,0.0625,0.21875,0.8817375738274758,0.858806630228831
T0000,T1,128,1.1875,0.8067429705521024,0.0,0.3491657794647697,0.21875,0.859375,0.75,0.78125,0.140625,0.25,0.8790625473107534,0.8322421240991109
T0000,T1,128,1.25,0.7976759821035309,0.0,0.36371302757516755,0.203125,1.015625,0.5625,0.796875,-0.015625,0.4375,0.8766836024773859,0.9092085328735097
T0000,T1,128,1.3125,0.7887108975853651,0.0,0.3779351200300878,0.234375,1.015625,0.59375,0.765625,-0.015625,0.40625,0.8745855217885036,0.8668707191675123
T0000,T1,128,1.375,0.7798465716988005,0.0,0.39183932460962767,0.203125,0.953125,0.546875,0.796875,0.046875,0.453125,0.8727535343388199,0.9178939464202822
T0000,T1,128,1.4375,0.7710818720170516,0.0,0.4054327466466793,0.21875,0.921875,0.546875,0.78125,0.078125,0.453125,0.8711733268453478,0.9065193565225179
T0000,T1,128,1.5,0.7624156788406835,0.0,0.4187223326578997,0.328125,1.0,0.5,0.671875,0.0,0.5,0.8698310521064266,0.8375058302035873
T0000,T1,128,1.5625,0.7538468850545691,0.0,0.43171487389352337,0.328125,0.984375,0.53125,0.671875,0.015625,0.46875,0.8687133350233421,0.8193819126329309
T0000,T1,128,1.625,0.7453743959864539,0.0,0.44441700980782894,0.15625,1.0,0.734375,0.84375,0.0,0.265625,0.8678072762996994,0.884573740919885
T0000,T1,128,1.6875,0.7369971292671108,0.0,0.45683523145203764,0.171875,1.125,0.53125,0.828125,-0.125,0.46875,0.8671004539520201,0.9597617298710134
T0000,T1,128,1.75,0.7287140146920656,0.0,0.468975884791372,0.328125,1.171875,0.578125,0.671875,-0.171875,0.421875,0.8665809227789857,0.8117484504912836
T0000,T1,128,1.8125,0.7205239940848784,0.0,0.4808451739479741,0.25,0.8125,0.53125,0.75,0.1875,0.46875,0.8662372119466373,0.9040922588430895
T0000,T1,128,1.875,0.7124260211619593,0.0,0.49244916437133956,0.34375,0.96875,0.59375,0.65625,0.03125,0.40625,0.8660583208529845,0.7724504433942672
T0000,T1,128,1.9375,0.7044190613989053,0.0,0.5037937859378852,0.3125,1.015625,0.53125,0.6875,-0.015625,0.46875,0.8660337134383063,0.8322421240991109
T0000,T1,128,2.0,0.6965020918983387,0.0,0.5148848359812381,0.28125,0.96875,0.515625,0.71875,0.03125,0.484375,0.8661533111073283,0.8672930678986198
T0000,T1,128,2.0625,0.6886741012592306,0.0,0.5257279822547911,0.3125,1.0625,0.484375,0.6875,-0.0625,0.515625,0.8664074844268734,0.8616447299351399
T0000,T1,128,2.125,0.6809340894476934,0.0,0.5363287658280407,0.140625,1.0625,0.421875,0.828215577663147,-0.06023386019368342,0.5571632067915716,0.8667870437579167,1.0
T0000,T1,128,2.1875,0.6732810676692258,0.0,0.5466926039181873,0.375,1.0625,0.40625,0.625,-0.0625,0.59375,0.8672832289746301,0.8643322928712082
T0000,T1,128,2.25,0.665714058242393,0.0,0.5568247926584436,0.4375,0.9375,0.453125,0.5625,0.0625,0.546875,0.8678876984153393,0.7870100162164393
T0000,T1,128,2.3125,0.658232094473927,0.0,0.5667305098044672,0.390625,0.78125,0.484375,0.609375,0.21875,0.515625,0.8685925172016876,0.8276826648843142
