split,branch,seed,source_time,origin_time,shared_node,source_other_node,child_other_node,source_pair,child_pair,closing_pair_1p5,open_edge_control,weight,q28_residual_fraction,exact_1p5_error,exact_3p5_composite_error,seed_error,time_error,open_edge_error,exact_beta,exact_flip
development,c4,40,124,126,6,9,5,6-9,5-6,5-9,8-9,6.167888894661501e-05,0.05321508509486907,0.99029460637486,0.05269861174722805,0.9981331615097538,0.9820166571657306,0.9992070013731994,0.0036172340829241905,Fz
development,c4,43,44,46,1,10,0,1-10,0-1,0-10,7-10,1.3167696273002488e-05,0.04303600782124702,0.9998727821470822,0.04303053287273385,0.9986778984494502,0.9984464847326124,0.999951135100164,0.002719978391881335,I
development,c4,45,84,86,1,4,3,1-4,1-3,3-4,0-4,5.291035533219182e-05,0.06864490822823299,0.9996542769203374,0.06862117609915717,0.9982967873708837,0.9990940220741441,0.9996830008685215,0.008791714001152908,I
development,c4,52,160,162,3,0,4,0-3,3-4,0-4,0-6,1.9818943158944613e-05,0.1779353333743351,0.9859983767402504,0.1754439498718297,0.9905276222000534,0.9881130719515558,0.9689972531454367,0.015056230469058254,Fz
development,c4,54,52,54,11,9,10,9-11,10-11,9-10,6-9,1.0542553519847086e-06,0.0011062020696629964,0.9999190235328649,0.0011061124933274575,0.9997181106330006,0.9965973380714989,0.996857797459175,8.325615180486976e-06,I
development,c4,54,78,80,11,5,9,5-11,9-11,5-9,5-10,0.00028532339978189214,0.08589507028532499,0.9994648253370787,0.08584910142003845,0.9991420806616153,0.9934082957922578,0.999183094899062,0.021522885699447988,I
development,c4,55,44,46,1,6,3,1-6,1-3,3-6,5-6,4.389867825888016e-06,0.04419653532920898,0.993069131191015,0.04389021494103056,0.9978004511599035,0.9763597619258556,0.9919869320504496,0.0015004074601994402,Fx
development,c4,57,240,242,7,11,9,7-11,7-9,9-11,5-11,0.0017441138638654152,0.03340883724361138,0.9960003217017637,0.033275212642318794,0.9916520018310183,0.996598962015533,0.982606755506496,0.004331342667170568,Fx
development,c4,61,206,208,1,6,11,1-6,1-11,6-11,3-6,0.005893582087280302,0.04413743475524678,0.9477480537452604,0.041831167886593544,0.9743748079917519,0.9548991985911812,0.9734147743853628,0.03780740742914648,Fz
development,c4,65,22,24,11,3,0,3-11,0-11,0-3,2-3,8.18544356042672e-05,0.052135632821116634,0.996300574315587,0.05194276092198507,0.972143272858258,0.9956109640279885,0.9970671287783157,0.010315694492241985,Fz
development,c4,68,112,114,3,8,4,3-8,3-4,4-8,8-11,1.3008404062958556e-05,0.061121370924380934,0.9710219198491816,0.05935019093880632,0.9926592881947368,0.984262209223628,0.9830689350396852,0.009661586597472665,I
development,c4,75,158,160,8,6,10,6-8,8-10,6-10,6-9,1.3110268838639923e-06,0.03738514862756289,0.9996514092591923,0.0373721165109076,0.9969302805144008,0.9737726286004589,0.9758757298132463,0.00030837204207985724,I
development,c4,77,58,60,7,3,5,3-7,5-7,3-5,3-4,3.663932482556552e-05,0.01825464205075893,0.9998397162806688,0.018251716128835974,0.9803247907188474,0.9792132984445432,0.9997911533454952,0.001950953638733207,I
development,c4,80,182,184,4,1,3,1-4,3-4,1-3,1-6,1.8660115915145742e-05,0.0613607846149595,0.9978312185554773,0.061227706483865225,0.9978488438024667,0.9955814085033738,0.998258397142346,0.005977452905541154,Fz
development,c4,84,48,50,11,0,1,0-11,1-11,0-1,0-6,0.006049945873512819,0.11217494655792684,0.9738572200800132,0.10924238161752668,0.9858224582900984,0.971752515168581,0.96619928448945,0.055816256042979205,I
development,c4,88,146,148,6,7,8,6-7,6-8,7-8,5-7,7.201256001477391e-05,0.061106396704300354,0.9983318053550648,0.061004459340546956,0.9968608988043665,0.9970852985828308,0.9988760606389598,0.0030564915198339495,I
development,c4,88,182,184,6,11,7,6-11,6-7,7-11,8-11,0.00010245884316063825,0.03664694956866863,0.9991943123429392,0.036617423573732225,0.9898641085776384,0.9867707650738569,0.9987331494072961,0.03252621715898123,I
development,c4,89,142,144,0,11,2,0-11,0-2,2-11,5-11,3.997230624455672e-06,0.023626821024061724,0.9999050029887872,0.023624576546679977,0.9997044995092149,0.9992477639201327,0.9999041759422866,0.009399282179344057,I
development,c4,89,160,162,4,7,3,4-7,3-4,3-7,7-10,4.91425366583309e-06,0.044004362845399235,0.9966390703218403,0.043856467276343625,0.9943248932409671,0.9967093164638386,0.9960829986203722,0.00807972464971838,I
