state,projection,group,expectation,expectation_ci_low,expectation_ci_high,ara_coordinate,reversed_ara_coordinate,ideal_expectation,ideal_ara_coordinate
Psi-plus,XX,same_axis_parent,0.855,0.8133333333333332,0.895,0.14500000000000002,1.855,1.0,0.0
Psi-plus,YI,local_child,0.04666666666666669,-0.036666666666666625,0.13,0.9533333333333334,1.0466666666666666,0.0,1.0
Psi-plus,XI,local_child,0.0633333333333333,-0.013333333333333364,0.14341666666666628,0.9366666666666668,1.0633333333333332,0.0,1.0
Psi-plus,IY,local_child,-0.05666666666666667,-0.14,0.026666666666666644,1.0566666666666666,0.9433333333333334,0.0,1.0
Psi-plus,IX,local_child,-0.00666666666666671,-0.0834166666666667,0.07000000000000006,1.0066666666666668,0.9933333333333332,0.0,1.0
Psi-plus,ZI,local_child,-0.0033333333333333843,-0.08333333333333331,0.07333333333333336,1.0033333333333334,0.9966666666666666,0.0,1.0
Psi-plus,IZ,local_child,0.04333333333333342,-0.033333333333333375,0.11999999999999994,0.9566666666666666,1.0433333333333334,0.0,1.0
Psi-minus,ZZ,same_axis_parent,-0.8500000000000001,-0.8916666666666667,-0.8066666666666666,1.85,0.1499999999999999,-1.0,2.0
Psi-minus,YZ,mixed_pair_control,0.013333333333333364,-0.0683333333333333,0.08833333333333335,0.9866666666666666,1.0133333333333334,0.0,1.0
Psi-minus,XZ,mixed_pair_control,0.2066666666666666,0.13162499999999994,0.28500000000000003,0.7933333333333334,1.2066666666666666,0.0,1.0
Psi-minus,ZY,mixed_pair_control,-0.04499999999999996,-0.12499999999999997,0.03500000000000003,1.045,0.9550000000000001,0.0,1.0
Psi-minus,ZX,mixed_pair_control,-0.3433333333333333,-0.4166666666666666,-0.2682916666666669,1.3433333333333333,0.6566666666666667,0.0,1.0
Psi-minus,YY,same_axis_parent,-0.8816666666666667,-0.9183333333333333,-0.8416666666666667,1.8816666666666668,0.11833333333333318,-1.0,2.0
Psi-minus,YX,mixed_pair_control,0.09833333333333333,0.018333333333333313,0.17333333333333337,0.9016666666666666,1.0983333333333334,0.0,1.0
Psi-minus,XY,mixed_pair_control,-0.06499999999999997,-0.1416666666666667,0.013333333333333336,1.065,0.935,0.0,1.0
Psi-minus,XX,same_axis_parent,-0.835,-0.8783333333333333,-0.7883333333333333,1.835,0.16500000000000004,-1.0,2.0
Psi-minus,YI,local_child,-0.050000000000000044,-0.13166666666666665,0.02833333333333332,1.05,0.95,0.0,1.0
Psi-minus,XI,local_child,0.026666666666666672,-0.053333333333333316,0.10833333333333328,0.9733333333333334,1.0266666666666666,0.0,1.0
Psi-minus,IY,local_child,0.08166666666666675,0.003333333333333355,0.16170833333333312,0.9183333333333332,1.0816666666666668,0.0,1.0
Psi-minus,IX,local_child,0.13333333333333336,0.051666666666666666,0.20837499999999978,0.8666666666666667,1.1333333333333333,0.0,1.0
Psi-minus,ZI,local_child,-0.06666666666666671,-0.14670833333333344,0.015000000000000006,1.0666666666666667,0.9333333333333333,0.0,1.0
Psi-minus,IZ,local_child,0.07666666666666672,-0.006708333333333358,0.1583333333333333,0.9233333333333333,1.0766666666666667,0.0,1.0
