split,branch,seed,time,source_pair,endpoint,lag,weight,release,accumulation,rotation_error,no_rotation_error,angle_deg,spectrum_similarity
hidden,c4,20,351,"(3, 11)",11,2,1.6741054014285633e-06,0.0012765164719894528,0.0013114640023559332,0.0002640410092045637,0.0002640410092045637,0.0,0.9999999651411723
hidden,c4,20,359,"(2, 9)",9,2,2.0964930843049285e-07,0.0005898508243262768,0.0003554276772774756,0.010782317023655704,0.010782317023655704,0.0,0.9999418691302018
hidden,c4,20,407,"(2, 3)",3,2,5.3913016695517416e-05,0.011377197690308094,0.004738690331578255,0.009700823256709705,0.009700823256709705,0.0,0.9999529459070273
hidden,c4,20,409,"(6, 10)",10,2,3.1799516137007156e-05,0.0033077560365200043,0.009613621979951859,0.02062385793078516,1.0,180.0,0.9997873056225762
hidden,c4,20,415,"(1, 2)",1,2,1.247860172181453e-05,0.004204974044114351,0.0029675811529159546,0.03708906767360976,0.03708906767360976,0.0,0.9993119638326675
hidden,c4,20,429,"(7, 8)",8,2,6.295208392008422e-05,0.012954264879226685,0.004859564360231161,0.14669985225563792,0.14669985225563792,0.0,0.9891810518546006
hidden,c4,20,447,"(3, 7)",7,2,0.0004126412079183753,0.009804809466004372,0.042085591703653336,0.0590148576628531,1.0,180.0,0.9982571044450589
hidden,c4,20,455,"(2, 5)",5,2,0.000791598728404036,0.017594030126929283,0.044992461800575256,0.06293183285263293,0.06293183285263293,0.0,0.9980178277033974
hidden,c4,20,471,"(2, 3)",3,2,1.0057262390488625e-05,0.05465357005596161,0.00018401839770376682,0.2242332146250734,1.0,180.0,0.9745355126720142
hidden,c4,20,473,"(6, 10)",10,2,2.3632479586536276e-07,0.0006780959665775299,0.0003485123161226511,0.0033068215819509095,1.0,180.0,0.9999945324505654
hidden,c4,20,477,"(7, 10)",10,2,0.00026753741950252125,0.003104289062321186,0.08618315309286118,0.11225737106131636,1.0,180.0,0.993679164842658
hidden,c4,20,487,"(3, 11)",3,2,2.6902057549091937e-06,0.001497755409218371,0.0017961582634598017,0.004631492138494943,0.004631492138494943,0.0,0.9999892745827682
hidden,c4,22,258,"(5, 9)",5,2,0.000444985398024178,0.0054794251918792725,0.08121023327112198,0.07185312480328172,0.07185312480328172,0.0,0.9974152236937253
hidden,c4,22,262,"(0, 7)",7,2,6.659281025811481e-05,0.030248049646615982,0.002201557159423828,0.05048893574065113,1.0,180.0,0.9987246203873099
hidden,c4,22,270,"(5, 11)",11,2,0.0016112278495989951,0.07996437698602676,0.020149320363998413,0.0738455364255981,1.0,180.0,0.9972696910816129
