condition,state,wait_index,wait_us,a_x,a_y,a_z,b_x,b_y,b_z,u,v,radius,transverse_radius,k,q8_h_linear,purity,i_child_a,i_child_b,i_relation,i_relation_core,i_relation_off,i_unresolved_to_pure,i_unresolved_half_scale,information3_sum,rho_reconstruction_fro_error,purity_closure_abs_error
Ramsey,Phi-minus,9,36.02,-0.0804857769793153,-0.11531591759688627,0.007638775597122727,-0.12448620820489589,-0.1314668861788751,0.030217896459148186,0.03833074370340553,-0.08914556320452954,0.09703698960658731,0.09919933337330322,0.9253063920723584,0.9776566183210541,0.4875542895807275,0.01983407203979914,0.03369347946121779,0.8966896068218918,0.8750242739137829,0.021665332908108903,2.0497828416770916,1.0248914208385458,3.0000000000000004,3.0351712623509415e-16,1.2212453270876722e-15
Ramsey,Phi-minus,10,40.02,-0.025081942263652537,0.03153410784445126,0.09603592215186474,-0.0656250592713966,-0.13973274971471844,0.11744987574313792,0.010065752712848024,-0.024355386974570264,0.026353448585664727,0.023637677207831748,0.9483534750037206,1.0252930764106147,0.4970135898892386,0.010846402128821707,0.037626363059289,0.9395815943688446,0.900763322056347,0.03881827231249757,2.011945640443045,1.0059728202215226,3.0000000000000004,1.9093979237059855e-16,8.881784197001252e-16
Ramsey,Psi-plus,0,0.02,0.015069238440917041,-0.1060189323961094,-0.13123443582749467,0.009585292993034079,-0.07328274166903796,0.1232189472340805,0.9515215074915025,0.10506183272523487,0.9573041146440805,0.9579739319874405,0.9670523628682208,0.07564352248769868,0.9570719684357687,0.028689573120560842,0.020645147025768376,2.7789531535967447,2.7680526083579826,0.01090054523876205,0.1717121262569261,0.08585606312846306,3.0,3.746079642215674e-16,8.881784197001252e-16
Ramsey,Psi-plus,1,4.02,-0.05443823112935997,0.035537146695597634,0.028983752177528743,-0.06480333533807872,0.01488144850101248,-0.020730650012729834,0.7063534837648162,-0.612499927787236,0.9349285563967238,0.9247676039059091,0.9369530294837465,0.12811841411952973,0.9137473462317779,0.005066467694046445,0.004850689630378064,2.6450722276026877,2.6260637905908943,0.019008437011793333,0.345010615072888,0.172505307536444,3.0,1.3961560630200158e-16,4.440892098500626e-16
Ramsey,Psi-plus,2,8.02,0.12113189890862913,0.06404396684344335,0.01871326705138554,0.02135668430131959,0.11388512422669013,-0.04163454238306358,0.14193189164131711,-0.8310692488502733,0.8431018670655641,0.82187037768005,0.9356323566595028,0.22126577627493305,0.8409666515731906,0.019124752985990888,0.01515936460392199,2.3295824887028487,2.2970494233270955,0.03253306537575318,0.6361333937072384,0.3180666968536192,3.0,2.242981354858414e-16,8.881784197001252e-16
Ramsey,Psi-plus,3,12.02,-0.010140978329694156,-0.07531445569929608,-0.058549380387891536,0.03427905513301746,0.022091468648101832,0.05248936854454539,-0.4919856728111506,-0.3389158468862025,0.5974226757681971,0.6009914038005035,0.93432340231609,0.4682539219157129,0.6577818323717162,0.009203136622570577,0.004418220418047628,1.6175059724462457,1.5867879271595788,0.030718045286666884,1.3688726705131362,0.6844363352565681,3.0,2.6130486995003314e-16,6.661338147750939e-16
Ramsey,Psi-plus,4,16.02,-0.13166085359034538,0.07332639554502429,-0.011270463953652887,0.16906659573241464,0.05777783039266927,0.0033639421426541194,-0.5878821134496919,0.08373392679969324,0.5938154172900639,0.5825664968959099,0.8641759811954136,0.5420086015145223,0.6336693405771631,0.022838364009494308,0.0319331075841709,1.479905890714987,1.4520336260978013,0.027872264617185616,1.465322637691348,0.732661318845674,3.0,8.732614174318292e-17,2.220446049250313e-16
Ramsey,Psi-plus,5,20.02,-0.05841703873001347,-0.008848133661820967,0.03630917336667028,0.11974462703202032,0.11580220052489523,-0.03897346723139633,-0.17487120463058,0.3296054623841923,0.37312156067754565,0.3769455763235632,0.9534135985964238,0.6734648407260305,0.5667869728411635,0.0048091959538522615,0.029267856497482418,1.233070838913318,1.1874368880734776,0.045633950839840454,1.7328521086353477,0.8664260543176738,3.0000000000000004,2.9697039692647495e-16,1.3322676295501878e-15
Ramsey,Psi-plus,6,24.02,-0.1596691371939134,0.1827171771292463,-0.026668387607448718,0.10907815903041576,0.16064788696153845,0.006398127405781051,0.17179277285142944,0.1914585111859879,0.2572335870556912,0.24396695821452796,0.9109549063546155,0.8318115065896932,0.5287579679291237,0.05959100308791023,0.03774672439697251,1.0176941442316103,0.962177078030622,0.055517066200988285,1.8849681282835071,0.9424840641417536,3.0,3.2069366973621415e-16,1.5543122344752192e-15
Ramsey,Psi-plus,7,28.02,-0.1920338477818414,0.06164397884543431,0.07653401161976986,0.09576175825976449,0.1082614355595834,-0.02941104510199688,0.14449959410180713,-0.01880671239953793,0.14571830745265313,0.1524351474620489,0.8690269461758916,0.9852547463714552,0.4817108497871228,0.04653443375641086,0.021755862348415096,0.8585531030436654,0.7976754834335279,0.06087761961013749,2.073156600851509,1.0365783004257545,3.0000000000000004,4.87924707186812e-17,1.1102230246251565e-16
