split,branch,branch_index,seed,events,weight,trials,q28_fit_error,residual_fraction,residual_component_entropy,residual_largest_axis_share,residual_effective_dimension,child_weight_entropy,strongest_child_weight_share,positive_child_count,origin_exact_error,origin_seed_error,origin_time_error,origin_exact_is_local,origin_seed_is_local,origin_time_is_local,origin_exact_is_strongest_child,origin_seed_is_strongest_child,origin_time_is_strongest_child,origin_exact_shares_endpoint,origin_seed_shares_endpoint,origin_time_shares_endpoint,origin_exact_is_active,origin_seed_is_active,origin_time_is_active,optimal_exact_error,optimal_seed_error,optimal_time_error,path_partner_persistence,seed_path_partner_persistence,time_path_partner_persistence,path_flip_persistence,seed_path_flip_persistence,time_path_flip_persistence,path_adjacency_share,seed_path_adjacency_share,time_path_adjacency_share,path_self_return,seed_path_self_return,time_path_self_return,modal_partner_concentration,partner_entropy,source_endpoint_groups,seed_modal_partner_concentration,seed_partner_entropy,time_modal_partner_concentration,time_partner_entropy
development,c2,0,5,232,0.23658393595267901,1,0.09349169509385381,0.09349169509385444,0.21708244168543792,0.9410135044594125,1.1362239679711994,0.0,1.0,1.0,0.9144554643443457,0.9122007920770245,0.9223128658423256,0.028258809497758323,0.03876425886178909,0.001237551081508378,0.028258809497758323,0.03876425886178909,0.001237551081508378,0.4743472974359163,0.14531768737211367,0.1803152854439026,0.04611051980300606,0.09610306262680814,0.09233360911032877,0.8987716070027909,0.8547074941718721,0.8985297240704095,0.5149921554547355,0.5514533070167883,0.49144032379348257,0.7726940678308997,0.8703557188117172,0.8518247787625906,0.8889764259877454,0.9166125593938282,0.9008457035448361,0.08288914502992101,0.011111083027765613,0.021518618012041895,0.809857854333246,0.3534820891504214,70,0.8113130186004965,0.34719727884612733,0.8189531609092714,0.3395222571875547
opened_later_half,c2,0,5,209,0.17034113369051176,1,0.12118845680391718,0.12118845680391747,0.20455005167159215,0.9466030100091595,1.1200890606130038,0.0,1.0,1.0,0.9228937982759002,0.9162256798256384,0.9174280670167873,0.01134058089799024,0.015183971733953871,0.00026948111226188703,0.01134058089799024,0.015183971733953871,0.00026948111226188703,0.2999984408300429,0.1372561048247864,0.13039364836438963,0.04834885182057384,0.043458519852132955,0.18458697567548657,0.885791030246447,0.8413472470340864,0.8827362687571922,0.4976283696053848,0.4779448740330976,0.47912282908288123,0.8114505155659808,0.8065216054145876,0.7487325748774237,0.8682396287990347,0.8513569991928396,0.8546850161212332,0.011695084758021591,0.008321470018837514,0.0490338669665587,0.7400102228776985,0.5069832140918978,67,0.7453522037865328,0.49618419573155936,0.740173616420151,0.5084705515483664
development,c2,0,6,175,0.21124384911122368,1,0.10915563774863997,0.10915563774864066,0.2818323179639021,0.9194674907103733,1.1879039344511688,0.0,1.0,1.0,0.9239827790996419,0.9203447806321285,0.9155499923832655,0.03605444576590612,0.032791750597253755,0.015132381192317445,0.03605444576590612,0.032791750597253755,0.015132381192317445,0.2770673409669637,0.24574391829233824,0.19554813358761391,0.13249997009414585,0.16165938265563512,0.014738743009458107,0.9089741530237425,0.8588056470436729,0.9031501029783741,0.44891292135322514,0.4690374954586187,0.5056800286572404,0.721431756297619,0.6988333572719279,0.7585133633163783,0.8627664763693698,0.845992617844746,0.8468246215991504,0.051352702984626825,0.00959144049135027,0.043268291320938554,0.7164249683413396,0.4873097647401224,59,0.7184645456120651,0.4860224415557449,0.7164255547878627,0.48807909125018784
opened_later_half,c2,0,6,165,0.1839151116125587,1,0.12376027871892578,0.12376027871892625,0.2572691613407562,0.9208118028532598,1.1990398357227927,0.0,1.0,1.0,0.8885950304172985,0.8973582870254309,0.8844598660764104,0.14145166918957602,0.0001058442720712832,0.0036309326726761395,0.14145166918957602,0.0001058442720712832,0.0036309326726761395,0.5090306879082608,0.16474114264590847,0.18765897664260509,0.12237511500760831,0.028425294037615928,0.0309193094716596,0.8459779446382405,0.7851452427489864,0.8439565698985662,0.4095640952728809,0.45614918783706876,0.4969109898896878,0.779431403372717,0.7737427027732119,0.7654375564864563,0.841677181840728,0.8217953872107436,0.9023304268121344,0.06572961268958143,0.01603342892452253,0.10688498908390598,0.7130755130695904,0.4114966055567453,57,0.7081333400496529,0.4183245545724229,0.7131613603661199,0.41051311672391266
development,c2,0,7,196,0.189348510726464,1,0.10839334136193797,0.10839334136193836,0.1849935169097343,0.9521966371869247,1.1072264312528612,0.0,1.0,1.0,0.9032655378509254,0.8947083874370068,0.8916653638102435,0.22586286988715415,0.0007496035038949189,0.03955624574190124,0.22586286988715415,0.0007496035038949189,0.03955624574190124,0.5361772677731482,0.16268482402463866,0.11481542462700037,0.4250633759485088,0.07501826369744959,0.12195137173713616,0.8679517895780505,0.8409425115721273,0.843373151257409,0.5279241194172665,0.49135096783590715,0.6328091881109137,0.7954137166872811,0.836768619997324,0.8934903617255966,0.9167393939908492,0.9318979867938058,0.9420545634933448,0.0013748404158933725,0.05356759226090538,0.008164604923495068,0.8387089056500107,0.3679754395903529,65,0.8196059833020293,0.3698561776754823,0.8245288917550174,0.36258364038143237
opened_later_half,c2,0,7,216,0.2660989474972718,1,0.10238308586022879,0.10238308586022705,0.20814650737553464,0.9434396150866914,1.1312335282751433,0.0,1.0,1.0,0.8479920905865038,0.8817128367435764,0.8739722892110654,0.08015815210577024,0.0018630315430868906,0.001119949169584005,0.08015815210577024,0.0018630315430868906,0.001119949169584005,0.5897138883075081,0.07005337408926442,0.07783139120338803,0.25711448770323786,0.0738764051333421,0.058384063404919424,0.741012959387083,0.8469371937801549,0.8326834971718245,0.5188944118897266,0.5136802859397473,0.5150559273990211,0.7732699067637512,0.800072301848921,0.7589900730355164,0.8905924258775897,0.9317338328029743,0.9200512943135312,0.017128582621971748,0.011810730586839345,0.00858710109676753,0.7486862214230866,0.46960658971219854,72,0.7500684800419797,0.47334236367498517,0.7610080604010377,0.4601079665767215
development,c2,0,8,153,0.18275608363045426,1,0.1096474185536885,0.10964741855368888,0.18571468018830636,0.9538706567982664,1.1012430246643228,0.0,1.0,1.0,0.9070705377518947,0.9135462868705456,0.9147357394994621,0.16202297365986074,0.05280360079650464,0.05639226483556919,0.16202297365986074,0.05280360079650464,0.05639226483556919,0.6039677357887285,0.16912980060279287,0.23287843183815551,0.1504031008753268,0.03306617224458054,0.029969244042702785,0.8942933547311394,0.8775066382021545,0.895442498664334,0.5239932286523377,0.5664059948751293,0.516271232808759,0.762976267124717,0.8290513146742658,0.7582386702829176,0.9372110389493772,0.8934737485993294,0.90621353597178,0.0005083549870222743,0.0628299357719757,0.02650032149743775,0.7983262222866019,0.4206942308110153,53,0.7683090087296943,0.4425983035330184,0.7710012118498537,0.4376258453381954
opened_later_half,c2,0,8,164,0.13800629337531628,1,0.08322398110601506,0.08322398110599763,0.17849901206050228,0.9570510371610833,1.0931078992972245,0.0,1.0,1.0,0.9135837469142603,0.8966725163595644,0.898516221727094,0.021581058049206774,0.029551212099778654,0.0002925035014428918,0.021581058049206774,0.029551212099778654,0.0002925035014428918,0.46023679085618335,0.12842719501298785,0.14563227247783322,0.13666976785761922,0.06788512050828648,0.039178647537152674,0.8802395482156646,0.7996192098249121,0.8634422520328777,0.5957510178185343,0.5470898942832743,0.5786328272819337,0.8509911471763846,0.821165193793827,0.8768954701190278,0.9362445730740504,0.906419348885602,0.9491146190621009,0.01781707288351207,0.007520114236116028,0.0034992855282256342,0.8690976029371327,0.3084142384679702,56,0.8632094919393511,0.31509958891161427,0.8711493398931826,0.30120222136330876
development,c2,0,9,221,0.17827264092902748,1,0.10443555461721449,0.10443555461722527,0.18430932111232834,0.9537991719570779,1.1019255893591895,0.0,1.0,1.0,0.9085082520531412,0.9137613397718843,0.9133875693757216,0.004653024865014081,0.007336898375988849,0.0,0.004653024865014081,0.007336898375988849,0.0,0.4938205687054779,0.20419175973759016,0.15570676992196292,0.035542606536912595,0.2267425208369174,0.04694900466283569,0.8863882815756393,0.8628420508680319,0.879395807939991,0.5533069753216214,0.497043068177331,0.6197952286705621,0.8249842410222393,0.8040239780694816,0.8207328424426951,0.9262315774989869,0.9090281282898577,0.9230672754239659,0.009160829953055814,0.012724625509943197,0.06270516123975578,0.7875406588760608,0.4085567409051674,72,0.7731360276797615,0.3977850549664033,0.7795966180404245,0.41258127254056615
opened_later_half,c2,0,9,228,0.24134187932980755,1,0.1124056428828175,0.11240564288283528,0.25498117574343915,0.9276744852877931,1.1709192388411838,0.0,1.0,1.0,0.8919180590240608,0.9029479271715324,0.8960964679324755,0.07446755939440212,0.004987137504514343,0.0013117929637444195,0.07446755939440212,0.004987137504514343,0.0013117929637444195,0.47668475012234973,0.059174611950924265,0.04536903015913014,0.037240414579238316,0.16185016063198274,0.019766195602827507,0.8306924593008709,0.8136764568423679,0.8024455146543785,0.5190335191893003,0.5801023450451158,0.5717234433281998,0.806038467152181,0.7956030223186907,0.8204180234416402,0.8741852996965085,0.8199004194303616,0.7957034982226349,0.04198980445270051,0.026543028644853257,0.023727684580851952,0.8436093610684162,0.32133420594405365,69,0.8379415486275973,0.3247451268430091,0.8358872635419111,0.326353693772872
