branch,branch_label,exact_flow_mean,exact_positive_fraction,n_events,seed,seed_flow_mean,seed_positive_fraction,sibling_flow_mean,sibling_positive_fraction,time_flow_mean,time_positive_fraction,topology_flow_mean,topology_positive_fraction
0,c2,0.07207967249333047,0.6851851851851852,54,25,0.011119229087269011,0.6304347826086957,-0.015185072538032111,0.4444444444444444,0.016959168283159493,0.6875,-0.00551879202570117,0.4074074074074074
0,c2,0.09310876891111317,0.7307692307692307,52,26,0.022775971777943507,0.46808510638297873,0.13355480574868725,0.6730769230769231,0.04332661246320439,0.5306122448979592,-0.003951993561238504,0.4423076923076923
0,c2,0.060040595663534264,0.7068965517241379,58,27,0.011072822476876904,0.49122807017543857,0.01783827420699448,0.5,0.024169741789426064,0.6071428571428571,0.01616475444700781,0.5517241379310345
0,c2,0.07295030878436286,0.6515151515151515,66,28,0.01424882156085361,0.5806451612903226,0.006323938147306297,0.4696969696969697,0.004915221081093155,0.5238095238095238,-0.0054338051712827925,0.3787878787878788
0,c2,0.07214395801538404,0.7457627118644068,59,29,0.057764130893164,0.5964912280701754,-0.011816975770325797,0.4406779661016949,0.008498120279357601,0.631578947368421,0.017567068263389767,0.6101694915254238
0,c2,0.08333508497555839,0.6883116883116883,77,30,0.006529715833620549,0.4714285714285714,-0.016275047050115867,0.5324675324675324,0.010684772760101558,0.6029411764705882,0.022178166442441156,0.4675324675324675
0,c2,0.050578213659961395,0.7090909090909091,55,31,0.015888884384739704,0.509090909090909,-0.002860594446397152,0.4727272727272727,0.010236951558994954,0.5,-0.005309337425132529,0.32727272727272727
0,c2,0.05277980538521545,0.7111111111111111,45,32,0.03969943890295977,0.627906976744186,0.008645695945814848,0.4444444444444444,0.05608051233448608,0.5454545454545454,0.016853394007846318,0.5111111111111111
0,c2,0.030000284721295806,0.6744186046511628,43,33,0.02629983621391048,0.6585365853658537,-0.0166529338373156,0.5813953488372093,0.009536008163710625,0.4878048780487805,0.011049329389226283,0.4883720930232558
0,c2,0.04329139965169798,0.631578947368421,57,34,0.032587542280885305,0.6226415094339622,0.062219419193267914,0.6666666666666666,0.026614193744981255,0.5818181818181818,0.011991451781038161,0.43859649122807015
0,c2,0.0432108307776858,0.6307692307692307,65,35,0.02146454737659668,0.515625,-0.008979341394404785,0.49230769230769234,0.01168164428480974,0.5901639344262295,0.0031701690844845487,0.4461538461538462
0,c2,0.046976278160723375,0.6428571428571429,56,36,0.02199639141625209,0.6226415094339622,0.0880394673904821,0.6607142857142857,0.016076831552040306,0.48148148148148145,0.01672503088709257,0.4642857142857143
0,c2,0.020210534093135286,0.6129032258064516,62,37,0.02318233358664978,0.6551724137931034,0.024035759346802296,0.5483870967741935,0.015929270541477886,0.5263157894736842,0.05475871960232382,0.7419354838709677
0,c2,0.1112715575496265,0.75,40,38,0.04118994312257279,0.6578947368421053,0.12444786910210011,0.65,0.01446293371642106,0.4594594594594595,0.006745789416113238,0.425
0,c2,0.04303415633319681,0.5740740740740741,54,39,0.020470258513923555,0.4807692307692308,0.05301907864631611,0.5555555555555556,0.016958477361336165,0.5098039215686274,0.013604346789676001,0.5925925925925926
0,c2,0.0317636777313491,0.6507936507936508,63,40,0.009056408061460105,0.5833333333333334,0.024574330667537298,0.5714285714285714,0.02246003618918691,0.5666666666666667,0.010635866767949285,0.5238095238095238
0,c2,0.05895112877495115,0.5901639344262295,61,41,0.036475832872294944,0.5087719298245614,0.018255952774342128,0.4918032786885246,0.024230179076766105,0.5272727272727272,0.03540545172326698,0.5573770491803278
0,c2,0.017043594569306566,0.5588235294117647,68,42,0.05350114219126831,0.6865671641791045,0.020841766113647485,0.5,0.03591440847053937,0.6461538461538462,0.0149203948124697,0.5588235294117647
0,c2,0.04741113894571463,0.5573770491803278,61,43,-6.95740815758412e-05,0.5689655172413793,-0.012714461116839266,0.5409836065573771,0.01372579897090929,0.6206896551724138,0.028028992586030334,0.47540983606557374
0,c2,0.051742545375544916,0.5918367346938775,49,44,0.0010621597417129077,0.5217391304347826,-0.010826947761793219,0.5918367346938775,0.020338815302833442,0.6304347826086957,0.02906845826522444,0.4897959183673469
0,c2,0.034440090329825514,0.5490196078431373,51,45,0.02256053465173411,0.6,-0.06934318777842413,0.5098039215686274,0.0033816737076928964,0.54,0.034079529085138095,0.5882352941176471
0,c2,0.10910902498566619,0.8301886792452831,53,46,0.06082275956109531,0.5490196078431373,0.019499203998525876,0.6037735849056604,0.007627670422935617,0.56,0.008488648951685811,0.4716981132075472
0,c2,0.02847166780750131,0.5217391304347826,46,47,0.015946926667179284,0.5365853658536586,0.023812505945815833,0.5869565217391305,0.033617012387364476,0.5121951219512195,0.02112328203678788,0.5869565217391305
0,c2,0.05197240039281734,0.6129032258064516,62,48,0.004076003134366633,0.5666666666666667,0.06528722090449365,0.6290322580645161,0.03795860783461479,0.6206896551724138,0.024215137345132195,0.532258064516129
0,c2,0.08808962553113285,0.6764705882352942,68,49,0.008582961770383896,0.6,0.029037504831095202,0.6176470588235294,0.02054931407689744,0.5238095238095238,0.0050371289078344015,0.47058823529411764
0,c2,0.040402142288536495,0.7021276595744681,47,50,0.023770024037335698,0.5555555555555556,0.06266503353210702,0.6808510638297872,0.012248427328741335,0.5111111111111111,0.017089419755621397,0.5531914893617021
0,c2,0.07152586523052372,0.6923076923076923,52,51,0.031262040896160095,0.4791666666666667,0.023348597467932917,0.5384615384615384,0.036353091047878934,0.6326530612244898,0.0229025098005079,0.46153846153846156
0,c2,0.07453858273905928,0.7169811320754716,53,52,0.021038460296955563,0.5882352941176471,0.046814884174760193,0.5283018867924528,0.020085990054852104,0.6153846153846154,0.013333228359187295,0.4716981132075472
0,c2,0.033209767320305304,0.5342465753424658,73,53,0.054397704881768566,0.6571428571428571,0.10452945188023247,0.7397260273972602,0.026319154375741203,0.5507246376811594,0.023678901704588216,0.589041095890411
0,c2,0.033812525528309705,0.6122448979591837,49,54,0.027912571875731682,0.5681818181818182,0.030898502585007412,0.6326530612244898,0.03420795385816475,0.7083333333333334,0.02730841384228502,0.5102040816326531
0,c2,0.04451747275104558,0.6363636363636364,66,55,0.0012082034331044014,0.4426229508196721,0.02979972016995627,0.6212121212121212,0.03199951564809245,0.6290322580645161,0.0033770222975161267,0.4090909090909091
0,c2,0.04318805645107008,0.6833333333333333,60,56,0.03905566130999508,0.5614035087719298,-0.05579118876610086,0.5333333333333333,0.028477736210091198,0.5818181818181818,0.011608281063180183,0.5833333333333334
0,c2,0.007875501969089082,0.5434782608695652,46,57,0.02990193085604456,0.5641025641025641,0.005418506663712744,0.5217391304347826,0.0022612481808150266,0.5,-0.0006412740687546365,0.45652173913043476
0,c2,0.04685269915652339,0.6140350877192983,57,58,0.019162059129452045,0.5555555555555556,0.03020226434487063,0.5789473684210527,0.02241548253964859,0.6607142857142857,-0.00539343172208001,0.38596491228070173
0,c2,0.062123304435209005,0.6730769230769231,52,59,0.01691839667480055,0.6,0.055806004657026106,0.6346153846153846,0.014042042214750411,0.54,0.0234758607607432,0.5769230769230769
0,c2,0.07183750069807282,0.6041666666666666,48,60,0.0301270865575837,0.4782608695652174,0.03220377876442648,0.5,0.012917616119666896,0.4666666666666667,0.003599708080371569,0.5625
0,c2,0.030938993117049465,0.5396825396825397,63,61,-0.0031460255980305107,0.4666666666666667,0.01359281360572609,0.5079365079365079,0.014500335082721577,0.6166666666666667,0.016366199616549445,0.5555555555555556
0,c2,0.008480247727397432,0.5873015873015873,63,62,0.022438083713357978,0.576271186440678,0.12061176656404363,0.5238095238095238,0.04772392476631772,0.5166666666666667,0.014652646058761699,0.5873015873015873
