population,estimator,left,right,mid,events,movement,axial,perpendicular,balance,x,heading,mean_relative_movement
fixed,extrema,0,25,12.5,53,29.166231396986735,19.384204614426007,6.893476302623819,0.6646112194127575,0.33538878058724253,0.5473360913866487,0.5503062527733347
fixed,extrema,25,50,37.5,1012,132.22719322669235,74.08702991230363,1.0356600853209987,0.5603010099842903,0.43969899001570967,0.4951813916255201,0.13065928184455766
fixed,extrema,50,75,62.5,1643,102.12764872423304,65.32034379684369,-1.5461379581199175,0.6395951009625501,0.3604048990374499,0.4891902075694521,0.062159250592959854
fixed,extrema,75,100,87.5,1832,42.3916953181979,30.63154718614308,0.5942520840251877,0.7225836795678605,0.2774163204321395,0.49604393395001567,0.023139571680239026
fixed,extrema,100,125,112.5,1860,7.287315968536213,1.9103620926528975,0.08290439628219584,0.26214893122530925,0.7378510687746908,0.49985926533674174,0.003917911811040975
fixed,extrema,125,150,137.5,1862,1.7454701350608492,0.170676537485361,0.01592179701874049,0.09778255958496304,0.9022174404150369,0.507760859691135,0.0009374168287115195
fixed,extrema,150,175,162.5,1869,0.6622632330017563,-0.6568920695783015,-0.04327856158407616,-0.9918896850137526,1.9918896850137526,0.003427318896018129,0.0003543409486365737
fixed,extrema,175,200,187.5,1866,0.660498953032396,-0.6528388234209316,-0.023683240934851843,-0.9884025105924903,1.9884025105924903,0.9987278984582644,0.0003539651409605552
fixed,extrema,200,225,212.5,1864,0.7154470462184654,-0.7064937348236262,-0.045105601044513555,-0.9874857105886977,1.9874857105886976,0.0031040793365470056,0.0003838235226493913
fixed,extrema,225,250,237.5,1870,0.6010499018853079,-0.5953054612358856,-0.022700507838146908,-0.9904426560400329,1.9904426560400328,0.9990227577477204,0.0003214170598317155
fixed,extrema,250,275,262.5,1865,0.55888096987664,-0.551835343378316,-0.04215875260680707,-0.9873933326091257,1.9873933326091255,0.005092156250817357,0.0002996680803628097
fixed,extrema,275,300,287.5,1865,0.6463617262918662,-0.6400351512039717,-0.03148977883647596,-0.9902120208691971,1.9902120208691971,0.0007808413633007635,0.00034657465216722045
fixed,extrema,300,325,312.5,1870,0.5591029121515847,-0.5540764037240975,-0.023333032000261857,-0.9910096901335324,1.9910096901335324,0.9996550231597958,0.000298985514519564
fixed,extrema,325,350,337.5,1863,0.5333911888151674,-0.5277103588235935,-0.03047529162877561,-0.9893495991109398,1.9893495991109398,0.0021377211147645112,0.0002863076697880663
fixed,extrema,350,375,362.5,1863,0.5945506327038619,-0.5882621324074442,-0.03217324978673755,-0.9894231038527043,1.9894231038527042,0.0016525582901413935,0.0003191361420847353
fixed,extrema,375,400,387.5,1869,0.5178640379777397,-0.512678990441134,-0.023137190155469122,-0.9899876277239613,1.9899876277239614,0.00013450321338500938,0.00027708081218712666
fixed,extrema,400,425,412.5,1861,0.49322317696629303,-0.4848689813937296,-0.01760883342085842,-0.983062037708876,1.983062037708876,0.998734155618468,0.0002650312611318071
fixed,extrema,425,450,437.5,1862,0.5217067740539045,-0.5140863205827658,-0.03736458224513786,-0.9853932249874306,1.9853932249874306,0.004504035575839045,0.00028018623740811197
fixed,extrema,450,475,462.5,1680,3.23340576571301,-0.3559329514827508,-0.6871190765798925,-0.11007989014464527,1.1100798901446454,0.1668886508078611,0.001924646289114887
fixed,extrema,475,500,487.5,31,0.8945201490774294,0.02108357077435767,-0.8806935434834933,0.023569699124276165,0.9764303008757238,0.24676611462859988,0.028855488679917076
unrestricted,extrema,0,25,12.5,55,29.561432466153434,19.052236640188152,6.958567757283206,0.6444963944829852,0.35550360551701476,0.5486901227322905,0.5374805902936988
unrestricted,extrema,25,50,37.5,1025,138.4914161235194,78.18279456246646,1.8797382275447045,0.5645316998761558,0.4354683001238442,0.49678251840458604,0.1351135767058726
