dataset,cohort,experiment,cell_id,observed_g1_count,observed_division_intervals,lifespan_hours_observed,mean_division_interval_hours,start_size_um2,end_size_um2,size_fold_end,start_rpl13a_concentration,end_rpl13a_concentration,rpl13a_concentration_fold_end,rpl13a_total_fold_end,shadow_min,shadow_min_A,shadow_max,shadow_max_A,late_minus_early_rate
Rpl13A cohort,development,Experiment_8,cell_2.61,4,3,19.0,6.333333333333333,21.043,56.908,2.7043672480159673,81.7437538852223,76.7944767018927,0.9394537570383793,2.5406279715601428,-0.4210526315789477,0.6666666666666666,0.0,0.0,1.263157894736842
Rpl13A cohort,development,Experiment_8,cell_2.62,13,12,28.6666666666667,2.3888888888888915,16.263,31.835,1.9575109143454466,101.998492203103,98.3453912997474,0.9641847558287292,1.8874021829802368,-0.24806201550387996,1.6666666666666667,0.0,0.0,0.4883720930232618
Rpl13A cohort,development,Experiment_8,cell_2.63,11,10,47.6666666666667,4.76666666666667,20.409,40.369,1.977999902004018,114.334651553428,68.549208406629,0.5995488460871051,1.1859075588069161,-0.32027972027972035,0.6,0.0,0.0,0.9324009324009315
Rpl13A cohort,development,Experiment_8,cell_2.64,11,10,21.0,2.1,24.187,34.219,1.4147682639434407,72.2671181239832,53.7648630417818,0.7439740844451762,1.0525509238694128,-0.09206349206349229,0.6,0.015873015873018925,1.0,0.26455026455026487
Rpl13A cohort,development,Experiment_8,cell_2.65,4,3,9.33333333333333,3.1111111111111103,25.673,37.317,1.4535504226229892,96.0612112635073,95.6974883278003,0.9962136336725,1.4480467482474462,-0.30952380952380865,0.6666666666666666,0.0,0.0,0.7499999999999991
Rpl13A cohort,development,Experiment_8,cell_2.66,7,6,16.3333333333333,2.7222222222222165,19.776,33.205,1.6790554207119741,110.674937505787,71.9615908579893,0.6502067449030775,1.091733159613,-0.2721088435374124,1.3333333333333333,0.0,0.0,0.7959183673469343
Rpl13A cohort,development,Experiment_8,cell_2.67,3,2,16.0,8.0,18.658,54.432,2.9173544860113623,78.5615088550002,53.9645799992064,0.6869086501228995,2.00395603191605,-0.7083333333333337,1.0,0.0,0.0,1.4166666666666674
Rpl13A cohort,development,Experiment_8,cell_2.68,7,6,15.0,2.5,18.981,30.314,1.5970707549654917,96.409062652929,86.8940706548335,0.9013060418152875,1.4394495206569002,-0.2666666666666666,1.3333333333333333,0.0,0.0,0.6666666666666659
Rpl13A cohort,development,Experiment_8,cell_2.69,7,6,26.6666666666667,4.44444444444445,13.291,30.349,2.2834248739748704,102.866136733371,39.9169389077731,0.38804741944608845,0.8860771298449582,-0.5583333333333367,1.3333333333333333,0.0,0.0,1.4250000000000054
Rpl13A cohort,development,Experiment_8,cell_2.70,10,9,27.6666666666667,3.074074074074078,11.794,32.457,2.7519925385789383,91.6436308807386,101.066038858836,1.1028157427585923,3.0349406954990354,-0.35073627844712085,1.5555555555555556,0.0,0.0,0.8313253012048187
Rpl13A cohort,development,Experiment_8,cell_2.71,11,10,38.0,3.8,22.621,56.885,2.5146987312674063,116.396629941672,98.0200246008967,0.8421208126903323,2.1176801392462563,-0.5333333333333315,1.2,0.0,0.0,1.286549707602342
Rpl13A cohort,development,Experiment_8,cell_2.72,10,9,30.0,3.3333333333333335,21.204,34.196,1.6127145821543103,99.5833719100083,60.3145211422223,0.605668596929289,0.9767705782208056,-0.4444444444444422,1.5555555555555556,0.0,0.0,0.96666666666667
Rpl13A cohort,development,Experiment_8,cell_2.73,7,6,15.3333333333333,2.55555555555555,16.056,28.391,1.7682486297957147,96.7582366712077,49.4081235864404,0.5106348078079719,0.9029292992324444,-0.17391304347825942,1.0,0.0,0.0,0.3913043478260818
Rpl13A cohort,development,Experiment_8,cell_2.74,11,10,40.6666666666667,4.06666666666667,11.702,38.423,3.2834558195180312,91.4095255730289,46.6398613884958,0.5102297719643483,1.6753169140476976,-0.6295081967213104,1.4,0.0,0.0,1.5846994535519108
Rpl13A cohort,development,Experiment_8,cell_2.75,11,10,37.6666666666667,3.76666666666667,17.115,38.711,2.261817119485831,112.570264658034,70.7831285462986,0.6287906381078842,1.4222094298448325,-0.4265486725663742,1.4,0.0,0.0,1.091445427728618
Rpl13A cohort,development,Experiment_8,cell_2.76,6,5,23.6666666666667,4.73333333333334,20.927,60.479,2.889998566445262,107.553533402992,98.4842673297446,0.9156767259401344,2.64630442529428,-0.8957746478873253,1.6,0.0,0.0,1.65492957746479
Rpl13A cohort,development,Experiment_8,cell_2.77,9,8,40.3333333333333,5.0416666666666625,13.43,36.315,2.7040208488458672,102.36221513881,36.4423929001283,0.35601410980321185,0.9626695753911867,-0.4731404958677663,1.25,0.0,0.0,1.14600550964187
Rpl13A cohort,development,Experiment_8,cell_2.78,12,11,46.0,4.181818181818182,14.374,37.674,2.6209823292055097,115.235361805124,51.8761490338196,0.450175607740513,1.179902312927236,-0.723320158102767,1.6363636363636365,0.0,0.0,1.375
Rpl13A cohort,development,Experiment_8,cell_2.79,8,7,17.3333333333333,2.4761904761904714,18.428,32.503,1.763783373127849,79.3577314269843,66.7596915629505,0.8412499999999994,1.4837827626438018,-0.12087912087912223,1.4285714285714286,0.0,0.0,0.3365384615384628
Rpl13A cohort,development,Experiment_8,cell_2.80,8,7,32.3333333333333,4.619047619047614,21.354,33.389,1.5635946426898943,103.113468329652,50.2109593027101,0.48694860250638183,0.7613902261443095,-0.5449189985272451,1.1428571428571428,0.0,0.0,1.3350515463917536
Rpl13A cohort,development,Experiment_8,cell_2.81,7,6,28.3333333333333,4.722222222222217,18.774,29.001,1.5447427293064877,101.292208393403,36.3630351687013,0.3589914342421383,0.5545494079288512,-0.4156862745098028,1.3333333333333333,0.0,0.0,0.9882352941176445
Rpl13A cohort,development,Experiment_8,cell_2.82,6,5,14.6666666666667,2.93333333333334,15.952,25.707,1.6115220661985958,90.6516592379013,98.5503987726004,1.0871328732546426,1.7519386141397377,-0.3727272727272757,1.6,0.0,0.0,0.7386363636363682
Rpl13A cohort,development,Experiment_8,cell_2.83,7,6,27.3333333333333,4.55555555555555,19.119,31.558,1.6506093414927558,110.760908381499,53.1114843863663,0.4795147057067456,0.791491452622704,-0.6666666666666632,1.6666666666666667,0.0,0.0,1.3902439024390263
Rpl13A cohort,development,Experiment_8,cell_2.84,23,22,43.6666666666667,1.9848484848484864,15.157,35.486,2.341228475291944,100.0,65.5389051278321,0.6553890512783209,1.5344155092473772,-0.07772380291464387,1.8181818181818181,0.006939625260235283,0.9090909090909091,0.02399127589967054
Rpl13A cohort,development,Experiment_8,cell_2.85,13,12,31.3333333333333,2.6111111111111085,15.272,35.036,2.2941330539549503,109.443570039811,94.898620498102,0.8671009220878108,1.9892448864764627,-0.2907801418439726,1.3333333333333333,0.0,0.0,0.7021276595744684
Rpl13A cohort,development,Experiment_8,cell_2.86,15,14,33.6666666666667,2.4047619047619073,13.959,36.534,2.617236191704277,111.459256418057,102.530189003664,0.919889404421449,2.4075678416171082,-0.17538896746817556,0.5714285714285714,0.0,0.0,0.36039603960396294
Rpl13A cohort,development,Experiment_8,cell_2.87,15,14,32.0,2.2857142857142856,16.919,28.184,1.6658194928778296,100.462920099991,90.5881730527597,0.9017075450583864,1.502082005433274,-0.13988095238095455,1.2857142857142858,0.0,0.0,0.35000000000000264
Rpl13A cohort,development,Experiment_8,cell_2.88,15,14,38.0,2.7142857142857144,12.589,34.518,2.7419175470648978,110.44876797122,113.131059293452,1.0242853892488049,2.8085060819834973,-0.27568922305764576,1.7142857142857142,0.0,0.0,0.6877192982456137
Rpl13A cohort,development,Experiment_8,cell_2.89,12,11,36.0,3.272727272727273,16.355,30.81,1.883827575664934,119.217797293901,52.0044440329599,0.4362137634933502,0.8217515165533549,-0.4175084175084156,1.4545454545454546,0.0,0.0,0.8912037037037008
Rpl13A cohort,development,Experiment_8,cell_2.90,9,8,27.6666666666667,3.4583333333333375,14.858,31.685,2.1325212006999594,115.129551496555,45.9507717539381,0.3991223031500568,0.8511367731396923,-0.3825301204819288,1.25,0.0,0.0,0.8353413654618494
Rpl13A cohort,development,Experiment_8,cell_2.91,13,12,33.0,2.75,13.683,41.843,3.0580282101878247,97.2396735751981,109.287499834671,1.1238982589771447,3.4369125813330896,-0.26767676767676973,1.5,0.0,0.0,0.5454545454545453
Rpl13A cohort,development,Experiment_8,cell_2.92,15,14,53.6666666666667,3.8333333333333357,12.969,38.653,2.9804148353766675,99.2143584588729,87.3781528165381,0.8807006785490507,2.624853367873888,-0.4658385093167696,1.5714285714285714,0.0,0.0,0.9913043478260914
Rpl13A cohort,development,Experiment_8,cell_2.93,10,9,31.6666666666667,3.518518518518522,24.659,47.026,1.9070521918974819,94.6552567883926,119.15431110876,1.2588240225805574,2.4006431114754574,-0.4280701754385995,1.3333333333333333,0.0,0.0,1.1052631578947416
