dataset,dataset_class,block_size,is_primary_block,original_bytes,ara_serialized_bytes,raw_zlib_bytes,delta_zlib_bytes,ara_zlib_bytes,ara_vs_raw_improvement,ara_vs_delta_improvement,restored_exactly,original_sha256,restored_sha256,ara_stream_sha256
ara_text,generalization,1024,True,65536,75206,25208,32411,55196,-1.1896223421136147,-0.7030020671994076,True,7ca7a1b9092e72e11b80103d82ac97be1ffc2c971c007a9f6e9ec99dc1a32c50,7ca7a1b9092e72e11b80103d82ac97be1ffc2c971c007a9f6e9ec99dc1a32c50,d7e64b444029889966c3dfbe0e27fc9a2c0472175fde8e463ecc62e8e801af0c
ara_text,generalization,4096,False,65536,75158,25208,32411,55027,-1.182918121231355,-0.6977877880966339,True,7ca7a1b9092e72e11b80103d82ac97be1ffc2c971c007a9f6e9ec99dc1a32c50,7ca7a1b9092e72e11b80103d82ac97be1ffc2c971c007a9f6e9ec99dc1a32c50,e580b317b7ca255283abff52fcced09f8b12851ae69989f49820635c2a6fcf00
python_source,generalization,64,False,65536,73114,19526,25647,50670,-1.595001536412988,-0.9756696689671307,True,77b49b9f2f498e2af4ccba095a5d04e5593e8f2b3d9502ff1dcaf8db6b12e796,77b49b9f2f498e2af4ccba095a5d04e5593e8f2b3d9502ff1dcaf8db6b12e796,9c9acfd596a7cb8a3f93c4e33f479c81cd6b14c6775b3e12f6ab5aefa227b926
python_source,generalization,256,False,65536,72438,19526,25647,48736,-1.4959541124654308,-0.9002612391312824,True,77b49b9f2f498e2af4ccba095a5d04e5593e8f2b3d9502ff1dcaf8db6b12e796,77b49b9f2f498e2af4ccba095a5d04e5593e8f2b3d9502ff1dcaf8db6b12e796,e5530a8f13848047781dc4e94e0ffc9002a6c69cfdb84d4d9db4b7db6477f289
python_source,generalization,1024,True,65536,72261,19526,25647,48190,-1.4679913960872684,-0.8789721994775217,True,77b49b9f2f498e2af4ccba095a5d04e5593e8f2b3d9502ff1dcaf8db6b12e796,77b49b9f2f498e2af4ccba095a5d04e5593e8f2b3d9502ff1dcaf8db6b12e796,acd5557090ccfb98a1d2e96b733d06cb36fba5ce45fdaa1992cafa2249047b78
python_source,generalization,4096,False,65536,72213,19526,25647,47961,-1.4562634436136432,-0.8700432799157797,True,77b49b9f2f498e2af4ccba095a5d04e5593e8f2b3d9502ff1dcaf8db6b12e796,77b49b9f2f498e2af4ccba095a5d04e5593e8f2b3d9502ff1dcaf8db6b12e796,1a81d2bc3a5f976aeb03e92082f860c56f263da194c47abd258316b7f04c8d6a
uniform_random,random_control,64,False,65536,93743,65562,85692,81103,-0.23704279918245325,0.05355225692013257,True,34359710a4e28235dc807c8b1cff888eb796e659fb492c19cb7b6c74283838a6,34359710a4e28235dc807c8b1cff888eb796e659fb492c19cb7b6c74283838a6,1421ad830d2ff543f4c489853bb4882453e5f9e232f3b6e0e2048e315431e23f
uniform_random,random_control,256,False,65536,92975,65562,85692,80677,-0.2305451328513468,0.058523549456191946,True,34359710a4e28235dc807c8b1cff888eb796e659fb492c19cb7b6c74283838a6,34359710a4e28235dc807c8b1cff888eb796e659fb492c19cb7b6c74283838a6,7e044698e4f4bdef66ad95fa841e758ac18a81c32bda8dea09ea3d194de24ea0
uniform_random,random_control,1024,True,65536,92783,65562,85692,80542,-0.22848601323937648,0.06009895906268963,True,34359710a4e28235dc807c8b1cff888eb796e659fb492c19cb7b6c74283838a6,34359710a4e28235dc807c8b1cff888eb796e659fb492c19cb7b6c74283838a6,37c691558f4f98fdaf93cabf39919785131b45f233c84f9518c4f80eb1ea2075
uniform_random,random_control,4096,False,65536,92735,65562,85692,80481,-0.2275555962295232,0.060810810810810814,True,34359710a4e28235dc807c8b1cff888eb796e659fb492c19cb7b6c74283838a6,34359710a4e28235dc807c8b1cff888eb796e659fb492c19cb7b6c74283838a6,436b9ac1ff23d5019bb2d6954110ae74a6f3e83775018ef363a656b23872eb30
