local_child_ara,time_us,storage_ara,release_flow_ara,remaining_muon_fraction,delayed_release_rate,stage,quadrant
0.8377800983852092,0.8355,1.314345387163659,1.939067626225189,0.8336847386996638,0.9928084094456467,release to handover,storage-high / flow-high
0.8504383341031871,0.8405,1.3007205849498327,1.9276899007363113,0.8314418864696668,0.9914655445925846,release to handover,storage-high / flow-high
0.8630188788122467,0.8455,1.287114996840262,1.9155272191569281,0.8292021971770762,0.990030034689669,release to handover,storage-high / flow-high
0.8755243708485222,0.8505,1.2735298108635837,1.9026647137131145,0.8269658663896982,0.9885119275337438,release to handover,storage-high / flow-high
0.8879569925885638,0.8555,1.2599661562257658,1.8891104617208927,0.8247330799922217,0.9869121764562816,release to handover,storage-high / flow-high
0.9003190202292976,0.8605,1.2464250732887079,1.8749420657116505,0.8225040092442343,0.9852399405560855,release to handover,storage-high / flow-high
0.9126123655322056,0.8655,1.2329075527554885,1.8601696225787114,0.8202788172307168,0.9834964115268016,release to handover,storage-high / flow-high
0.9248392409223158,0.8705,1.2194144931887998,1.8448725769173462,0.818057651868924,0.9816909658782478,release to handover,storage-high / flow-high
0.9370015546836161,0.8755,1.2059467509632018,1.829048534998318,0.8158406541312941,0.9798233210886792,release to handover,storage-high / flow-high
0.9491017830077646,0.8805,1.1925050824268708,1.812792613922833,0.8136279485243829,0.9779047034275518,release to handover,storage-high / flow-high
0.9611421226556938,0.8855,1.1790902041201055,1.796092379185109,0.8114196530017562,0.9759336453027008,release to handover,storage-high / flow-high
0.9731253715445789,0.8905,1.1657027425262787,1.7790424906484814,0.8092158706922234,0.9739213190177288,release to handover,storage-high / flow-high
0.9850540125986191,0.8955,1.1523432813890395,1.7616256991765864,0.8070166976889773,0.971865688729972,release to handover,storage-high / flow-high
0.9969308846106812,0.9005,1.1390123310827929,1.7439286073485458,0.8048222180075033,0.9697769757758302,post-handover,storage-high / flow-high
1.0087584670540999,0.9055,1.125710354839761,1.7259407365710215,0.8026325079029577,0.967653943411218,post-handover,storage-high / flow-high
1.0205393278428836,0.9105,1.1124377548995183,1.7077335016213213,0.8004476335901679,0.9655050204204764,post-handover,storage-high / flow-high
1.0322756803060478,0.9155,1.0991948840086725,1.6893108271848276,0.7982676531366568,0.9633306700176338,post-handover,storage-high / flow-high
1.043969657976561,0.9205,1.0859820435817427,1.6707194832109582,0.7960926161598953,0.9611364122621534,post-handover,storage-high / flow-high
1.055623087280454,0.9255,1.0727994934419551,1.6519752426840466,0.7939225654307871,0.9589241087727136,post-handover,storage-high / flow-high
1.0672376565593136,0.9305,1.059647450216683,1.6331094993401296,0.7917575366095332,0.9566974648192976,post-handover,storage-high / flow-high
1.0788148047574502,0.9355,1.0465260914156465,1.614140096436161,0.7895975589169667,0.9544585863661116,post-handover,storage-high / flow-high
1.0903558165026825,0.9405,1.0334355642244655,1.595090429295474,0.787442656582107,0.9522102346642914,post-handover,storage-high / flow-high
1.1018617715473387,0.9455,1.0203759867853126,1.5759701866612204,0.7852928490529747,0.9499535532352432,post-handover,storage-high / flow-high
1.113333611035847,0.9505,1.007347454386541,1.5568006390448594,0.7831481520154999,0.9476910525475376,post-handover,storage-high / flow-high
1.124772119628712,0.9555,0.9943500377503341,1.5375881450220101,0.7810085771116431,0.9454234830769812,post-handover,storage-low / flow-high
1.1361779774900342,0.9605,0.981383794636778,1.5183480837162378,0.7788741338496036,0.9431526599565307,post-handover,storage-low / flow-high
1.1475517473314638,0.9655,0.9684487673158712,1.4990813110512224,0.7767448291876741,0.9408786842072407,post-handover,storage-low / flow-high
1.1588939334425625,0.9705,0.9555449837169138,1.4798029109066402,0.7746206677234474,0.9386033361156794,post-handover,storage-low / flow-high
1.1702049541129487,0.9755,0.942672466517386,1.4605107894965585,0.772501653189986,0.9363263685611422,post-handover,storage-low / flow-high
1.1814851863567406,0.9805,0.9298312256982191,1.4412161399865802,0.7703877872303048,0.9340491026256588,post-handover,storage-low / flow-high
1.1927349444463946,0.9855,0.9170212655320472,1.4219170982538794,0.7682790705477451,0.9317713182946906,post-handover,storage-low / flow-high
1.2039545282201367,0.9905,0.9042425780775749,1.4026279079792978,0.7661755018350476,0.9294946966896884,post-handover,storage-low / flow-high
1.215144186626502,0.9955,0.8914951576276559,1.3833432286323804,0.7640770801527279,0.9272186074904136,post-handover,storage-low / flow-high
1.2263030785880562,1.0005,0.8787790327722791,1.3639255379691568,0.7619838102071386,0.9249268195276292,post-handover,storage-low / flow-high
1.2374298611233796,1.0055,0.8660943943630262,1.3446142203478884,0.7598957234153885,0.9226475863254158,post-handover,storage-low / flow-high
1.2485254786810738,1.0105,0.8534410103784276,1.3253325692502966,0.7578127815831712,0.9203718545376104,post-handover,storage-low / flow-high
1.2595905815980155,1.0155,0.8408188897254902,1.306043740735708,0.7557349861767173,0.9180952756296112,post-handover,storage-low / flow-high
1.2706257268394276,1.0205,0.8282280300852857,1.2867615023515386,0.7536623368142954,0.9158194745268532,post-handover,storage-low / flow-high
1.2816313782074669,1.0255,0.8156684187676835,1.2674926294952586,0.7515948314069146,0.9135452509008644,post-handover,storage-low / flow-high
1.2926079345781092,1.0305,0.8031400236089147,1.2482434822340471,0.7495324646599234,0.911273355403494,post-handover,storage-low / flow-high
1.3035557301342113,1.0355,0.7906428142382821,1.2290137594042612,0.7474752315738373,0.90900375248967,post-handover,storage-low / flow-high
1.3144750561265839,1.0405,0.7781767473257529,1.2098124152163896,0.7454231250158658,0.9067374989870128,post-handover,storage-low / flow-high
1.3253661561509469,1.0455,0.7657417835796118,1.1906356619244256,0.7433761385179876,0.9044741478438696,post-handover,storage-low / flow-high
1.336229245937672,1.0505,0.7533378731306881,1.1714914399802763,0.7413342638709692,0.9022146362382196,post-handover,storage-low / flow-high
1.3470645131385615,1.0555,0.7409649693268427,1.1523791711088116,0.7392974933951504,0.8999588959186934,post-handover,storage-low / flow-high
1.3578721233330733,1.0605,0.7286230122537024,1.1333002971872264,0.7372658172277027,0.8977070970639622,post-handover,storage-low / flow-high
1.3686522226636473,1.0655,0.716311949302411,1.1142569003582876,0.7352392267083984,0.8954594854205371,post-handover,storage-low / flow-high
1.3794049523058294,1.0705,0.7040317120497204,1.0952563046557908,0.7332177105737172,0.8932169254131729,post-handover,storage-low / flow-high
1.3901304240051617,1.0755,0.6917822469997355,1.0762883419297362,0.7312012600174113,0.8909782169380993,post-handover,storage-low / flow-high
1.4008287593825712,1.0805,0.6795634796385668,1.0573673834231065,0.729189862773347,0.8887450561723876,post-handover,storage-low / flow-high
1.4115000577552728,1.0855,0.6673753503140681,1.0384846718961047,0.7271835090218626,0.8865164095360358,post-handover,storage-low / flow-high
1.4221444235118859,1.0905,0.6552177812246854,1.0196493014564267,0.7251821859556243,0.8842933503681403,post-handover,storage-low / flow-high
1.4327619458492453,1.0955,0.6430907068205558,1.0008555102341858,0.7231858827841156,0.88207519861955,post-handover,storage-low / flow-high
1.4433527125213488,1.1005,0.6309940536395979,0.9821060830485078,0.7211945874143465,0.8798622829706967,post-handover,storage-low / flow-low
1.4539167994835156,1.1055,0.618927758819824,0.9633952210400885,0.7192082894982661,0.8776539190067248,post-handover,storage-low / flow-low
1.464454286867261,1.1105,0.6068917486575709,0.9447288773703417,0.7172269769031165,0.8754508093541159,post-handover,storage-low / flow-low
1.4749652462342784,1.1155,0.5948859601283676,0.9261026331009515,0.7152506392540995,0.8732524324642564,post-handover,storage-low / flow-low
1.4854497494328025,1.1205,0.5829103225093367,0.9075188955535727,0.7132792649091404,0.8710590724631472,post-handover,storage-low / flow-low
1.495907860450085,1.1255,0.5709647758460662,0.8889729662456097,0.7113128439988199,0.8688701748087448,post-handover,storage-low / flow-low
1.506339658485108,1.1305,0.559049240252496,0.8704773282017575,0.7093513633726625,0.8666872128196964,post-handover,storage-low / flow-low
1.516745199753879,1.1355,0.547163655233746,0.8520165063737741,0.7073948130722794,0.864508360041461,post-handover,storage-low / flow-low
1.5271245545727645,1.1405,0.5353079497850189,0.8336017431917013,0.7054431814091877,0.862334943370542,post-handover,storage-low / flow-low
1.5374777925201228,1.1455,0.5234820531015758,0.8152325891952625,0.7034964567278372,0.8601669097590423,post-handover,storage-low / flow-low
1.5478049757608179,1.1505,0.5116858905819871,0.7969046691326587,0.701554626747684,0.8580037428144837,post-handover,storage-low / flow-low
1.558106172458178,1.1555,0.4999193946043447,0.7786225517737333,0.6996176803371207,0.8558459817694614,post-handover,storage-low / flow-low
1.5683814525770594,1.1605,0.4881824863559005,0.7603879587672432,0.6976856045223555,0.8536938298229019,post-handover,storage-low / flow-low
1.5786308861880352,1.1655,0.4764750946162546,0.7422010485570167,0.695758387579414,0.8515473056752606,post-handover,storage-low / flow-low
1.5888545357932418,1.1705,0.46479714060664834,0.7240570771108472,0.6938360165400995,0.8494058494084662,post-handover,storage-low / flow-low
1.5990524650146756,1.1755,0.45314855887817723,0.7059568079877444,0.6919184806305146,0.8472695511421615,post-handover,storage-low / flow-low
1.6092247389501024,1.1805,0.44152927121978186,0.6879015414683046,0.6900057669759148,0.8451385643429699,post-handover,storage-low / flow-low
1.6193714117647726,1.1855,0.4299392144334491,0.6698838470554797,0.6880978651729338,0.8430120120207286,post-handover,storage-low / flow-low
1.629492553564546,1.1905,0.41837831637859524,0.6519149152125441,0.686194763346121,0.8408912149385231,post-handover,storage-low / flow-low
1.6395882237558035,1.1955,0.4068465066076506,0.6339873535320405,0.6842964498987215,0.8387753006017442,post-handover,storage-low / flow-low
1.6496584924172626,1.2005,0.3953437103416053,0.6161087841418815,0.6824029125209591,0.8366651686179355,post-handover,storage-low / flow-low
1.659703410716568,1.2055,0.38386986282254537,0.5982659209214899,0.6805141405526839,0.8345592508824372,post-handover,storage-low / flow-low
1.6697230464827997,1.2105,0.37242489273814716,0.5804705197665999,0.6786301222547895,0.8324589348939382,post-handover,storage-low / flow-low
1.6797174591626716,1.2155,0.3610087300025714,0.5627167795111966,0.6767508460900675,0.8303635359653315,post-handover,storage-low / flow-low
1.6896867081733962,1.2205,0.3496213044211889,0.5450046590878882,0.6748763005034013,0.8282730492496065,post-handover,storage-low / flow-low
1.6996308461059346,1.2255,0.338262556114874,0.5273294927122154,0.6730064756377647,0.8261869240639428,post-handover,storage-low / flow-low
1.7095499395829516,1.2305,0.3269324115643356,0.5097011300463343,0.6711413593907505,0.8241063229223363,post-handover,storage-low / flow-low
