candidate,n,largest_gap,circular_star_discrepancy,union_coverage,overlap_loss,flat_mean,flat_p05,flat_min,beam7_mean,beam7_p05,beam7_min,beam7_cycle23_mean,beam7_cycle23_p05,beam7_cycle23_min,beam7_decay_mean,beam7_decay_p05,beam7_decay_min,largest_gap_rank,discrepancy_rank
phi_reverse,6,0.2360679775,0.166666666667,0.0140625,0,0.0140625,0.0140625,0.0140625,0.0140625,0.0137563085524,0.0137518704892,0.0136034478296,0.0109194030405,0.0108118645077,0.015946153161,0.0120727260602,0.0120210431322,,
phi_reverse,7,0.2360679775,0.142857142857,0.01640625,0,0.01640625,0.01640625,0.01640625,0.01640625,0.0146197944859,0.0145941962261,0.0159237947215,0.0138481056152,0.0137534579466,0.0171626984285,0.0134260247053,0.0133747143756,,
phi_reverse,8,0.14589803375,0.125,0.01875,0,0.01875,0.01875,0.01875,0.01875,0.0165882621416,0.0165576436553,0.0185245022269,0.0158271704124,0.0157195610589,0.0199446317057,0.0177800747648,0.0177507000568,,
phi_reverse,9,0.14589803375,0.111111111111,0.02109375,0,0.02109375,0.02109375,0.02109375,0.02109375,0.0206358649029,0.0206294551298,0.021055635854,0.0202512697307,0.0202118864934,0.02067058578,0.0178928520433,0.0178554222937,,
phi_reverse,10,0.14589803375,0.1,0.0234375,0,0.0234375,0.0234375,0.0234375,0.0234375,0.0217509329904,0.0217272007608,0.0232833319596,0.0223177066131,0.022311452609,0.0223569246444,0.0198034660249,0.0197697637056,,
phi_reverse,11,0.14589803375,0.0909090909091,0.02578125,0,0.02578125,0.02578125,0.02578125,0.02578125,0.0235725965842,0.0235411530201,0.0252648377206,0.0226335758201,0.0225442713952,0.0262023456645,0.0249146582814,0.0248952070183,,
phi_reverse,12,0.14589803375,0.0833333333333,0.028125,0,0.028125,0.028125,0.028125,0.028125,0.0275179948028,0.0275092528271,0.0274018336176,0.0252276164185,0.0250942785791,0.0272044151234,0.0253859235575,0.0253596193815,,
phi_reverse,13,0.0901699437495,0.0769230769231,0.03046875,0,0.03046875,0.03046875,0.03046875,0.03046875,0.0288913527805,0.0288683745492,0.0298897721553,0.0276767380406,0.0276093171301,0.0295416959527,0.0286223966133,0.0286100606823,,
phi_reverse,14,0.0901699437495,0.0714285714286,0.0328125,0,0.0328125,0.0328125,0.0328125,0.0328125,0.0305676559351,0.0305350143015,0.0323897263807,0.0302386860496,0.0302084955288,0.0348589064557,0.0314122077396,0.0313589054899,,
phi_reverse,15,0.0901699437495,0.0721359549996,0.03515625,0,0.03515625,0.03515625,0.03515625,0.03515625,0.0344025664883,0.0343917320165,0.0347722204236,0.0321343204907,0.0320482906051,0.0362418515894,0.0331822080465,0.0331356412948,,
