time_us,prompt_rate,delayed_rate,cumulative_ara
1.940499999999999892e+00,2.880423527558641491e-05,6.744025948662700498e-02,1.271244159423429165e+00
1.945500000000000007e+00,2.872487982079376654e-05,6.726997631017757329e-02,1.273355146456830234e+00
1.950499999999999901e+00,2.864638882483127303e-05,6.710007815363820682e-02,1.275460801884325646e+00
1.955500000000000016e+00,2.856788696168906483e-05,6.693050620069691814e-02,1.277561137013975001e+00
1.960499999999999909e+00,2.849114808107134990e-05,6.676134878647742299e-02,1.279656163662524770e+00
1.965500000000000025e+00,2.841490383203147148e-05,6.659252828452576212e-02,1.281745893582247220e+00
1.970499999999999918e+00,2.834069970538618060e-05,6.642410303902215873e-02,1.283830338382923042e+00
1.975500000000000034e+00,2.826685834950835947e-05,6.625593583996589042e-02,1.285909508369406984e+00
1.980499999999999927e+00,2.819452981600174802e-05,6.608821632883020436e-02,1.287983414769565460e+00
1.985500000000000043e+00,2.812272178414599412e-05,6.592078651961742752e-02,1.290052069269671975e+00
1.990499999999999936e+00,2.805165917944847908e-05,6.575374883651011193e-02,1.292115482067542453e+00
1.995500000000000052e+00,2.798112816004195793e-05,6.558696060834939834e-02,1.294173663489351034e+00
2.000500000000000167e+00,2.791192491392678322e-05,6.542059803662363116e-02,1.296226623906504560e+00
2.005500000000000060e+00,2.784142447645135697e-05,6.525449286732933063e-02,1.298274374209396731e+00
2.010499999999999954e+00,2.777166692700758306e-05,6.508883097951044527e-02,1.300316924884146186e+00
2.015499999999999847e+00,2.770133730788417717e-05,6.492348285057238100e-02,1.302354288537441507e+00
2.020500000000000185e+00,2.763113780693799047e-05,6.475858988755794909e-02,1.304386476935483818e+00
2.025500000000000078e+00,2.756033690922786897e-05,6.459391991727510274e-02,1.306413500614338030e+00
2.030499999999999972e+00,2.748935355980952586e-05,6.442972475886100947e-02,1.308435370952786281e+00
2.035499999999999865e+00,2.741829304891084916e-05,6.426578351834777436e-02,1.310452098247536945e+00
2.040500000000000203e+00,2.734628091896407749e-05,6.410228220545187428e-02,1.312463694816594861e+00
2.045500000000000096e+00,2.727387990424111114e-05,6.393903995653467398e-02,1.314470170672892291e+00
2.050499999999999989e+00,2.720080735718994629e-05,6.377624524706541898e-02,1.316471537200471165e+00
2.055499999999999883e+00,2.712813105498842025e-05,6.361368144904351596e-02,1.318467804923091347e+00
2.060500000000000220e+00,2.705544608662972990e-05,6.345151149389036127e-02,1.320458983313089085e+00
2.065500000000000114e+00,2.698323093802790259e-05,6.328962192750516025e-02,1.322445083024887946e+00
2.070500000000000007e+00,2.691038241456981329e-05,6.312809910453848206e-02,1.324426114359897655e+00
2.075499999999999901e+00,2.683873582152565470e-05,6.296693198885089382e-02,1.326402088878207319e+00
2.080499999999999794e+00,2.676588786461834237e-05,6.280614426320901833e-02,1.328373017357721952e+00
2.085500000000000131e+00,2.669474153960137264e-05,6.264569308632354783e-02,1.330338911977018590e+00
2.090500000000000025e+00,2.662227418539621311e-05,6.248563410555142000e-02,1.332299783782158187e+00
2.095499999999999918e+00,2.655148087773649918e-05,6.232597218902376918e-02,1.334255645566118753e+00
2.100499999999999812e+00,2.648043975089430942e-05,6.216660443353209942e-02,1.336206507029690016e+00
2.105500000000000149e+00,2.641038149720388646e-05,6.200761897979802095e-02,1.338152379798074776e+00
2.110500000000000043e+00,2.634014871181701898e-05,6.184892503132945196e-02,1.340093273892518866e+00
2.115499999999999936e+00,2.627030978782367337e-05,6.169064272527004233e-02,1.342029200756255314e+00
2.120499999999999829e+00,2.620095104370932394e-05,6.153268902438720905e-02,1.343960171665816050e+00
2.125500000000000167e+00,2.613286515015171050e-05,6.137507607382981095e-02,1.345886197404933649e+00
2.130500000000000060e+00,2.606307459836091305e-05,6.121780926930810857e-02,1.347807288587757002e+00
2.135499999999999954e+00,2.599505325142902756e-05,6.106091148288764897e-02,1.349723456310746972e+00
2.140499999999999847e+00,2.592602357713668816e-05,6.090438068943539174e-02,1.351634712062863786e+00
2.145500000000000185e+00,2.585744468373703424e-05,6.074826890116605260e-02,1.353541068698570493e+00
2.150500000000000078e+00,2.578802708945530028e-05,6.059249434877901630e-02,1.355442537659009572e+00
2.155499999999999972e+00,2.571915894206774453e-05,6.043713561529338862e-02,1.357339130576655339e+00
2.160499999999999865e+00,2.564883297859731488e-05,6.028214190912966480e-02,1.359230860445484135e+00
2.165500000000000203e+00,2.558156908430843273e-05,6.012752339676722541e-02,1.361117737932388216e+00
2.170500000000000096e+00,2.551331633692033700e-05,5.997326253540753022e-02,1.362999775281501291e+00
2.175499999999999989e+00,2.544684746389556788e-05,5.981938582836058421e-02,1.364876983852994830e+00
