pair,family,n_from,n_to,amplitude_floor,valid,q_real,q_imag,s,log_s,delta_rad,quadrant
control_e_vs_sqrt2,beam7_decay,957,958,2.80826745144e-10,True,3.80852161749,-3.50380821703,5.17508540341,1.64385584209,-0.743751080466,expanding_reverse
control_e_vs_sqrt2,beam7_decay,958,959,2.80826745144e-10,True,0.790617364101,-0.241755164082,0.826753515734,-0.190248674654,-0.296751290656,contracting_reverse
control_e_vs_sqrt2,beam7_decay,959,960,2.80826745144e-10,True,1.04063593203,-0.392162357442,1.11207664198,0.106229116093,-0.360390512323,expanding_reverse
control_e_vs_sqrt2,beam7_decay,960,961,2.80826745144e-10,True,1.21217089918,-0.63426661389,1.3680834866,0.313410845554,-0.482072965452,expanding_reverse
control_e_vs_sqrt2,beam7_decay,961,962,2.80826745144e-10,True,0.624200307754,-0.439202564138,0.763233199321,-0.270191659636,-0.613154304904,contracting_reverse
control_e_vs_sqrt2,beam7_decay,962,963,2.80826745144e-10,True,0.94208471102,-0.142640758832,0.95282211814,-0.0483270473772,-0.150268336576,contracting_reverse
control_e_vs_sqrt2,beam7_decay,963,964,2.80826745144e-10,True,0.929250869191,-0.508358030852,1.05921436236,0.0575274657363,-0.500584909599,expanding_reverse
control_e_vs_sqrt2,beam7_decay,964,965,2.80826745144e-10,True,0.512242864867,-0.07868521424,0.518251015963,-0.657295567296,-0.152417840362,contracting_reverse
control_e_vs_sqrt2,beam7_decay,965,966,2.80826745144e-10,True,2.11597076158,0.0746953063907,2.11728875042,0.750136378891,0.0352860748148,expanding_forward
control_e_vs_sqrt2,beam7_decay,966,967,2.80826745144e-10,True,0.344212367789,0.16804956399,0.383044135964,-0.959605058938,0.45417505723,contracting_forward
control_e_vs_sqrt2,beam7_decay,967,968,2.80826745144e-10,True,1.38501077373,0.705990508562,1.55456664107,0.441196819379,0.471406414712,expanding_forward
control_e_vs_sqrt2,beam7_decay,968,969,2.80826745144e-10,True,0.331925883694,-0.447238963999,0.556953753184,-0.585273070897,-0.932327383162,contracting_reverse
control_e_vs_sqrt2,beam7_decay,969,970,2.80826745144e-10,True,1.46991051978,1.17101376495,1.87933769554,0.630919425165,0.672698892915,expanding_forward
control_e_vs_sqrt2,beam7_decay,970,971,2.80826745144e-10,True,1.1752168931,-0.285280521768,1.20934681623,0.190080392558,-0.238140864888,expanding_reverse
control_e_vs_sqrt2,beam7_decay,971,972,2.80826745144e-10,True,0.823920257044,-0.15868633756,0.839062538608,-0.175470035832,-0.190269331829,contracting_reverse
control_e_vs_sqrt2,beam7_decay,972,973,2.80826745144e-10,True,1.30386807678,-0.277453091363,1.33306120623,0.28747795629,-0.209665050663,expanding_reverse
control_e_vs_sqrt2,beam7_decay,973,974,2.80826745144e-10,True,0.643916232571,-0.723681618667,0.968681165175,-0.0318197561425,-0.843657337222,contracting_reverse
control_e_vs_sqrt2,beam7_decay,974,975,2.80826745144e-10,True,0.783346845616,0.0691306600357,0.786391333049,-0.240300731257,0.0880223469489,contracting_forward
control_e_vs_sqrt2,beam7_decay,975,976,2.80826745144e-10,True,1.04539426344,-0.262462483838,1.07783844868,0.0749575991753,-0.245981280315,expanding_reverse
control_e_vs_sqrt2,beam7_decay,976,977,2.80826745144e-10,True,-0.37186107662,-0.114793098323,0.389176201388,-0.943723078051,-2.84217446383,contracting_reverse
control_e_vs_sqrt2,beam7_decay,977,978,2.80826745144e-10,True,0.441496755989,-0.424003568687,0.612126140439,-0.49081690588,-0.765189267646,contracting_reverse
control_e_vs_sqrt2,beam7_decay,978,979,2.80826745144e-10,True,4.14366482804,-0.934776358858,4.24779531619,1.44640009921,-0.221877551718,expanding_reverse
control_e_vs_sqrt2,beam7_decay,979,980,2.80826745144e-10,True,1.48384882,-0.851992417004,1.71105184002,0.537108292534,-0.521215833829,expanding_reverse
control_e_vs_sqrt2,beam7_decay,980,981,2.80826745144e-10,True,0.855930701887,-0.0462306161408,0.857178299015,-0.154109331832,-0.0539596701744,contracting_reverse
