dataset,arm,event_index,phase_direction,a0_swing_index,b_swing_index,a1_swing_index,time_mid_s,a0_duration_s,b_duration_s,a1_duration_s,q_angle_time,direct_angle_time,leg0_angle_time,leg1_angle_time,q_angle_only,direct_angle_only,leg0_angle_only,leg1_angle_only,q_phase_space_time,direct_phase_space_time,leg0_phase_space_time,leg1_phase_space_time
free_run3,1,18,increasing,29,30,31,16.861,0.8740000000000023,0.4619999999999962,0.8780000000000001,1.9566887372821897,2.0150999160404024,1.0282143527313397,1.0314897562005132,0.1116684836258203,0.012522999469424131,0.11205276222182661,0.11223611612251098,1.0459736132853517,2.039498152380688,1.9514744911000217,1.9482379423230827
free_run3,1,19,decreasing,30,31,32,17.531,0.4619999999999962,0.8780000000000001,0.49799999999999756,1.960521167666103,2.0452678154890367,1.0314897562005132,1.0549634269842623,0.09420165941516505,0.010366514761367749,0.11223611612251098,0.10785586157143814,1.0892636617992475,2.0569947065474468,1.9482379423230827,1.8286156858420202
free_run3,1,20,increasing,31,32,33,18.218999999999998,0.8780000000000001,0.49799999999999756,0.48800000000000665,1.9789467618366932,1.7870215006674361,1.0549634269842623,0.7510694942944001,0.25246570035205873,0.0279103240289325,0.10785586157143814,0.11324604645022239,0.9666628047628758,1.898433176978481,1.8286156858420202,2.0991927859945894
free_run3,1,21,decreasing,32,33,34,18.712,0.49799999999999756,0.48800000000000665,0.857999999999997,1.9782228802931545,1.7633875705242337,0.7510694942944001,1.031730197379286,0.2959105539935434,0.03219908101126688,0.11324604645022239,0.10438107483163257,0.964963648001199,1.8781270464766864,2.0991927859945894,1.7934451395210311
free_run3,1,22,increasing,33,34,35,19.385,0.48800000000000665,0.857999999999997,0.47800000000000153,1.9635433980273616,2.019595481301913,1.031730197379286,1.0253625904153338,0.06683242443625674,0.007081560688046358,0.10438107483163257,0.1075388352353916,1.104874208232186,2.0291356367621094,1.7934451395210311,1.8796166835235204
free_run3,1,23,decreasing,34,35,36,20.053,0.857999999999997,0.47800000000000153,0.8840000000000003,1.9613127398938899,2.0316874977344486,1.0253625904153338,1.0464003226674272,0.10128842565303177,0.010865631418519994,0.1075388352353916,0.10700949737944676,1.0921618123561414,2.043101067951592,1.8796166835235204,1.8617722660570755
free_run3,1,24,increasing,35,36,37,20.734,0.47800000000000153,0.8840000000000003,0.47399999999999665,1.959913230484634,2.0482158792315595,1.0464003226674272,1.0437084100799816,0.08959734951028735,0.009570215105039971,0.10700949737944676,0.10661769488344806,1.0986492243207653,2.0494306268096594,1.8617722660570755,1.869046600313508
free_run3,1,25,decreasing,36,37,38,21.413,0.8840000000000003,0.47399999999999665,0.8680000000000021,1.9603419130007802,2.0331713571904433,1.0437084100799816,1.030594387515342,0.0983223428874781,0.010427862340416363,0.10661769488344806,0.10549812811621745,1.0954183358736547,2.0435351900331162,1.869046600313508,1.8620123442189254
free_run3,1,26,increasing,37,38,39,22.084,0.47399999999999665,0.8680000000000021,0.4720000000000013,1.9610604295553316,2.0195877607890647,1.030594387515342,1.0290950849268752,0.058425222906620215,0.006114925826907423,0.10549812811621745,0.10382673271249616,1.094396831020519,2.0260829778216007,1.8620123442189254,1.8406353981585617
free_run3,1,27,decreasing,38,39,40,22.754,0.8680000000000021,0.4720000000000013,0.8780000000000001,1.9606601329779807,2.0256290812903823,1.0290950849268752,1.0371774395353044,0.09098461830077907,0.009426388723073813,0.10382673271249616,0.10338167018285561,1.108221392774383,2.034494234058676,1.8406353981585617,1.8310032244553012
free_run3,1,28,increasing,39,40,41,23.429000000000002,0.4720000000000013,0.8780000000000001,0.4799999999999969,1.9612898147338997,2.0391766439965697,1.0371774395353044,1.0422466503442807,0.08153533619889437,0.008327809409789963,0.10338167018285561,0.10089318285694553,1.1306874127229927,2.0410653054673173,1.8310032244553012,1.779305482443443
free_run3,1,29,decreasing,40,41,42,24.108,0.8780000000000001,0.4799999999999969,0.8520000000000039,1.9634993110274015,2.0256536832208956,1.0422466503442807,1.0210631474686576,0.08796082882217958,0.008829263174113696,0.10089318285694553,0.09986125050481404,1.1439589878086562,2.0329221608479653,1.779305482443443,1.7748816562794028
free_run3,1,30,increasing,41,42,43,24.774,0.4799999999999969,0.8520000000000039,0.49199999999999733,1.9661674780840024,2.0150772781050557,1.0210631474686576,1.0286882603500855,0.06563862787202478,0.006404642744329153,0.09986125050481404,0.09528733659899456,1.1698135305425201,2.0206554549078506,1.7748816562794028,1.67978082137332
free_run3,1,31,decreasing,42,43,44,25.446,0.8520000000000039,0.49199999999999733,0.5,1.9818069325033865,1.765991715489865,1.0286882603500855,0.7535153302480083,0.2789674374639198,0.027086576292455287,0.09528733659899456,0.0989043335019901,1.0414348588885616,1.8430775931922212,1.67978082137332,1.859715821093954
free_run3,1,32,increasing,43,44,45,25.942,0.49199999999999733,0.5,0.8500000000000014,1.9831334578656465,1.7707296424254664,0.7535153302480083,1.032274360710279,0.2866537010928715,0.02751967736458016,0.0989043335019901,0.0931020997633819,1.0640251275388843,1.86269803224762,1.859715821093954,1.6415135841853847
free_run3,1,33,decreasing,44,45,46,26.617,0.5,0.8500000000000014,0.4899999999999949,1.968604504001709,2.02561544849901,1.032274360710279,1.0256457998719113,0.06184411069244067,0.00579888203753245,0.0931020997633819,0.09443013160367886,1.2185979633995405,2.026603182738157,1.6415135841853847,1.6846091299614745
free_run3,1,34,increasing,45,46,47,27.287,0.8500000000000014,0.4899999999999949,0.8560000000000016,1.9674483777791638,2.022606702693878,1.0256457998719113,1.0304251248219058,0.08181534903961797,0.007693693879205041,0.09443013160367886,0.0936444526770647,1.2081770862633798,2.0280189245599254,1.6846091299614745,1.6725459553615425
free_run3,1,35,decreasing,46,47,48,27.959999999999997,0.4899999999999949,0.8560000000000016,0.4819999999999993,1.9664969005802788,2.021093275492737,1.0304251248219058,1.0251014055238556,0.0520027943158214,0.004883029263777972,0.0936444526770647,0.09415427344994083,1.1996012415326656,2.021881467179122,1.6725459553615425,1.6983766432110854
free_run3,1,36,increasing,47,48,49,28.628999999999998,0.8560000000000016,0.4819999999999993,0.8620000000000019,1.9655382513142663,2.0195934053732643,1.0251014055238556,1.0299014966306599,0.07836830881010479,0.007351803995778115,0.09415427344994083,0.09346758817763012,1.1950920796344608,2.024554881585673,1.6983766432110854,1.68973865951089
free_run3,1,37,decreasing,48,49,50,29.301,0.4819999999999993,0.8620000000000019,0.4799999999999969,1.9651950259854374,2.022596658316336,1.0299014966306599,1.0285167586283723,0.05332523696499649,0.004970328941259826,0.09346758817763012,0.09294804630037236,1.196923867968307,2.0228252762314205,1.68973865951089,1.690301341972283
free_run3,1,38,increasing,49,50,51,29.971999999999998,0.8620000000000019,0.4799999999999969,0.8580000000000041,1.965303348401919,2.018085259260645,1.0285167586283723,1.0251969959445748,0.07586769497757632,0.007019828076399097,0.09294804630037236,0.0921064246038484,1.199673308653703,2.022517788746725,1.690301341972283,1.6814795823135698
free_run3,1,39,decreasing,50,51,52,30.641,0.4799999999999969,0.8580000000000041,0.4819999999999993,1.9658442141594208,2.016570993508422,1.0251969959445748,1.026411141652118,0.046804572304143754,0.004278157464980789,0.0921064246038484,0.09070295723092721,1.207782876158699,2.017319503486714,1.6814795823135698,1.6590537921994242
free_run3,1,40,increasing,51,52,53,31.311,0.8580000000000041,0.4819999999999993,0.8539999999999992,1.9663793642877134,2.0150714539519283,1.026411141652118,1.0231134725179993,0.07180227659339104,0.006489870693066228,0.09070295723092721,0.09006765342304139,1.2192321882225305,2.0190335570270923,1.6590537921994242,1.6529216896332204
free_run3,1,41,decreasing,52,53,54,31.979,0.4819999999999993,0.8539999999999992,0.48799999999999955,1.9673256425759529,2.0165733762192173,1.0231134725179993,1.0269521928476808,0.05244356301035801,0.004665796165072078,0.09006765342304139,0.08786824174680233,1.23561828098197,2.0175340766159393,1.6529216896332204,1.6127050944130072
free_run3,1,42,increasing,53,54,55,32.65,0.8539999999999992,0.48799999999999955,0.8440000000000012,1.9685240443129028,2.013567800269861,1.0269521928476808,1.0188117957478258,0.06804599948598021,0.005958673291565423,0.08786824174680233,0.08726838161319733,1.252932454492399,2.0168693033037752,1.6127050944130072,1.6067331060618462
free_run3,1,43,decreasing,54,55,56,33.316,0.48799999999999955,0.8440000000000012,0.49799999999999756,1.9700791950134187,2.013564621315469,1.0188117957478258,1.0253340704814293,0.05549271357826989,0.004764841770180963,0.08726838161319733,0.08446017382896448,1.2748774599921031,2.0150199041185397,1.6067331060618462,1.5543862443908965
free_run3,1,44,increasing,55,56,57,33.986999999999995,0.8440000000000012,0.49799999999999756,0.8060000000000045,1.9727520064385602,1.9925448914440949,1.0253340704814293,0.9947321972916466,0.055257664152949394,0.004661550268253636,0.08446017382896448,0.08426032276498444,1.2860076358665202,1.9959055360925433,1.5543862443908965,1.549647480490821
free_run3,1,45,decreasing,56,57,58,34.638999999999996,0.49799999999999756,0.8060000000000045,0.5319999999999965,1.9770964997316522,1.9895183187816865,0.9947321972916466,1.0178335212271208,0.05263778988479081,0.0043324024112306,0.08426032276498444,0.08035154337578629,1.3175806189429833,1.993598156343005,1.549647480490821,1.4765023090261966
free_run3,1,46,increasing,57,58,59,35.308,0.8060000000000045,0.5319999999999965,0.509999999999998,1.9889909147398406,1.796987359367982,1.0178335212271208,0.7891001817385633,0.26674558866530484,0.02181836380098251,0.08035154337578629,0.08323776964830862,1.2109730415629902,1.8486828940916584,1.4765023090261966,1.57671659947334
free_run3,1,47,decreasing,58,59,60,35.82899999999999,0.5319999999999965,0.509999999999998,0.8320000000000007,1.9861194662683017,1.8000768912898633,0.7891001817385633,1.0235570343673825,0.21992220451281003,0.018065945824118523,0.08323776964830862,0.08105619843135584,1.1885992138020602,1.8320794217951066,1.57671659947334,1.5060372851345736
free_run3,1,48,increasing,59,60,61,36.5,0.509999999999998,0.8320000000000007,0.5020000000000024,1.9739192269580241,2.015067220451655,1.0235570343673825,1.0181346346043443,0.048981066410577645,0.003980281061578995,0.08105619843135584,0.0814670520105512,1.3297136419896198,2.015337697710042,1.5060372851345736,1.5251983645118252
free_run3,1,49,decreasing,60,61,62,37.167,0.8320000000000007,0.5020000000000024,0.8340000000000032,1.9732424359046075,2.010549143173386,1.0181346346043443,1.0196779591144562,0.06444337781242775,0.005222762375229027,0.0814670520105512,0.08062135963139197,1.3237490537870524,2.0131722052565477,1.5251983645118252,1.5164237609161875
free_run3,1,50,increasing,61,62,63,37.835,0.5020000000000024,0.8340000000000032,0.49199999999999733,1.9723993847896641,2.0045246980434643,1.0196779591144562,1.0128968971763515,0.033643076137854784,0.002714166716429868,0.08062135963139197,0.0807293269293961,1.3168513999141636,2.0052626174461654,1.5164237609161875,1.5291174711117768
free_run3,1,51,decreasing,62,63,64,38.498000000000005,0.8340000000000032,0.49199999999999733,0.8440000000000012,1.97119163646642,2.0045286571427487,1.0128968971763515,1.0209273338721212,0.05993094193529019,0.004820678503171314,0.0807293269293961,0.08014511780655985,1.3152058917732838,2.006941072918929,1.5291174711117768,1.5227865470689554
free_run3,1,52,increasing,63,64,65,39.166,0.49199999999999733,0.8440000000000012,0.4939999999999998,1.971017988088377,2.013557559201819,1.0209273338721212,1.0222377426218783,0.044600872309189535,0.003562598037326898,0.08014511780655985,0.07960951715347712,1.3242090812786562,2.0136055435366846,1.5227865470689554,1.5184334113266584
free_run3,1,53,decreasing,64,65,66,39.835,0.8440000000000012,0.4939999999999998,0.8379999999999939,1.9715357497992099,2.0105498656830223,1.0222377426218783,1.0173396435734123,0.06185056906976014,0.004903033301134312,0.07960951715347712,0.07893496755786866,1.328650291364022,2.012722762461601,1.5184334113266584,1.5112919807406482
free_run3,1,54,increasing,65,66,67,40.501,0.4939999999999998,0.8379999999999939,0.4939999999999998,1.9719195509479321,2.0060263798660984,1.0173396435734123,1.0172528720307565,0.03862086643039645,0.003026786954916284,0.07893496755786866,0.0778086394438665,1.3342493016232442,2.0065964366775964,1.5112919807406482,1.4965363677342232
free_run3,1,55,decreasing,66,67,68,41.166999999999994,0.8379999999999939,0.4939999999999998,0.8359999999999985,1.9721289699044695,2.004523031821015,1.0172528720307565,1.0155989976095081,0.05637673625475595,0.004372083923538529,0.0778086394438665,0.0772937738558995,1.3428586665821705,2.006412100031174,1.4965363677342232,1.4917335819811444
free_run3,1,56,increasing,67,68,69,41.831999999999994,0.4939999999999998,0.8359999999999985,0.5020000000000095,1.9730115104437984,2.009041955609876,1.0155989976095081,1.0209243019002583,0.043435679669089906,0.003326197610737883,0.0772937738558995,0.07586131136796093,1.3582121107463203,2.0094650736205644,1.4917335819811444,1.4672520694078552
free_run3,1,57,decreasing,68,69,70,42.501,0.8359999999999985,0.5020000000000095,0.8199999999999932,1.9744720196608194,2.003028416237507,1.0209243019002583,1.0080013007847501,0.05362728537737174,0.0040532329077990125,0.07586131136796093,0.07530177209884797,1.3697146542700864,2.0046438804846374,1.4672520694078552,1.4598450076879599
free_run3,1,58,increasing,69,70,71,43.162,0.5020000000000095,0.8199999999999932,0.5120000000000005,1.976075247107385,1.998500881465691,1.0080013007847501,1.0146958453802382,0.039035119264030416,0.002899183447387063,0.07530177209884797,0.07324054067223484,1.3853761967440623,1.9995281840687673,1.4598450076879599,1.426776241858693
free_run3,1,59,decreasing,70,71,72,43.827999999999996,0.8199999999999932,0.5120000000000005,0.7999999999999972,1.9777886916803025,1.9909858870868324,1.0146958453802382,0.9986495594772622,0.045240781665101815,0.003308180395771914,0.07324054067223484,0.0730071709725798,1.3993863666386699,1.9925270363293652,1.426776241858693,1.4209391337247077
free_run3,1,60,increasing,71,72,73,44.483999999999995,0.5120000000000005,0.7999999999999972,0.5360000000000014,1.9803703077337629,1.9940055092156086,0.9986495594772622,1.0151207959240458,0.038088914294623806,0.002737936065853471,0.0730071709725798,0.07075833752551498,1.4222488189560707,1.9952683241518376,1.4209391337247077,1.3848544764487398
free_run3,1,61,decreasing,72,73,74,45.151999999999994,0.7999999999999972,0.5360000000000014,0.5760000000000076,1.9895703966739442,1.8460214813166784,1.0151207959240458,0.8405777854408126,0.16491695635302625,0.011729027723269251,0.07075833752551498,0.07148328495703601,1.3431400337415729,1.859113848626746,1.3848544764487398,1.3834553079716225
free_run3,1,62,increasing,73,74,75,45.708,0.5360000000000014,0.5760000000000076,0.7560000000000002,1.9933919467961803,1.8429347344083007,0.8405777854408126,1.0084662396143729,0.19488693510338304,0.013682402421490117,0.07148328495703601,0.06893046226754747,1.361919545983962,1.8617856260468306,1.3834553079716225,1.35060579209391
free_run3,1,63,decreasing,74,75,76,46.374,0.5760000000000076,0.7560000000000002,0.5279999999999916,1.986881161634178,1.9699940847288575,1.0084662396143729,0.974535182683646,0.043403168169686035,0.0030161188829708825,0.06893046226754747,0.0700510457725694,1.4479442063842258,1.972317124126298,1.35060579209391,1.3736941021009426
free_run3,1,64,increasing,75,76,77,47.016,0.7560000000000002,0.5279999999999916,0.8060000000000116,1.9826486936999714,1.9715088833552592,0.974535182683646,1.014227516043456,0.03642284009764504,0.0025328818549345683,0.0700510457725694,0.06903101636998901,1.4351407682921056,1.973027010888198,1.3736941021009426,1.3758996025447778
free_run3,1,65,decreasing,76,77,78,47.683,0.5279999999999916,0.8060000000000116,0.5159999999999911,1.9800418146615921,2.0000080039446653,1.014227516043456,1.0059399260127972,0.030259975849159966,0.00209123634122823,0.06903101636998901,0.06918696183677707,1.449062126415495,2.0002246312612213,1.3758996025447778,1.3848165804240256
free_run3,1,66,increasing,77,78,79,48.344,0.8060000000000116,0.5159999999999911,0.8140000000000072,1.978947445036657,1.9969938099340345,1.0059399260127972,1.012298420783768,0.048434329052470824,0.003333416191018919,0.06918696183677707,0.06845987899827187,1.4455397819241371,1.9982131254906583,1.3848165804240256,1.3798435838654217
free_run3,1,67,decreasing,78,79,80,49.009,0.5159999999999911,0.8140000000000072,0.5120000000000005,1.9783999974271091,2.0000017984352896,1.012298420783768,1.0095392268469168,0.029681784247904366,0.0020303564653339446,0.06845987899827187,0.06834837001912301,1.4479720583389477,2.0002246059474165,1.3798435838654217,1.3829508974617795
free_run3,1,68,increasing,79,80,81,49.672000000000004,0.8140000000000072,0.5120000000000005,0.8179999999999978,1.9779999320075383,2.000003601292108,1.0095392268469168,1.0127091756211637,0.049470131167792884,0.0033665686362230316,0.06834837001912301,0.0677567324640015,1.4495927362257421,2.0011422075719234,1.3829508974617795,1.378020729344565
free_run3,1,69,decreasing,80,81,82,50.337,0.5120000000000005,0.8179999999999978,0.5099999999999909,1.9777679604849103,2.001507291402494,1.0127091756211637,1.0112970085135646,0.030756712684238723,0.0020748961386646667,0.0677567324640015,0.06716640837789654,1.4547698328736207,2.0016029867572125,1.378020729344565,1.373758887646017
free_run3,1,70,increasing,81,82,83,51.001,0.8179999999999978,0.5099999999999909,0.8160000000000025,1.9777765082811858,1.9984967340064304,1.0112970085135646,1.0096560421860332,0.047869250826749386,0.0032025399443302524,0.06716640837789654,0.06663722919817638,1.4583542542770234,1.9995196203430594,1.373758887646017,1.368400110387445
free_run3,1,71,decreasing,82,83,84,51.663999999999994,0.5099999999999909,0.8160000000000025,0.51400000000001,1.9782365771672217,2.000001902545182,1.0096560421860332,1.0123487328031415,0.032176066623986824,0.0021304429890454135,0.06663722919817638,0.06578684947756809,1.4671100165857973,2.0002130248056496,1.368400110387445,1.3583388555974905
free_run3,1,72,increasing,83,84,85,52.329,0.8160000000000025,0.51400000000001,0.8099999999999881,1.9788538924132502,1.9984980287003162,1.0123487328031415,1.0075053214677472,0.04650152526899835,0.0030476798887552653,0.06578684947756809,0.0652918569143314,1.4751772175056066,1.9994088085125075,1.3583388555974905,1.352398247424382
free_run3,1,73,decreasing,84,85,86,52.991,0.51400000000001,0.8099999999999881,0.5200000000000102,1.9796176753588381,1.9984968427352383,1.0075053214677472,1.0115682275426474,0.03295749955998507,0.0021326172590904646,0.0652918569143314,0.06412434805042597,1.4861440720362125,1.9987498268779131,1.352398247424382,1.33744840269126
free_run3,1,74,increasing,85,86,87,53.656,0.8099999999999881,0.5200000000000102,0.7939999999999969,1.9807643692727084,1.990977797287353,1.0115682275426474,0.9987443852780229,0.03951460437809253,0.0025245480957790272,0.06412434805042597,0.06365362849834966,1.4940137359930337,1.991706662975933,1.33744840269126,1.328801063418361
free_run3,1,75,decreasing,86,87,88,54.313,0.5200000000000102,0.7939999999999969,0.5360000000000014,1.982518264814124,1.9909770431924347,0.9987443852780229,1.0097889821349666,0.029151433937726665,0.0018359115385957832,0.06365362849834966,0.06230323129233234,1.5085142994156964,1.9915046384228081,1.328801063418361,1.3115512874929853
free_run3,1,76,increasing,87,88,89,54.978,0.7939999999999969,0.5360000000000014,0.769999999999996,1.9844752532456946,1.9849686101867936,1.0097889821349666,0.9907082343864207,0.0320307873601174,0.001991514805157026,0.06230323129233234,0.062046806236668715,1.5193853666803505,1.9855832270666518,1.3115512874929853,1.3021150944662931
free_run3,1,77,decreasing,88,89,90,55.631,0.5360000000000014,0.769999999999996,0.5619999999999976,1.9868063363288526,1.9864792618468212,0.9907082343864207,1.0089625191479816,0.02937149433491438,0.0018005270932145551,0.062046806236668715,0.0605569041965617,1.5358908292278386,1.9871355890818145,1.3021150944662931,1.2854849501030685
free_run3,1,78,increasing,89,90,91,56.297,0.769999999999996,0.5619999999999976,0.7079999999999984,1.990042009333989,1.9595260426431835,1.0089625191479816,0.9603688150171515,0.02063708867189021,0.001248965610443961,0.0605569041965617,0.060483968409192804,1.5362511246173514,1.9601013135929573,1.2854849501030685,1.2663131018998919
free_run3,1,79,decreasing,90,91,92,56.931999999999995,0.5619999999999976,0.7079999999999984,0.6200000000000045,1.9935353052161433,1.9564923402690972,0.9603688150171515,1.0024680960221242,0.04692907923335718,0.0027986016432829486,0.060483968409192804,0.058785435082265566,1.5521986194166968,1.9579647319914002,1.2663131018998919,1.2565144634630858
free_run3,1,80,increasing,91,92,93,57.596,0.7079999999999984,0.6200000000000045,0.5960000000000036,1.996040738950253,1.9162980117791992,1.0024680960221242,0.9176310025433774,0.08763841033717283,0.005167568217985129,0.058785435082265566,0.05914386550873901,1.5389785732879808,1.9189831457954982,1.2565144634630858,1.2373255146928792
free_run3,1,81,decreasing,92,93,94,58.204,0.6200000000000045,0.5960000000000036,0.7319999999999993,1.9950140136853236,1.916296417257898,0.9176310025433774,1.0034546681462102,0.07743744156551906,0.004537907869463607,0.05914386550873901,0.058058040383880856,1.5392042226912923,1.9183340830562807,1.2373255146928792,1.2553054887513309
free_run3,2,0,increasing,0,1,2,1.0470000000000006,0.5919999999999987,0.6580000000000013,0.5779999999999994,1.960917390573798,1.906272523203005,0.9776560456390425,0.9666099722631162,0.3646311762334146,0.06988532267327115,0.1935467845990146,0.18977382662889006,0.8579685619249636,2.357033665394301,2.8117382243451607,2.6827140667877236
free_run3,2,1,decreasing,1,2,3,1.665000000000001,0.6580000000000013,0.5779999999999994,0.6159999999999997,1.9562097768581823,1.8626014613506525,0.9666099722631162,0.9376862677261638,0.20493206660914903,0.04040679017103466,0.18977382662889006,0.20456943882111275,0.7089609154709815,1.9183136922007638,2.6827140667877236,2.7289063775533506
free_run3,2,2,increasing,2,3,4,2.2620000000000005,0.5779999999999994,0.6159999999999997,0.6419999999999995,1.959638466532476,1.8798606379120197,0.9376862677261638,0.9808927661283605,0.2692706295863443,0.05190709144168442,0.20456943882111275,0.18096901757440662,0.74859443791878,1.9816683763523684,2.7289063775533506,2.56546471572312
free_run3,2,3,decreasing,3,4,5,2.891,0.6159999999999997,0.6419999999999995,0.5519999999999996,1.9621258385647613,1.8803558633347464,0.9808927661283605,0.9357588842165253,0.36184234996364445,0.06750185885076017,0.18096901757440662,0.19213191357719747,0.8500799386293938,2.273298199280826,2.56546471572312,2.7829692279036986
