time (s)	frame	distance	L(t) (um)
46	316	0.412	49.024
46.2	317	0	49.024
46.4	318	0	49.024
46.6	319	0.206	48.818
46.8	320	0.743	48.075
47	321	0.412	47.663
47.2	322	0.743	46.92
47.4	323	0.206	46.714
47.6	324	0.651	46.063
47.8	325	0.412	45.651
48	326	0	45.651
48.2	327	0.206	45.445
48.4	328	0.824	44.621
48.6	329	0.412	44.209
48.8	330	0.412	43.797
49	331	0.206	43.591
49.2	332	0.291	43.3
49.4	333	0	43.3
49.6	334	0.618	42.682
49.8	335	0.618	42.064
50	336	0.206	41.858
50.2	337	0.618	41.24
50.4	338	0.412	40.828
50.6	339	0.618	40.21
50.8	340	0.206	40.004
51	341	0.291	39.713
51.2	342	0.291	39.422
51.4	343	0.206	39.216
51.6	344	0.618	38.598
51.8	345	0.412	38.186
52	346	0.412	37.774
52.2	347	0	37.774
52.4	348	0.461	37.313
52.6	349	0.206	37.107
52.8	350	0.618	36.489
53	351	0.618	35.871
53.2	352	0.849	35.022
53.4	353	0.651	34.371
53.6	354	0.206	34.165
53.8	355	0.824	33.341
54	356	0	33.341
54.2	357	0.206	33.135
54.4	358	0.206	32.929
54.6	359	0.618	32.311
54.8	360	0.412	31.899
55	361	0.618	31.281
55.2	362	0.206	31.075
55.4	363	0.651	30.424
55.6	364	0.461	29.963
55.8	365	0.412	29.551
56	366	0.618	28.933
56.2	367	0.206	28.727
56.4	368	0.461	28.266
56.6	369	0	28.266
56.8	370	0.412	27.854
57	371	0.583	27.271
57.2	372	0	27.271
57.4	373	0.461	26.81
57.6	374	0	26.81
57.8	375	0.412	26.398
58	376	0.651	25.747
58.2	377	0.206	25.541
58.4	378	0.206	25.335
58.6	379	0.651	24.684
58.8	380	0.618	24.066
59	381	0.206	23.86
59.2	382	0.412	23.448
59.4	383	0.206	23.242
59.6	384	0.206	23.036
59.8	385	0.412	22.624
60	386	0.206	22.418
60.2	387	0.461	21.957
60.4	388	0.206	21.751
60.6	389	0.412	21.339
60.8	390	0.618	20.721
61	391	0.206	20.515
61.2	392	0.206	20.309
61.4	393	0.618	19.691
61.6	394	0.412	19.279
61.8	395	0.206	19.073
62	396	0.412	18.661
62.2	397	0.412	18.249
62.4	398	0	18.249
62.6	399	0.412	17.837
62.8	400	0.412	17.425
63	401	0.206	17.219
63.2	402	0.206	17.013
63.4	403	0.412	16.601
63.6	404	0	16.601
63.8	405	0.412	16.189
64	406	0	16.189
64.2	407	0.824	15.365
64.4	408	0.412	14.953
64.6	409	0	14.953
64.8	410	0.412	14.541
65	411	0.206	14.335
65.2	412	0.618	13.717
65.4	413	0.412	13.305
65.6	414	0	13.305
65.8	415	0	13.305
66	416	0.824	12.481
66.2	417	0.583	11.898
66.4	418	0	11.898
66.6	419	0.824	11.074
66.8	420	0.461	10.613
67	421	0.412	10.201
67.2	422	0.412	9.789
67.4	423	0.651	9.138
67.6	424	0.412	8.726
67.8	425	0.206	8.52
68	426	0.412	8.108
68.2	427	0.206	7.902
68.4	428	0.412	7.49
68.6	429	0.206	7.284
68.8	430	0.618	6.666
69	431	0.412	6.254
69.2	432	0.412	5.842
69.4	433	1.05	4.792
69.6	434	0.461	4.331
69.8	435	0.618	3.713
70	436	0.618	3.095
70.2	437	0.412	2.683
70.4	438	0.824	1.859
70.6	439	0.412	1.447
70.8	440	0.824	0.623
71	441	0.412	0.211
