event,time_s,ridge_frequency_hz,median_excess_frequency_hz,centroid_excess_frequency_hz,h1_l1_lag_ms,h1_l1_activity_corr
GW170104,-0.10707998275756836,320.0,304.0,260.85483267731587,4.0,0.13012391796747388
GW170104,-0.10317373275756836,416.0,232.0,260.6884760511945,4.0,0.13012391796747388
GW170104,-0.09926748275756836,416.0,224.0,262.13550492654196,4.0,0.13012391796747388
GW170104,-0.09536123275756836,416.0,224.0,265.29730424495295,4.0,0.13012391796747388
GW170104,-0.09145498275756836,184.0,280.0,270.69628020525266,4.0,0.13012391796747388
GW170104,-0.08754873275756836,432.0,288.0,277.62648786512426,4.0,0.13012391796747388
GW170104,-0.08364248275756836,296.0,296.0,285.84461721163217,4.0,0.13012391796747388
GW170104,-0.07973623275756836,296.0,296.0,291.8944085116455,4.0,0.13012391796747388
GW170104,-0.07582998275756836,296.0,296.0,293.3016790420826,4.0,0.13012391796747388
GW170104,-0.07192373275756836,296.0,296.0,289.64330850073884,4.0,0.13012391796747388
GW170104,-0.06801748275756836,296.0,296.0,284.0756671827525,4.0,0.13012391796747388
GW170104,-0.06411123275756836,296.0,296.0,278.2195406429768,4.0,0.13012391796747388
GW170104,-0.06020498275756836,296.0,296.0,273.2576580369571,4.0,0.13012391796747388
GW170104,-0.05629873275756836,56.0,296.0,267.51083304582437,4.0,0.13012391796747388
GW170104,-0.05239248275756836,56.0,288.0,260.2867148546832,4.0,0.13012391796747388
GW170104,-0.04848623275756836,64.0,280.0,250.353687994446,4.0,0.13012391796747388
GW170104,-0.04457998275756836,64.0,192.0,236.5314513468123,4.0,0.13012391796747388
GW170104,-0.04067373275756836,72.0,168.0,221.69593154369701,4.0,0.13012391796747388
GW170104,-0.03676748275756836,104.0,160.0,209.06406859649505,4.0,0.13012391796747388
GW170104,-0.03286123275756836,104.0,152.0,199.06534880978296,4.0,0.13012391796747388
GW170104,-0.02895498275756836,104.0,160.0,192.4935094845127,4.0,0.13012391796747388
GW170104,-0.02504873275756836,104.0,160.0,188.7131949101243,4.0,0.13012391796747388
GW170104,-0.02114248275756836,104.0,160.0,187.20713717356946,4.0,0.13012391796747388
GW170104,-0.01723623275756836,104.0,160.0,187.12699522677306,4.0,0.13012391796747388
GW170104,-0.01332998275756836,104.0,168.0,187.84499221664447,4.0,0.13012391796747388
GW170104,-0.00942373275756836,104.0,168.0,189.29969360130718,4.0,0.13012391796747388
GW170104,-0.005517482757568359,104.0,176.0,191.17174495451522,4.0,0.13012391796747388
GW170104,-0.0016112327575683594,104.0,176.0,193.50586483433594,4.0,0.13012391796747388
GW170104,0.0022950172424316406,104.0,184.0,197.4722252520587,4.0,0.13012391796747388
GW170104,0.006201267242431641,216.0,192.0,203.7114229535085,4.0,0.13012391796747388
GW170104,0.01010751724243164,224.0,200.0,212.7349452610324,4.0,0.13012391796747388
GW170104,0.01401376724243164,224.0,208.0,225.51970255186083,4.0,0.13012391796747388
GW170104,0.01792001724243164,224.0,216.0,242.9361024118464,4.0,0.13012391796747388
GW170104,0.02182626724243164,224.0,232.0,265.13956474831014,4.0,0.13012391796747388
GW170104,0.02573251724243164,448.0,288.0,285.3710530709005,4.0,0.13012391796747388
GW170104,0.02963876724243164,448.0,304.0,296.19197976961283,4.0,0.13012391796747388
GW170104,0.03354501724243164,448.0,296.0,293.6152205554061,4.0,0.13012391796747388
GW170104,0.03745126724243164,448.0,256.0,281.062451228179,4.0,0.13012391796747388
GW170104,0.04135751724243164,128.0,248.0,266.30508576197724,4.0,0.13012391796747388
GW170104,0.04526376724243164,128.0,248.0,255.18949137674963,4.0,0.13012391796747388
GW170104,0.04917001724243164,128.0,256.0,250.77324988007797,4.0,0.13012391796747388
GW170809,-0.24848628044128418,448.0,304.0,278.09601103487546,-8.0,0.2874623887599221
GW170809,-0.24458003044128418,448.0,312.0,280.0056962560665,-8.0,0.2874623887599221
GW170809,-0.24067378044128418,56.0,312.0,281.2636505454036,-8.0,0.2874623887599221
GW170809,-0.23676753044128418,56.0,320.0,281.15921476003956,-8.0,0.2874623887599221
GW170809,-0.23286128044128418,56.0,312.0,279.18353958048925,-8.0,0.2874623887599221
GW170809,-0.22895503044128418,56.0,312.0,275.8630204287551,-8.0,0.2874623887599221
GW170809,-0.22504878044128418,56.0,304.0,273.7474792979511,-8.0,0.2874623887599221
GW170809,-0.22114253044128418,56.0,304.0,273.82540467674687,-8.0,0.2874623887599221
GW170809,-0.21723628044128418,416.0,304.0,275.4749910667015,-8.0,0.2874623887599221
GW170809,-0.21333003044128418,416.0,296.0,278.34129193003787,-8.0,0.2874623887599221
GW170809,-0.20942378044128418,416.0,296.0,281.6588764511987,-8.0,0.2874623887599221
GW170809,-0.20551753044128418,416.0,288.0,285.079087198399,-8.0,0.2874623887599221
GW170809,-0.20161128044128418,416.0,288.0,289.7325800094582,-8.0,0.2874623887599221
GW170809,-0.19770503044128418,280.0,288.0,295.11506675383885,-8.0,0.2874623887599221
GW170809,-0.19379878044128418,280.0,288.0,300.3699570682724,-8.0,0.2874623887599221
GW170809,-0.18989253044128418,280.0,288.0,304.3331899830611,-8.0,0.2874623887599221
GW170809,-0.18598628044128418,280.0,296.0,305.73240059981384,-8.0,0.2874623887599221
GW170809,-0.18208003044128418,280.0,288.0,304.62154693621085,-8.0,0.2874623887599221
GW170809,-0.17817378044128418,280.0,288.0,300.9607005563047,-8.0,0.2874623887599221
GW170809,-0.17426753044128418,136.0,288.0,294.5586873566952,-8.0,0.2874623887599221
GW170809,-0.17036128044128418,136.0,288.0,286.6851160265075,-8.0,0.2874623887599221
GW170809,-0.16645503044128418,136.0,280.0,277.6803561639318,-8.0,0.2874623887599221
GW170809,-0.16254878044128418,32.0,272.0,268.9959130241127,-8.0,0.2874623887599221
GW170809,-0.15864253044128418,40.0,232.0,256.6938982294371,-8.0,0.2874623887599221
GW170809,-0.15473628044128418,40.0,224.0,240.18596963550615,-8.0,0.2874623887599221
GW170809,-0.15083003044128418,40.0,216.0,224.53080366373652,-8.0,0.2874623887599221
GW170809,-0.14692378044128418,40.0,208.0,213.91674012981917,-8.0,0.2874623887599221
GW170809,-0.14301753044128418,40.0,200.0,213.0416600673527,-8.0,0.2874623887599221
GW170809,-0.13911128044128418,384.0,208.0,220.51483818814825,-8.0,0.2874623887599221
GW170809,-0.13520503044128418,384.0,216.0,232.08417519648083,-8.0,0.2874623887599221
GW170809,-0.13129878044128418,384.0,224.0,244.0147035487505,-8.0,0.2874623887599221
GW170809,-0.12739253044128418,384.0,320.0,255.6931413347807,-8.0,0.2874623887599221
GW170809,-0.12348628044128418,384.0,360.0,269.74551902762414,-8.0,0.2874623887599221
GW170809,-0.11958003044128418,384.0,368.0,285.46673106173836,-8.0,0.2874623887599221
GW170809,-0.11567378044128418,384.0,376.0,298.90130247080174,-8.0,0.2874623887599221
GW170809,-0.11176753044128418,376.0,376.0,306.4638064698813,-8.0,0.2874623887599221
GW170809,-0.10786128044128418,376.0,368.0,306.0320185303079,-8.0,0.2874623887599221
GW170809,-0.10395503044128418,376.0,368.0,296.6638230029349,-8.0,0.2874623887599221
GW170809,-0.10004878044128418,56.0,360.0,280.63732015196257,-8.0,0.2874623887599221
GW170809,-0.09614253044128418,64.0,344.0,262.9348320606264,-8.0,0.2874623887599221
GW170809,-0.09223628044128418,64.0,224.0,244.72226181664857,-8.0,0.2874623887599221
GW170809,-0.08833003044128418,64.0,104.0,226.6559978253682,-8.0,0.2874623887599221
