time_M,actual_separation_M,common_horizon_time_M,predicted_handover_time_M,series,relation_ara
1006.0,13.917601622076171,3685.496267868691,3723.0384611894415,Hidden horizon A–B,1.7946822126477837
1006.0,13.917601622076171,3685.496267868691,3723.0384611894415,Blind ARA inversion,1.81305314557923
1041.5,13.871220416028185,3685.496267868691,3723.0384611894415,Hidden horizon A–B,1.7813286712822607
1041.5,13.871220416028185,3685.496267868691,3723.0384611894415,Blind ARA inversion,1.80603721756975
1077.5,13.823793359082728,3685.496267868691,3723.0384611894415,Hidden horizon A–B,1.7676740206008847
1077.5,13.823793359082728,3685.496267868691,3723.0384611894415,Blind ARA inversion,1.7988690681691328
1113.0,13.778000149919341,3685.496267868691,3723.0384611894415,Hidden horizon A–B,1.75448976850984
1113.0,13.778000149919341,3685.496267868691,3723.0384611894415,Blind ARA inversion,1.791893234950661
1149.0,13.733497521013359,3685.496267868691,3723.0384611894415,Hidden horizon A–B,1.7416770853865136
1149.0,13.733497521013359,3685.496267868691,3723.0384611894415,Blind ARA inversion,1.784667178524698
1184.5,13.691759678433057,3685.496267868691,3723.0384611894415,Hidden horizon A–B,1.729660407622095
1184.5,13.691759678433057,3685.496267868691,3723.0384611894415,Blind ARA inversion,1.7775183207903473
1220.5,13.651148179169038,3685.496267868691,3723.0384611894415,Hidden horizon A–B,1.7179680136214535
1220.5,13.651148179169038,3685.496267868691,3723.0384611894415,Blind ARA inversion,1.7702148914612386
1256.0,13.611778687133063,3685.496267868691,3723.0384611894415,Hidden horizon A–B,1.7066332040027017
1256.0,13.611778687133063,3685.496267868691,3723.0384611894415,Blind ARA inversion,1.7628405557672349
1291.5,13.571726383135015,3685.496267868691,3723.0384611894415,Hidden horizon A–B,1.6951018070470234
1291.5,13.571726383135015,3685.496267868691,3723.0384611894415,Blind ARA inversion,1.7553905445256517
1327.5,13.529025753015766,3685.496267868691,3723.0384611894415,Hidden horizon A–B,1.6828079346099558
1327.5,13.529025753015766,3685.496267868691,3723.0384611894415,Blind ARA inversion,1.7477824765475967
1363.0,13.483932147996448,3685.496267868691,3723.0384611894415,Hidden horizon A–B,1.6698251044670092
1363.0,13.483932147996448,3685.496267868691,3723.0384611894415,Blind ARA inversion,1.7400385753678653
1399.0,13.435086705678051,3685.496267868691,3723.0384611894415,Hidden horizon A–B,1.655762088644584
1399.0,13.435086705678051,3685.496267868691,3723.0384611894415,Blind ARA inversion,1.732547534675758
1434.5,13.384469334018522,3685.496267868691,3723.0384611894415,Hidden horizon A–B,1.6411889193835203
1434.5,13.384469334018522,3685.496267868691,3723.0384611894415,Blind ARA inversion,1.7251011549827424
1470.5,13.331818732176785,3685.496267868691,3723.0384611894415,Hidden horizon A–B,1.6260303659624231
1470.5,13.331818732176785,3685.496267868691,3723.0384611894415,Blind ARA inversion,1.7173622741789014
1506.0,13.279878626353259,3685.496267868691,3723.0384611894415,Hidden horizon A–B,1.6110763703520778
1506.0,13.279878626353259,3685.496267868691,3723.0384611894415,Blind ARA inversion,1.7098488929403097
1541.5,13.22913549056973,3685.496267868691,3723.0384611894415,Hidden horizon A–B,1.5964669925364028
1541.5,13.22913549056973,3685.496267868691,3723.0384611894415,Blind ARA inversion,1.7022863556467192
1577.5,13.179618890923496,3685.496267868691,3723.0384611894415,Hidden horizon A–B,1.5822107448447855
1577.5,13.179618890923496,3685.496267868691,3723.0384611894415,Blind ARA inversion,1.6942725527745361
1613.0,13.132585492853922,3685.496267868691,3723.0384611894415,Hidden horizon A–B,1.5686694318820873
1613.0,13.132585492853922,3685.496267868691,3723.0384611894415,Blind ARA inversion,1.6866141716694572
1649.0,13.085793856515032,3685.496267868691,3723.0384611894415,Hidden horizon A–B,1.5551977241657027
1649.0,13.085793856515032,3685.496267868691,3723.0384611894415,Blind ARA inversion,1.6787722323207162
1684.5,13.039229209910648,3685.496267868691,3723.0384611894415,Hidden horizon A–B,1.5417913687130373
1684.5,13.039229209910648,3685.496267868691,3723.0384611894415,Blind ARA inversion,1.6708267767365177
1720.5,12.99021667169165,3685.496267868691,3723.0384611894415,Hidden horizon A–B,1.5276802445680653
1720.5,12.99021667169165,3685.496267868691,3723.0384611894415,Blind ARA inversion,1.6628983255624918
1756.0,12.93906706652678,3685.496267868691,3723.0384611894415,Hidden horizon A–B,1.5129538407808805
1756.0,12.93906706652678,3685.496267868691,3723.0384611894415,Blind ARA inversion,1.6549363910720098
1791.5,12.884680336892972,3685.496267868691,3723.0384611894415,Hidden horizon A–B,1.4972954414898143
1791.5,12.884680336892972,3685.496267868691,3723.0384611894415,Blind ARA inversion,1.6468569422397925
1827.5,12.826632690682102,3685.496267868691,3723.0384611894415,Hidden horizon A–B,1.4805830333638563
1827.5,12.826632690682102,3685.496267868691,3723.0384611894415,Blind ARA inversion,1.6386208612313533
1863.0,12.767667934581322,3685.496267868691,3723.0384611894415,Hidden horizon A–B,1.4636065815466028
1863.0,12.767667934581322,3685.496267868691,3723.0384611894415,Blind ARA inversion,1.6301801274312322
1899.0,12.707550942060436,3685.496267868691,3723.0384611894415,Hidden horizon A–B,1.4462983911220604
