time_M,series,axis_angle_deg,axis_error_deg
1899.0,Blind half-phase axis,2080.9357215038813,-0.7711495845781561
1934.5,Hidden A–B axis,2124.972268622688,-0.75212380714262
1934.5,Blind half-phase axis,2125.7243924298305,-0.75212380714262
1970.5,Hidden A–B axis,2170.7369660017725,-0.7309972124630412
1970.5,Blind half-phase axis,2171.4679632142356,-0.7309972124630412
2006.0,Hidden A–B axis,2216.179028828711,-0.7186108676700809
2006.0,Blind half-phase axis,2216.8976396963812,-0.7186108676700809
2042.0,Hidden A–B axis,2262.573743137725,-0.7104253138365083
2042.0,Blind half-phase axis,2263.2841684515615,-0.7104253138365083
2077.5,Hidden A–B axis,2308.6367295191117,-0.7008088433031547
2077.5,Blind half-phase axis,2309.337538362415,-0.7008088433031547
2113.0,Hidden A–B axis,2355.025419451684,-0.6947382198107952
2113.0,Blind half-phase axis,2355.7201576714947,-0.6947382198107952
2149.0,Hidden A–B axis,2402.4247791783723,-0.6964318947528458
2149.0,Blind half-phase axis,2403.121211073125,-0.6964318947528458
2184.5,Hidden A–B axis,2449.5469701581683,-0.6939672670137682
2184.5,Blind half-phase axis,2450.240937425182,-0.6939672670137682
2220.5,Hidden A–B axis,2497.7473584503477,-0.6789970280392987
2220.5,Blind half-phase axis,2498.426355478387,-0.6789970280392987
2256.0,Hidden A–B axis,2545.707167995852,-0.6610542213073757
2256.0,Blind half-phase axis,2546.3682222171597,-0.6610542213073757
2292.0,Hidden A–B axis,2594.7869473254955,-0.6444866358996851
2292.0,Blind half-phase axis,2595.431433961395,-0.6444866358996851
2327.5,Hidden A–B axis,2643.62347662805,-0.6210023528275359
2327.5,Blind half-phase axis,2644.244478980878,-0.6210023528275359
2363.0,Hidden A–B axis,2692.8914543744363,-0.5924633330879477
2363.0,Blind half-phase axis,2693.483917707524,-0.5924633330879477
2399.0,Hidden A–B axis,2743.292749477876,-0.5748592679079597
2399.0,Blind half-phase axis,2743.867608745784,-0.5748592679079597
2434.5,Hidden A–B axis,2793.435654317961,-0.5652875604547823
2434.5,Blind half-phase axis,2794.0009418784157,-0.5652875604547823
2470.5,Hidden A–B axis,2844.755065451638,-0.550217311580301
2470.5,Blind half-phase axis,2845.3052827632187,-0.550217311580301
2506.0,Hidden A–B axis,2895.859711883605,-0.5348206264078965
2506.0,Blind half-phase axis,2896.394532510013,-0.5348206264078965
2542.0,Hidden A–B axis,2948.230394615952,-0.5247839316101903
2542.0,Blind half-phase axis,2948.755178547562,-0.5247839316101903
2577.5,Hidden A–B axis,3000.4515213405125,-0.5037513369143426
2577.5,Blind half-phase axis,3000.955272677427,-0.5037513369143426
2613.0,Hidden A–B axis,3053.2769257182645,-0.4677556233727635
2613.0,Blind half-phase axis,3053.7446813416373,-0.4677556233727635
2649.0,Hidden A–B axis,3107.482220784045,-0.43481978186987486
2649.0,Blind half-phase axis,3107.9170405659147,-0.43481978186987486
2684.5,Hidden A–B axis,3161.5710381897898,-0.4024588113466495
2684.5,Blind half-phase axis,3161.9734970011364,-0.4024588113466495
2720.5,Hidden A–B axis,3217.0755949453883,-0.36072084608064797
2720.5,Blind half-phase axis,3217.4363157914686,-0.36072084608064797
2756.0,Hidden A–B axis,3272.4707608884237,-0.3276037345027873
2756.0,Blind half-phase axis,3272.7983646229263,-0.3276037345027873
2792.0,Hidden A–B axis,3329.3502963930578,-0.3038732780913182
2792.0,Blind half-phase axis,3329.6541696711492,-0.3038732780913182
2827.5,Hidden A–B axis,3386.185692586258,-0.26931851155953357
2827.5,Blind half-phase axis,3386.4550110978175,-0.26931851155953357
2863.5,Hidden A–B axis,3444.64363033682,-0.22956754004462687
2863.5,Blind half-phase axis,3444.8731978768647,-0.22956754004462687
2899.0,Hidden A–B axis,3503.1680221737297,-0.19137632259463783
2899.0,Blind half-phase axis,3503.3593984963245,-0.19137632259463783
2934.5,Hidden A–B axis,3562.6266597999293,-0.13325981900273146
2934.5,Blind half-phase axis,3562.759919618932,-0.13325981900273146
2970.5,Hidden A–B axis,3623.9288100497233,-0.06496968999530908
2970.5,Blind half-phase axis,3623.993779739719,-0.06496968999530908
3006.0,Hidden A–B axis,3685.4149854440957,-0.0032163837852630496
3006.0,Blind half-phase axis,3685.418201827881,-0.0032163837852630496
3042.0,Hidden A–B axis,3748.86623199866,0.07250510392327822
3042.0,Blind half-phase axis,3748.793726894737,0.07250510392327822
3077.5,Hidden A–B axis,3812.585992850862,0.14671818295816694
3077.5,Blind half-phase axis,3812.439274667904,0.14671818295816694
3113.5,Hidden A–B axis,3878.466149922092,0.21799219889844046
3113.5,Blind half-phase axis,3878.248157723194,0.21799219889844046
3149.0,Hidden A–B axis,3944.8049008816447,0.3115935713474079
3149.0,Blind half-phase axis,3944.4933073102975,0.3115935713474079
3184.5,Hidden A–B axis,4012.6583058208694,0.4130589345390286
3184.5,Blind half-phase axis,4012.2452468863303,0.4130589345390286
3220.5,Hidden A–B axis,4083.181899621708,0.5376299384931712
3220.5,Blind half-phase axis,4082.644269683215,0.5376299384931712
3256.0,Hidden A–B axis,4154.589254406117,0.6923620284777544
3256.0,Blind half-phase axis,4153.896892377639,0.6923620284777544
3292.0,Hidden A–B axis,4229.080395008742,0.8578463186047923
3292.0,Blind half-phase axis,4228.222548690137,0.8578463186047923
3327.5,Hidden A–B axis,4304.811584804372,1.057577249588555
3327.5,Blind half-phase axis,4303.754007554783,1.057577249588555
3363.5,Hidden A–B axis,4384.218610871888,1.2813436901139703
3363.5,Blind half-phase axis,4382.937267181775,1.2813436901139703
3399.0,Hidden A–B axis,4465.507310882483,1.5534952851214687
3399.0,Blind half-phase axis,4463.953815597361,1.5534952851214687
3434.5,Hidden A–B axis,4550.315133203686,1.8964126004662765
3434.5,Blind half-phase axis,4548.418720603219,1.8964126004662765
3470.5,Hidden A–B axis,4640.674845093904,2.350269269067116
3470.5,Blind half-phase axis,4638.324575824837,2.350269269067116
3506.0,Hidden A–B axis,4735.115145994394,2.955451251574722
3506.0,Blind half-phase axis,4732.15969474282,2.955451251574722
3542.0,Hidden A–B axis,4837.8656328906545,3.8152433662162015
3542.0,Blind half-phase axis,4834.050389524438,3.8152433662162015
3577.5,Hidden A–B axis,4948.653671246339,5.106072517995188
3577.5,Blind half-phase axis,4943.5475987283435,5.106072517995188
3613.5,Hidden A–B axis,5075.757840052836,7.466496602002038
3613.5,Blind half-phase axis,5068.291343450835,7.466496602002038
3649.0,Hidden A–B axis,5228.626927046264,13.216763625936665
3649.0,Blind half-phase axis,5215.410163420327,13.216763625936665
3685.0,Hidden A–B axis,5490.54905412062,60.12642271900212
3685.0,Blind half-phase axis,5430.422631401618,60.12642271900212
