split,run,period,field_G,time_us,parent_ARA,state_x_L,state_x_C,spin_radius,rational_closure_R,irrational_parent_I,coupled_amount_A,coupled_balance_B,local_loss,null_loss,raw_loss_ratio_q,child_x,child_anti_x,wrong_frequency_child_x,cycle_bins
development,EMU00070049,RF on,446.0,3.626999855041504,1.614511546428203,0.8467460100205128,1.5194474502145168,1.671648049131277,0.3212304840413365,2.0,1.1606152420206683,1.7232239656938972,0.9591194206499994,0.8445309544943632,1.135682967623422,1.0635314181366577,0.9364685818633423,1.0081254366848231,10
development,EMU00070049,RF on,446.0,3.690999984741211,1.6255493988309917,1.1621982933813395,1.3153023377793107,2.4562310276490575,0.3078267538589788,2.0,1.1539133769294894,1.7332323552063689,0.959367090568463,0.7710906220539737,1.2441690550106452,1.108801542586767,0.891198457413233,1.0150317011179508,10
development,EMU00070049,RF on,446.0,3.754999876022339,1.6362711604169293,1.1419298330035217,1.1436606550884991,2.224648811957795,0.29337045026089226,2.0,1.146685225130446,1.744157817828436,0.8959059126710495,0.7629585270834673,1.1742524408185004,1.0801436105335143,0.9198563894664857,1.0239689834223547,10
development,EMU00070049,RF on,446.0,3.819000005722046,1.6466859606755517,1.0396846413923504,1.368215102385757,1.9621902373362685,0.2805026528153505,2.0,1.1402513264076752,1.7539992751427511,0.8121591238963561,0.7526638070411394,1.079046336888582,1.038020478661808,0.9619795213381921,1.0164912918125915,10
development,EMU00070049,RF on,446.0,3.883000135421753,1.6568025495947836,0.9951849693355289,1.4149407066294146,2.2033279679808246,0.21480962418011662,2.0,1.1074048120900584,1.806024299483493,0.8597514450981358,0.7747714092925307,1.1096840110339166,1.0519907296354596,0.9480092703645404,1.05144818250935,10
development,EMU00070049,RF on,446.0,3.9469997882843018,1.666629393827122,0.6877872442868397,1.3598231525892104,1.2680492373784287,0.2155477612431262,2.0,1.1077738806215631,1.8054226002127918,0.8037421921381513,0.7484095766319003,1.0739336016453274,1.0356489723618312,0.9643510276381688,1.059099561951558,10
development,EMU00070049,RF on,446.0,4.011000156402588,1.6761749691148449,0.6504994757556519,0.7871384576997013,0.945834179230736,0.2292499102380514,2.0,1.1146249551190257,1.7943255180268523,0.8050152089741319,0.7778991601692924,1.0348580512658456,1.0171304584337768,0.9828695415662232,1.0411661344469678,10
development,EMU00070049,RF on,446.0,4.075000286102295,1.6854471869001517,1.6180512700990268,1.0685321142590014,3.1396931256578693,0.18896987400098217,1.9529158537416325,1.0709428638713072,1.8235481271911236,0.769705398095437,0.7882627370971896,0.9764579268708162,0.9880887557437379,1.011911244256262,1.0477956124880912,10
development,EMU00070049,RF on,446.0,4.139000415802002,1.6944539093887445,1.025221774364125,0.9200772263723893,1.5229973371732342,0.174789608910981,2.0,1.0873948044554904,1.8392583740558464,0.821634092639081,0.7737921525815311,1.0618278951239546,1.0299869330850417,0.9700130669149583,1.0405251570899408,10
development,EMU00070049,RF on,446.0,4.203000068664551,1.703202674377213,0.551992089187519,0.5726154827250917,1.1968758974991647,0.17506007019187036,2.0,1.0875300350959352,1.839029668567409,0.8563409874310728,0.7732062890248096,1.1075194286263697,1.0510170521637603,0.9489829478362397,1.0030931055369103,10
