domain,split,model,current_state,target_state,count
hydraulic,calibration,radial,A-,aB,188
hydraulic,calibration,radial,A-,Ab,3643
hydraulic,calibration,radial,A-,Ba,6891
hydraulic,calibration,radial,A+,bA,413
hydraulic,calibration,radial,A+,aB,704
hydraulic,calibration,radial,A+,Ab,83002
hydraulic,calibration,radial,A+,Ba,2576
hydraulic,calibration,angular,B-,bA,427
hydraulic,calibration,angular,B-,aB,235
hydraulic,calibration,angular,B-,Ab,1910
hydraulic,calibration,angular,B-,Ba,228
hydraulic,calibration,angular,B+,bA,336
hydraulic,calibration,angular,B+,aB,657
hydraulic,calibration,angular,B+,Ab,84735
hydraulic,calibration,angular,B+,Ba,9239
hydraulic,holdout,parent,bA,bA,3494
hydraulic,holdout,parent,bA,aB,4062
hydraulic,holdout,parent,bA,Ab,4564
hydraulic,holdout,parent,bA,Ba,4987
hydraulic,holdout,parent,aB,bA,6322
hydraulic,holdout,parent,aB,aB,4781
hydraulic,holdout,parent,aB,Ab,5223
hydraulic,holdout,parent,aB,Ba,8826
hydraulic,holdout,parent,Ab,bA,6860
hydraulic,holdout,parent,Ab,aB,4459
hydraulic,holdout,parent,Ab,Ab,3548
hydraulic,holdout,parent,Ab,Ba,6738
hydraulic,holdout,parent,Ba,bA,4811
hydraulic,holdout,parent,Ba,aB,4754
hydraulic,holdout,parent,Ba,Ab,3618
hydraulic,holdout,parent,Ba,Ba,4802
hydraulic,holdout,radial,A-,bA,8305
hydraulic,holdout,radial,A-,aB,8816
hydraulic,holdout,radial,A-,Ab,8182
hydraulic,holdout,radial,A-,Ba,9789
hydraulic,holdout,radial,A+,bA,13182
hydraulic,holdout,radial,A+,aB,9240
hydraulic,holdout,radial,A+,Ab,8771
hydraulic,holdout,radial,A+,Ba,15564
hydraulic,holdout,angular,B-,bA,9816
hydraulic,holdout,angular,B-,aB,8843
hydraulic,holdout,angular,B-,Ab,9787
hydraulic,holdout,angular,B-,Ba,13813
hydraulic,holdout,angular,B+,bA,11671
hydraulic,holdout,angular,B+,aB,9213
hydraulic,holdout,angular,B+,Ab,7166
hydraulic,holdout,angular,B+,Ba,11540
bubbles,calibration,parent,bA,bA,1946
bubbles,calibration,parent,bA,aB,142
bubbles,calibration,parent,bA,Ab,151
bubbles,calibration,parent,bA,Ba,3704
bubbles,calibration,parent,aB,bA,678
bubbles,calibration,parent,aB,aB,205
bubbles,calibration,parent,aB,Ab,77
bubbles,calibration,parent,aB,Ba,1243
bubbles,calibration,parent,Ab,bA,188
bubbles,calibration,parent,Ab,aB,312
bubbles,calibration,parent,Ab,Ab,25
bubbles,calibration,parent,Ab,Ba,43
bubbles,calibration,parent,Ba,bA,3562
bubbles,calibration,parent,Ba,aB,1264
bubbles,calibration,parent,Ba,Ab,197
bubbles,calibration,parent,Ba,Ba,2189
bubbles,calibration,radial,A-,bA,5508
bubbles,calibration,radial,A-,aB,1406
bubbles,calibration,radial,A-,Ab,348
bubbles,calibration,radial,A-,Ba,5893
bubbles,calibration,radial,A+,bA,866
bubbles,calibration,radial,A+,aB,517
bubbles,calibration,radial,A+,Ab,102
bubbles,calibration,radial,A+,Ba,1286
bubbles,calibration,angular,B-,bA,2624
bubbles,calibration,angular,B-,aB,347
bubbles,calibration,angular,B-,Ab,228
bubbles,calibration,angular,B-,Ba,4947
bubbles,calibration,angular,B+,bA,3750
bubbles,calibration,angular,B+,aB,1576
bubbles,calibration,angular,B+,Ab,222
bubbles,calibration,angular,B+,Ba,2232
bubbles,holdout,parent,bA,bA,177
bubbles,holdout,parent,bA,aB,78
bubbles,holdout,parent,bA,Ab,94
bubbles,holdout,parent,bA,Ba,296
bubbles,holdout,parent,aB,bA,246
bubbles,holdout,parent,aB,aB,165
bubbles,holdout,parent,aB,Ab,97
bubbles,holdout,parent,aB,Ba,395
bubbles,holdout,parent,Ab,bA,90
bubbles,holdout,parent,Ab,aB,239
bubbles,holdout,parent,Ab,Ab,50
bubbles,holdout,parent,Ab,Ba,26
bubbles,holdout,parent,Ba,bA,293
bubbles,holdout,parent,Ba,aB,341
bubbles,holdout,parent,Ba,Ab,102
bubbles,holdout,parent,Ba,Ba,246
bubbles,holdout,radial,A-,bA,470
bubbles,holdout,radial,A-,aB,419
bubbles,holdout,radial,A-,Ab,196
bubbles,holdout,radial,A-,Ba,542
bubbles,holdout,radial,A+,bA,336
bubbles,holdout,radial,A+,aB,404
bubbles,holdout,radial,A+,Ab,147
bubbles,holdout,radial,A+,Ba,421
bubbles,holdout,angular,B-,bA,423
bubbles,holdout,angular,B-,aB,243
bubbles,holdout,angular,B-,Ab,191
bubbles,holdout,angular,B-,Ba,691
bubbles,holdout,angular,B+,bA,383
bubbles,holdout,angular,B+,aB,580
bubbles,holdout,angular,B+,Ab,152
bubbles,holdout,angular,B+,Ba,272
cold_room,calibration,parent,bA,bA,20429
cold_room,calibration,parent,bA,aB,2405
cold_room,calibration,parent,bA,Ab,1645
cold_room,calibration,parent,bA,Ba,2305
cold_room,calibration,parent,aB,bA,2339
cold_room,calibration,parent,aB,aB,16280
cold_room,calibration,parent,aB,Ab,2349
cold_room,calibration,parent,aB,Ba,2521
cold_room,calibration,parent,Ab,bA,1767
cold_room,calibration,parent,Ab,aB,2312
cold_room,calibration,parent,Ab,Ab,13138
cold_room,calibration,parent,Ab,Ba,1009
cold_room,calibration,parent,Ba,bA,2193
cold_room,calibration,parent,Ba,aB,2511
cold_room,calibration,parent,Ba,Ab,1154
cold_room,calibration,parent,Ba,Ba,10917
cold_room,calibration,radial,A-,bA,22622
cold_room,calibration,radial,A-,aB,4916
cold_room,calibration,radial,A-,Ab,2799
cold_room,calibration,radial,A-,Ba,13222
cold_room,calibration,radial,A+,bA,4106
cold_room,calibration,radial,A+,aB,18592
cold_room,calibration,radial,A+,Ab,15487
cold_room,calibration,radial,A+,Ba,3530
cold_room,calibration,angular,B-,bA,22768
cold_room,calibration,angular,B-,aB,18685
cold_room,calibration,angular,B-,Ab,3994
cold_room,calibration,angular,B-,Ba,4826
cold_room,calibration,angular,B+,bA,3960
cold_room,calibration,angular,B+,aB,4823
cold_room,calibration,angular,B+,Ab,14292
cold_room,calibration,angular,B+,Ba,11926
cold_room,holdout,parent,bA,bA,10722
cold_room,holdout,parent,bA,aB,2975
cold_room,holdout,parent,bA,Ab,1694
cold_room,holdout,parent,bA,Ba,1291
cold_room,holdout,parent,aB,bA,2713
cold_room,holdout,parent,aB,aB,29183
cold_room,holdout,parent,aB,Ab,1422
cold_room,holdout,parent,aB,Ba,961
cold_room,holdout,parent,Ab,bA,1731
cold_room,holdout,parent,Ab,aB,1474
cold_room,holdout,parent,Ab,Ab,7015
cold_room,holdout,parent,Ab,Ba,1769
cold_room,holdout,parent,Ba,bA,1290
cold_room,holdout,parent,Ba,aB,751
cold_room,holdout,parent,Ba,Ab,2037
cold_room,holdout,parent,Ba,Ba,18903
cold_room,holdout,radial,A-,bA,12012
cold_room,holdout,radial,A-,aB,3726
cold_room,holdout,radial,A-,Ab,3731
cold_room,holdout,radial,A-,Ba,20194
cold_room,holdout,radial,A+,bA,4444
cold_room,holdout,radial,A+,aB,30657
cold_room,holdout,radial,A+,Ab,8437
cold_room,holdout,radial,A+,Ba,2730
cold_room,holdout,angular,B-,bA,13435
cold_room,holdout,angular,B-,aB,32158
cold_room,holdout,angular,B-,Ab,3116
cold_room,holdout,angular,B-,Ba,2252
cold_room,holdout,angular,B+,bA,3021
cold_room,holdout,angular,B+,aB,2225
cold_room,holdout,angular,B+,Ab,9052
cold_room,holdout,angular,B+,Ba,20672
acoustics,calibration,parent,bA,bA,9970
acoustics,calibration,parent,bA,aB,6647
acoustics,calibration,parent,bA,Ab,3327
acoustics,calibration,parent,bA,Ba,4550
acoustics,calibration,parent,aB,bA,5736
acoustics,calibration,parent,aB,aB,9814
acoustics,calibration,parent,aB,Ab,4695
acoustics,calibration,parent,aB,Ba,4012
acoustics,calibration,parent,Ab,bA,4163
acoustics,calibration,parent,Ab,aB,4466
acoustics,calibration,parent,Ab,Ab,10514
acoustics,calibration,parent,Ab,Ba,6199
acoustics,calibration,parent,Ba,bA,4634
acoustics,calibration,parent,Ba,aB,3340
acoustics,calibration,parent,Ba,Ab,6828
acoustics,calibration,parent,Ba,Ba,10418
acoustics,calibration,radial,A-,bA,14604
acoustics,calibration,radial,A-,aB,9987
acoustics,calibration,radial,A-,Ab,10155
acoustics,calibration,radial,A-,Ba,14968
acoustics,calibration,radial,A+,bA,9899
acoustics,calibration,radial,A+,aB,14280
acoustics,calibration,radial,A+,Ab,15209
acoustics,calibration,radial,A+,Ba,10211
acoustics,calibration,angular,B-,bA,15706
acoustics,calibration,angular,B-,aB,16461
acoustics,calibration,angular,B-,Ab,8022
acoustics,calibration,angular,B-,Ba,8562
acoustics,calibration,angular,B+,bA,8797
acoustics,calibration,angular,B+,aB,7806
acoustics,calibration,angular,B+,Ab,17342
acoustics,calibration,angular,B+,Ba,16617
acoustics,holdout,parent,bA,bA,2002
acoustics,holdout,parent,bA,aB,3790
acoustics,holdout,parent,bA,Ab,12329
acoustics,holdout,parent,bA,Ba,4897
acoustics,holdout,parent,aB,bA,4646
acoustics,holdout,parent,aB,aB,1844
acoustics,holdout,parent,aB,Ab,4827
acoustics,holdout,parent,aB,Ba,9846
acoustics,holdout,parent,Ab,bA,10863
acoustics,holdout,parent,Ab,aB,4771
acoustics,holdout,parent,Ab,Ab,2123
acoustics,holdout,parent,Ab,Ba,4807
acoustics,holdout,parent,Ba,bA,4877
acoustics,holdout,parent,Ba,aB,11462
acoustics,holdout,parent,Ba,Ab,4021
acoustics,holdout,parent,Ba,Ba,1893
acoustics,holdout,radial,A-,bA,6879
acoustics,holdout,radial,A-,aB,15252
acoustics,holdout,radial,A-,Ab,16350
acoustics,holdout,radial,A-,Ba,6790
acoustics,holdout,radial,A+,bA,15509
acoustics,holdout,radial,A+,aB,6615
acoustics,holdout,radial,A+,Ab,6950
acoustics,holdout,radial,A+,Ba,14653
acoustics,holdout,angular,B-,bA,6648
acoustics,holdout,angular,B-,aB,5634
acoustics,holdout,angular,B-,Ab,17156
acoustics,holdout,angular,B-,Ba,14743
acoustics,holdout,angular,B+,bA,15740
acoustics,holdout,angular,B+,aB,16233
acoustics,holdout,angular,B+,Ab,6144
acoustics,holdout,angular,B+,Ba,6700
qutrit,calibration,parent,bA,bA,4427
qutrit,calibration,parent,bA,aB,11818
qutrit,calibration,parent,bA,Ab,4907
qutrit,calibration,parent,bA,Ba,2496
qutrit,calibration,parent,aB,bA,9932
qutrit,calibration,parent,aB,aB,4503
qutrit,calibration,parent,aB,Ab,2434
qutrit,calibration,parent,aB,Ba,6208
qutrit,calibration,parent,Ab,bA,6137
qutrit,calibration,parent,Ab,aB,2513
qutrit,calibration,parent,Ab,Ab,4364
qutrit,calibration,parent,Ab,Ba,9859
qutrit,calibration,parent,Ba,bA,2502
qutrit,calibration,parent,Ba,aB,4948
qutrit,calibration,parent,Ba,Ab,11843
qutrit,calibration,parent,Ba,Ba,4256
qutrit,calibration,radial,A-,bA,6929
qutrit,calibration,radial,A-,aB,16766
qutrit,calibration,radial,A-,Ab,16750
qutrit,calibration,radial,A-,Ba,6752
qutrit,calibration,radial,A+,bA,16069
qutrit,calibration,radial,A+,aB,7016
qutrit,calibration,radial,A+,Ab,6798
qutrit,calibration,radial,A+,Ba,16067
qutrit,calibration,angular,B-,bA,14359
qutrit,calibration,angular,B-,aB,16321
qutrit,calibration,angular,B-,Ab,7341
qutrit,calibration,angular,B-,Ba,8704
qutrit,calibration,angular,B+,bA,8639
qutrit,calibration,angular,B+,aB,7461
qutrit,calibration,angular,B+,Ab,16207
qutrit,calibration,angular,B+,Ba,14115
qutrit,holdout,parent,bA,bA,4338
qutrit,holdout,parent,bA,aB,11911
qutrit,holdout,parent,bA,Ab,4999
qutrit,holdout,parent,bA,Ba,2446
qutrit,holdout,parent,aB,bA,9900
qutrit,holdout,parent,aB,aB,4307
qutrit,holdout,parent,aB,Ab,2440
qutrit,holdout,parent,aB,Ba,6197
qutrit,holdout,parent,Ab,bA,6285
qutrit,holdout,parent,Ab,aB,2404
qutrit,holdout,parent,Ab,Ab,4385
qutrit,holdout,parent,Ab,Ba,9886
qutrit,holdout,parent,Ba,bA,2525
qutrit,holdout,parent,Ba,aB,4932
qutrit,holdout,parent,Ba,Ab,11835
qutrit,holdout,parent,Ba,Ba,4348
qutrit,holdout,radial,A-,bA,6863
qutrit,holdout,radial,A-,aB,16843
qutrit,holdout,radial,A-,Ab,16834
qutrit,holdout,radial,A-,Ba,6794
qutrit,holdout,radial,A+,bA,16185
qutrit,holdout,radial,A+,aB,6711
qutrit,holdout,radial,A+,Ab,6825
qutrit,holdout,radial,A+,Ba,16083
qutrit,holdout,angular,B-,bA,14238
qutrit,holdout,angular,B-,aB,16218
qutrit,holdout,angular,B-,Ab,7439
qutrit,holdout,angular,B-,Ba,8643
qutrit,holdout,angular,B+,bA,8810
qutrit,holdout,angular,B+,aB,7336
qutrit,holdout,angular,B+,Ab,16220
qutrit,holdout,angular,B+,Ba,14234
river,calibration,parent,bA,bA,1
river,calibration,parent,bA,aB,24
river,calibration,parent,bA,Ab,20
river,calibration,parent,bA,Ba,28
river,calibration,parent,aB,bA,0
river,calibration,parent,aB,aB,7
river,calibration,parent,aB,Ab,18
river,calibration,parent,aB,Ba,66
river,calibration,parent,Ab,bA,47
river,calibration,parent,Ab,aB,25
river,calibration,parent,Ab,Ab,11
river,calibration,parent,Ab,Ba,4
river,calibration,parent,Ba,bA,23
river,calibration,parent,Ba,aB,32
river,calibration,parent,Ba,Ab,48
river,calibration,parent,Ba,Ba,11
river,calibration,radial,A-,bA,24
river,calibration,radial,A-,aB,56
river,calibration,radial,A-,Ab,68
river,calibration,radial,A-,Ba,39
river,calibration,radial,A+,bA,47
river,calibration,radial,A+,aB,32
river,calibration,radial,A+,Ab,29
river,calibration,radial,A+,Ba,70
river,calibration,angular,B-,bA,1
river,calibration,angular,B-,aB,31
river,calibration,angular,B-,Ab,38
river,calibration,angular,B-,Ba,94
river,calibration,angular,B+,bA,70
river,calibration,angular,B+,aB,57
river,calibration,angular,B+,Ab,59
river,calibration,angular,B+,Ba,15
river,holdout,parent,bA,bA,5
river,holdout,parent,bA,aB,14
river,holdout,parent,bA,Ab,22
river,holdout,parent,bA,Ba,24
river,holdout,parent,aB,bA,0
river,holdout,parent,aB,aB,2
river,holdout,parent,aB,Ab,20
river,holdout,parent,aB,Ba,48
river,holdout,parent,Ab,bA,53
river,holdout,parent,Ab,aB,30
river,holdout,parent,Ab,Ab,22
river,holdout,parent,Ab,Ba,9
river,holdout,parent,Ba,bA,23
river,holdout,parent,Ba,aB,20
river,holdout,parent,Ba,Ab,24
river,holdout,parent,Ba,Ba,20
river,holdout,radial,A-,bA,28
river,holdout,radial,A-,aB,34
river,holdout,radial,A-,Ab,46
river,holdout,radial,A-,Ba,44
river,holdout,radial,A+,bA,53
river,holdout,radial,A+,aB,32
river,holdout,radial,A+,Ab,42
river,holdout,radial,A+,Ba,57
river,holdout,angular,B-,bA,5
river,holdout,angular,B-,aB,16
river,holdout,angular,B-,Ab,42
river,holdout,angular,B-,Ba,72
river,holdout,angular,B+,bA,76
river,holdout,angular,B+,aB,50
river,holdout,angular,B+,Ab,46
river,holdout,angular,B+,Ba,29
