domain,split,line_n,line_R_median,line_s_equivalent,line_winner,line_e_error,line_fitted_calibration_R,line_fitted_error,line_eligible,line_fixed_pass,line_strong_pass,circle_n,circle_C_median_turns,circle_winner,circle_phi_error,circle_fitted_calibration_C,circle_fitted_error,circle_eligible,circle_fixed_pass,circle_strong_pass,median_X,median_Y
cold_room,evaluation,21639,0.028271056711673737,1.0286744757563682,plastic,0.9717289432883263,0.023833412677049637,0.0044376440346241,True,False,False,18545,0.0019317683763802052,quarter,0.38003424287372495,0.003420972963795066,0.0014892045874148607,True,False,False,1.000162959098816,0.9986801147460938
cold_room,holdout,19816,0.029629124328494072,1.0300724342963938,plastic,0.9703708756715059,0.023833412677049637,0.005795711651444435,True,False,False,20444,0.0016367185162380338,quarter,0.3803292927338671,0.003420972963795066,0.001784254447557032,True,False,False,1.0002552270889282,0.9985273480415344
acoustics,calibration,23818,0.30984222888946533,1.3632100220058982,plastic,0.6901577711105347,0.30984222888946533,0.0,True,False,False,11596,0.06667200475931168,quarter,0.3152940064907935,0.06667200475931168,0.0,True,False,False,0.9999122619628906,1.0016744136810303
acoustics,evaluation,17526,0.4191105365753174,1.5206084283489556,three_halves,0.5808894634246826,0.30984222888946533,0.10926830768585205,True,False,False,16011,0.12575972080230713,quarter,0.256206290447798,0.06667200475931168,0.05908771604299545,True,False,False,0.9998085498809814,1.0005602836608887
acoustics,holdout,18869,0.428789347410202,1.5353975648552909,three_halves,0.571210652589798,0.30984222888946533,0.1189471185207367,True,False,False,17251,0.13110242784023285,quarter,0.2508635834098723,0.06667200475931168,0.06443042308092117,True,False,False,0.9998049736022949,1.0012106895446777
qutrit,calibration,7742,0.8958548307418823,2.449428741763387,e,0.10414516925811768,0.8958548307418823,0.0,True,False,False,26123,0.3495599031448364,third,0.03240610810526873,0.3495599031448364,0.0,True,False,False,1.0011324882507324,0.9962681531906128
qutrit,evaluation,7956,0.8937488794326782,2.4442757919330464,e,0.10625112056732178,0.8958548307418823,0.0021059513092041016,True,False,False,26049,0.35012540221214294,third,0.03184060903796221,0.3495599031448364,0.0005654990673065186,True,False,False,0.9996095299720764,1.0038310289382935
qutrit,holdout,7846,0.896259605884552,2.4504204103196443,e,0.103740394115448,0.8958548307418823,0.00040477514266967773,True,False,False,25844,0.35218992829322815,one_over_e,0.029776082956877004,0.3495599031448364,0.0026300251483917236,True,False,False,0.999237060546875,0.999780535697937
river,calibration,4,0.07485438883304596,1.077727210342005,plastic,0.925145611166954,0.07485438883304596,0.0,False,False,False,201,0.0740828588604927,quarter,0.30788315238961245,0.0740828588604927,0.0,True,False,False,1.0,1.035722255706787
river,evaluation,3,0.058514658361673355,1.0602605272629666,plastic,0.9414853416383266,0.07485438883304596,0.016339730471372604,False,False,False,192,0.07590979337692261,quarter,0.30605621787318255,0.0740828588604927,0.0018269345164299011,True,False,False,0.9995086193084717,1.03633713722229
river,holdout,3,0.17648835480213165,1.193020533718528,plastic,0.8235116451978683,0.07485438883304596,0.1016339659690857,False,False,False,193,0.0747225359082222,quarter,0.30724347534188295,0.0740828588604927,0.0006396770477294922,True,False,False,1.0,1.0267784595489502
