domain,split,from_state,to_state,count
bubbles,holdout,Ba,aB,341
bubbles,holdout,Ba,Ab,102
bubbles,holdout,Ba,Ba,246
cold_room,calibration,bA,bA,20429
cold_room,calibration,bA,aB,2405
cold_room,calibration,bA,Ab,1645
cold_room,calibration,bA,Ba,2305
cold_room,calibration,aB,bA,2339
cold_room,calibration,aB,aB,16280
cold_room,calibration,aB,Ab,2349
cold_room,calibration,aB,Ba,2521
cold_room,calibration,Ab,bA,1767
cold_room,calibration,Ab,aB,2312
cold_room,calibration,Ab,Ab,13138
cold_room,calibration,Ab,Ba,1009
cold_room,calibration,Ba,bA,2193
cold_room,calibration,Ba,aB,2511
cold_room,calibration,Ba,Ab,1154
cold_room,calibration,Ba,Ba,10917
cold_room,holdout,bA,bA,10722
cold_room,holdout,bA,aB,2975
cold_room,holdout,bA,Ab,1694
cold_room,holdout,bA,Ba,1291
cold_room,holdout,aB,bA,2713
cold_room,holdout,aB,aB,29183
cold_room,holdout,aB,Ab,1422
cold_room,holdout,aB,Ba,961
cold_room,holdout,Ab,bA,1731
cold_room,holdout,Ab,aB,1474
cold_room,holdout,Ab,Ab,7015
cold_room,holdout,Ab,Ba,1769
cold_room,holdout,Ba,bA,1290
cold_room,holdout,Ba,aB,751
cold_room,holdout,Ba,Ab,2037
cold_room,holdout,Ba,Ba,18903
acoustics,calibration,bA,bA,9970
acoustics,calibration,bA,aB,6647
acoustics,calibration,bA,Ab,3327
acoustics,calibration,bA,Ba,4550
acoustics,calibration,aB,bA,5736
acoustics,calibration,aB,aB,9814
acoustics,calibration,aB,Ab,4695
acoustics,calibration,aB,Ba,4012
acoustics,calibration,Ab,bA,4163
acoustics,calibration,Ab,aB,4466
acoustics,calibration,Ab,Ab,10514
acoustics,calibration,Ab,Ba,6199
acoustics,calibration,Ba,bA,4634
acoustics,calibration,Ba,aB,3340
acoustics,calibration,Ba,Ab,6828
acoustics,calibration,Ba,Ba,10418
acoustics,holdout,bA,bA,2002
acoustics,holdout,bA,aB,3790
acoustics,holdout,bA,Ab,12329
acoustics,holdout,bA,Ba,4897
acoustics,holdout,aB,bA,4646
acoustics,holdout,aB,aB,1844
acoustics,holdout,aB,Ab,4827
acoustics,holdout,aB,Ba,9846
acoustics,holdout,Ab,bA,10863
acoustics,holdout,Ab,aB,4771
acoustics,holdout,Ab,Ab,2123
acoustics,holdout,Ab,Ba,4807
acoustics,holdout,Ba,bA,4877
acoustics,holdout,Ba,aB,11462
acoustics,holdout,Ba,Ab,4021
acoustics,holdout,Ba,Ba,1893
qutrit,calibration,bA,bA,4427
qutrit,calibration,bA,aB,11818
qutrit,calibration,bA,Ab,4907
qutrit,calibration,bA,Ba,2496
qutrit,calibration,aB,bA,9932
qutrit,calibration,aB,aB,4503
qutrit,calibration,aB,Ab,2434
qutrit,calibration,aB,Ba,6208
qutrit,calibration,Ab,bA,6137
qutrit,calibration,Ab,aB,2513
qutrit,calibration,Ab,Ab,4364
qutrit,calibration,Ab,Ba,9859
qutrit,calibration,Ba,bA,2502
qutrit,calibration,Ba,aB,4948
qutrit,calibration,Ba,Ab,11843
qutrit,calibration,Ba,Ba,4256
qutrit,holdout,bA,bA,4338
qutrit,holdout,bA,aB,11911
qutrit,holdout,bA,Ab,4999
qutrit,holdout,bA,Ba,2446
qutrit,holdout,aB,bA,9900
qutrit,holdout,aB,aB,4307
qutrit,holdout,aB,Ab,2440
qutrit,holdout,aB,Ba,6197
qutrit,holdout,Ab,bA,6285
qutrit,holdout,Ab,aB,2404
qutrit,holdout,Ab,Ab,4385
qutrit,holdout,Ab,Ba,9886
qutrit,holdout,Ba,bA,2525
qutrit,holdout,Ba,aB,4932
qutrit,holdout,Ba,Ab,11835
qutrit,holdout,Ba,Ba,4348
river,calibration,bA,bA,1
river,calibration,bA,aB,24
river,calibration,bA,Ab,20
river,calibration,bA,Ba,28
river,calibration,aB,bA,0
river,calibration,aB,aB,7
river,calibration,aB,Ab,18
river,calibration,aB,Ba,66
river,calibration,Ab,bA,47
river,calibration,Ab,aB,25
river,calibration,Ab,Ab,11
river,calibration,Ab,Ba,4
river,calibration,Ba,bA,23
river,calibration,Ba,aB,32
river,calibration,Ba,Ab,48
river,calibration,Ba,Ba,11
river,holdout,bA,bA,5
river,holdout,bA,aB,14
river,holdout,bA,Ab,22
river,holdout,bA,Ba,24
river,holdout,aB,bA,0
river,holdout,aB,aB,2
river,holdout,aB,Ab,20
river,holdout,aB,Ba,48
river,holdout,Ab,bA,53
river,holdout,Ab,aB,30
river,holdout,Ab,Ab,22
river,holdout,Ab,Ba,9
river,holdout,Ba,bA,23
river,holdout,Ba,aB,20
river,holdout,Ba,Ab,24
river,holdout,Ba,Ba,20
