domain,kind,sample_order,native_fraction,lineage,block_start,x_ara,y_ara,state
pendulum,broken,57,0.0475396163469558,run1_arm1,528454,1.0001078099590275,0.9991745343603192,aB
pendulum,intact,58,0.04837364470391994,run1_arm1,528454,0.9987750799933566,0.9990771274584205,bA
pendulum,broken,58,0.04837364470391994,run1_arm1,528454,1.0001549524591942,0.9990771274584205,aB
pendulum,intact,59,0.04920767306088407,run1_arm1,528454,1.0001436091105593,0.9999130612097373,aB
pendulum,broken,59,0.04920767306088407,run1_arm1,528454,0.998960670225161,0.9999130612097373,bA
pendulum,intact,60,0.05004170141784821,run1_arm1,532170,1.0006737645743675,0.9994539434216855,aB
pendulum,broken,60,0.05004170141784821,run1_arm1,532170,0.9998369205000832,0.9994539434216855,bA
pendulum,intact,61,0.05087572977481234,run1_arm1,532170,0.9998480749502826,0.9998698834325934,bA
pendulum,broken,61,0.05087572977481234,run1_arm1,532170,0.997876712052292,0.9998698834325934,bA
pendulum,intact,62,0.05170975813177648,run1_arm1,532170,1.0032605660084477,0.99832706863389,aB
pendulum,broken,62,0.05170975813177648,run1_arm1,532170,0.9998546433499773,0.99832706863389,bA
pendulum,intact,63,0.05254378648874062,run1_arm1,542624,1.0000944199634354,0.9999801561525942,aB
pendulum,broken,63,0.05254378648874062,run1_arm1,542624,1.000058046021812,0.9999801561525942,aB
pendulum,intact,64,0.05337781484570475,run1_arm1,542624,1.0000608386798535,0.999989336644153,aB
pendulum,broken,64,0.05337781484570475,run1_arm1,542624,1.000101890509188,0.999989336644153,aB
pendulum,intact,65,0.05421184320266889,run1_arm1,542624,1.000067790875515,0.9999903096401649,aB
pendulum,broken,65,0.05421184320266889,run1_arm1,542624,1.0000812264623196,0.9999903096401649,aB
pendulum,intact,66,0.05504587155963303,run1_arm1,551713,1.0002589262090968,0.9987699296953393,aB
pendulum,broken,66,0.05504587155963303,run1_arm1,551713,0.9999535958850507,0.9987699296953393,bA
pendulum,intact,67,0.05587989991659716,run1_arm1,565072,0.9999327971819286,0.9999904842614716,bA
pendulum,broken,67,0.05587989991659716,run1_arm1,565072,0.9999180202723454,0.9999904842614716,bA
pendulum,intact,68,0.0567139282735613,run1_arm1,565072,0.9999164953407793,0.9999856739427041,bA
pendulum,broken,68,0.0567139282735613,run1_arm1,565072,0.9998693682289895,0.9999856739427041,bA
pendulum,intact,69,0.057547956630525435,run1_arm1,573036,0.9998551579784486,0.9997854352508754,bA
pendulum,broken,69,0.057547956630525435,run1_arm1,573036,1.0000689105289713,0.9997854352508754,aB
pendulum,intact,70,0.058381984987489574,run1_arm1,573036,0.9956015469103581,0.9992529398330651,bA
pendulum,broken,70,0.058381984987489574,run1_arm1,573036,1.000039079684919,0.9992529398330651,aB
pendulum,intact,71,0.05921601334445371,run1_arm1,573036,1.0061299801382755,1.000811739449622,Ab
pendulum,broken,71,0.05921601334445371,run1_arm1,573036,0.9984539364908819,1.000811739449622,Ba
pendulum,intact,72,0.060050041701417846,run1_arm1,576432,1.0000144605901358,1.0000226204136113,Ab
pendulum,broken,72,0.060050041701417846,run1_arm1,576432,1.0000178119098544,1.0000226204136113,Ab
pendulum,intact,73,0.060884070058381985,run1_arm1,578843,0.9998621535932761,0.9999490013329415,bA
pendulum,broken,73,0.060884070058381985,run1_arm1,578843,0.999804363501193,0.9999490013329415,bA
pendulum,intact,74,0.061718098415346125,run1_arm1,578843,0.999865220496665,0.9999434139096978,bA
pendulum,broken,74,0.061718098415346125,run1_arm1,578843,0.9998702124292335,0.9999434139096978,bA
pendulum,intact,75,0.06255212677231026,run1_arm1,578843,1.0000353739414858,0.999767547840695,aB
pendulum,broken,75,0.06255212677231026,run1_arm1,578843,0.9998542400873112,0.999767547840695,bA
pendulum,intact,76,0.0633861551292744,run1_arm1,587133,1.000149356302044,0.9998967968588324,aB
pendulum,broken,76,0.0633861551292744,run1_arm1,587133,1.0001567940185736,0.9998967968588324,aB
pendulum,intact,77,0.06422018348623854,run1_arm1,587133,0.9963155832620874,0.9973756744199912,bA
pendulum,broken,77,0.06422018348623854,run1_arm1,587133,1.0001508637931162,0.9973756744199912,aB
pendulum,intact,78,0.06505421184320268,run1_arm1,587133,1.0001569730216782,0.9999133469404293,aB
pendulum,broken,78,0.06505421184320268,run1_arm1,587133,1.000148620615434,0.9999133469404293,aB
pendulum,intact,79,0.0658882402001668,run1_arm1,590413,0.9999586547637827,0.9999965075399948,bA
pendulum,broken,79,0.0658882402001668,run1_arm1,590413,0.9999590403713456,0.9999965075399948,bA
pendulum,intact,80,0.06672226855713094,run1_arm1,599824,1.0067514901503505,1.0013602736760936,Ab
pendulum,broken,80,0.06672226855713094,run1_arm1,599824,1.0002524228712948,1.0013602736760936,Ab
pendulum,intact,81,0.06755629691409508,run1_arm1,599824,0.9952237666564948,0.9984934245019425,bA
pendulum,broken,81,0.06755629691409508,run1_arm1,599824,0.998374230613,0.9984934245019425,bA
pendulum,intact,82,0.06839032527105922,run1_arm1,420256,0.9998286585049242,0.999876446576634,bA
pendulum,broken,82,0.06839032527105922,run1_arm1,420256,0.9998354246651012,0.999876446576634,bA
pendulum,intact,83,0.06922435362802336,run1_arm1,420256,0.9998572123304866,0.999890083368736,bA
pendulum,broken,83,0.06922435362802336,run1_arm1,420256,1.002811043103883,0.999890083368736,aB
pendulum,intact,84,0.07005838198498748,run1_arm1,420256,1.0000677753413456,0.9997636679323195,aB
pendulum,broken,84,0.07005838198498748,run1_arm1,420256,0.9998346118970022,0.9997636679323195,bA
pendulum,intact,85,0.07089241034195162,run1_arm1,420512,0.9998603502326642,0.999884444275326,bA
pendulum,broken,85,0.07089241034195162,run1_arm1,420512,0.998066020630317,0.999884444275326,bA
pendulum,intact,86,0.07172643869891576,run1_arm1,420512,0.9949715542680302,1.0021025591583792,Ba
pendulum,broken,86,0.07172643869891576,run1_arm1,420512,0.9998477835918426,1.0021025591583792,Ba
pendulum,intact,87,0.0725604670558799,run1_arm1,420512,0.9982070563714073,1.000578046780184,Ba
pendulum,broken,87,0.0725604670558799,run1_arm1,420512,0.9998582711278171,1.000578046780184,Ba
pendulum,intact,88,0.07339449541284404,run1_arm1,423474,0.9976879746405557,0.9984777930329864,bA
pendulum,broken,88,0.07339449541284404,run1_arm1,423474,1.0001492025610628,0.9984777930329864,aB
pendulum,intact,89,0.07422852376980818,run1_arm1,423474,1.0001384458437563,0.9999059182666795,aB
pendulum,broken,89,0.07422852376980818,run1_arm1,423474,0.9989828274135212,0.9999059182666795,bA
pendulum,intact,90,0.0750625521267723,run1_arm1,423474,1.0001583494582016,0.9998956242818822,aB
pendulum,broken,90,0.0750625521267723,run1_arm1,423474,1.0001583678227184,0.9998956242818822,aB
pendulum,intact,91,0.07589658048373644,run1_arm1,423730,1.00014703119708,0.999906602906803,aB
pendulum,broken,91,0.07589658048373644,run1_arm1,423730,1.0001774709798623,0.999906602906803,aB
pendulum,intact,92,0.07673060884070058,run1_arm1,423730,1.0001705943997699,0.9998948352267981,aB
pendulum,broken,92,0.07673060884070058,run1_arm1,423730,1.000158571593182,0.9998948352267981,aB
pendulum,intact,93,0.07756463719766472,run1_arm1,423730,1.0036046681795188,1.0022628535299924,Ab
pendulum,broken,93,0.07756463719766472,run1_arm1,423730,1.0001585293344213,1.0022628535299924,Ab
pendulum,intact,94,0.07839866555462886,run1_arm1,423986,1.0001663580608808,0.9999040148498536,aB
pendulum,broken,94,0.07839866555462886,run1_arm1,423986,1.00092517959798,0.9999040148498536,aB
pendulum,intact,95,0.07923269391159299,run1_arm1,423986,1.0001466074598695,0.9999182314965569,aB
pendulum,broken,95,0.07923269391159299,run1_arm1,423986,1.0001183633352342,0.9999182314965569,aB
pendulum,intact,96,0.08006672226855713,run1_arm1,423986,0.9996997431534702,0.9995706025858019,bA
pendulum,broken,96,0.08006672226855713,run1_arm1,423986,1.0001701385610386,0.9995706025858019,aB
