split,event_id,run,period,field_G,direction,offset_reads,offset_us,U,R,H,parent_ARA
development,EMU00070025|RF off|8,EMU00070025,RF off,302.0,R_to_U,-7,-0.40613205211397707,0.7881960209252569,1.1399532810016917,0.9725664093974051,1.3107961426068178
development,EMU00070025|RF off|8,EMU00070025,RF off,302.0,R_to_U,-6,-0.34213192241427004,0.8467303265033265,1.1070425271047557,0.9532993710397211,1.3305304054176792
development,EMU00070025|RF off|8,EMU00070025,RF off,302.0,R_to_U,-5,-0.2781320311331421,0.8473827189613076,1.0663630040698546,0.9301320436556562,1.3496995384347905
development,EMU00070025|RF off|8,EMU00070025,RF off,302.0,R_to_U,-4,-0.21413190143343508,0.8359700747677491,1.048965688552901,0.9342800715534325,1.3683198640131937
development,EMU00070025|RF off|8,EMU00070025,RF off,302.0,R_to_U,-3,-0.15013201015230715,0.9390710743545365,0.9816500766232337,0.9098468801181818,1.3864069596019823
development,EMU00070025|RF off|8,EMU00070025,RF off,302.0,R_to_U,-2,-0.08613188045260012,0.8975250731376515,0.9613118429267542,0.9120633754340717,1.4039762262104571
development,EMU00070025|RF off|8,EMU00070025,RF off,302.0,R_to_U,-1,-0.02213198917147219,0.8786717946876295,0.9107056750096666,0.9028556893819427,1.4210423619895745
development,EMU00070025|RF off|8,EMU00070025,RF off,302.0,R_to_U,0,0.04186814052823484,0.9147035556630116,0.8541035349149224,0.9145597987060208,1.4376198986099702
development,EMU00070025|RF off|8,EMU00070025,RF off,302.0,R_to_U,1,0.10586803180936277,0.8666662139306311,0.8074213637088667,0.8997196083097025,1.4537227045580847
development,EMU00070025|RF off|8,EMU00070025,RF off,302.0,R_to_U,2,0.1698679230904907,0.8704716647865479,0.7606402716069647,0.9169484437158819,1.4693644338095633
development,EMU00070025|RF off|8,EMU00070025,RF off,302.0,R_to_U,3,0.23386805279019773,0.8406901895549351,0.726573819667313,0.9021556111835181,1.4845583443015913
development,EMU00070025|RF off|8,EMU00070025,RF off,302.0,R_to_U,4,0.29786794407132566,0.8734523199849965,0.68822255541838,0.9198589095469711,1.4993171470024178
development,EMU00070025|RF off|8,EMU00070025,RF off,302.0,R_to_U,5,0.3618680737710327,0.8731236898319941,0.6641666629771821,0.8739989897555193,1.5136534089080294
development,EMU00070025|RF off|8,EMU00070025,RF off,302.0,R_to_U,6,0.4258679650521606,0.9304385916915539,0.5932431872901442,0.8752698539970515,1.5275791234923892
development,EMU00070025|RF off|8,EMU00070025,RF off,302.0,R_to_U,7,0.48986809475186766,0.9605148149828837,0.5549250190025448,0.9018082218970935,1.5411061483839812
development,EMU00070025|RF off|8,EMU00070025,RF off,302.0,R_to_U,8,0.5538679860329956,0.9178932135181503,0.5392326971905301,0.8410552536998859,1.5542458000627855
development,EMU00070025|RF on|9,EMU00070025,RF on,302.0,R_to_U,-8,-0.456918320943251,0.6354032433843438,1.0984803038888968,0.988886250737118,1.3107961426068178
development,EMU00070025|RF on|9,EMU00070025,RF on,302.0,R_to_U,-7,-0.392918191243544,0.633365095314834,1.1026686850915375,0.9816497965104101,1.3305304054176792
development,EMU00070025|RF on|9,EMU00070025,RF on,302.0,R_to_U,-6,-0.32891829996241606,0.6803609286286574,1.0863449776842398,0.9993471114967726,1.3496995384347905
development,EMU00070025|RF on|9,EMU00070025,RF on,302.0,R_to_U,-5,-0.26491817026270903,0.7434373837437847,1.0242320509339562,0.9829295500427593,1.3683198640131937
development,EMU00070025|RF on|9,EMU00070025,RF on,302.0,R_to_U,-4,-0.2009182789815811,0.772647406097578,0.9861754002054193,0.9757425311407032,1.3864069596019823
development,EMU00070025|RF on|9,EMU00070025,RF on,302.0,R_to_U,-3,-0.13691814928187407,0.8251515920576774,0.9585183545948046,0.9671112717557238,1.4039762262104571
development,EMU00070025|RF on|9,EMU00070025,RF on,302.0,R_to_U,-2,-0.07291825800074614,0.8626168279151152,0.9039193823772451,0.9676317214685609,1.4210423619895745
development,EMU00070025|RF on|9,EMU00070025,RF on,302.0,R_to_U,-1,-0.008918128301039108,0.8513937623724906,0.8613989780912308,0.9605076250256646,1.4376198986099702
development,EMU00070025|RF on|9,EMU00070025,RF on,302.0,R_to_U,0,0.05508176298008882,0.9031602408607622,0.8413642112252502,0.9605585911025665,1.4537227045580847
development,EMU00070025|RF on|9,EMU00070025,RF on,302.0,R_to_U,1,0.11908165426121675,0.9025885708923796,0.7960739190210349,0.9476564136692134,1.4693644338095633
development,EMU00070025|RF on|9,EMU00070025,RF on,302.0,R_to_U,2,0.18308178396092378,0.921878316670593,0.7473511510305261,0.9433511118200035,1.4845583443015913
development,EMU00070025|RF on|9,EMU00070025,RF on,302.0,R_to_U,3,0.2470816752420517,0.9166716618275773,0.7168222034300198,0.9473747952215468,1.4993171470024178
development,EMU00070025|RF on|9,EMU00070025,RF on,302.0,R_to_U,4,0.31108180494175874,0.9621153070305509,0.69089842153304,0.9331709811273996,1.5136534089080294
development,EMU00070025|RF on|9,EMU00070025,RF on,302.0,R_to_U,5,0.3750816962228867,1.0519485390837569,0.6518500181466668,0.9593909796669284,1.5275791234923892
development,EMU00070025|RF on|9,EMU00070025,RF on,302.0,R_to_U,6,0.4390818259225937,1.046311546914075,0.6379655910484583,0.9965472010209742,1.5411061483839812
development,EMU00070025|RF on|9,EMU00070025,RF on,302.0,R_to_U,7,0.5030817172037216,0.910054719979467,0.6162283789560421,0.9500235102969521,1.5542458000627855
development,EMU00070025|RF on|9,EMU00070025,RF on,302.0,R_to_U,8,0.5670818469034287,1.0531398275129615,0.5665707831920229,0.9488193127765339,1.5670092668313529
development,EMU00070031|RF off|12,EMU00070031,RF off,338.0,R_to_U,-8,-0.4580167049042365,0.7919407469697084,0.9971253820889072,0.9892351839248664,1.3683198640131937
development,EMU00070031|RF off|12,EMU00070031,RF off,338.0,R_to_U,-7,-0.3940168136231086,0.8509336374066591,0.9760587252791719,0.9854659325207489,1.3864069596019823
development,EMU00070031|RF off|12,EMU00070031,RF off,338.0,R_to_U,-6,-0.33001668392340155,0.9172394817214973,0.9552785812912672,0.9978156457606131,1.4039762262104571
development,EMU00070031|RF off|12,EMU00070031,RF off,338.0,R_to_U,-5,-0.2660167926422736,0.8305729730129583,0.9642172124660371,0.9889845462125861,1.4210423619895745
development,EMU00070031|RF off|12,EMU00070031,RF off,338.0,R_to_U,-4,-0.2020166629425666,0.821436828144045,0.9190471687300762,0.9675618016070457,1.4376198986099702
development,EMU00070031|RF off|12,EMU00070031,RF off,338.0,R_to_U,-3,-0.13801677166143866,0.8582846163169154,0.8629599116005718,0.9541862877738126,1.4537227045580847
development,EMU00070031|RF off|12,EMU00070031,RF off,338.0,R_to_U,-2,-0.07401688038031073,0.8342984373437659,0.8359213573502582,0.9468516657312045,1.4693644338095633
development,EMU00070031|RF off|12,EMU00070031,RF off,338.0,R_to_U,-1,-0.010016750680603703,0.8007999908423357,0.8176301411208604,0.9431895379151936,1.4845583443015913
development,EMU00070031|RF off|12,EMU00070031,RF off,338.0,R_to_U,0,0.053983140600524226,0.8901631572533095,0.7994606532394216,0.9451238024053816,1.4993171470024178
development,EMU00070031|RF off|12,EMU00070031,RF off,338.0,R_to_U,1,0.11798327030023126,1.001021389730158,0.7633234976298591,0.9307348060392744,1.5136534089080294
development,EMU00070031|RF off|12,EMU00070031,RF off,338.0,R_to_U,2,0.1819831615813592,0.8683290546708864,0.7254774652024366,0.9242354146717379,1.5275791234923892
development,EMU00070031|RF off|12,EMU00070031,RF off,338.0,R_to_U,3,0.24598329128106622,0.8803869901478902,0.7125364946429835,0.9218406646969244,1.5411061483839812
development,EMU00070031|RF off|12,EMU00070031,RF off,338.0,R_to_U,4,0.30998318256219415,1.0043466700933852,0.6543356162793026,0.935138767670655,1.5542458000627855
development,EMU00070031|RF off|12,EMU00070031,RF off,338.0,R_to_U,5,0.3739833122619012,0.9520695678136768,0.6034502741148868,0.9524524213880619,1.5670092668313529
development,EMU00070031|RF off|12,EMU00070031,RF off,338.0,R_to_U,6,0.4379832035430291,1.04981923494522,0.5736934067371402,0.9661289934863679,1.5794072263898669
development,EMU00070031|RF off|12,EMU00070031,RF off,338.0,R_to_U,7,0.5019833332427361,1.0526661773155903,0.5379081502423283,0.9538264145896795,1.5914502354962952
development,EMU00070031|RF off|12,EMU00070031,RF off,338.0,R_to_U,8,0.5659832245238641,1.0233241895390957,0.5102406243239477,0.9352890806791183,1.60314836912814
development,EMU00070031|RF on|3,EMU00070031,RF on,338.0,R_to_U,-3,-0.16577287993144552,0.7495333692716848,0.8473351214238996,0.9435269251193646,1.290480240652085
development,EMU00070031|RF on|3,EMU00070031,RF on,338.0,R_to_U,-2,-0.10177298865031759,0.7152743015884516,0.8106573431928996,0.9290923291445885,1.3107961426068178
development,EMU00070031|RF on|3,EMU00070031,RF on,338.0,R_to_U,-1,-0.037772858950610555,0.7356303941745753,0.8039345266643291,0.9221581230249658,1.3305304054176792
development,EMU00070031|RF on|3,EMU00070031,RF on,338.0,R_to_U,0,0.026227032330517375,0.7925433703721038,0.7451173946613675,0.9338450718546645,1.3496995384347905
development,EMU00070031|RF on|3,EMU00070031,RF on,338.0,R_to_U,1,0.0902271620302244,0.792931409086868,0.7272408623864124,0.9491851010227896,1.3683198640131937
development,EMU00070031|RF on|3,EMU00070031,RF on,338.0,R_to_U,2,0.15422705331135234,0.8280912958368426,0.6875822846496861,0.9755109437856462,1.3864069596019823
development,EMU00070031|RF on|3,EMU00070031,RF on,338.0,R_to_U,3,0.21822718301105937,0.8262299839316762,0.6426601824420897,0.961330997757024,1.4039762262104571
development,EMU00070031|RF on|3,EMU00070031,RF on,338.0,R_to_U,4,0.2822270742921873,0.8616170423163011,0.6086376523325265,0.9934729401555831,1.4210423619895745
development,EMU00070031|RF on|3,EMU00070031,RF on,338.0,R_to_U,5,0.34622720399189433,0.8660357930845753,0.5683875634805098,0.9921054307302453,1.4376198986099702
development,EMU00070031|RF on|3,EMU00070031,RF on,338.0,R_to_U,6,0.41022709527302226,0.8976123856271784,0.5313905371977601,1.000940111656332,1.4537227045580847
development,EMU00070031|RF on|3,EMU00070031,RF on,338.0,R_to_U,7,0.4742269865541502,0.9187597139152712,0.49797590965573313,0.9880533411801944,1.4693644338095633
development,EMU00070031|RF on|3,EMU00070031,RF on,338.0,R_to_U,8,0.5382271162538572,0.963308165159123,0.45695834889488446,1.0020860573845813,1.4845583443015913
development,EMU00070037|RF off|5,EMU00070037,RF off,374.0,R_to_U,-5,-0.2803607044361427,0.8388464479502588,0.9376401002031269,1.167080993639159,1.290480240652085
development,EMU00070037|RF off|5,EMU00070037,RF off,374.0,R_to_U,-4,-0.21636081315501476,0.8297497511460226,0.86697798655644,1.167224038211885,1.3107961426068178
development,EMU00070037|RF off|5,EMU00070037,RF off,374.0,R_to_U,-3,-0.15236068345530773,0.7847600544139095,0.8620994115631819,1.157761174559726,1.3305304054176792
development,EMU00070037|RF off|5,EMU00070037,RF off,374.0,R_to_U,-2,-0.0883607921741798,0.7705923201888025,0.8487204363614937,1.1559506445914105,1.3496995384347905
development,EMU00070037|RF off|5,EMU00070037,RF off,374.0,R_to_U,-1,-0.024360662474472772,0.7979448212161719,0.8184330388412062,1.138674176398771,1.3683198640131937
development,EMU00070037|RF off|5,EMU00070037,RF off,374.0,R_to_U,0,0.03963922880665516,0.8302424880416385,0.7969044313639797,1.1672578569952883,1.3864069596019823
development,EMU00070037|RF off|5,EMU00070037,RF off,374.0,R_to_U,1,0.10363935850636219,0.8814701639764512,0.7742009675249453,1.1763494989559455,1.4039762262104571
development,EMU00070037|RF off|5,EMU00070037,RF off,374.0,R_to_U,2,0.16763924978749012,0.8765992438947651,0.7224973032616786,1.1670265205302521,1.4210423619895745
development,EMU00070037|RF off|5,EMU00070037,RF off,374.0,R_to_U,3,0.23163937948719715,0.9168353711520258,0.7131069859467356,1.1546554625955991,1.4376198986099702
development,EMU00070037|RF off|5,EMU00070037,RF off,374.0,R_to_U,4,0.2956392707683251,0.9935363813108813,0.6872874264991216,1.1547698529770138,1.4537227045580847
development,EMU00070037|RF off|5,EMU00070037,RF off,374.0,R_to_U,5,0.359639162049453,0.9637431801663301,0.6504306552668563,1.1098463569828891,1.4693644338095633
development,EMU00070037|RF off|5,EMU00070037,RF off,374.0,R_to_U,6,0.42363929174916004,0.919511727585813,0.6154370755761631,1.1239580564528153,1.4845583443015913
development,EMU00070037|RF off|5,EMU00070037,RF off,374.0,R_to_U,7,0.48763918303028797,0.9156517650703522,0.6256037219636166,1.1195356685949989,1.4993171470024178
development,EMU00070037|RF off|5,EMU00070037,RF off,374.0,R_to_U,8,0.551639312729995,0.9178669967107916,0.612172938013894,1.1318073074423374,1.5136534089080294
development,EMU00070037|RF on|5,EMU00070037,RF on,374.0,R_to_U,-5,-0.30776675633907535,0.6498290174574398,1.0101317607831652,1.0835779468777496,1.290480240652085
development,EMU00070037|RF on|5,EMU00070037,RF on,374.0,R_to_U,-4,-0.24376686505794742,0.6456158340145111,0.989445809963525,1.087380558003502,1.3107961426068178
development,EMU00070037|RF on|5,EMU00070037,RF on,374.0,R_to_U,-3,-0.1797667353582404,0.6502100839751582,0.948313048305527,1.0800544466506583,1.3305304054176792
development,EMU00070037|RF on|5,EMU00070037,RF on,374.0,R_to_U,-2,-0.11576684407711246,0.8101981957578025,0.9435494879048953,1.0742188425036074,1.3496995384347905
development,EMU00070037|RF on|5,EMU00070037,RF on,374.0,R_to_U,-1,-0.05176671437740543,0.8413437128638491,0.9056643783659956,1.0691259024064852,1.3683198640131937
development,EMU00070037|RF on|5,EMU00070037,RF on,374.0,R_to_U,0,0.012233176903722498,0.8824564247567986,0.8672565788883433,1.0639805317297957,1.3864069596019823
development,EMU00070037|RF on|5,EMU00070037,RF on,374.0,R_to_U,1,0.07623330660342953,0.8238584352235968,0.8419780892907169,1.0639861605873837,1.4039762262104571
development,EMU00070037|RF on|5,EMU00070037,RF on,374.0,R_to_U,2,0.14023319788455746,0.8168912908077655,0.819420218705833,1.0585766574101658,1.4210423619895745
development,EMU00070037|RF on|5,EMU00070037,RF on,374.0,R_to_U,3,0.2042333275842645,0.8494070360872267,0.7579953678622275,1.0757202152772134,1.4376198986099702
development,EMU00070037|RF on|5,EMU00070037,RF on,374.0,R_to_U,4,0.2682332188653924,0.885796731013871,0.7445670906666227,1.1081200016527006,1.4537227045580847
development,EMU00070037|RF on|5,EMU00070037,RF on,374.0,R_to_U,5,0.33223311014652035,0.8860210464294693,0.7288653240562868,1.0978005848935513,1.4693644338095633
development,EMU00070037|RF on|5,EMU00070037,RF on,374.0,R_to_U,6,0.3962332398462274,0.8858222510807235,0.6838591016111856,1.0815541353129228,1.4845583443015913
development,EMU00070037|RF on|5,EMU00070037,RF on,374.0,R_to_U,7,0.4602331311273553,1.0385209970050036,0.6645935543233894,1.0935438553953016,1.4993171470024178
development,EMU00070037|RF on|5,EMU00070037,RF on,374.0,R_to_U,8,0.5242332608270623,0.9723288354303312,0.625165190201516,1.082405494888159,1.5136534089080294
development,EMU00070037|RF on|6,EMU00070037,RF on,374.0,U_to_R,-6,-0.3491958127991426,0.6498290174574398,1.0101317607831652,1.0835779468777496,1.290480240652085
development,EMU00070037|RF on|6,EMU00070037,RF on,374.0,U_to_R,-5,-0.28519592151801465,0.6456158340145111,0.989445809963525,1.087380558003502,1.3107961426068178
development,EMU00070037|RF on|6,EMU00070037,RF on,374.0,U_to_R,-4,-0.22119579181830762,0.6502100839751582,0.948313048305527,1.0800544466506583,1.3305304054176792
development,EMU00070037|RF on|6,EMU00070037,RF on,374.0,U_to_R,-3,-0.1571959005371797,0.8101981957578025,0.9435494879048953,1.0742188425036074,1.3496995384347905
development,EMU00070037|RF on|6,EMU00070037,RF on,374.0,U_to_R,-2,-0.09319577083747266,0.8413437128638491,0.9056643783659956,1.0691259024064852,1.3683198640131937
development,EMU00070037|RF on|6,EMU00070037,RF on,374.0,U_to_R,-1,-0.029195879556344728,0.8824564247567986,0.8672565788883433,1.0639805317297957,1.3864069596019823
development,EMU00070037|RF on|6,EMU00070037,RF on,374.0,U_to_R,0,0.0348042501433623,0.8238584352235968,0.8419780892907169,1.0639861605873837,1.4039762262104571
development,EMU00070037|RF on|6,EMU00070037,RF on,374.0,U_to_R,1,0.09880414142449023,0.8168912908077655,0.819420218705833,1.0585766574101658,1.4210423619895745
development,EMU00070037|RF on|6,EMU00070037,RF on,374.0,U_to_R,2,0.16280427112419726,0.8494070360872267,0.7579953678622275,1.0757202152772134,1.4376198986099702
development,EMU00070037|RF on|6,EMU00070037,RF on,374.0,U_to_R,3,0.2268041624053252,0.885796731013871,0.7445670906666227,1.1081200016527006,1.4537227045580847
development,EMU00070037|RF on|6,EMU00070037,RF on,374.0,U_to_R,4,0.2908040536864531,0.8860210464294693,0.7288653240562868,1.0978005848935513,1.4693644338095633
development,EMU00070037|RF on|6,EMU00070037,RF on,374.0,U_to_R,5,0.35480418338616015,0.8858222510807235,0.6838591016111856,1.0815541353129228,1.4845583443015913
development,EMU00070037|RF on|6,EMU00070037,RF on,374.0,U_to_R,6,0.4188040746672881,1.0385209970050036,0.6645935543233894,1.0935438553953016,1.4993171470024178
development,EMU00070037|RF on|6,EMU00070037,RF on,374.0,U_to_R,7,0.4828042043669951,0.9723288354303312,0.625165190201516,1.082405494888159,1.5136534089080294
development,EMU00070037|RF on|6,EMU00070037,RF on,374.0,U_to_R,8,0.546804095648123,1.1177831991810518,0.5691915603156394,1.0428412082728213,1.5275791234923892
development,EMU00070037|RF on|8,EMU00070037,RF on,374.0,R_to_U,-8,-0.44972286976980946,0.6498290174574398,1.0101317607831652,1.0835779468777496,1.290480240652085
development,EMU00070037|RF on|8,EMU00070037,RF on,374.0,R_to_U,-7,-0.38572297848868153,0.6456158340145111,0.989445809963525,1.087380558003502,1.3107961426068178
development,EMU00070037|RF on|8,EMU00070037,RF on,374.0,R_to_U,-6,-0.3217228487889745,0.6502100839751582,0.948313048305527,1.0800544466506583,1.3305304054176792
development,EMU00070037|RF on|8,EMU00070037,RF on,374.0,R_to_U,-5,-0.2577229575078466,0.8101981957578025,0.9435494879048953,1.0742188425036074,1.3496995384347905
development,EMU00070037|RF on|8,EMU00070037,RF on,374.0,R_to_U,-4,-0.19372282780813954,0.8413437128638491,0.9056643783659956,1.0691259024064852,1.3683198640131937
development,EMU00070037|RF on|8,EMU00070037,RF on,374.0,R_to_U,-3,-0.1297229365270116,0.8824564247567986,0.8672565788883433,1.0639805317297957,1.3864069596019823
development,EMU00070037|RF on|8,EMU00070037,RF on,374.0,R_to_U,-2,-0.06572280682730458,0.8238584352235968,0.8419780892907169,1.0639861605873837,1.4039762262104571
development,EMU00070037|RF on|8,EMU00070037,RF on,374.0,R_to_U,-1,-0.001722915546176651,0.8168912908077655,0.819420218705833,1.0585766574101658,1.4210423619895745
development,EMU00070037|RF on|8,EMU00070037,RF on,374.0,R_to_U,0,0.06227721415353038,0.8494070360872267,0.7579953678622275,1.0757202152772134,1.4376198986099702
development,EMU00070037|RF on|8,EMU00070037,RF on,374.0,R_to_U,1,0.1262771054346583,0.885796731013871,0.7445670906666227,1.1081200016527006,1.4537227045580847
development,EMU00070037|RF on|8,EMU00070037,RF on,374.0,R_to_U,2,0.19027699671578624,0.8860210464294693,0.7288653240562868,1.0978005848935513,1.4693644338095633
development,EMU00070037|RF on|8,EMU00070037,RF on,374.0,R_to_U,3,0.25427712641549327,0.8858222510807235,0.6838591016111856,1.0815541353129228,1.4845583443015913
development,EMU00070037|RF on|8,EMU00070037,RF on,374.0,R_to_U,4,0.3182770176966212,1.0385209970050036,0.6645935543233894,1.0935438553953016,1.4993171470024178
development,EMU00070037|RF on|8,EMU00070037,RF on,374.0,R_to_U,5,0.38227714739632823,0.9723288354303312,0.625165190201516,1.082405494888159,1.5136534089080294
development,EMU00070037|RF on|8,EMU00070037,RF on,374.0,R_to_U,6,0.44627703867745616,1.1177831991810518,0.5691915603156394,1.0428412082728213,1.5275791234923892
development,EMU00070037|RF on|8,EMU00070037,RF on,374.0,R_to_U,7,0.5102771683771632,1.1597704874903285,0.5503817898626613,0.9837701194574044,1.5411061483839812
development,EMU00070037|RF on|8,EMU00070037,RF on,374.0,R_to_U,8,0.5742770596582911,1.0080328498627726,0.5108595021427726,0.9587808924587913,1.5542458000627855
development,EMU00070043|RF off|6,EMU00070043,RF off,410.0,R_to_U,-6,-0.33717452955628424,0.7348357037048698,1.0615187444163925,1.1001842210067165,1.290480240652085
development,EMU00070043|RF off|6,EMU00070043,RF off,410.0,R_to_U,-5,-0.2731746382751563,0.7842028089264881,1.0334195258101864,1.0850613490609744,1.3107961426068178
development,EMU00070043|RF off|6,EMU00070043,RF off,410.0,R_to_U,-4,-0.20917450857544928,0.8460579186034795,0.9813335071496816,1.0749204834134174,1.3305304054176792
development,EMU00070043|RF off|6,EMU00070043,RF off,410.0,R_to_U,-3,-0.14517461729432135,0.8331494993547729,0.9835743668496879,1.0715698660806847,1.3496995384347905
development,EMU00070043|RF off|6,EMU00070043,RF off,410.0,R_to_U,-2,-0.08117448759461432,0.8761873711203382,0.9396359057415158,1.070539598140319,1.3683198640131937
development,EMU00070043|RF off|6,EMU00070043,RF off,410.0,R_to_U,-1,-0.01717459631348639,0.8589821769816508,0.8858941340485651,1.082073880301973,1.3864069596019823
development,EMU00070043|RF off|6,EMU00070043,RF off,410.0,R_to_U,0,0.04682553338622064,0.9398948167127779,0.8665209381584502,1.1097057116478206,1.4039762262104571
development,EMU00070043|RF off|6,EMU00070043,RF off,410.0,R_to_U,1,0.11082542466734857,0.899973963648429,0.848523006290826,1.1044618846186642,1.4210423619895745
development,EMU00070043|RF off|6,EMU00070043,RF off,410.0,R_to_U,2,0.1748255543670556,0.9143861427592609,0.7918491950882944,1.1009520427872435,1.4376198986099702
development,EMU00070043|RF off|6,EMU00070043,RF off,410.0,R_to_U,3,0.23882544564818353,0.9027412761398756,0.7799177839904715,1.122134746093709,1.4537227045580847
development,EMU00070043|RF off|6,EMU00070043,RF off,410.0,R_to_U,4,0.30282533692931146,0.9412941278661994,0.7346257457458059,1.1103078525521002,1.4693644338095633
development,EMU00070043|RF off|6,EMU00070043,RF off,410.0,R_to_U,5,0.3668254666290185,0.9919948247761834,0.683090593254515,1.103857958354381,1.4845583443015913
development,EMU00070043|RF off|6,EMU00070043,RF off,410.0,R_to_U,6,0.4308253579101464,0.9817411951976084,0.6165982483704411,1.0963859907614262,1.4993171470024178
development,EMU00070043|RF off|6,EMU00070043,RF off,410.0,R_to_U,7,0.49482548760985345,0.9521505593989389,0.5714727619440292,1.0891956439505384,1.5136534089080294
development,EMU00070043|RF off|6,EMU00070043,RF off,410.0,R_to_U,8,0.5588253788909814,1.1165648700864967,0.5433180666154105,1.100462779269578,1.5275791234923892
development,EMU00070043|RF on|9,EMU00070043,RF on,410.0,R_to_U,-8,-0.49263956896712013,0.627940751411429,0.9546856177034455,1.0004620604482404,1.3107961426068178
