split,run,period,field_G,arm,scored_rows,baseline_mse,transfer_mse,wrong_mse,reverse_mse,baseline_minus_transfer,wrong_minus_transfer,reverse_minus_transfer
development,EMU00070025,RF off,302.0,U_to_R,26,0.0054477616044793665,0.005146054980468038,0.0037349222986129945,0.0052390115177192295,0.0003017066240113284,-0.0014111326818550436,9.295653725119139e-05
development,EMU00070025,RF on,302.0,U_to_R,26,0.005406817455219773,0.005177382896561341,0.003806497861742405,0.004710581050950829,0.00022943455865843173,-0.001370885034818936,-0.00046680184561051236
development,EMU00070031,RF off,338.0,U_to_R,26,0.007094930673068608,0.006151044879061272,0.0056676602124670124,0.0053712182870667285,0.0009438857940073358,-0.0004833846665942597,-0.0007798265919945436
development,EMU00070031,RF on,338.0,U_to_R,26,0.003955245158372138,0.0041373199323229875,0.0034585522086610482,0.0015484396946466824,-0.00018207477395084954,-0.0006787677236619392,-0.002588880237676305
development,EMU00070037,RF off,374.0,U_to_R,26,0.0015359078698948913,0.00125244399768515,0.001255402566735209,0.0007435885445586988,0.00028346387220974135,2.9585690500589807e-06,-0.0005088554531264512
development,EMU00070037,RF on,374.0,U_to_R,26,0.0009619407334741609,0.0017822596125957617,0.0013987960604427325,0.0023324858953286216,-0.0008203188791216008,-0.00038346355215302915,0.0005502262827328599
development,EMU00070043,RF off,410.0,U_to_R,26,0.00417801343049238,0.0034027391072200797,0.0027709925534605082,0.0033045086976720922,0.0007752743232723003,-0.0006317465537595715,-9.823040954798747e-05
development,EMU00070043,RF on,410.0,U_to_R,26,0.0022834720478372675,0.001704297024617373,0.003046212341580012,0.0031232761846794253,0.0005791750232198945,0.001341915316962639,0.0014189791600620523
development,EMU00070049,RF off,446.0,U_to_R,26,0.0012746312373847946,0.0016954575454663798,0.000693958644336403,0.0012510525995543893,-0.0004208263080815852,-0.0010014989011299768,-0.00044440494591199047
development,EMU00070049,RF on,446.0,U_to_R,26,0.00348597479167987,0.004149881509354992,0.0032090177069654174,0.0016625548261762228,-0.0006639067176751217,-0.0009408638023895742,-0.0024873266831787685
development,EMU00070055,RF off,482.0,U_to_R,26,0.0019898321234433883,0.002099499034214235,0.0017853999698145228,0.000383685151430482,-0.00010966691077084678,-0.0003140990643997123,-0.001715813882783753
development,EMU00070055,RF on,482.0,U_to_R,26,0.0008827133052974796,0.0007220245351978071,0.0005427635130599164,0.0006234309956346103,0.00016068877009967248,-0.0001792610221378907,-9.859353956319687e-05
development,EMU00069983,RF off,50.0,R_to_U,26,0.006242465711287879,0.0040248442686083,0.006712330727266174,0.015400707338592197,0.002217621442679579,0.002687486458657874,0.011375863069983897
development,EMU00069983,RF on,50.0,R_to_U,26,0.005583579712149243,0.005990562085243024,0.03676533146992954,0.01587291219573617,-0.0004069823730937809,0.030774769384686512,0.009882350110493146
development,EMU00069989,RF off,86.0,R_to_U,26,0.0020847681491437914,0.0021478216988400473,0.018720763983338665,0.011668072624144784,-6.305354969625594e-05,0.01657294228449862,0.009520250925304737
development,EMU00069989,RF on,86.0,R_to_U,26,0.002127186425697181,0.0027383759219311455,0.019563152015607044,0.009707749159715525,-0.0006111894962339643,0.0168247760936759,0.00696937323778438
development,EMU00069995,RF off,122.0,R_to_U,26,0.007657119551793443,0.005819417695029397,0.0024503237492225116,0.013571152278152827,0.0018377018567640457,-0.0033690939458068856,0.0077517345831234295
development,EMU00069995,RF on,122.0,R_to_U,26,0.003806703871025959,0.003939645300176151,0.01722591027527881,0.013857961616068467,-0.00013294142915019165,0.01328626497510266,0.009918316315892316
development,EMU00070001,RF off,158.0,R_to_U,26,0.0016774849987566893,0.0013114730940985617,0.004573445105602468,0.006657067493875605,0.00036601190465812756,0.0032619720115039065,0.0053455943997770435
development,EMU00070001,RF on,158.0,R_to_U,26,0.007284849926698579,0.004247054030019446,0.026969118941951916,0.011166767421281807,0.003037795896679133,0.02272206491193247,0.006919713391262361
development,EMU00070007,RF off,194.0,R_to_U,26,0.004752428461476658,0.0030242644232282008,0.01727295171080103,0.01159088755372342,0.0017281640382484568,0.01424868728757283,0.00856662313049522
development,EMU00070007,RF on,194.0,R_to_U,26,0.006293382444948473,0.00924146582187477,0.002198246216948204,0.016259275209125897,-0.0029480833769262972,-0.007043219604926567,0.007017809387251127
development,EMU00070013,RF off,230.0,R_to_U,26,0.005385231721093291,0.004317829151107122,0.009587429899961773,0.0025948209073093057,0.0010674025699861688,0.005269600748854651,-0.0017230082437978164
development,EMU00070013,RF on,230.0,R_to_U,26,0.004281975637608828,0.007224982837810479,0.005697073492207041,0.018449028901914338,-0.0029430072002016514,-0.0015279093456034383,0.011224046064103859
development,EMU00070019,RF off,266.0,R_to_U,26,0.004921037401299376,0.005118630265223225,0.0032509655435637034,0.005510105673334472,-0.00019759286392384903,-0.0018676647216595219,0.0003914754081112467
development,EMU00070019,RF on,266.0,R_to_U,26,0.007447983758113753,0.007511021699202138,0.004822931762401754,0.0036930597140645382,-6.303794108838447e-05,-0.002688089936800384,-0.0038179619851375995
development,EMU00070025,RF off,302.0,R_to_U,26,0.005168330850304389,0.003984749875689852,0.008691609419845304,0.021867779742547635,0.0011835809746145367,0.0047068595441554515,0.01788302986685778
development,EMU00070025,RF on,302.0,R_to_U,26,0.005051581907066475,0.004963334649232214,0.01272922825437418,0.014163616277214523,8.824725783426138e-05,0.007765893605141966,0.00920028162798231
development,EMU00070031,RF off,338.0,R_to_U,26,0.000748031709725885,0.00077245575890348,0.0020880054938923953,0.005858422663438063,-2.4424049177595043e-05,0.0013155497349889153,0.005085966904534583
development,EMU00070031,RF on,338.0,R_to_U,26,0.009496456740646662,0.005490668419013565,0.005497485528270909,0.0094774908397529,0.0040057883216330975,6.817109257343731e-06,0.003986822420739336
development,EMU00070037,RF off,374.0,R_to_U,26,0.0017670815671816432,0.0011555008827154637,0.0010161821900121853,0.006200485651199346,0.0006115806844661795,-0.00013931869270327846,0.005044984768483882
development,EMU00070037,RF on,374.0,R_to_U,26,0.001465294040558634,0.0013408090426414595,0.0011467186278611209,0.007974033100611868,0.00012448499791717447,-0.0001940904147803386,0.006633224057970408
development,EMU00070043,RF off,410.0,R_to_U,26,0.006889510992920362,0.006496503858097346,0.012842678481585759,0.02095075522213634,0.00039300713482301637,0.006346174623488413,0.014454251364038993
development,EMU00070043,RF on,410.0,R_to_U,26,0.0013617054387494178,0.0010620975624722176,0.0016929266764380676,0.007552699819078585,0.00029960787627720024,0.0006308291139658501,0.006490602256606367
development,EMU00070049,RF off,446.0,R_to_U,26,0.006733828258090448,0.007445626168005838,0.011693363966767949,0.013152008309973514,-0.0007117979099153897,0.004247737798762111,0.005706382141967676
development,EMU00070049,RF on,446.0,R_to_U,26,0.007228862564902747,0.005719099085010954,0.004526904513434079,0.015390816967193506,0.0015097634798917929,-0.001192194571576875,0.009671717882182553
development,EMU00070055,RF off,482.0,R_to_U,26,0.004518448177885896,0.005321035982206557,0.0032960037660043967,0.007319334220650437,-0.0008025878043206617,-0.0020250322162021607,0.00199829823844388
development,EMU00070055,RF on,482.0,R_to_U,26,0.0077711943640390675,0.00945540737373705,0.012294207480137966,0.017428332227355046,-0.0016842130096979832,0.002838800106400915,0.007972924853617995
