parent_bin,relation_bin,parent_center,relation_center,n,observed_child_mean,predicted_child_mean
8,2,0.53125,0.41666666666666663,1708,0.8578629251047412,0.8557779554096094
8,3,0.53125,0.5833333333333333,1683,0.873113939543931,0.8755188308283818
8,4,0.53125,0.75,1661,0.8946838343355232,0.8873747291440954
8,5,0.53125,0.9166666666666666,1721,0.9106382780034429,0.9015176673751327
8,6,0.53125,1.0833333333333333,1748,0.9246564566759812,0.9272348938719617
8,7,0.53125,1.25,1700,0.9353599500515376,0.9346858919382504
8,8,0.53125,1.4166666666666665,1734,0.9592970924961365,0.9524157209612818
8,9,0.53125,1.5833333333333333,1777,0.9674668105200509,0.9687978479074515
8,10,0.53125,1.75,1716,0.9781575476440668,0.9738573696524064
8,11,0.53125,1.9166666666666665,1769,0.9990808040062115,0.9955798041513224
9,0,0.59375,0.08333333333333333,1839,0.7952255910702296,0.8028583930315858
9,1,0.59375,0.25,1867,0.8210998818704492,0.8275815217391304
9,2,0.59375,0.41666666666666663,1869,0.8379724088353746,0.843232421875
9,3,0.59375,0.5833333333333333,1861,0.8599120263712554,0.8632626547127896
9,4,0.59375,0.75,2000,0.8743832627546558,0.8894017238783498
9,5,0.59375,0.9166666666666666,1970,0.8951157151788542,0.8963391786570742
9,6,0.59375,1.0833333333333333,1983,0.9192757342333365,0.9110167215697508
9,7,0.59375,1.25,2005,0.9275800568811536,0.932720432760079
9,8,0.59375,1.4166666666666665,2036,0.9419906335016834,0.949103763666947
9,9,0.59375,1.5833333333333333,2133,0.9578184270784569,0.9593681675321125
9,10,0.59375,1.75,2098,0.9787546633934996,0.9755531885651458
9,11,0.59375,1.9166666666666665,2222,0.9908864450362125,0.9976368115739446
10,0,0.65625,0.08333333333333333,1862,0.7650508322081223,0.7748632090012331
10,1,0.65625,0.25,1934,0.79344823441535,0.7976708074534162
10,2,0.65625,0.41666666666666663,2010,0.8283517362056606,0.8237479938721913
10,3,0.65625,0.5833333333333333,2201,0.8470808783888902,0.8535598281642917
10,4,0.65625,0.75,2253,0.8687055532480987,0.8716436483454851
10,5,0.65625,0.9166666666666666,2202,0.8912508569139042,0.8947971204188482
10,6,0.65625,1.0833333333333333,2379,0.9077947190635544,0.9120172369103162
10,7,0.65625,1.25,2408,0.9197769868799389,0.9311554908279623
10,8,0.65625,1.4166666666666665,2448,0.9388578925895192,0.9432412790697674
10,9,0.65625,1.5833333333333333,2450,0.9639856131420326,0.9585371748300915
10,10,0.65625,1.75,2549,0.9834006058527331,0.972134643916914
10,11,0.65625,1.9166666666666665,2534,0.9918451120723496,0.9912783392897029
11,0,0.71875,0.08333333333333333,1875,0.7414101820949288,0.7411193942696979
11,1,0.71875,0.25,1965,0.7806414796360766,0.7841216216216216
11,2,0.71875,0.41666666666666663,2104,0.8085213921119027,0.814721944603084
11,3,0.71875,0.5833333333333333,2213,0.8317385904438672,0.838511866059818
11,4,0.71875,0.75,2319,0.8561504823399289,0.8638921241500881
11,5,0.71875,0.9166666666666666,2483,0.897346728661048,0.8839491391852571
11,6,0.71875,1.0833333333333333,2569,0.9102137702468078,0.9117782909930715
11,7,0.71875,1.25,2605,0.9359249248468825,0.9334456372772956
11,8,0.71875,1.4166666666666665,2843,0.946957915830746,0.9447140403830141
11,9,0.71875,1.5833333333333333,2949,0.9649061827498628,0.9677380832662913
11,10,0.71875,1.75,3091,0.9798851955123171,0.9833577781983346
11,11,0.71875,1.9166666666666665,3161,0.9966204935217962,0.997961446405106
12,0,0.78125,0.08333333333333333,1770,0.7054964851704398,0.7147330465587045
12,1,0.78125,0.25,1953,0.7660840818362432,0.7582076477757465
12,2,0.78125,0.41666666666666663,2122,0.8022798600135846,0.7932427177601811
12,3,0.78125,0.5833333333333333,2277,0.8350181963159498,0.8393145959862689
12,4,0.78125,0.75,2495,0.8525648601864826,0.8567539353520788
12,5,0.78125,0.9166666666666666,2710,0.8910920232677982,0.8913680366847827
12,6,0.78125,1.0833333333333333,2846,0.9123338858634575,0.9101120220038452
12,7,0.78125,1.25,2985,0.9410886185187624,0.9345703125
12,8,0.78125,1.4166666666666665,3228,0.9554878340545867,0.9576527154608337
12,9,0.78125,1.5833333333333333,3348,0.9754687163197683,0.9705249909698395
12,10,0.78125,1.75,3490,0.9772265551749096,0.9840120003416468
12,11,0.78125,1.9166666666666665,3826,0.9900774969775985,0.9949728694541973
13,0,0.84375,0.08333333333333333,1500,0.6827397940087843,0.6892523364485981
13,1,0.84375,0.25,1721,0.7429851865485294,0.7615291262135923
13,2,0.84375,0.41666666666666663,2000,0.801400496596776,0.8086968203379781
13,3,0.84375,0.5833333333333333,2216,0.8415997114191831,0.8460592139680878
13,4,0.84375,0.75,2573,0.8750449469134463,0.8762984154929578
13,5,0.84375,0.9166666666666666,2775,0.9059230525115606,0.9040851103331211
13,6,0.84375,1.0833333333333333,3094,0.9210381530419568,0.9206168187227292
13,7,0.84375,1.25,3224,0.9409341098756762,0.9401721014492752
