repetition,auc_grandchild_flip_minus_child_flip
727,0.013649266210325695
728,0.009573447280937675
729,0.008010499803392523
730,0.006729079558801643
731,0.02006631278608506
732,0.018003538324512847
733,0.029520062051440865
734,0.02494489982075665
735,0.010553794953357953
736,0.010382391056098728
737,0.009813805288067634
738,0.0051972739079436114
739,0.009713989859205241
740,0.008176903633691945
741,-0.004374924761887833
742,0.0084797357273807
743,0.010626483391207753
744,0.005467368535785777
745,0.012408749210890857
746,0.010877135810573257
747,0.01153900566366095
748,0.03187708165774317
749,0.011593935011602774
750,0.020068516386918422
751,0.02276405927924463
752,0.0074402035245220155
753,0.009097461119977446
754,0.010716936080594208
755,0.010583265281485454
756,0.007829742455971234
757,0.012155802269541272
758,0.012996447772321784
759,0.010014627040077828
760,0.0025533321952818655
761,0.012086510743347212
762,0.02325956641410165
763,0.02194105938634494
764,0.008196813561313743
765,0.020276060608355406
766,0.005619778654964991
767,0.0023406051436617448
768,0.015463780686619133
769,0.002894145254107028
770,0.01108329450530332
771,-0.001792322212686881
772,0.016553172342492872
773,0.0251526640702896
774,0.005390231787981592
775,0.011566716220307693
776,0.018908068210794604
777,0.02069528793109343
778,0.009334916416459116
779,0.015590617667854523
780,0.02462796258479094
781,0.017234750900212426
782,0.013076992302103019
783,0.013309979910130054
784,0.014450365118295005
785,0.011672984649629514
786,0.017803205380224396
787,0.006547296604501374
788,0.016138183944607865
789,0.020601423809947006
790,0.009328137813532256
791,0.011182116972179523
792,0.022939418642601184
793,0.024743766566312497
794,0.022513888608995725
795,0.01702986430292308
796,0.008579604654117112
797,0.006199129402714387
798,0.0033783725148074373
799,0.015643973282900903
800,0.01564852957597984
801,0.013202115098232103
802,0.011215598892298506
803,0.006230696447806383
804,0.0029803550211315866
805,-0.0017041555595841418
806,0.0037605909854300235
807,-0.005221702105473125
808,0.013094840443620748
809,0.025966060294554838
810,0.01684768200231701
811,0.005382769040648938
812,0.02341796738710622
813,0.017365213154623693
814,0.014472962950054624
815,0.014621643404843065
816,0.022856423950029403
817,0.011706187782242305
818,-0.0009108399252816257
819,0.0036285884046564076
820,0.01237097221786565
821,0.0014845522338333694
822,0.014340038205293726
823,0.0033579174899794895
824,0.011246666694542329
825,0.015238043059022877
826,0.011937786801829886
827,0.011511708557916056
828,0.0022377425268694795
829,0.017019522872511406
830,0.01604342063254538
831,0.014381373709207335
832,0.014815044659170717
833,0.00779477094971881
834,0.0008827494581733486
835,0.0002119924926377026
836,0.011222407814755142
837,0.013650879776819447
838,-0.0015539601867425867
839,0.01597412429920997
840,0.016441687454115006
841,0.012036758433907502
842,0.003952103260884021
843,0.0010254376430085532
844,0.013389019951880798
845,0.02581722643686446
846,0.015878821076333427
847,0.0013938435955742623
848,0.022752576832265614
849,0.016038758247936213
850,0.0005584889711535146
851,0.007191511831355246
852,0.011323794656137087
853,0.0058177638599353765
854,0.009905557788072006
855,0.001755899958037821
856,0.01653252840242936
857,0.008997866062564808
858,0.009495505623982159
859,0.01436405320289047
860,0.024971543885242697
861,0.007040860407095284
862,0.020791266427327315
863,0.023283377590781362
864,0.011284639094182647
865,0.004393871196262555
866,0.016808811137968838
867,0.007837702471648167
868,0.017829645776150982
869,0.004674979313809335
870,0.029435270210012465
871,0.004881951294393394
872,0.0032047815289686366
873,0.009383126097444627
874,0.004114694399951213
875,0.003630499970854073
876,0.015012631645598962
877,0.008985123596152444
878,-0.0010392046131909582
879,0.016868638099239663
880,0.009592408538965702
881,0.01291674065702031
882,0.021002344929373473
883,0.011956900588637631
884,0.007239666220957064
885,0.014637052998665467
886,0.01604369159207586
887,0.002591695106406111
888,0.0020815435677131733
889,0.017268008798299705
890,0.013958956995333893
891,0.021234386956325624
892,0.010473528553804679
893,0.01510701610875953
894,0.009960307579852112
895,0.01874627441829757
896,0.018223217180581508
897,0.010134642975110686
898,0.019474175952628237
899,0.007981467780611484
900,0.010955877624789334
901,0.021510532993378906
902,0.016522665688224025
903,-0.00040619206457725987
904,0.0060214293523644935
905,0.015767525045330633
906,0.01939675959579057
907,0.029152321702212713
908,0.012686494122463032
909,0.00822808790676155
910,0.01706126689688514
911,0.0228259760774141
912,0.0060882413588899675
913,0.004949928505766477
914,0.006314605887244973
915,0.0130006607549229
916,0.010978584540409675
917,0.010421707827740545
918,0.016026126267354335
919,0.013420408817864438
920,0.011569780968695653
921,0.014351640876336558
922,0.009379234572672202
923,0.014522652607696696
924,0.018693281821373087
925,0.024155630848847975
926,0.00858967901375407
927,0.0058640928331503694
928,-0.000490851114562818
929,0.007138428497063365
930,0.009231000793805788
931,0.014839572097811282
932,-2.712290184780919e-06
933,0.008408809338717904
934,0.01346087803223256
935,0.015819165151591874
936,0.02439945866799742
937,0.018667315072207757
938,-0.0022165109945446737
939,0.006666702138650948
940,0.014552930131219721
941,0.004728709678464615
942,0.02456661150515249
943,0.003271617864357146
944,0.010458613923940097
945,0.006268332292707179
946,0.021342058489385418
947,0.0037537263664075837
948,0.008756113972520962
949,0.002237725391515011
950,0.020946121391426153
951,0.013675231053379422
952,0.017484630241947574
953,0.010211368882784289
954,0.024216618391028177
955,0.016657543994592072
956,0.016347586385547452
957,0.01068217512853975
958,0.007240188689963234
959,0.015576758312321526
960,0.0013994896133451284
961,0.006258364379125969
962,0.012887477632384514
963,0.013902343495405867
964,0.00867350508007092
965,0.014067582703119696
