time_M,series,coordinate
1861.8613337748425,rho coherence,0.9999998310528256
1932.8645083049717,x_P openness,1.4961496268993926
1932.8645083049717,x_R residual,0.7377930564594387
1932.8645083049717,rho coherence,0.9999999325836882
2002.6995393741713,x_P openness,1.4961496268993926
2002.6995393741713,x_R residual,0.7399691482270436
2002.6995393741713,rho coherence,0.9999998196566394
2070.2658201541544,x_P openness,1.4961496268993926
2070.2658201541544,x_R residual,0.7280887772217752
2070.2658201541544,rho coherence,0.9999978948844102
2138.6675408156625,x_P openness,1.4961496268993926
2138.6675408156625,x_R residual,0.7373983105404947
2138.6675408156625,rho coherence,0.9999999237610273
2203.663942973454,x_P openness,1.449348119698628
2203.663942973454,x_R residual,0.73519252971621
2203.663942973454,rho coherence,0.9999999447330175
2267.469706332841,x_P openness,1.720576881743684
2267.469706332841,x_R residual,0.7335021908707536
2267.469706332841,rho coherence,0.9999998263531487
2328.520371062041,x_P openness,1.750977500432693
2328.520371062041,x_R residual,0.7296019609688168
2328.520371062041,rho coherence,0.9999989030948873
2390.48419959101,x_P openness,1.750977500432693
2390.48419959101,x_R residual,0.7326034241014491
2390.48419959101,rho coherence,0.9999999398518721
2449.070702003682,x_P openness,1.6710995856284994
2449.070702003682,x_R residual,0.7312545745935201
2449.070702003682,rho coherence,0.999999893237701
2505.1184757277774,x_P openness,1.720576881743684
2505.1184757277774,x_R residual,0.7249629502514443
2505.1184757277774,rho coherence,0.9999971347814033
2559.6941628568175,x_P openness,1.6710995856284994
2559.6941628568175,x_R residual,0.7276677104505072
2559.6941628568175,rho coherence,0.9999997105142189
2614.601554793328,x_P openness,1.6710995856284994
2614.601554793328,x_R residual,0.7266630419380281
2614.601554793328,rho coherence,0.9999991085211315
2664.8957168201887,x_P openness,1.6710995856284994
2664.8957168201887,x_R residual,0.7260627597664395
2664.8957168201887,rho coherence,0.999999709199243
2713.7503946883025,x_P openness,1.6186218808782966
2713.7503946883025,x_R residual,0.7253477406955199
2713.7503946883025,rho coherence,0.9999997270840484
2760.4419953660745,x_P openness,2.0
2760.4419953660745,x_R residual,0.7173101179053272
2760.4419953660745,rho coherence,0.999998256144986
2806.6221932588755,x_P openness,1.5287712379549447
2806.6221932588755,x_R residual,0.7150347797333692
2806.6221932588755,rho coherence,0.9999977924927084
2848.3252794651075,x_P openness,1.5287712379549447
2848.3252794651075,x_R residual,0.7019181961303472
2848.3252794651075,rho coherence,0.9999932573234059
2887.8603675038,x_P openness,1.4949064372133896
2887.8603675038,x_R residual,0.7142066602719432
2887.8603675038,rho coherence,0.9999990576187321
2924.4787838606558,x_P openness,1.7817348152961758
2924.4787838606558,x_R residual,0.6998970858271871
2924.4787838606558,rho coherence,0.9999932529374282
2959.4129144710423,x_P openness,1.4307573148634822
2959.4129144710423,x_R residual,0.6885102808587683
2959.4129144710423,rho coherence,0.9999919054468374
2989.920886931601,x_P openness,1.3614709844115211
2989.920886931601,x_R residual,0.6817113819127665
2989.920886931601,rho coherence,0.9999879562800968
3016.7584024346147,x_P openness,1.5931568569324175
3016.7584024346147,x_R residual,0.6875250967535907
3016.7584024346147,rho coherence,0.9999909523164074
3039.4046299808906,x_P openness,1.5931568569324175
3039.4046299808906,x_R residual,0.6716339488738179
3039.4046299808906,rho coherence,0.9999860496482103
3057.290700367128,x_P openness,1.8844129532345624
3057.290700367128,x_R residual,0.646089273066653
3057.290700367128,rho coherence,0.999979103745104
3070.0386496731912,x_P openness,0.9101493570766489
3070.0386496731912,x_R residual,0.597379016039125
3070.0386496731912,rho coherence,0.9999719859319088
3078.3406910588833,x_P openness,1.316992500144231
3078.3406910588833,x_R residual,0.6868531394635942
3078.3406910588833,rho coherence,0.999970897116446
3089.540350708464,x_P openness,1.1509775004326936
3089.540350708464,x_R residual,0.7061410864910062
3089.540350708464,rho coherence,0.9999999957708987
3100.740010175398,x_P openness,1.5101493570766484
3100.740010175398,x_R residual,0.7061854942403805
3100.740010175398,rho coherence,0.9999999955922594
3112.3396573039863,x_P openness,0.9101493570766489
3112.3396573039863,x_R residual,0.706238039791098
3112.3396573039863,rho coherence,0.9999999953638398
3123.539316439667,x_P openness,1.5101493570766484
3123.539316439667,x_R residual,0.7062976166223353
3123.539316439667,rho coherence,0.9999999950842939
3134.7389754199157,x_P openness,0.9101493570766489
3134.7389754199157,x_R residual,0.7063685667755925
3134.7389754199157,rho coherence,0.9999999947246039
3145.93863424202,x_P openness,1.5101493570766484
3145.93863424202,x_R residual,0.7064534777334069
3145.93863424202,rho coherence,0.9999999942593673
3157.538280706596,x_P openness,0.9101493570766489
3157.538280706596,x_R residual,0.706547199948951
3157.538280706596,rho coherence,0.9999999937153372
3168.7379391894374,x_P openness,1.5101493570766484
3168.7379391894374,x_R residual,0.7066253106768203
3168.7379391894374,rho coherence,0.9999999932562533
3179.4218183171097,x_P openness,1.5101493570766484
3179.4218183171097,x_R residual,0.674731275390776
3179.4218183171097,rho coherence,0.9999960632032827
3187.9533146268896,x_P openness,0.7169925001442312
3187.9533146268896,x_R residual,0.8066885242136663
3187.9533146268896,rho coherence,0.9999571312871693
3199.5529604062426,x_P openness,1.5101493570766484
3199.5529604062426,x_R residual,0.7067908692515068
3199.5529604062426,rho coherence,0.999999992313031
3210.752618202384,x_P openness,0.9101493570766489
3210.752618202384,x_R residual,0.7068594549533143
3210.752618202384,rho coherence,0.9999999918890818
3221.9522757877085,x_P openness,1.5101493570766484
3221.9522757877085,x_R residual,0.7069358048519424
3221.9522757877085,rho coherence,0.9999999913874995
