split,experiment,cell_id,cell_key,observed_g1_count,observed_hours,slowdown_onset_interval,slowdown_onset_hours
development,Experiment_8,cell_2.71,Experiment_8|cell_2.71,11,38.0,7.0,17.3333333333333
development,Experiment_8,cell_2.72,Experiment_8|cell_2.72,10,30.0,5.0,11.3333333333333
development,Experiment_8,cell_2.73,Experiment_8|cell_2.73,7,15.3333333333333,4.0,9.0
development,Experiment_8,cell_2.74,Experiment_8|cell_2.74,11,40.6666666666667,5.0,10.0
development,Experiment_8,cell_2.75,Experiment_8|cell_2.75,11,37.6666666666667,7.0,18.3333333333333
development,Experiment_8,cell_2.76,Experiment_8|cell_2.76,6,23.6666666666667,4.0,8.33333333333333
development,Experiment_8,cell_2.77,Experiment_8|cell_2.77,9,40.3333333333333,4.0,12.0
development,Experiment_8,cell_2.78,Experiment_8|cell_2.78,12,46.0,9.0,21.0
development,Experiment_8,cell_2.79,Experiment_8|cell_2.79,8,17.3333333333333,,
development,Experiment_8,cell_2.80,Experiment_8|cell_2.80,8,32.3333333333333,4.0,9.66666666666667
development,Experiment_8,cell_2.81,Experiment_8|cell_2.81,7,28.3333333333333,5.0,21.6666666666667
development,Experiment_8,cell_2.82,Experiment_8|cell_2.82,6,14.6666666666667,4.0,9.0
development,Experiment_8,cell_2.83,Experiment_8|cell_2.83,7,27.3333333333333,4.0,10.3333333333333
development,Experiment_8,cell_2.84,Experiment_8|cell_2.84,23,43.6666666666667,4.0,7.33333333333333
development,Experiment_8,cell_2.85,Experiment_8|cell_2.85,13,31.3333333333333,9.0,19.0
development,Experiment_8,cell_2.86,Experiment_8|cell_2.86,15,33.6666666666667,5.0,9.33333333333333
development,Experiment_8,cell_2.87,Experiment_8|cell_2.87,15,32.0,5.0,9.66666666666667
development,Experiment_8,cell_2.88,Experiment_8|cell_2.88,15,38.0,6.0,11.3333333333333
development,Experiment_8,cell_2.89,Experiment_8|cell_2.89,12,36.0,8.0,18.6666666666667
development,Experiment_8,cell_2.90,Experiment_8|cell_2.90,9,27.6666666666667,6.0,16.0
development,Experiment_8,cell_2.91,Experiment_8|cell_2.91,13,33.0,10.0,23.3333333333333
development,Experiment_8,cell_2.92,Experiment_8|cell_2.92,15,53.6666666666667,10.0,26.3333333333333
development,Experiment_8,cell_2.93,Experiment_8|cell_2.93,10,31.6666666666667,4.0,9.0
development,Experiment_8,cell_2.94,Experiment_8|cell_2.94,14,34.6666666666667,,
holdout,Experiment_9,cell_2.100,Experiment_9|cell_2.100,17,41.6666666666667,15.0,36.0
holdout,Experiment_9,cell_2.101,Experiment_9|cell_2.101,6,11.0,,
holdout,Experiment_9,cell_2.102,Experiment_9|cell_2.102,18,44.3333333333333,15.0,31.3333333333333
holdout,Experiment_9,cell_2.103,Experiment_9|cell_2.103,9,24.0,6.0,14.6666666666667
holdout,Experiment_9,cell_2.104,Experiment_9|cell_2.104,15,46.3333333333333,13.0,40.3333333333333
holdout,Experiment_9,cell_2.105,Experiment_9|cell_2.105,10,27.0,6.0,12.6666666666667
holdout,Experiment_9,cell_2.106,Experiment_9|cell_2.106,7,18.0,5.0,13.0
holdout,Experiment_9,cell_2.95,Experiment_9|cell_2.95,16,50.0,12.0,32.3333333333333
holdout,Experiment_9,cell_2.96,Experiment_9|cell_2.96,9,25.3333333333333,5.0,13.0
holdout,Experiment_9,cell_2.97,Experiment_9|cell_2.97,14,33.3333333333333,8.0,18.3333333333333
holdout,Experiment_9,cell_2.98,Experiment_9|cell_2.98,11,30.6666666666667,6.0,11.3333333333333
holdout,Experiment_9,cell_2.99,Experiment_9|cell_2.99,15,42.0,11.0,24.6666666666667
