time_to_horizon_M,series,ara_coordinate
-3340.996267868691,horizon angular traversal,0.10678784436239705
-3332.996267868691,waveform Space/Connection,1.5416074978699232
-3332.996267868691,horizon radial closure,0.02272081794944618
-3332.996267868691,waveform Time/Traversal,0.07895484237432547
-3332.996267868691,horizon angular traversal,0.11133200795228629
-3325.496267868691,waveform Space/Connection,1.4762851462652655
-3325.496267868691,horizon radial closure,0.015052541891508094
-3325.496267868691,waveform Time/Traversal,0.08690712865663164
-3325.496267868691,horizon angular traversal,0.11559216131780745
-3317.496267868691,waveform Space/Connection,1.3842658335700084
-3317.496267868691,horizon radial closure,0.005680204487361545
-3317.496267868691,waveform Time/Traversal,0.09571144561204203
-3317.496267868691,horizon angular traversal,0.12013632490769667
-3309.496267868691,waveform Space/Connection,1.0712865663163873
-3309.496267868691,horizon radial closure,0.00028401022436807724
-3309.496267868691,waveform Time/Traversal,0.10621982391366089
-3309.496267868691,horizon angular traversal,0.12468048849758591
-3301.996267868691,waveform Space/Connection,0.7926725362113036
-3301.996267868691,horizon radial closure,0.011928429423459244
-3301.996267868691,waveform Time/Traversal,0.15109343936381708
-3301.996267868691,horizon angular traversal,0.12894064186310708
-3293.996267868691,waveform Space/Connection,0.08633910820789549
-3293.996267868691,horizon radial closure,0.021300766827605795
-3293.996267868691,waveform Time/Traversal,0.17551831865947173
-3293.996267868691,horizon angular traversal,0.13348480545299632
-3285.996267868691,waveform Space/Connection,0.0948594149389378
-3285.996267868691,horizon radial closure,0.030389094007384265
-3285.996267868691,waveform Time/Traversal,0.18034649247372905
-3285.996267868691,horizon angular traversal,0.13802896904288556
-3278.496267868691,waveform Space/Connection,0.6674240272649815
-3278.496267868691,horizon radial closure,0.039761431411530816
-3278.496267868691,waveform Time/Traversal,0.1797784720249929
-3278.496267868691,horizon angular traversal,0.14228912240840672
-3270.496267868691,waveform Space/Connection,1.0161885827889805
-3270.496267868691,horizon radial closure,0.04970178926441352
-3270.496267868691,waveform Time/Traversal,0.1661459812553252
-3270.496267868691,horizon angular traversal,0.14683328599829593
-3262.496267868691,waveform Space/Connection,1.2249360976995172
-3262.496267868691,horizon radial closure,0.0599261573416643
-3262.496267868691,waveform Time/Traversal,0.16018176654359556
-3262.496267868691,horizon angular traversal,0.15137744958818516
-3254.996267868691,waveform Space/Connection,1.3731894348196536
-3254.996267868691,horizon radial closure,0.06986651519454701
-3254.996267868691,waveform Time/Traversal,0.1488213575688725
-3254.996267868691,horizon angular traversal,0.15563760295370632
-3246.996267868691,waveform Space/Connection,1.4001704061346207
-3246.996267868691,horizon radial closure,0.08065890372053394
-3246.996267868691,waveform Time/Traversal,0.13547287702357286
-3246.996267868691,horizon angular traversal,0.16018176654359556
-3238.996267868691,waveform Space/Connection,1.3393922181198523
-3238.996267868691,horizon radial closure,0.09201931269525702
-3238.996267868691,waveform Time/Traversal,0.11758023288838398
-3238.996267868691,horizon angular traversal,0.1647259301334848
-3231.496267868691,waveform Space/Connection,1.2115876171542175
-3231.496267868691,horizon radial closure,0.10309571144561204
-3231.496267868691,waveform Time/Traversal,0.10905992615734167
-3231.496267868691,horizon angular traversal,0.16898608349900596
-3223.496267868691,waveform Space/Connection,1.073558648111332
-3223.496267868691,horizon radial closure,0.11559216131780745
-3223.496267868691,waveform Time/Traversal,0.11502414086907128
-3223.496267868691,horizon angular traversal,0.1735302470888952
-3215.496267868691,waveform Space/Connection,0.8943481965350752
-3215.496267868691,horizon radial closure,0.128656631638739
-3215.496267868691,waveform Time/Traversal,0.1198523146833286
-3215.496267868691,horizon angular traversal,0.17807441067878443
-3207.496267868691,waveform Space/Connection,0.6256745242828742
-3207.496267868691,horizon radial closure,0.143425163305879
-3207.496267868691,waveform Time/Traversal,0.12894064186310708
-3207.496267868691,horizon angular traversal,0.18261857426867367
-3199.996267868691,waveform Space/Connection,0.17807441067878443
-3199.996267868691,horizon radial closure,0.19255893212155636
-3199.996267868691,waveform Time/Traversal,0.14030105083783015
