replicate,shifted_di_ara_brier,improvement_over_child_state
177,0.08486671179969389,-0.011711559046294659
178,0.08230909720072281,-0.009153944447323578
179,0.08182467713344177,-0.008669524380042537
180,0.08129683879641371,-0.008141686043014476
181,0.08246054089175174,-0.009305388138352508
182,0.08172522750802994,-0.008570074754630702
183,0.08065557851512134,-0.007500425761722107
184,0.0811609999965359,-0.008005847243136674
185,0.07918728777279575,-0.00603213501939652
186,0.08193196993018531,-0.008776817176786078
187,0.08101250628941754,-0.00785735353601831
188,0.08232031740364827,-0.009165164650249039
189,0.08097226102830762,-0.007817108274908391
190,0.08267070274650525,-0.009515549993106012
191,0.08056604717448504,-0.007410894421085806
192,0.08090837361914649,-0.007753220865747257
193,0.0805047721873368,-0.007349619433937568
194,0.08229539561447197,-0.009140242861072734
195,0.08099554656304775,-0.007840393809648516
196,0.08101520719688163,-0.007860054443482395
197,0.08134735493762374,-0.008192202184224506
198,0.08115699586925103,-0.008001843115851795
199,0.08100538747199214,-0.007850234718592905
200,0.08258369872884118,-0.009428545975441946
201,0.08276747779861952,-0.00961232504522029
202,0.08273806603267682,-0.009582913279277586
203,0.08228292536488126,-0.009127772611482024
204,0.07950518471875755,-0.006350031965358313
205,0.08045621084258732,-0.007301058089188087
206,0.08052191766768213,-0.007366764914282897
207,0.0813910019745575,-0.008235849221158262
208,0.08097502255666014,-0.00781986980326091
209,0.08171891830969043,-0.008563765556291195
210,0.08235449468076425,-0.009199341927365018
211,0.08282870168282627,-0.00967354892942704
212,0.08315319002762805,-0.009998037274228821
213,0.0824728231413872,-0.009317670387987961
214,0.08214033134367131,-0.008985178590272078
215,0.08036306426416702,-0.007207911510767787
216,0.08022599430443605,-0.007070841551036822
217,0.0810336042544221,-0.00787845150102287
218,0.08038040444512587,-0.007225251691726636
219,0.08052271009437996,-0.0073675573409807266
220,0.08102700819873943,-0.007871855445340192
221,0.08339146613608575,-0.010236313382686518
222,0.08173225937786305,-0.008577106624463815
223,0.08209953126576772,-0.008944378512368484
224,0.08133412370581532,-0.008178970952416084
225,0.08156986882795295,-0.008414716074553713
226,0.07870799006180487,-0.005552837308405639
227,0.08285429299523366,-0.009699140241834422
228,0.08148187313144349,-0.008326720378044258
229,0.08053672061964351,-0.007381567866244276
230,0.0811703912313121,-0.00801523847791287
231,0.08096165779727033,-0.0078065050438710926
232,0.08026607086277349,-0.0071109181093742535
233,0.08276075524365094,-0.009605602490251705
234,0.08177787572047768,-0.008622722967078444
235,0.08459169568187579,-0.011436542928476554
236,0.07991616213733536,-0.006761009383936131
237,0.08230623524765934,-0.00915108249426011
238,0.08049053915385034,-0.007335386400451102
239,0.08042043898968881,-0.007265286236289581
240,0.08287776338452862,-0.009722610631129391
241,0.08220056255601514,-0.009045409802615909
242,0.07931820235954636,-0.006163049606147122
243,0.08230974826406391,-0.009154595510664679
244,0.0829317060518962,-0.00977655329849697
