run,field_g,time_us,detector,observed_share_residual,predicted_share_residual,baseline_share,native_bin_counts
EMU00066578,63.0,1.5149999856948853,87,7.461719506532752e-05,0.0004488009801310779,0.007757247211714334,1444
EMU00066578,63.0,1.5149999856948853,88,0.00013790305705723132,0.0006645690223034649,0.006907520671756328,1299
EMU00066578,63.0,1.5149999856948853,89,0.000540135539131209,0.0007756801394619637,0.010366983104936587,2011
EMU00066578,63.0,1.5149999856948853,90,0.0003723681963388268,0.0004913592008798952,0.007633055532474732,1476
EMU00066578,63.0,1.5149999856948853,91,0.00020380114954614108,0.0006306966225513393,0.008002300545369113,1513
EMU00066578,63.0,1.5149999856948853,92,0.00039223385762473736,0.0006159296722767902,0.009733867837290517,1867
EMU00066578,63.0,1.5149999856948853,93,0.00022581060594064478,0.00041469968236562324,0.008246053800839016,1562
EMU00066578,63.0,1.5149999856948853,94,0.00012613242110920408,0.00043864497922614594,0.009094206561941643,1700
EMU00066578,63.0,1.5149999856948853,95,0.0002562464177670639,0.0004088335724245708,0.010298329853419377,1946
EMU00066578,63.0,1.5149999856948853,96,0.00027529356906413893,0.0002808858020043871,0.007838604736020606,1496
EMU00066579,160.0,1.5149999856948853,1,0.0001952625759369022,-9.495939494052535e-05,0.010790232882921712,2026
EMU00066579,160.0,1.5149999856948853,2,-0.00018647692386653154,-0.00022627057247000937,0.011616597569115277,2108
EMU00066579,160.0,1.5149999856948853,3,4.766956216290495e-05,-0.00028257856694590235,0.011951788212000033,2213
EMU00066579,160.0,1.5149999856948853,4,-6.866767705804994e-05,-0.0003046203108400544,0.010376380839590244,1901
EMU00066579,160.0,1.5149999856948853,5,5.8376093910425184e-05,-0.0005098877010839207,0.013025533354374785,2413
EMU00066579,160.0,1.5149999856948853,6,3.834893672481979e-05,-0.0004279837874155552,0.011874352703508338,2197
EMU00066579,160.0,1.5149999856948853,7,-0.0002609713014103659,-0.000607007065040509,0.012385141018097366,2236
EMU00066579,160.0,1.5149999856948853,8,0.000372990086753398,-0.0006489960479214425,0.012689230328049368,2409
EMU00066579,160.0,1.5149999856948853,9,-0.00010606321685757009,-0.0005719619971228876,0.012279033258880072,2245
EMU00066579,160.0,1.5149999856948853,10,-0.00024086320577612098,-0.0005486253563614481,0.009518347277892157,1711
EMU00066579,160.0,1.5149999856948853,11,-0.0006623198894770699,-0.0008050852484914555,0.013008802199359135,2277
EMU00066579,160.0,1.5149999856948853,12,2.1892722995851474e-05,-0.0006926645506954141,0.013278907060113814,2453
EMU00066579,160.0,1.5149999856948853,13,-0.00010445854860577364,-0.0006832532532367842,0.01161049081104308,2122
EMU00066579,160.0,1.5149999856948853,14,-0.0002357672080195248,-0.0007730803108061815,0.011709265920233162,2116
EMU00066579,160.0,1.5149999856948853,15,-2.7499856624351587e-05,-0.0007131043057015554,0.013246965764174846,2438
EMU00066579,160.0,1.5149999856948853,16,-0.0007594714942490213,-0.0009891632549005993,0.01519352327681646,2662
EMU00066579,160.0,1.5149999856948853,17,-6.372458137885069e-05,-0.0008174744120057627,0.013093411445957949,2403
EMU00066579,160.0,1.5149999856948853,18,0.00019974190349194253,-0.0006575760262631775,0.012737766568786762,2386
EMU00066579,160.0,1.5149999856948853,19,-0.0004950401431230364,-0.0004823692164661787,0.010856975889361345,1911
EMU00066579,160.0,1.5149999856948853,20,-0.00034289144159903827,-0.0007271585168457958,0.0133075112057308,2391
EMU00066579,160.0,1.5149999856948853,21,-0.0002717824748062359,-0.000569186875620687,0.012189906373410005,2198
EMU00066579,160.0,1.5149999856948853,22,0.0001513895821836607,-0.0004548763382161507,0.012639717914088537,2359
EMU00066579,160.0,1.5149999856948853,23,2.9603901899911966e-06,-0.000500756868167644,0.01276103581422915,2354
EMU00066579,160.0,1.5149999856948853,24,-0.00026376792667966165,-0.0004551091358581798,0.0125018050691495,2257
EMU00066579,160.0,1.5149999856948853,25,0.00022276513423930694,-0.00015248508390191965,0.013387103375995206,2510
EMU00066579,160.0,1.5149999856948853,26,-0.00030775811279631395,-0.00026531335774144366,0.01325068884344563,2387
EMU00066579,160.0,1.5149999856948853,27,-0.0004118097511191278,-0.0002899633444358338,0.01258477979314163,2245
EMU00066579,160.0,1.5149999856948853,28,-5.1867139828368214e-05,0.00011923124056763441,0.013748491783992662,2526
EMU00066579,160.0,1.5149999856948853,29,-0.00045184124967886756,-5.725375066240502e-05,0.013958686850871765,2491
EMU00066579,160.0,1.5149999856948853,30,-8.425289024159566e-05,-0.00013455484386421752,0.011731263870314796,2148
EMU00066579,160.0,1.5149999856948853,31,0.0005024092208744477,0.0002782279931807678,0.014956449393738538,2851
EMU00066579,160.0,1.5149999856948853,32,0.0002827211987213637,0.00011918656039835383,0.013218702144100921,2490
EMU00066579,160.0,1.5149999856948853,33,7.820268818289206e-06,-0.00011693491741766221,0.012967644012054694,2393
EMU00066579,160.0,1.5149999856948853,34,-0.00016847874893134024,0.0004877397770134654,0.01085574999740633,1971
EMU00066579,160.0,1.5149999856948853,35,-7.166988158749041e-05,0.00028298453963819563,0.012922422219936412,2370
EMU00066579,160.0,1.5149999856948853,36,0.0003290352943671575,6.24589133107362e-05,0.012418694134940149,2351
EMU00066579,160.0,1.5149999856948853,37,0.0005398673667820521,0.0005799433482140194,0.013883339899044165,2660
EMU00066579,160.0,1.5149999856948853,38,0.0005755062236406181,0.00032727738032196403,0.012638537425539265,2437
EMU00066579,160.0,1.5149999856948853,39,0.00030586948720130215,6.985071987572613e-05,0.01270755060226596,2400
EMU00066579,160.0,1.5149999856948853,40,0.00011308190070307735,0.00047984702448347345,0.009516848965502697,1776
EMU00066579,160.0,1.5149999856948853,41,0.00019539200303179266,0.00026405268613458185,0.014477239147842547,2706
EMU00066579,160.0,1.5149999856948853,42,0.00023382492393242416,5.526460579446777e-05,0.01258439386419283,2364
EMU00066579,160.0,1.5149999856948853,43,0.0003487188741278062,0.00037105005399792835,0.011254914038980504,2140
EMU00066579,160.0,1.5149999856948853,44,-0.00029517191094782444,0.00014442753307212882,0.01375863944517583,2483
EMU00066579,160.0,1.5149999856948853,45,0.00032268865256761953,1.0026512105930461e-05,0.011053209408975013,2098
EMU00066579,160.0,1.5149999856948853,46,-0.0002866084009947364,0.00016117276934628295,0.011993264223144662,2159
EMU00066579,160.0,1.5149999856948853,47,0.0003927993360262755,4.367082978007217e-05,0.009578733807528016,1839
EMU00066579,160.0,1.5149999856948853,48,0.00013591050981635704,-0.0001316387723168963,0.011793057905528634,2200
EMU00066579,160.0,1.5149999856948853,49,9.014579291814154e-05,0.00019846313287815167,0.007766706586097718,1449
EMU00066579,160.0,1.5149999856948853,50,-0.0002688980946073567,0.0002385039919838611,0.009757850243177235,1750
EMU00066579,160.0,1.5149999856948853,51,-3.567244245389258e-05,0.00022655144760336178,0.006580338295781803,1207
EMU00066579,160.0,1.5149999856948853,52,-0.0002575876786069251,-6.662568298300555e-05,0.007989728115098724,1426
EMU00066579,160.0,1.5149999856948853,53,0.0003209004414327851,-6.7130386639521016e-06,0.009975968204358187,1899
EMU00066579,160.0,1.5149999856948853,54,0.00023970410058764182,0.00012089771913240284,0.006261583685775379,1199
EMU00066579,160.0,1.5149999856948853,55,0.00011497576199948588,-0.00018247138728475507,0.0066086246175586,1240
EMU00066579,160.0,1.5149999856948853,56,-0.000244154421662696,-0.00023668372056814032,0.010448844675153274,1882
EMU00066579,160.0,1.5149999856948853,57,5.076180724057546e-05,-1.4220538335451316e-05,0.007372309902126376,1369
EMU00066579,160.0,1.5149999856948853,58,-0.0004449792176153683,-0.00028346538387583243,0.006089550181421793,1041
EMU00066579,160.0,1.5149999856948853,59,-0.00013415917225399754,-0.0003549401087699561,0.009509243895041038,1729
EMU00066579,160.0,1.5149999856948853,60,-0.00023160544186720533,-0.00010940167993323048,0.008088457820883065,1449
EMU00066579,160.0,1.5149999856948853,61,-0.0002982273904068968,-0.0003232981150973951,0.006501290966386292,1144
EMU00066579,160.0,1.5149999856948853,62,-2.4224324084725843e-05,-0.0004028918649891644,0.009735489065849671,1791
EMU00066579,160.0,1.5149999856948853,63,-0.00044549308150754717,-9.987517138892817e-05,0.0073263389538133624,1269
EMU00066579,160.0,1.5149999856948853,64,-0.00022484987361991518,-0.000490990167426898,0.009274599094170274,1669
EMU00066579,160.0,1.5149999856948853,65,-0.0003415556240412374,-0.0003854527497913957,0.010063664882547405,1793
EMU00066579,160.0,1.5149999856948853,66,-0.00026261711079779947,-0.0001283541547575839,0.007978490772177764,1423
EMU00066579,160.0,1.5149999856948853,67,0.00010123973259486274,-0.000307119468273637,0.007945391689392395,1484
EMU00066579,160.0,1.5149999856948853,68,-0.00014131828907349743,-0.0002444108818879501,0.01024298563352246,1863
EMU00066579,160.0,1.5149999856948853,69,6.136233948433618e-05,-2.6225202445291027e-05,0.007649089063525017,1422
EMU00066579,160.0,1.5149999856948853,70,-0.0003116143030110381,-0.00011172113132662865,0.008466690892410523,1504
EMU00066579,160.0,1.5149999856948853,71,-0.00027912310431121336,-6.164680068712645e-05,0.010782037568185417,1937
EMU00066579,160.0,1.5149999856948853,72,-9.827347387465941e-05,8.908008690966076e-05,0.008340106197203927,1520
EMU00066579,160.0,1.5149999856948853,73,-0.0001462857804820526,0.0001723537698580515,0.006886152935151973,1243
EMU00066579,160.0,1.5149999856948853,74,4.4769323945982945e-05,0.00023372210936947125,0.009411649274400228,1744
EMU00066579,160.0,1.5149999856948853,75,0.00010078370871488291,0.00024401094878001158,0.0074849557517704095,1399
EMU00066579,160.0,1.5149999856948853,76,-0.00024423255663413336,0.00048642546270147866,0.009857896647728074,1773
EMU00066579,160.0,1.5149999856948853,77,-0.00018805132084236988,0.00048520828471720364,0.010202962531361551,1847
EMU00066579,160.0,1.5149999856948853,78,2.6265036379179325e-05,0.0003813352843135556,0.00547190495142074,1014
EMU00066579,160.0,1.5149999856948853,79,0.00013951184567393728,0.0007372580383279266,0.00969646483861507,1814
EMU00066579,160.0,1.5149999856948853,80,-7.129706589560983e-06,0.0007397990035174659,0.010824535155959223,1995
EMU00066579,160.0,1.5149999856948853,81,0.0002775381455812206,0.0004296028131081345,0.004597072129598392,899
EMU00066579,160.0,1.5149999856948853,82,-6.556205013122374e-07,0.0008801886510562766,0.009169694525205122,1691
EMU00066579,160.0,1.5149999856948853,83,7.660227420005009e-05,0.0008302873536209061,0.009585862142229392,1782
EMU00066579,160.0,1.5149999856948853,84,-0.00012098522679560714,0.0005953078218586127,0.008200150199006533,1490
EMU00066579,160.0,1.5149999856948853,85,0.0006027048807060757,0.0006945162044744198,0.0063974306757531895,1291
EMU00066579,160.0,1.5149999856948853,86,0.0003513178662561123,0.0008376599295397922,0.009593103985445122,1834
EMU00066579,160.0,1.5149999856948853,87,0.0002924438200176561,0.0005774172132591869,0.007737920826857767,1481
EMU00066579,160.0,1.5149999856948853,88,0.0003905439485268102,0.0007214549263048141,0.006880704526463023,1341
EMU00066579,160.0,1.5149999856948853,89,0.0001660578603863757,0.0008950155127316854,0.010407345962305775,1950
EMU00066579,160.0,1.5149999856948853,90,0.000254481981393182,0.0006168073498935911,0.007640326206216957,1456
EMU00066579,160.0,1.5149999856948853,91,0.000175097850678662,0.0006736971330045657,0.00796371196360899,1501
EMU00066579,160.0,1.5149999856948853,92,0.00020778735486162714,0.0007031524476289087,0.00975290127195144,1837
EMU00066579,160.0,1.5149999856948853,93,0.00039751790217038875,0.0005318340953351468,0.008294362265919621,1603
EMU00066579,160.0,1.5149999856948853,94,7.561175529757942e-05,0.0004650647207861397,0.009109693924518063,1694
EMU00066579,160.0,1.5149999856948853,95,0.0006177743139084806,0.0004858108079749154,0.0103514543698383,2023
EMU00066579,160.0,1.5149999856948853,96,0.00019797513714205767,0.00038056168433909393,0.00784323402647459,1483
EMU00066580,400.0,1.5149999856948853,1,0.00013247812661828888,-0.00018484387065333964,0.010746764452261649,2004
EMU00066580,400.0,1.5149999856948853,2,-1.0427231361844966e-05,-0.0003035758432426937,0.011584551571767047,2132
EMU00066580,400.0,1.5149999856948853,3,-0.00029062285711180594,-0.0003538614911389824,0.011935321126421919,2145
EMU00066580,400.0,1.5149999856948853,4,0.00016881853667337354,-0.0003657373728046736,0.010368411925205847,1941
EMU00066580,400.0,1.5149999856948853,5,-1.9963125556458905e-05,-0.0005645634100983264,0.01297299346148836,2386
EMU00066580,400.0,1.5149999856948853,6,0.00043991307807869987,-0.00048658661285222666,0.011867094370185181,2267
EMU00066580,400.0,1.5149999856948853,7,1.869159276320087e-05,-0.0006332030330686103,0.012364318548167507,2281
EMU00066580,400.0,1.5149999856948853,8,0.00013759862295620144,-0.0006775055108518193,0.01271771396526121,2368
EMU00066580,400.0,1.5149999856948853,9,2.3598927697333558e-05,-0.0006127248195373988,0.012229120882947387,2257
EMU00066580,400.0,1.5149999856948853,10,7.09803052352364e-05,-0.0005554486270851188,0.009537931553356326,1770
EMU00066580,400.0,1.5149999856948853,11,-1.2267578215645336e-05,-0.000811249608278313,0.013008728024242876,2394
EMU00066580,400.0,1.5149999856948853,12,2.3528312336037333e-05,-0.0007156357019487384,0.013266085376834665,2448
EMU00066580,400.0,1.5149999856948853,13,-2.7004100748252366e-05,-0.0006722379705776806,0.01162284349620112,2136
EMU00066580,400.0,1.5149999856948853,14,0.0001132829680160121,-0.0007614099475012357,0.011705135741675417,2177
EMU00066580,400.0,1.5149999856948853,15,0.00028096794016425897,-0.0007266836899208562,0.013171508661863927,2478
EMU00066580,400.0,1.5149999856948853,16,-0.0007107262393257572,-0.0009335344589946963,0.015140380318498847,2658
EMU00066580,400.0,1.5149999856948853,17,-0.00015267192985629618,-0.0007954317618831347,0.013105702265788197,2386
EMU00066580,400.0,1.5149999856948853,18,-0.00013704784121119397,-0.0006674655143493731,0.012710064713808965,2316
EMU00066580,400.0,1.5149999856948853,19,-0.0002226332673937164,-0.00046361134621334337,0.010863010240749343,1960
EMU00066580,400.0,1.5149999856948853,20,-0.00034772174054460356,-0.000697494730844976,0.013327895895286086,2391
EMU00066580,400.0,1.5149999856948853,21,8.802999313830412e-05,-0.0005784225635778324,0.012191833636315997,2262
EMU00066580,400.0,1.5149999856948853,22,0.00011181261664423674,-0.00043003548094085355,0.012662068515144433,2353
EMU00066580,400.0,1.5149999856948853,23,-1.5924724337897447e-05,-0.00048474176283429737,0.012751804509793154,2346
EMU00066580,400.0,1.5149999856948853,24,-0.0005257308944245677,-0.00046993425569387474,0.01242558106054474,2192
EMU00066580,400.0,1.5149999856948853,25,0.00035988521585775084,-0.0001498745638684494,0.01339660215683774,2534
EMU00066580,400.0,1.5149999856948853,26,-0.0006078350984895231,-0.0002692989807281624,0.01327314095503987,2333
EMU00066580,400.0,1.5149999856948853,27,0.00020432367793819448,-0.00031790931635231843,0.012623845091469636,2363
EMU00066580,400.0,1.5149999856948853,28,0.00010046815375418239,9.196851521606675e-05,0.013726593147846217,2547
EMU00066580,400.0,1.5149999856948853,29,-0.00032459377509068583,-9.08352117308592e-05,0.013923646998690607,2505
EMU00066580,400.0,1.5149999856948853,30,-0.00012523544697836536,-0.00017760727099088043,0.011634214622240575,2120
EMU00066580,400.0,1.5149999856948853,31,0.0001158415018438011,0.0002197037259457104,0.014938120409949645,2773
EMU00066580,400.0,1.5149999856948853,32,0.00018930735137515087,6.682177854164632e-05,0.013203452849271958,2467
EMU00066580,400.0,1.5149999856948853,33,-0.00015547140187725794,-0.00017140205266465088,0.012945638824951675,2356
EMU00066580,400.0,1.5149999856948853,34,-0.0005457047672762887,0.00040001932766829445,0.010854927151155032,1899
EMU00066580,400.0,1.5149999856948853,35,0.0001296666237154548,0.00019618099232541342,0.012910223932407105,2402
