model,replicate,time,native,ara_fixed_lineage,causal_state_space,repeated_reselection,compressed_parent
Open two-level probability,0,4.5225,-0.051951669675126405,-0.050108557531561695,-0.1491770712706056,-0.050108557531561695,-0.027266484734059286
Open two-level probability,0,4.6125,-0.06290603074740922,-0.06947858404780619,-0.0925157911932083,-0.06947858404780619,-0.034524780229691875
Open two-level probability,0,4.7025,-0.07387577023084362,-0.052741098983285495,-0.0032219974438097154,-0.052741098983285495,-0.03365503839073025
Open two-level probability,0,4.7925,-0.08455537175618397,-0.02724506967293261,-0.024577993476324528,-0.02724506967293261,-0.035666462094697426
Open two-level probability,0,4.8825,-0.09465386550077814,-0.011735997206794201,-0.02993619200344949,-0.011735997206794201,-0.029728486562950282
Open two-level probability,0,4.9725,-0.1039020363486501,-0.02013268925624903,-0.05628701073760409,-0.02013268925624903,-0.02531749716652179
Open two-level probability,0,5.0625,-0.11205890838564399,-0.04441463184422096,-0.07077378507089065,-0.04441463184422096,-0.018350636488669223
Open two-level probability,0,5.1525,-0.11891735391879676,-0.05388075315173019,-0.0525123673578242,-0.05388075315173019,-0.008062844414531159
Open two-level probability,0,5.2425,-0.12430870125650224,-0.05891664089525803,-0.09379319164445511,0.05953938704399218,0.0003113730743670752
Open two-level probability,0,5.3325000000000005,-0.1281062442104538,-0.0608441315111311,-0.11259868757287277,0.028451911470458318,-0.016196110020336392
Open two-level probability,0,5.4225,-0.13022758687844901,-0.08589424297740215,-0.17937928185148538,-0.024392569377869888,-0.05514340617763602
Open two-level probability,0,5.5125,-0.13063578890490335,-0.1336805313727573,-0.15373662795532728,-0.1336805313727573,-0.09077347877819861
Open two-level probability,0,5.6025,-0.12933930825098125,-0.1349418963160429,-0.1432596830828561,-0.1349418963160429,-0.08914915536191009
Open two-level probability,0,5.6925,-0.12639076970988403,-0.12047518479127645,-0.11590574497991292,-0.12047518479127645,-0.06906126291007136
Open two-level probability,0,5.7825,-0.12188461718108107,-0.10215060755107527,-0.16255031456505684,0.020899038914519205,-0.040625784318278034
Open two-level probability,0,5.8725000000000005,-0.11595373533077033,-0.11724737864793573,-0.15518924483051094,0.03455016055567634,-0.04134860904612969
Open two-level probability,0,5.9625,-0.10876515104772361,-0.12565723173529242,-0.1825238416446677,0.0016210289461820071,-0.06201810139455521
Open two-level probability,0,6.0525,-0.10051494647522512,-0.13773403959128225,-0.10481687938818371,-0.02232702488365761,-0.08003053223746993
Open two-level probability,0,6.1425,-0.09142253288349982,-0.12516691415670356,-0.05163510387788688,-0.012559966392489392,-0.06886344027459647
Open two-level probability,0,6.2325,-0.0817244478766438,-0.10286591423600368,-0.07076093565927571,0.013902028859497593,-0.04448194268825304
Open two-level probability,0,6.3225,-0.07166784715567784,-0.09714275827574446,-0.08603331831207334,0.035072253976849994,-0.031035252149447235
Open two-level probability,0,6.4125000000000005,-0.06150386615911752,-0.09164110889261752,-0.025691896514393867,0.04006617494908631,-0.025787466971765604
Open two-level probability,0,6.5025,-0.05148102637120103,-0.09333008811540729,-0.10515688410514006,0.03305542427007016,-0.030137331922668563
Open two-level probability,0,6.5925,-0.04183885604241424,-0.11245927138987229,-0.10736638399302863,-0.0018302795768260927,-0.05714477548334919
Open two-level probability,0,6.6825,-0.03280188573830578,-0.10307673006948793,0.0020444830504497188,-0.005017730806710794,-0.054047230438099364
Open two-level probability,0,6.7725,-0.024574165857628727,-0.07099317022711955,-0.05231835701174353,-0.07099317022711955,-0.04055407498829223
Open two-level probability,0,6.8625,-0.01733443647113902,-0.057140038052378626,0.025998230824626052,-0.02075006109859184,-0.03894504957548523
Open two-level probability,0,6.952500000000001,-0.011232060040871586,-0.056451296399706405,-0.0880301381644209,-0.013267149915410373,-0.03485922315755839
Open two-level probability,0,7.0425,-0.006383805365679875,-0.04723550184564854,0.04253901219954497,0.008315982154218261,-0.01945975984571514
Open two-level probability,0,7.1325,-0.002871547091373633,-0.020655257377423315,0.05796432290591462,0.005958183457177153,-0.007348536960123081
Open two-level probability,0,7.2225,-0.0007409199844866362,-0.0062570338545756415,-0.041296059140493994,-0.014798779533001448,-0.010527906693788544
Open two-level probability,0,7.3125,-9.415736854495937e-07,0.01921036107295276,0.015325470894007803,0.000631363304028725,0.009920862188490743
Open two-level probability,0,7.4025,-0.0006245913850068415,0.0093681439419599,0.05036953723276156,-0.004821121316510497,0.0022735113127247014
Open two-level probability,0,7.4925,-0.002550310488784167,-0.016127484623980497,-0.036562706301518484,-0.01702960368676877,-0.016578544155374634
Open two-level probability,0,7.5825000000000005,-0.005684362052575724,-0.04702948016605753,-0.09501888273176724,-0.04702948016605753,-0.028213644317397427
Open two-level probability,0,7.6725,-0.009903972618782068,-0.04850804791037053,0.005487247471403958,-0.04850804791037053,-0.02207020282144927
Open two-level probability,0,7.7625,-0.015061155395520446,-0.03541834224762758,-0.02550052441971733,-0.03541834224762758,-0.013200390067560559
Open two-level probability,0,7.8525,-0.020987101385310025,-0.02568468983662008,-0.03544212349155059,-0.02568468983662008,-0.013894448512797336
Open two-level probability,0,7.9425,-0.027497012012652047,-0.014098855844549757,0.041820704864889945,-0.014098855844549757,-0.011989999759192665
Open two-level probability,0,8.0325,-0.03439523829019224,0.008600441756043894,-0.0075239148829151755,0.008600441756043894,-0.013140027552233879
Open two-level probability,0,8.1225,-0.041480586628267195,0.003483761730686677,-0.07046312409795306,-0.009469756208146631,-0.002992997238729977
Open two-level probability,0,8.2125,-0.04855165019002988,-0.036278969924938176,-0.06852575527677314,0.028709103953415534,-0.003784932985761321
Open two-level probability,0,8.3025,-0.055412027172118024,-0.05267483582176216,-0.07429306451843773,-0.05267483582176216,-0.019541471127278474
Open two-level probability,0,8.3925,-0.06187529340293566,-0.04437688779635124,-0.07547836245523011,-0.00857906876075414,-0.02647797827855269
Open two-level probability,0,8.4825,-0.06776960596274446,-0.04491343860474482,-0.06900683956169572,-0.02914838371578373,-0.037030911160264274
Open two-level probability,0,8.5725,-0.07294182682735735,-0.043889780330793715,-0.07420303232312135,-0.014971213435876343,-0.02943049688333503
Open two-level probability,0,8.6625,-0.07726107043543089,-0.03696305200488058,-0.05779445101447972,-0.014073364624624003,-0.02551820831475229
Open two-level probability,0,8.7525,-0.080621596134532,-0.05534804529672516,-0.14632684549542802,-0.015355289374579289,-0.035351667335652225
Open two-level probability,0,8.8425,-0.08294498518367713,-0.0912110933778514,-0.07440950793746333,-0.0912110933778514,-0.05108331774940051
Open two-level probability,0,8.932500000000001,-0.08418156185801938,-0.08167600610011688,-0.05808730600184116,-0.08167600610011688,-0.03501288012200257
Open two-level probability,0,9.0225,-0.08431103867482799,-0.07877598339210544,-0.025513647910295496,-0.07877598339210544,-0.024229776109550336
Open two-level probability,0,9.1125,-0.08334238629525459,-0.062460725031280126,-0.061912775344408096,-0.062460725031280126,-0.020735725959636513
Open two-level probability,0,9.2025,-0.08131294872048937,-0.06395888801842962,-0.09758878897541846,0.0008149010253653857,-0.03157199349653212
Open two-level probability,0,9.2925,-0.07828684348470913,-0.05856287547307566,-0.05784494097998372,-0.012272844005558711,-0.03541785973931719
Open two-level probability,0,9.3825,-0.07435270417836674,-0.07754475877067286,-0.06600298364810568,-0.07754475877067286,-0.039981926000067745
Open two-level probability,0,9.4725,-0.0696208383896369,-0.09620093478551772,-0.14855280764662085,-0.09620093478551772,-0.036064308320211375
Open two-level probability,0,9.5625,-0.06421988766303159,-0.1037007069763539,-0.08703274755907281,-0.1037007069763539,-0.040557356748828856
Open two-level probability,0,9.6525,-0.05829308704237347,-0.08939213162721797,-0.059673977002330944,-0.08939213162721797,-0.04206159093221778
Open two-level probability,0,9.7425,-0.05199422996303027,-0.07953042007116011,-0.08089669111697737,-0.07953042007116011,-0.04709431384691219
Open two-level probability,0,9.8325,-0.04548344953493991,-0.07676080545545264,-0.053407155123370756,-0.0047372333496379275,-0.04074901940254528
Open two-level probability,0,9.9225,-0.03892292954184322,-0.06318284058242893,-0.025485231647277753,0.028453477283914955,-0.01736468164925699
Open two-level probability,0,10.012500000000001,-0.03247265778073918,-0.05774979359799078,0.016720829455789524,0.022604147116650892,-0.017572823240669944
Open two-level probability,0,10.102500000000001,-0.026286330763467466,-0.053801349131693925,-0.05913817026233992,0.019822966509833752,-0.016989191310930088
Open two-level probability,0,10.1925,-0.02050751245731067,-0.05049903965371404,-0.03771137854578737,0.022392875540971323,-0.014053082056371357
Open two-level probability,0,10.2825,-0.015266140878930414,-0.03170251856773812,0.07532624542495012,0.01677135381667887,-0.007465582375529625
Open two-level probability,0,10.3725,-0.010675465261295033,-0.009008105311071778,0.0374826415528213,0.0017212579703594338,-0.0036434236703561723
Open two-level probability,0,10.4625,-0.006829483523485129,-0.007652953745237917,-0.02876109771910744,-0.008439572586365,-0.008046263165801457
Open two-level probability,0,10.5525,-0.003800935266891866,-0.01863537988033982,-0.02029159476875357,-0.010222366206571132,-0.014428873043455475
Open two-level probability,0,10.6425,-0.0016398899077291998,-0.04269234585808916,-0.04962435520084925,-0.04269234585808916,-0.026789798086438683
Open two-level probability,0,10.7325,-0.0003729532639017115,-0.053460179936523515,-0.007572500007780408,-0.053460179936523515,-0.02528525711373781
Open two-level probability,0,10.8225,-3.0993810607138834e-06,-0.033844239114636035,-0.0016924817395863063,-0.033844239114636035,-0.017527491647714513
Open two-level probability,0,10.9125,-0.0005101180416277624,-0.012457758346323818,-0.01848840626837203,-0.012457758346323818,-0.006706053362875656
Open two-level probability,0,11.0025,-0.0018516526705304956,-0.0029467571523178176,-0.06389273794169811,0.029167661652070444,0.013110452249876312
Open two-level probability,0,11.0925,-0.003964788626103963,-0.023308153293007346,-0.0143683537786955,0.05000114377395008,0.013346495240471368
Open two-level probability,0,11.182500000000001,-0.006768138503007506,-0.006011529905039182,0.07783402575794361,0.029253280336316027,0.011620875215638423
Open two-level probability,0,11.2725,-0.010164359391740619,-0.004689282003728679,-0.030912810619352464,-0.017293339229895666,-0.010991310616812173
Open two-level probability,0,11.3625,-0.014043027301553494,0.003393970364026386,0.02133793230261992,-0.04446110959401345,-0.02053356961499353
Open two-level probability,0,11.4525,-0.018283786369125005,0.005103705243741969,-0.026838705367043154,-0.04127258578431692,-0.018084440270287473
Open two-level probability,0,11.5425,-0.02275968519281253,-0.0013132696768407195,0.011922997581318961,-0.009672068280073196,-0.005492668978456958
Open two-level probability,0,11.6325,-0.027340609737133075,0.002254078285944433,0.02618178657329133,0.01657929486796109,0.009416686576952762
Open two-level probability,0,11.7225,-0.03189672176626719,0.0017965491297220345,-0.002161832717615263,-0.0047950616869173015,-0.0014992562785976335
Open two-level probability,0,11.8125,-0.03630181364776315,0.017155835969859073,0.009317888367140788,-0.027435521279567242,-0.0051398426548540845
Open two-level probability,0,11.9025,-0.04043649451682536,-0.003091015654322506,0.009311494834772435,-0.015479666164696248,-0.009285340909509377
Open two-level probability,0,11.9925,-0.0441911290497226,-0.01720105248912429,-0.05390840699567459,0.020813670276306047,0.001806308893590878
Open two-level probability,0,12.0825,-0.04746845825297796,-0.04045714396881728,-0.09332631226498969,0.036025753375285324,-0.0022156952967659765
Open two-level probability,0,12.1725,-0.0501858414795816,-0.0490913905604363,-0.0023831842263098875,0.011129690649173784,-0.01898084995563126
Open two-level probability,0,12.262500000000001,-0.052277070043987656,-0.04051669473113125,-0.09487036900030629,-0.007725085960652665,-0.02412089034589196
Open two-level probability,0,12.352500000000001,-0.05369371500495261,-0.035365579650021954,-0.008108662568981875,-0.016868445624545213,-0.026117012637283582
Open two-level probability,0,12.4425,-0.05440598458044349,-0.03667584514802953,-0.06928052520908534,-0.009305030214133063,-0.022990437681081298
Open two-level probability,0,12.5325,-0.05440307990244523,-0.04393544355127448,-0.03132222109004427,0.008862642381687524,-0.017536400584793478
Open two-level probability,0,12.6225,-0.053693051060849505,-0.03455422159608145,-0.03265096069772377,0.011047523983759109,-0.011753348806161171
Open two-level probability,0,12.7125,-0.05230216828188238,-0.025644397785202683,0.06730567734348163,-0.020739542592284357,-0.02319197018874352
Open two-level probability,0,12.8025,-0.05027383531146389,-0.0007366549954516105,-0.05473353371461813,-0.014009612311031792,-0.007373133653241701
Open two-level probability,0,12.8925,-0.047667083325873875,-0.03268105479159479,-0.07185243016639985,-0.003937735844650535,-0.018309395318122663
Open two-level probability,0,12.9825,-0.04455469370140499,-0.06772197501843055,-0.09277838264592188,-0.06772197501843055,-0.024787626866323326
Open two-level probability,0,13.0725,-0.04102100650978476,-0.0878430098278165,-0.08834517249048109,-0.0878430098278165,-0.017004934210339964
Open two-level probability,0,13.1625,-0.03715947847883059,-0.08886229685486619,-0.11288903762489946,-0.08886229685486619,-0.02909274418742571
Open two-level probability,0,13.2525,-0.03307005922708855,-0.05062481103681341,0.06366126556527528,-0.05062481103681341,-0.024028884383161333
Open two-level probability,0,13.342500000000001,-0.028856457755958888,-0.024907063703458403,-0.07929758150327405,-0.024907063703458403,-0.02002611866301555
Open two-level probability,0,13.432500000000001,-0.024623372422968515,-0.02794446383891665,-0.039221972769275894,0.015115558323970515,-0.006414452757473068
Open two-level probability,0,13.5225,-0.020473756936343568,-0.04148933270261907,-0.018922258938481568,0.010720538988807288,-0.015384396856905892
Open two-level probability,0,13.6125,-0.016506192364365534,-0.047878661679013224,-0.032440116229072447,-0.047878661679013224,-0.025078179243045597
Open two-level probability,0,13.7025,-0.01281243085055135,-0.04677265067974116,-0.02395922835190347,-0.01670961806645586,-0.03174113437309851
Open two-level probability,0,13.7925,-0.00947517081796209,-0.028289389445401623,0.0073170708313746325,-0.025646207233048363,-0.026967798339224993
Open two-level probability,0,13.8825,-0.006566116121603524,-0.009802713348553144,-0.013846968393893978,-0.0044777986942082515,-0.007140256021380698
Open two-level probability,0,13.9725,-0.004144363088112188,-0.01137139574629592,0.014532320446719144,0.01230780099264071,0.0004682026231723948
Open two-level probability,0,14.0625,-0.002255149913933306,-0.02368026731773114,-0.045317917416307224,0.02603767950521986,0.0011787060937443593
Open two-level probability,0,14.1525,-0.0009289927432541766,-0.040717213610682305,-0.07939720759196749,0.002065598981588758,-0.019325807314546774
Open two-level probability,0,14.2425,-0.00018122219305659887,-0.0399427336373418,0.008610107522674505,-0.013338968739956955,-0.026640851188649377
Open two-level probability,0,14.3325,-1.1923417067563954e-05,-0.013334306208794068,-0.006081216916831658,-0.003349202713931448,-0.008341754461362759
Open two-level probability,0,14.4225,-0.0004062722822623743,0.006841730239235333,-0.021247391709075948,-0.017622164883363475,-0.005390217322064071
Open two-level probability,0,14.512500000000001,-0.001335250139764115,-6.787121529817561e-05,-0.0641385169126225,6.664416698438144e-05,-6.135241568970876e-07
Open two-level probability,0,14.602500000000001,-0.0027567102583228973,-0.003965702938513008,0.057007134933673556,0.024501705771085125,0.010268001416286058
Open two-level probability,0,14.6925,-0.004616760481719889,0.000907851538581863,-0.025578345144032247,0.029197770266280575,0.01505281090243122
Open two-level probability,0,14.7825,-0.006851419271525769,0.0068072536756092015,-0.001489258313774066,0.021812033264668452,0.014309643470138828
Open two-level probability,0,14.8725,-0.009388496170640743,0.0026971754183279626,-0.03908672983103576,0.011500287076337521,0.007098731247332742
Open two-level probability,0,14.9625,-0.012149643001236955,-0.008599992239936495,-0.004841471678861141,-0.002954269403570128,-0.005777130821753311
Open two-level probability,0,15.0525,-0.01505251888414105,-0.006060083494304535,-0.002660586089147895,-0.01180436586540525,-0.008932224679854892
Open two-level probability,0,15.1425,-0.018013010485617632,-0.010473818111882449,-0.012125780257033723,-0.01852122696222709,-0.014497522537054771
Open two-level probability,0,15.2325,-0.020947448771088145,-0.009069409530712766,-0.054717889210637534,-0.0188014954290334,-0.013935452479873083
Open two-level probability,0,15.3225,-0.02377476494222848,-0.01850648979955734,-0.053267318522888935,-0.019916035010072886,-0.019211262404815112
Open two-level probability,0,15.4125,-0.02641853108406933,-0.03453288622554867,-0.06636647934251969,0.008273342648992179,-0.013129771788278245
Open two-level probability,0,15.5025,-0.0288088352460372,-0.04203256682442444,0.019040920553137265,0.008884453582240059,-0.01657405662109219
Open two-level probability,0,15.592500000000001,-0.030883946086664827,-0.037415127476397914,-0.019538944029675973,0.00249148401584834,-0.017461821730274787
Open two-level probability,0,15.682500000000001,-0.03259172865910042,-0.018104148576495827,0.027353359240359535,-0.02753896446597103,-0.02282155652123343
Open two-level probability,0,15.7725,-0.033890780213430144,-0.014472859455980994,-0.037648059640585624,-0.034355268336180037,-0.024414063896080515
Open two-level probability,0,15.8625,-0.03475126283425425,-0.0193135428160721,-0.0030946578332433413,-0.018401501201203076,-0.018857522008637585
Open two-level probability,0,15.9525,-0.03515541809794497,-0.025523533579116228,-0.038217439104329815,-0.0004114804172275072,-0.012967506998171868
Open two-level probability,0,16.0425,-0.0350977574975043,-0.028316873234904723,-0.05119834340829512,0.0226462353942793,-0.0028353189203127113
Open two-level probability,0,16.1325,-0.03458493091779908,-0.03340272633318531,-0.006577564991091928,0.0054029444601608355,-0.013999890936512238
Open two-level probability,0,16.2225,-0.03363528372980612,-0.019807243180492304,-0.020021477339362458,-0.008272572980427623,-0.014039908080459964
Open two-level probability,0,16.3125,-0.0322781209003408,-0.02249309648711369,-0.03624318853564677,-0.02153365379601443,-0.02201337514156406
Open two-level probability,0,16.4025,-0.030552703691059526,-0.028594551344483337,-0.02530969445364619,0.013924493598192261,-0.007335028873145538
Open two-level probability,0,16.4925,-0.02850701087594244,-0.03535708618544444,-0.011386485706671477,0.027772431673907416,-0.003792327255768512
Open two-level probability,0,16.5825,-0.026196301793697214,-0.022639918318340065,0.012355760011975594,0.02131475952157452,-0.0006625793983827729
Open two-level probability,0,16.6725,-0.023681522852616557,-0.03363012954588046,-0.08121099492058714,0.0015528762075308344,-0.016038626669174813
Open two-level probability,0,16.7625,-0.021027602233166645,-0.03521117928939913,-0.08905572127403277,-0.0284772451488853,-0.031844212219142215
Open two-level probability,0,16.8525,-0.018301679433093264,-0.04620126278301475,-0.047289814844233995,-0.042500747960664526,-0.04435100537183964
Open two-level probability,0,16.9425,-0.015571316949249224,-0.03826709246553597,0.025013823462869535,-0.02538946129876622,-0.0318282768821511
Open two-level probability,0,17.0325,-0.012902740800665637,-0.0026356835577992506,0.10538112002725158,-0.0035883320287315415,-0.003112007793265396
Open two-level probability,0,17.1225,-0.010359154811450506,0.004259520268662699,-0.07259837996522107,0.026007322320672918,0.015133421294667809
Open two-level probability,0,17.212500000000002,-0.00799917066276062,-0.00809180405421087,0.016379953637556614,0.03510651670738809,0.01350735632658861
Open two-level probability,0,17.302500000000002,-0.005875391790686156,-0.0182612567801956,0.005171450883282583,0.04335954012232486,0.01254914167106463
Open two-level probability,0,17.392500000000002,-0.004033184375999457,-0.01757193004808993,-0.04820534728049942,0.0010279561135835792,-0.008271986967253175
Open two-level probability,0,17.4825,-0.002509663087437887,-0.032131172088280445,-0.02387171175440363,-0.031414224209995095,-0.031772698149137774
Open two-level probability,0,17.5725,-0.0013329130638683477,-0.010242764813393625,0.0006393956922628727,-0.03636766109580783,-0.023305212954600727
Open two-level probability,0,17.6625,-0.0005214630254319276,0.0019187821860664025,0.03866050585752268,-0.02714399349201163,-0.012612605652972614
Open two-level probability,0,17.7525,-8.401756968402786e-05,0.006376295930259123,0.00381848872011101,-0.002172891470168968,0.002101702230045077
Open two-level probability,0,17.8425,-1.9449818108023966e-05,-0.0054204323215795965,-0.05103975334369823,0.023303232495852106,0.008941400087136255
Open two-level probability,0,17.9325,-0.0003170488108748416,-0.005097021771184628,0.05026441349421177,0.031050190629311147,0.01297658442906326
Open two-level probability,0,18.0225,-0.0009570095758466191,0.005345797136299274,0.039369401550220215,0.002491288602394318,0.0039185428693467965
Open two-level probability,0,18.1125,-0.001911147782586871,0.0013766504102785907,0.06356962821329062,-0.008060382689323287,-0.0033418661395223483
Open two-level probability,0,18.2025,-0.003143815479142632,0.018724801042105475,0.03481910255722012,-0.005202122587947328,0.006761339227079073
Open two-level probability,0,18.2925,-0.004612989725372407,0.017520504731467684,-0.07500081707447857,-0.011777331997778378,0.0028715863668446534
Open two-level probability,0,18.3825,-0.006271502086676336,0.006250342176589915,-0.0775377398657956,-0.006721790718512068,-0.00023572427096107615
Open two-level probability,0,18.4725,-0.008068374017275478,-0.031214420444897934,-0.05717472144093766,-0.031214420444897934,-0.016552552357294078
Open two-level probability,0,18.5625,-0.009950221198315264,-0.029141220958990757,0.020446454486619664,-0.029141220958990757,-0.021100649878973553
Open two-level probability,0,18.6525,-0.011862688932287372,-0.01053919859746194,0.027789569780210445,-0.01053919859746194,-0.003852101374940264
Open two-level probability,0,18.7425,-0.01375188073427929,0.003569786544761692,0.035153437573179604,0.03298537576150135,0.018277581153131522
Open two-level probability,0,18.8325,-0.01556574327905202,0.026361833574793558,0.0020406854835809136,0.026361833574793558,0.023655187950198206
Open two-level probability,0,18.9225,-0.01725537281274621,0.01148942158072993,-0.08135959466719116,-0.017735084783148235,-0.0031228316012091523
Open two-level probability,0,19.0125,-0.018776210947918853,-0.015668127695359437,-0.11366854137622848,-0.03145278214440941,-0.02356045491988442
Open two-level probability,0,19.1025,-0.020089101338718513,-0.04482308572295545,-0.03308708444380179,-0.04482308572295545,-0.030874724114072213
Open two-level probability,0,19.1925,-0.021161182969572853,-0.048240505954094036,-0.07525053926465929,-0.048240505954094036,-0.029184623664593377
Open two-level probability,0,19.2825,-0.021966600561436633,-0.04141340753776597,-0.0043768925233469745,0.013087343554237853,-0.01416303199176406
Open two-level probability,0,19.3725,-0.0224870177690136,-0.025814744354333178,-0.029480548717329635,0.009712538485005357,-0.00805110293466391
Open two-level probability,0,19.462500000000002,-0.02271192426769553,-0.00793824396668092,0.010802886152005654,-0.0053850128101096875,-0.006661628388395304
Open two-level probability,0,19.552500000000002,-0.0226387333640758,0.008760723066910267,0.07145399952792758,0.0012767516303568253,0.005018737348633546
Open two-level probability,0,19.642500000000002,-0.022272672263023246,0.004560860491517268,-0.03441646760718242,0.016734255555562995,0.010647558023540131
Open two-level probability,0,19.7325,-0.021626472445850572,-0.0033317053001345226,0.03313554319321462,0.0022632015565712538,-0.0005342518717816344
Open two-level probability,0,19.8225,-0.020719872624230275,-0.006661043827110378,-0.009914708597949464,-0.00915940719122526,-0.007910225509167819
Open two-level probability,0,19.9125,-0.01957895131040101,-0.02790289621423418,-0.0967278915791586,-0.02790289621423418,-0.012698634338259896
Resistive capacitor coupling,0,1.2024,-0.009465189362346419,-0.025516100122143944,0.008468410521216985,-0.0763997697231707,-0.038458642496043825
Resistive capacitor coupling,0,1.2551999999999999,-0.007247957406596825,-0.009304133497672982,-0.01207053419856647,-0.10459762930905614,-0.03922676697589608
Resistive capacitor coupling,0,1.3079999999999998,-0.005550114694675265,-0.040919915583709394,-0.08994900485978835,-0.11511798350807112,-0.05587081695050325
Resistive capacitor coupling,0,1.3607999999999998,-0.004249993673529787,-0.0644795757897398,0.013704986279857057,-0.05757343373548701,-0.0428383428832474
Resistive capacitor coupling,0,1.4136,-0.0032544275602757614,-0.07276267901948416,-0.06823498373954007,-0.020659708053187457,-0.03826954327135629
Resistive capacitor coupling,0,1.4664,-0.0024920740026152456,-0.04877119309689211,-0.026128717906097245,-0.0407168270090362,-0.034242583779477594
Resistive capacitor coupling,0,1.5191999999999999,-0.0019083026798066048,-0.022770368073810568,-0.018097599655505007,-0.0411816997772263,-0.022828118936687954
Resistive capacitor coupling,0,1.5719999999999998,-0.0014612804892373081,-0.011849199378773817,-0.04116175690385137,-0.021119754978056814,-0.013433483471291523
Resistive capacitor coupling,0,1.6247999999999998,-0.0011189737827344843,-0.023573608195830233,0.017068957250567823,-0.02655973233856282,-0.023187367279685303
Resistive capacitor coupling,0,1.6775999999999998,-0.0008568528326143907,-0.032242730883845536,-0.1282018746028059,-0.0034221554420968423,-0.013896314236280731
Resistive capacitor coupling,0,1.7304,-0.0006561340293113448,-0.0328675387823997,0.1441396463416343,-0.02490555679278234,-0.017222790891112092
Resistive capacitor coupling,0,1.7832,-0.0005024338463196328,-0.004011301813369823,-0.05043824442601913,-0.06330608141422857,-0.018040016833853378
