model,snr_db,noise_family,injection_mode,replicate,relative_time_index,native_other,estimated_other,absolute_error
Resistive capacitor coupling,12,white,q_and_g,0,90,-0.12241843443209909,-0.10942444290005536,0.012993991532043725
Resistive capacitor coupling,12,white,q_and_g,0,91,-0.12094224271601499,-0.13119301713504283,0.010250774419027844
Resistive capacitor coupling,12,white,q_and_g,0,92,-0.11948385176656166,-0.03504168631773672,0.08444216544882494
Resistive capacitor coupling,12,white,q_and_g,0,94,-0.11661961614851613,-0.10706445261346881,0.009555163535047317
Resistive capacitor coupling,12,white,q_and_g,0,95,-0.11521334991018378,-0.21498347698107895,0.09977012707089516
Resistive capacitor coupling,12,white,q_and_g,0,97,-0.11245148564477811,-0.07047373636417825,0.04197774928059986
Resistive capacitor coupling,12,white,q_and_g,0,98,-0.11109548111539289,-0.16101617886984126,0.04992069775444838
Resistive capacitor coupling,12,white,q_and_g,0,99,-0.1097558280665877,0.037318565113147066,0.14707439317973475
Resistive capacitor coupling,12,white,q_and_g,0,101,-0.10712479008623682,-0.06252488574978833,0.04459990433644849
Resistive capacitor coupling,12,white,q_and_g,0,102,-0.10583301790791944,-0.266608976814798,0.16077595890687857
Resistive capacitor coupling,12,white,q_and_g,0,103,-0.1045568226596415,0.032909480531525856,0.13746630319116737
Resistive capacitor coupling,12,white,q_and_g,0,105,-0.10205041387599657,-0.18026537087241098,0.07821495699641441
Resistive capacitor coupling,12,white,q_and_g,0,106,-0.10081983143728508,-0.09106355137947024,0.009756280057814842
Resistive capacitor coupling,12,white,q_and_g,0,107,-0.09960408806762716,-0.13708502988407645,0.03748094181644929
Resistive capacitor coupling,12,white,q_and_g,0,109,-0.09721640494117728,-0.0017480128705074753,0.0954683920706698
Resistive capacitor coupling,12,white,q_and_g,0,110,-0.09604411375556142,-0.03270329219564596,0.06334082155991547
Resistive capacitor coupling,12,white,q_and_g,0,112,-0.09374176940144936,-0.15639898597413826,0.0626572165726889
Resistive capacitor coupling,12,white,q_and_g,0,113,-0.09261137736463361,0.08055044262704548,0.1731618199916791
Resistive capacitor coupling,12,white,q_and_g,0,114,-0.09149461624352441,-0.04084054505875788,0.05065407118476653
Resistive capacitor coupling,12,white,q_and_g,0,116,-0.08930133125287892,0.036571518813561674,0.1258728500664406
Resistive capacitor coupling,12,white,q_and_g,0,117,-0.08822448456681949,-0.11198468152784659,0.023760196961027102
Resistive capacitor coupling,12,white,q_and_g,0,118,-0.08716062311590722,-0.23634929241438765,0.14918866929848043
Resistive capacitor coupling,12,white,q_and_g,0,120,-0.08507123147403607,-0.16426238756937153,0.07919115609533546
Resistive capacitor coupling,12,white,q_and_g,0,121,-0.0840453937579958,-0.018797225893856646,0.06524816786413916
Resistive capacitor coupling,12,white,q_and_g,0,123,-0.08203067957883926,-0.24928190050641547,0.16725122092757622
Resistive capacitor coupling,12,white,q_and_g,0,124,-0.08104150658197169,-0.05313776728363816,0.027903739298333535
Resistive capacitor coupling,12,white,q_and_g,0,125,-0.08006426160060708,0.017780425099291165,0.09784468669989824
Resistive capacitor coupling,12,white,q_and_g,0,127,-0.07814498207941266,-0.02684329279642342,0.05130168928298924
Resistive capacitor coupling,12,white,q_and_g,0,128,-0.07720266505228912,-0.12438094351375469,0.047178278461465564
Resistive capacitor coupling,12,white,q_and_g,0,129,-0.07627171102450327,-0.009017798689482201,0.06725391233502107
Resistive capacitor coupling,12,white,q_and_g,0,131,-0.07444334553296836,-0.07652187649457139,0.0020785309616030284
Resistive capacitor coupling,12,white,q_and_g,0,132,-0.07354566496301859,-0.09363753364679958,0.02009186868378099
Resistive capacitor coupling,12,white,q_and_g,0,133,-0.07265880914039725,-0.14141871202569917,0.06875990288530191
Resistive capacitor coupling,12,white,q_and_g,0,135,-0.07091705118710227,-0.058600008614936576,0.012317042572165697
Resistive capacitor coupling,12,white,q_and_g,0,136,-0.07006189269747477,-0.03440360969337559,0.035658283004099185
Resistive capacitor coupling,12,white,q_and_g,0,138,-0.0683823873453719,-0.04397600044679316,0.02440638689857874
Resistive capacitor coupling,12,white,q_and_g,0,139,-0.06755779328653116,-0.16490997006883187,0.09735217678230071
Resistive capacitor coupling,12,white,q_and_g,0,140,-0.0667431426559366,-0.10998730526590304,0.04324416260996644
Resistive capacitor coupling,12,white,q_and_g,0,142,-0.0651431935111022,-0.23342873159632915,0.16828553808522695
Resistive capacitor coupling,12,white,q_and_g,0,143,-0.06435765950990001,-0.1741510241520767,0.10979336464217669
Resistive capacitor coupling,12,white,q_and_g,0,144,-0.06358159792835961,-0.08303221347942756,0.019450615551067946
Resistive capacitor coupling,12,white,q_and_g,0,146,-0.06205743650615774,-0.07511225897187859,0.013054822465720851
Resistive capacitor coupling,12,white,q_and_g,0,147,-0.06130911233327657,-0.07774826423436312,0.01643915190108655
Resistive capacitor coupling,12,white,q_and_g,0,148,-0.06056981188259931,-0.05575590389985022,0.00481390798274909
Resistive capacitor coupling,12,white,q_and_g,0,150,-0.059117848207111044,-0.12836317480655315,0.0692453265994421
Resistive capacitor coupling,12,white,q_and_g,0,151,-0.05840497127643555,-0.1994762559434047,0.14107128466696917
Resistive capacitor coupling,12,white,q_and_g,0,153,-0.05700490259328213,0.031777271312311756,0.08878217390559388
Resistive capacitor coupling,12,white,q_and_g,0,154,-0.05631750477305381,-0.15496640507765733,0.09864890030460352
Resistive capacitor coupling,12,white,q_and_g,0,155,-0.0556383959901145,-0.05161367045886556,0.0040247255312489405
Resistive capacitor coupling,12,white,q_and_g,0,157,-0.05430464692553654,-0.047006695904578386,0.007297951020958156
Resistive capacitor coupling,12,white,q_and_g,0,158,-0.05364981033733609,-0.1711648864121636,0.1175150760748275
Resistive capacitor coupling,12,white,q_and_g,0,159,-0.05300287014440793,0.13970941709120127,0.1927122872356092
Resistive capacitor coupling,12,white,q_and_g,0,161,-0.05173229921551893,-0.16907026101963857,0.11733796180411964
Resistive capacitor coupling,12,white,q_and_g,0,162,-0.051108481471808964,0.12687364330039563,0.1779821247722046
Resistive capacitor coupling,12,white,q_and_g,0,164,-0.04988332233229793,-0.1349509414882834,0.08506761915598547
Resistive capacitor coupling,12,white,q_and_g,0,165,-0.049281800612637774,0.07625213862482216,0.12553393923745992
Resistive capacitor coupling,12,white,q_and_g,0,166,-0.048687532386977365,0.10160879391829913,0.1502963263052765
Resistive capacitor coupling,12,white,q_and_g,0,168,-0.047520407605212055,-0.09667979085377143,0.049159383248559375
Resistive capacitor coupling,12,white,q_and_g,0,169,-0.04694737926697864,-0.010875886981111282,0.036071492285867354
Resistive capacitor coupling,12,white,q_and_g,0,170,-0.046381260833204534,-0.1527489827252751,0.10636772189207055
Resistive capacitor coupling,12,white,q_and_g,0,172,-0.04526942138942878,-0.05355272690604457,0.00828330551661579
Resistive capacitor coupling,12,white,q_and_g,0,173,-0.04472353673441744,-0.13704571055710724,0.0923221738226898
Resistive capacitor coupling,12,white,q_and_g,0,174,-0.04418423466976024,-0.10537105806828394,0.061186823398523695
Resistive capacitor coupling,12,white,q_and_g,0,176,-0.043125061762073445,-0.07538885377595995,0.03226379201388651
Resistive capacitor coupling,12,white,q_and_g,0,177,-0.04260503502570718,0.09119067736378758,0.13379571238949475
Resistive capacitor coupling,12,white,q_and_g,0,179,-0.041583718278510935,0.0710420387059796,0.11262575698449054
Resistive capacitor coupling,12,white,q_and_g,0,180,-0.04108227794616649,-0.014794241304873338,0.026288036641293155
Resistive capacitor coupling,12,white,q_and_g,0,181,-0.040586884269035034,-0.014836024238658312,0.025750860030376722
Resistive capacitor coupling,12,white,q_and_g,0,183,-0.03961394610349958,0.05878037792000273,0.09839432402350232
Resistive capacitor coupling,12,white,q_and_g,0,184,-0.039136258414135906,-0.02379192861126691,0.015344329802868997
Resistive capacitor coupling,12,white,q_and_g,0,185,-0.03866433095698872,0.03438220571943859,0.07304653667642731
Resistive capacitor coupling,12,white,q_and_g,0,187,-0.03773747973619546,-0.23780858923516085,0.2000711094989654
Resistive capacitor coupling,12,white,q_and_g,0,188,-0.03728241955485191,-0.09187172408202914,0.054589304527177224
Resistive capacitor coupling,12,white,q_and_g,0,189,-0.036832846750251426,0.04870200904218615,0.08553485579243758
Resistive capacitor coupling,12,white,q_and_g,0,191,-0.03594989938944653,-0.006186350786728511,0.029763548602718022
Resistive capacitor coupling,12,white,q_and_g,0,192,-0.035516394877491655,-0.06915898312433831,0.033642588246846655
Resistive capacitor coupling,12,white,q_and_g,0,194,-0.034665005156381594,-0.025479370008146603,0.009185635148234991
Resistive capacitor coupling,12,white,q_and_g,0,195,-0.03424699463625639,-0.017361329836402987,0.016885664799853404
Resistive capacitor coupling,12,white,q_and_g,0,196,-0.03383402472680326,0.12790844829812,0.16174247302492328
Resistive capacitor coupling,12,white,q_and_g,0,198,-0.03302296434256253,0.05686109407806073,0.08988405842062326
Resistive capacitor coupling,12,white,q_and_g,0,199,-0.0326247544926394,-0.027293671918640558,0.005331082573998842
Resistive capacitor coupling,12,white,q_and_g,0,200,-0.03223134648554688,-0.05455526076727145,0.022323914281724568
Resistive capacitor coupling,12,white,q_and_g,0,202,-0.0314587050845831,0.21588660981443253,0.24734531489901562
Resistive capacitor coupling,12,white,q_and_g,0,203,-0.031079357970236855,-0.030220561070411843,0.0008587968998250116
Resistive capacitor coupling,12,white,q_and_g,0,205,-0.030334331736413565,-0.008873525818986379,0.021460805917427186
Resistive capacitor coupling,12,white,q_and_g,0,206,-0.029968542960973215,-0.2211266944462968,0.19115815148532359
Resistive capacitor coupling,12,white,q_and_g,0,207,-0.029607165076446815,-0.03751604082188588,0.007908875745439064
Resistive capacitor coupling,12,white,q_and_g,0,209,-0.028897429865307214,-0.07401924086411012,0.0451218109988029
Resistive capacitor coupling,12,white,q_and_g,0,210,-0.028548968077005625,0.13568402382546021,0.16423299190246585
Resistive capacitor coupling,12,white,q_and_g,0,211,-0.028204708240866308,-0.13036316556577088,0.10215845732490457
Resistive capacitor coupling,12,white,q_and_g,0,213,-0.02752859235787735,-0.17799406480101074,0.15046547244313338
Resistive capacitor coupling,12,white,q_and_g,0,214,-0.027196636797567533,0.10604164772268766,0.13323828452025518
Resistive capacitor coupling,12,white,q_and_g,0,215,-0.026868684147852963,0.07666481972016329,0.10353350386801624
Resistive capacitor coupling,12,white,q_and_g,0,217,-0.02622459508469943,0.10633189910927619,0.13255649419397564
Resistive capacitor coupling,12,white,q_and_g,0,218,-0.025908363871636746,0.02440191641334556,0.0503102802849823
Resistive capacitor coupling,12,white,q_and_g,0,220,-0.025287295354767966,0.03534912881603888,0.06063642417080685
Resistive capacitor coupling,12,white,q_and_g,0,221,-0.02498236663959486,-0.038244684738269495,0.013262318098674637
Resistive capacitor coupling,12,white,q_and_g,0,222,-0.024681114929812484,-0.09505354273166533,0.07037242780185285
Resistive capacitor coupling,12,white,q_and_g,0,224,-0.02408946570332829,-0.08212291979314475,0.05803345408981646
Resistive capacitor coupling,12,white,q_and_g,0,225,-0.023798981105309095,-0.1301293405576294,0.1063303594523203
Resistive capacitor coupling,12,white,q_and_g,0,226,-0.023511999337229195,-0.0891553388908057,0.0656433395535765
Resistive capacitor coupling,12,white,q_and_g,0,228,-0.02294837584369863,0.010408454510566118,0.033356830354264747
Resistive capacitor coupling,12,white,q_and_g,0,229,-0.02267165116187106,-0.0021941828487653126,0.02047746831310575
Resistive capacitor coupling,12,white,q_and_g,0,230,-0.02239826338501899,-0.021495022685934312,0.0009032406990846786
Resistive capacitor coupling,12,white,q_and_g,0,232,-0.021861338078199514,-0.07766352857826647,0.05580219050006696
Resistive capacitor coupling,12,white,q_and_g,0,233,-0.02159772152140182,0.033976412117458714,0.05557413363886053
Resistive capacitor coupling,12,white,q_and_g,0,235,-0.021079986594584352,-0.011676068496550748,0.009403918098033604
Resistive capacitor coupling,12,white,q_and_g,0,236,-0.02082579202225178,-9.091818347242383e-05,0.020734873838779356
Resistive capacitor coupling,12,white,q_and_g,0,237,-0.020574662673908492,-0.12461478352689521,0.10404012085298672
Resistive capacitor coupling,12,white,q_and_g,0,239,-0.02008145224598373,-0.17687225928138392,0.1567908070354002
Resistive capacitor coupling,12,white,q_and_g,0,240,-0.019839298573704065,-0.10010544732898892,0.08026614875528486
Resistive capacitor coupling,12,white,q_and_g,0,241,-0.019600064929332722,-0.180371706391391,0.16077164146205827
Resistive capacitor coupling,12,white,q_and_g,0,243,-0.019130217303426886,0.09961250685488192,0.1187427241583088
Resistive capacitor coupling,12,white,q_and_g,0,244,-0.018899534167825513,-0.026419802339707393,0.00752026817188188
Resistive capacitor coupling,12,white,q_and_g,0,246,-0.01844647948196124,-0.10819018290025156,0.08974370341829033
Open two-level probability,12,white,q_and_g,0,0,-0.04156456039515532,0.02218824227372751,0.06375280266888284
Open two-level probability,12,white,q_and_g,0,40,-0.058118170283864214,-0.06547920316180678,0.007361032877942562
Open two-level probability,12,white,q_and_g,0,81,-0.07657173486724063,-0.18253064542544506,0.10595891055820443
Open two-level probability,12,white,q_and_g,0,122,-0.0958292262619305,-0.12116521387566948,0.02533598761373898
Open two-level probability,12,white,q_and_g,0,163,-0.11517609042467694,0.006606223230586017,0.12178231365526296
Open two-level probability,12,white,q_and_g,0,204,-0.13391347789297284,-0.1817073542825418,0.04779387638956897
Open two-level probability,12,white,q_and_g,0,245,-0.15138125880299308,-0.07702888674945163,0.07435237205354145
Open two-level probability,12,white,q_and_g,0,286,-0.16697915814679168,-0.055976692234946834,0.11100246591184484
Open two-level probability,12,white,q_and_g,0,327,-0.18018535052732057,-0.06273378797586332,0.11745156255145725
Open two-level probability,12,white,q_and_g,0,368,-0.1905719555250356,-0.1949602568140943,0.004388301289058677
Open two-level probability,12,white,q_and_g,0,408,-0.19767952671203826,-0.24108166814456464,0.04340214143252638
Open two-level probability,12,white,q_and_g,0,449,-0.20165826852412455,-0.17864364259773297,0.023014625926391585
Open two-level probability,12,white,q_and_g,0,490,-0.20219835110579928,-0.07787760171140354,0.12432074939439575
Open two-level probability,12,white,q_and_g,0,531,-0.19932513075040792,-0.25790504989999563,0.05857991914958771
Open two-level probability,12,white,q_and_g,0,572,-0.19317826515876305,-0.25203184092540126,0.058853575766638216
Open two-level probability,12,white,q_and_g,0,613,-0.18400413432725019,-0.2134252770705462,0.02942114274329602
Open two-level probability,12,white,q_and_g,0,654,-0.17214487673323067,-0.25727439093654325,0.08512951420331258
Open two-level probability,12,white,q_and_g,0,695,-0.1580244938735419,-0.11704470075509588,0.04097979311844602
Open two-level probability,12,white,q_and_g,0,736,-0.14213256299690397,-0.1895766675420934,0.047444104545189436
Open two-level probability,12,white,q_and_g,0,776,-0.12543417227773346,-0.21497923602873392,0.08954506375100046
Open two-level probability,12,white,q_and_g,0,817,-0.10764816739365354,-0.17642421431480293,0.06877604692114939
Open two-level probability,12,white,q_and_g,0,858,-0.08975312363475918,-0.06914144980352643,0.020611673831232746
Open two-level probability,12,white,q_and_g,0,899,-0.07231269837916467,0.010332340189885159,0.08264503856904983
Open two-level probability,12,white,q_and_g,0,940,-0.055861547419440966,0.005217441179988347,0.06107898859942931
Open two-level probability,12,white,q_and_g,0,981,-0.04088813469933731,-0.022075528019265267,0.018812606680072043
Open two-level probability,12,white,q_and_g,0,1022,-0.027819525043337085,0.03221233808223384,0.06003186312557092
Open two-level probability,12,white,q_and_g,0,1063,-0.017008619344312338,-0.0491292330015885,0.03212061365727616
Open two-level probability,12,white,q_and_g,0,1104,-0.00872419819724735,-0.02023598254595574,0.01151178434870839
Open two-level probability,12,white,q_and_g,0,1144,-0.003247120785640345,0.14203637891280801,0.14528349969844837
Open two-level probability,12,white,q_and_g,0,1185,-0.00038610141478836064,0.02273476279254006,0.02312086420732842
Open two-level probability,12,white,q_and_g,0,1226,-0.0003019020523224895,0.00982973141790107,0.010131633470223559
Open two-level probability,12,white,q_and_g,0,1267,-0.0028924980727060567,-0.15175469612632683,0.14886219805362078
Open two-level probability,12,white,q_and_g,0,1308,-0.007969247122823006,-0.017646062737517537,0.009676815614694531
Open two-level probability,12,white,q_and_g,0,1349,-0.015265396790400093,-0.13050802517683513,0.11524262838643504
Open two-level probability,12,white,q_and_g,0,1390,-0.024446994774351544,-0.04737794814710683,0.022930953372755285
Open two-level probability,12,white,q_and_g,0,1431,-0.035125775146107846,-0.020753075561756984,0.014372699584350862
Open two-level probability,12,white,q_and_g,0,1472,-0.04687353885505355,-0.009062080928940064,0.037811457926113484
Open two-level probability,12,white,q_and_g,0,1512,-0.05893223473027988,-0.004850955168392068,0.05408127956188781
Open two-level probability,12,white,q_and_g,0,1553,-0.07145254252991926,0.03672232996694602,0.10817487249686528
Open two-level probability,12,white,q_and_g,0,1594,-0.08368371166489402,-0.1169112492918562,0.03322753762696218
Open two-level probability,12,white,q_and_g,0,1635,-0.09519232290351175,-0.12803026247737614,0.0328379395738644
Open two-level probability,12,white,q_and_g,0,1676,-0.10558052964075658,-0.13914408388084065,0.03356355424008407
Open two-level probability,12,white,q_and_g,0,1717,-0.1144984858003773,-0.11636530175313953,0.0018668159527622241
Open two-level probability,12,white,q_and_g,0,1758,-0.121654850759501,-0.08153257400950858,0.040122276749992414
Open two-level probability,12,white,q_and_g,0,1799,-0.12682506789808332,-0.09327888583878655,0.03354618205929677
Open two-level probability,12,white,q_and_g,0,1839,-0.1298094297211835,-0.1603630111354814,0.030553581414297898
Open two-level probability,12,white,q_and_g,0,1880,-0.13068169971406615,-0.13658033910465536,0.005898639390589211
Open two-level probability,12,white,q_and_g,0,1921,-0.12933930825098125,-0.1402752901343306,0.01093598188334935
Open two-level probability,12,white,q_and_g,0,1962,-0.12585543132482432,-0.04356403642411388,0.08229139490071044
Open two-level probability,12,white,q_and_g,0,2003,-0.12037351476339413,-0.1020100672279328,0.018363447535461333
Open two-level probability,12,white,q_and_g,0,2044,-0.11310068468732862,0.017229485759304997,0.13033017044663361
Open two-level probability,12,white,q_and_g,0,2085,-0.10429919064614118,-0.10393956115141503,0.00035962949472614913
Open two-level probability,12,white,q_and_g,0,2126,-0.0942762179664524,-0.1343071344390957,0.0400309164726433
Open two-level probability,12,white,q_and_g,0,2167,-0.08337245198430585,-0.04398841959228994,0.039384032392015905
Open two-level probability,12,white,q_and_g,0,2208,-0.07194980897965854,-0.044961560614308504,0.026988248365350034
Open two-level probability,12,white,q_and_g,0,2248,-0.06065985845901438,0.07971170889015389,0.14037156734916828
Open two-level probability,12,white,q_and_g,0,2289,-0.049297244510589894,0.03535037091147958,0.08464761542206947
Open two-level probability,12,white,q_and_g,0,2330,-0.03849452222327255,0.033084352611820744,0.07157887483509329
Open two-level probability,12,white,q_and_g,0,2371,-0.028575053400826386,0.03172231267794773,0.06029736607877412
Open two-level probability,12,white,q_and_g,0,2412,-0.019824730767757516,-0.1316221809180942,0.11179745015033668
Open two-level probability,12,white,q_and_g,0,2453,-0.012483340941888087,0.01011972750271184,0.022603068444599927
Open two-level probability,12,white,q_and_g,0,2494,-0.006737691104494812,0.18621868522151735,0.19295637632601217
Open two-level probability,12,white,q_and_g,0,2535,-0.0027166850898140845,0.0678384223090114,0.07055510739882548
Open two-level probability,12,white,q_and_g,0,2576,-0.0004884645869792808,0.06711072982033331,0.06759919440731259
Open two-level probability,12,white,q_and_g,0,2616,-4.901084196940248e-05,-0.12257625575458592,0.12252724491261652
Open two-level probability,12,white,q_and_g,0,2657,-0.0013245772878750434,-0.0010585787665289836,0.0002659985213460598
Open two-level probability,12,white,q_and_g,0,2698,-0.0042389182344047165,-0.0979439151325888,0.09370499689818408
Open two-level probability,12,white,q_and_g,0,2739,-0.008631067646402962,0.12220386708895034,0.1308349347353533
Open two-level probability,12,white,q_and_g,0,2780,-0.014294884686279105,-0.049978731578589175,0.03568384689231007
Open two-level probability,12,white,q_and_g,0,2821,-0.020987101385310025,-0.0319089688749733,0.010921867489663274
Open two-level probability,12,white,q_and_g,0,2862,-0.02843641098436056,-0.10030267038535756,0.071866259400997
Open two-level probability,12,white,q_and_g,0,2903,-0.036353266041274805,-0.08175854797695936,0.045405281935684556
Open two-level probability,12,white,q_and_g,0,2944,-0.04444003998774406,-0.09344245277019231,0.04900241278244825
Open two-level probability,12,white,q_and_g,0,2984,-0.05221077939158286,-0.01586864170652519,0.036342137685057674
Open two-level probability,12,white,q_and_g,0,3025,-0.05977594988701585,-0.23448234350300667,0.17470639361599083
Open two-level probability,12,white,q_and_g,0,3066,-0.06667556026215178,-0.05484068963735955,0.01183487062479223
Open two-level probability,12,white,q_and_g,0,3107,-0.0726757586711647,-0.1615518730018779,0.0888761143307132
