model,snr_db,method,replicates,median_sign_accuracy,q05_sign_accuracy,q95_sign_accuracy,median_correlation,q05_correlation,q95_correlation,median_nrmse,q05_nrmse,q95_nrmse,median_integrated_error,q05_integrated_error,q95_integrated_error
Open two-level probability,12,zero_other,32,0.0,0.0,0.0,0.0,0.0,0.0,0.2960076164651898,0.2960076164651898,0.2960076164651898,1.0,1.0,1.0
Open two-level probability,6,ara_fixed_lineage,32,0.8311688311688312,0.8029738377564465,0.8622811970638058,0.639571493114446,0.584064385010192,0.7008622689365113,0.22531279419245062,0.2083115529425128,0.2454885220537915,0.11928479387278335,0.07080724429125138,0.16925006821947727
Open two-level probability,6,causal_state_space,32,0.7830792396009787,0.7385846038019951,0.8038019951063429,0.6080800928558996,0.55311522730255,0.6608062583600973,0.28877148397835295,0.2612364878967289,0.31950922982267077,0.05556504945816318,0.01805807865067622,0.07609003479972948
Open two-level probability,6,compressed_parent,32,0.7932429888951629,0.7462638810464898,0.8180406549971767,0.5093822991628083,0.43006477607835975,0.596411849712424,0.21471692848516305,0.19821984585501246,0.22574455586492598,0.43958268904534814,0.4098300437310525,0.4699672093011557
Open two-level probability,6,repeated_reselection,32,0.6357048748353096,0.5713062300018822,0.6869753434970826,0.42142813962404757,0.14277684231894275,0.5583903016534296,0.3154331851750006,0.27799878205704315,0.36043771811191766,0.4301902560492207,0.22309834346381985,0.6842468583529662
Open two-level probability,6,zero_other,32,0.0,0.0,0.0,0.0,0.0,0.0,0.2960076164651898,0.2960076164651898,0.2960076164651898,1.0,1.0,1.0
Open two-level probability,0,ara_fixed_lineage,32,0.7352719744024092,0.6749105966497271,0.7750894033502729,0.4577351102189554,0.3591065282149051,0.533237104456081,0.3776838000326244,0.33957345116108467,0.42020458585589504,0.12394436608724786,0.05707950289216397,0.2029936011676524
Open two-level probability,0,causal_state_space,32,0.725202333897986,0.6952380952380952,0.7518633540372671,0.5063403218555751,0.41333904094598306,0.561608884076857,0.3936257946398122,0.35944021054827147,0.4227041039238513,0.07445819651789395,0.015573348800661704,0.12313709982613566
Open two-level probability,0,compressed_parent,32,0.676171654432524,0.6358648597779033,0.7313758705063053,0.3199750137347446,0.19209516940043153,0.4237594809975838,0.3170184273550323,0.29173599760110785,0.34569312174449296,0.43813855743581537,0.3639834439764548,0.4832928318206428
Open two-level probability,0,repeated_reselection,32,0.570111048371918,0.5067476002258611,0.6101825710521362,0.17691820343720613,-0.021412346555851763,0.3847571428108854,0.5099180966277632,0.46267429914895886,0.5556224173659733,0.5572713552807889,0.3181500889534314,0.8682859815445713
Open two-level probability,0,zero_other,32,0.0,0.0,0.0,0.0,0.0,0.0,0.2960076164651898,0.2960076164651898,0.2960076164651898,1.0,1.0,1.0
Open two-level probability,-6,ara_fixed_lineage,32,0.6367400715226803,0.5892151326933935,0.6854413702239789,0.2390276437678712,0.12942521086485567,0.3900934108698342,0.7463209648517024,0.6790181896228528,0.859170810814754,0.10214502509510826,0.01873257314991626,0.2611058326018769
Open two-level probability,-6,causal_state_space,32,0.6586674195369848,0.6264539808018069,0.707716920760399,0.32471882360473897,0.2207644608110344,0.4568525709013848,0.6349029557616359,0.5394173247270503,0.7217127230556935,0.050517460491947705,0.002803200238817905,0.1740869133355171
Open two-level probability,-6,compressed_parent,32,0.5868624129493695,0.5442781855825334,0.6300677583286279,0.15731550027313043,0.0335587943280579,0.27230760326960823,0.5811898124090493,0.4918214299548543,0.6576425936246955,0.46461253135212266,0.30697486069490826,0.5829771384780014
Open two-level probability,-6,repeated_reselection,32,0.5399962356484096,0.49089026915113876,0.5824769433465086,0.06878849212288313,-0.08444279608826996,0.2162035975600358,0.929231632986909,0.8473618923817127,1.0207577491031816,0.5764966510424238,0.264353590712023,0.9586242472536834
Open two-level probability,-6,zero_other,32,0.0,0.0,0.0,0.0,0.0,0.0,0.2960076164651898,0.2960076164651898,0.2960076164651898,1.0,1.0,1.0
Resistive capacitor coupling,24,ara_fixed_lineage,32,1.0,1.0,1.0,0.8416016069135641,0.7956302213598773,0.8747632490044521,1.293787574734902,1.194067673280821,1.4005332118648364,15.749558516168017,13.716003719701959,16.950182250896
Resistive capacitor coupling,24,causal_state_space,32,0.5222672064777327,0.4704453441295547,0.5825910931174089,0.01658729718921195,-0.020328001017865884,0.06031565312595974,6.245106145850814,5.851309987770289,6.838248825149264,1.1127212110987672,0.11227952089566906,2.563025030624769
Resistive capacitor coupling,24,compressed_parent,32,1.0,0.9726720647773279,1.0,0.7959409612748594,0.7453990623801122,0.8372977850313932,0.6504638114326349,0.5730678614496433,0.7150649926720847,7.281364595867376,6.328409331766844,8.287686152050167
Resistive capacitor coupling,24,repeated_reselection,32,1.0,0.8502024291497976,1.0,0.7741664023028969,0.6814425150456969,0.8119904594790787,1.3559002124951869,1.2135750518474357,1.5352544017035463,12.6540864551753,9.019002112999218,17.042930603411087
Resistive capacitor coupling,24,zero_other,32,0.0,0.0,0.0,0.0,0.0,0.0,0.09628175098185249,0.09628175098185249,0.09628175098185249,1.0,1.0,1.0
Resistive capacitor coupling,18,ara_fixed_lineage,32,1.0,0.8987854251012146,1.0,0.6352472693362524,0.5286084543148967,0.7362017439273377,1.78444205975363,1.5679831682915675,2.0105587860881817,16.349741231122433,12.20685755497655,20.92048183227584
Resistive capacitor coupling,18,causal_state_space,32,0.5182186234817814,0.44655870445344126,0.6010121457489879,0.02799010174830771,-0.03832601924385061,0.08109898589840801,7.3927294184108,6.611630539421589,7.986253600505456,1.6493290953990554,0.0993362039518651,4.613804292900629
Resistive capacitor coupling,18,compressed_parent,32,1.0,0.8384615384615385,1.0,0.5996893791765139,0.4581497702665617,0.6780968357817231,1.0037093207663708,0.8439702847631214,1.1519561153159874,8.081692725590418,5.20811304246394,10.395059377098404
Resistive capacitor coupling,18,repeated_reselection,32,0.9554655870445343,0.6688259109311742,1.0,0.4923363249650605,0.28796870754149967,0.6119885193258472,2.041484912084841,1.8185295357813607,2.422004870341778,13.62173336537203,5.342238118104757,19.744897878672376
Resistive capacitor coupling,18,zero_other,32,0.0,0.0,0.0,0.0,0.0,0.0,0.09628175098185249,0.09628175098185249,0.09628175098185249,1.0,1.0,1.0
Resistive capacitor coupling,12,ara_fixed_lineage,32,0.8967611336032388,0.7580971659919028,1.0,0.33485686511840695,0.20687675868014502,0.46827774365249447,2.901378982369451,2.614380241302181,3.3289471823010337,14.045426526844007,6.569525095428668,20.892440549778094
Resistive capacitor coupling,12,causal_state_space,32,0.5263157894736842,0.42813765182186236,0.6119433198380567,0.0022504173968873374,-0.08498894655012926,0.07875977290922176,9.018781726078654,8.255310038885877,9.946485950220522,2.752524757326703,0.5141629413556134,7.661444274762672
Resistive capacitor coupling,12,compressed_parent,32,0.8643724696356275,0.6196356275303644,0.9977732793522267,0.28440668261002633,0.06584582295997532,0.4461858709631611,1.643741095208214,1.4640130984895718,1.8626717845659624,6.388662822625995,1.3729647887065213,11.572084277202705
Resistive capacitor coupling,12,repeated_reselection,32,0.7327935222672065,0.4040485829959514,0.9692307692307691,0.17988980224808626,-0.13930460876388992,0.370709124442974,3.600348359177075,3.2502511613004246,4.098817589221709,10.64389995874763,2.2720404750532035,24.955690592351807
Resistive capacitor coupling,12,zero_other,32,0.0,0.0,0.0,0.0,0.0,0.0,0.09628175098185249,0.09628175098185249,0.09628175098185249,1.0,1.0,1.0
Resistive capacitor coupling,6,ara_fixed_lineage,32,0.714574898785425,0.5481781376518219,1.0,0.19083908175422248,0.037399800095089815,0.37563882006481686,5.696923113577869,4.639754298152383,6.184470900902229,14.87911377811178,4.522135612189732,32.665562019898736
Resistive capacitor coupling,6,causal_state_space,32,0.4858299595141701,0.345748987854251,0.6433198380566801,0.01970859854505306,-0.05270196018869874,0.08730252094222482,10.929301489024683,9.375448444490328,12.290953865090728,3.7579850011646228,0.2654078620252801,10.611366029519177
Resistive capacitor coupling,6,compressed_parent,32,0.7165991902834008,0.5222672064777328,1.0,0.13934721842201592,-0.020133192384232623,0.37548854895908856,3.2579953958004984,2.8062683774193675,3.6847485519905563,4.666004423467136,0.5165647017703424,15.952353536410627
Resistive capacitor coupling,6,repeated_reselection,32,0.6396761133603239,0.23016194331983805,0.9340080971659919,0.05163561502823512,-0.1828241136418054,0.2843316280647484,7.228075825037311,6.157125228320471,7.816848734905719,8.227602788460143,2.747627115304717,25.205606910376247
Resistive capacitor coupling,6,zero_other,32,0.0,0.0,0.0,0.0,0.0,0.0,0.09628175098185249,0.09628175098185249,0.09628175098185249,1.0,1.0,1.0
Resistive capacitor coupling,0,ara_fixed_lineage,32,0.645748987854251,0.4700404858299595,0.8558704453441295,0.0777431918585432,-0.017856312363987565,0.25605525654836875,10.783409450144543,9.84029984898342,12.134041457346633,16.32294107642055,1.8651231542907334,37.29451299818818
Resistive capacitor coupling,0,causal_state_space,32,0.47975708502024295,0.27530364372469635,0.6510121457489878,-0.0026871843206544154,-0.0797881469762523,0.08948515898390383,13.56585497528271,12.219894843104914,15.273896163458959,10.190973503550506,0.9232905122869273,21.655319439493926
Resistive capacitor coupling,0,compressed_parent,32,0.6336032388663968,0.45728744939271254,0.8580971659919028,0.08815377938200451,-0.025859418660602276,0.21229106401706532,6.445035178359266,5.653287938582365,7.39235219285171,10.27539357559374,1.2695659783512308,25.748164684887172
Resistive capacitor coupling,0,repeated_reselection,32,0.5748987854251012,0.3228744939271255,0.7823886639676113,0.031053758458452166,-0.1139149720107436,0.20838295895026587,14.272013487463564,12.519882159198273,16.345319310895036,24.132291255551984,2.8002219121572978,68.84380623754136
Resistive capacitor coupling,0,zero_other,32,0.0,0.0,0.0,0.0,0.0,0.0,0.09628175098185249,0.09628175098185249,0.09628175098185249,1.0,1.0,1.0
Resistive capacitor coupling,-6,ara_fixed_lineage,32,0.6336032388663968,0.38906882591093117,0.8619433198380566,0.03888765436587542,-0.0781286372458988,0.19299687760542658,21.221119501307825,19.101840455117433,23.42411798465497,19.139084840078866,4.76198697715482,93.62292167810203
Resistive capacitor coupling,-6,causal_state_space,32,0.5080971659919029,0.3198380566801619,0.6848178137651821,0.027296601018241384,-0.10895839892965964,0.09434387511415704,18.4544135890996,16.18072589930866,20.366391748791962,17.511423900182265,3.651478735551115,49.51423774955436
Resistive capacitor coupling,-6,compressed_parent,32,0.5910931174089069,0.3611336032388664,0.9129554655870445,0.03196647671053512,-0.10287850654710595,0.17865112016259066,12.544344242524136,10.765020113288667,14.252650224161405,14.399034406012667,0.4074548653818577,40.88690727374857
Resistive capacitor coupling,-6,repeated_reselection,32,0.5101214574898786,0.2937246963562753,0.8076923076923076,0.03279766509150073,-0.13588680130720887,0.18935445194472822,28.768487637417984,25.839422658084743,31.85030769541822,50.98766403852147,8.388980652064719,115.48195091432117
Resistive capacitor coupling,-6,zero_other,32,0.0,0.0,0.0,0.0,0.0,0.0,0.09628175098185249,0.09628175098185249,0.09628175098185249,1.0,1.0,1.0
