model,domain,snr_db,method,replicate,scored_samples,declared_stream,sign_accuracy,correlation,nrmse,integrated_error,declared_child_occupancy,switch_count
Damped coupled oscillators,Newton/Hamilton mechanics,24,fixed_child_no_memory,9,5761,oscillator 2,0.7422978177150192,0.6418449338871386,0.28788030068815673,0.030957959813477248,nan,-1
Damped coupled oscillators,Newton/Hamilton mechanics,24,fixed_child_no_memory,10,5761,oscillator 2,0.7458279845956355,0.6406621148352086,0.2903434279136949,0.043495527176863905,nan,-1
Damped coupled oscillators,Newton/Hamilton mechanics,24,fixed_child_no_memory,11,5761,oscillator 2,0.7410141206675225,0.6381725250013545,0.2939967031835653,0.04335702026025192,nan,-1
Damped coupled oscillators,Newton/Hamilton mechanics,24,fixed_child_no_memory,12,5761,oscillator 2,0.7570603337612324,0.6498516741239242,0.2901630208691239,0.03691949144415896,nan,-1
Damped coupled oscillators,Newton/Hamilton mechanics,24,fixed_child_no_memory,13,5761,oscillator 2,0.7487163029525032,0.6455462344322898,0.28950485606709864,0.04703853286154977,nan,-1
Damped coupled oscillators,Newton/Hamilton mechanics,24,fixed_child_no_memory,14,5761,oscillator 2,0.7644415917843389,0.6323725522577285,0.29745025199403596,0.03356537031571292,nan,-1
Damped coupled oscillators,Newton/Hamilton mechanics,24,fixed_child_no_memory,15,5761,oscillator 2,0.75,0.6325402010595,0.2950601650170892,0.03581683583551916,nan,-1
Damped coupled oscillators,Newton/Hamilton mechanics,24,wrong_fixed_child,0,5761,oscillator 2,0.5805519897304237,0.13294224134095683,0.264829399401981,0.8278824406935198,nan,-1
Damped coupled oscillators,Newton/Hamilton mechanics,24,wrong_fixed_child,1,5761,oscillator 2,0.5879332477535302,0.1495466357069966,0.2650800410499646,0.8116325991852499,nan,-1
Damped coupled oscillators,Newton/Hamilton mechanics,24,wrong_fixed_child,2,5761,oscillator 2,0.5876123234916559,0.14479863865546663,0.2666201431460419,0.8092132810262157,nan,-1
Damped coupled oscillators,Newton/Hamilton mechanics,24,wrong_fixed_child,3,5761,oscillator 2,0.5612965340179717,0.14905700909721672,0.26699463922694305,0.8092894140854463,nan,-1
Damped coupled oscillators,Newton/Hamilton mechanics,24,wrong_fixed_child,4,5761,oscillator 2,0.5558408215661104,0.147113743688172,0.26517403650484184,0.8209793495909308,nan,-1
Damped coupled oscillators,Newton/Hamilton mechanics,24,wrong_fixed_child,5,5761,oscillator 2,0.5725288831835686,0.15507139150044622,0.2664140166616031,0.8020235988715696,nan,-1
Damped coupled oscillators,Newton/Hamilton mechanics,24,wrong_fixed_child,6,5761,oscillator 2,0.5892169448010269,0.14071170013599751,0.2655856620471638,0.8223633836256004,nan,-1
Damped coupled oscillators,Newton/Hamilton mechanics,24,wrong_fixed_child,7,5761,oscillator 2,0.5760590500641849,0.16769135418864464,0.26930618640967285,0.7788590563486424,nan,-1
