model,domain,snr_db,method,replicate,scored_samples,declared_stream,sign_accuracy,correlation,nrmse,integrated_error,estimated_q_noise_variance,estimated_g_noise_variance
Open two-level probability,Non-Hermitian quantum continuity,24,ara_fixed_lineage,11,7200,quantum state 2,0.9969885187276492,0.8098756026038325,0.138348877487119,0.11031152292146706,,
Open two-level probability,Non-Hermitian quantum continuity,24,ara_fixed_lineage,12,7200,quantum state 2,0.9774138904573687,0.8135141822405061,0.13809543932168927,0.11368692169368114,,
Open two-level probability,Non-Hermitian quantum continuity,24,ara_fixed_lineage,13,7200,quantum state 2,0.9892715979672502,0.8189670466307054,0.13649065522630005,0.11606671325066971,,
Open two-level probability,Non-Hermitian quantum continuity,24,ara_fixed_lineage,14,7200,quantum state 2,1.0,0.8143791620539192,0.13645241608505249,0.11336547075897936,,
Open two-level probability,Non-Hermitian quantum continuity,24,ara_fixed_lineage,15,7200,quantum state 2,0.9924712968191229,0.8120748455340746,0.13828628012362365,0.1146956548228111,,
Open two-level probability,Non-Hermitian quantum continuity,24,ara_fixed_lineage,16,7200,quantum state 2,0.9856954639563336,0.8128743416063127,0.1385437101844476,0.11271937358768194,,
Open two-level probability,Non-Hermitian quantum continuity,24,ara_fixed_lineage,17,7200,quantum state 2,0.9904009034443817,0.8149917013540685,0.13735158800900954,0.11646552561753276,,
Open two-level probability,Non-Hermitian quantum continuity,24,ara_fixed_lineage,18,7200,quantum state 2,0.9864483342744212,0.809264631569212,0.13722607781592897,0.1125207430325548,,
Open two-level probability,Non-Hermitian quantum continuity,24,ara_fixed_lineage,19,7200,quantum state 2,0.9892715979672502,0.8107816059894896,0.13641543039148654,0.10847627484208804,,
Open two-level probability,Non-Hermitian quantum continuity,24,ara_fixed_lineage,20,7200,quantum state 2,0.9785431959345002,0.8140234225745682,0.13723664435400673,0.11494263357341233,,
Open two-level probability,Non-Hermitian quantum continuity,24,ara_fixed_lineage,21,7200,quantum state 2,0.9751552795031055,0.8134845963737278,0.1374258333486385,0.11433321585531594,,
Open two-level probability,Non-Hermitian quantum continuity,24,ara_fixed_lineage,22,7200,quantum state 2,0.9905891210239036,0.816996291937991,0.13530055178304667,0.11109177346916434,,
Open two-level probability,Non-Hermitian quantum continuity,24,ara_fixed_lineage,23,7200,quantum state 2,0.9868247694334651,0.8139475860601627,0.13747607016408536,0.11378948025218034,,
Open two-level probability,Non-Hermitian quantum continuity,24,ara_fixed_lineage,24,7200,quantum state 2,1.0,0.8151338528327873,0.13572355522282406,0.11217894149294388,,
Open two-level probability,Non-Hermitian quantum continuity,24,ara_fixed_lineage,25,7200,quantum state 2,0.9952945605119519,0.8092023533382465,0.13847199932355733,0.11053577264465986,,
Open two-level probability,Non-Hermitian quantum continuity,24,ara_fixed_lineage,26,7200,quantum state 2,1.0,0.810607075501988,0.1373700184885601,0.11044726657357047,,
Open two-level probability,Non-Hermitian quantum continuity,24,ara_fixed_lineage,27,7200,quantum state 2,0.9866365518539432,0.8160633683755742,0.13547815240642902,0.11374505723130288,,
Open two-level probability,Non-Hermitian quantum continuity,24,ara_fixed_lineage,28,7200,quantum state 2,1.0,0.8130747165908087,0.13742472605762987,0.11303979515103237,,
Open two-level probability,Non-Hermitian quantum continuity,24,ara_fixed_lineage,29,7200,quantum state 2,0.9730848861283644,0.8098895952543885,0.13913633814245796,0.11471465885891435,,
Open two-level probability,Non-Hermitian quantum continuity,24,ara_fixed_lineage,30,7200,quantum state 2,1.0,0.8183997445179759,0.13528347515674077,0.11140689950941529,,
Open two-level probability,Non-Hermitian quantum continuity,24,ara_fixed_lineage,31,7200,quantum state 2,1.0,0.8173074159772262,0.13652758026013775,0.11237505618928105,,
Open two-level probability,Non-Hermitian quantum continuity,24,repeated_reselection,0,7200,quantum state 2,0.9759081498211933,0.8076237793228641,0.1398103643220833,0.08614951587777078,,
Open two-level probability,Non-Hermitian quantum continuity,24,repeated_reselection,1,7200,quantum state 2,0.963674007152268,0.8151505022777118,0.1375666232260617,0.0890734033184905,,
Open two-level probability,Non-Hermitian quantum continuity,24,repeated_reselection,2,7200,quantum state 2,0.9004329004329005,0.7873284304504852,0.1481253204306957,0.07040393209983577,,
Open two-level probability,Non-Hermitian quantum continuity,24,repeated_reselection,3,7200,quantum state 2,0.9307359307359307,0.807113783645919,0.14306099548826148,0.04073352759458639,,
Open two-level probability,Non-Hermitian quantum continuity,24,repeated_reselection,4,7200,quantum state 2,0.919442875964615,0.8187616638039676,0.13935325605948215,0.06447802249665699,,
Open two-level probability,Non-Hermitian quantum continuity,24,repeated_reselection,5,7200,quantum state 2,0.9894598155467721,0.8067246405659303,0.14001253855964785,0.10097505044418646,,
Open two-level probability,Non-Hermitian quantum continuity,24,repeated_reselection,6,7200,quantum state 2,0.9706380575945793,0.8027121550278764,0.1423059262330991,0.07698317570918937,,
Open two-level probability,Non-Hermitian quantum continuity,24,repeated_reselection,7,7200,quantum state 2,0.9390175042348955,0.8120680636813076,0.13986807837213358,0.07649690319896864,,
Open two-level probability,Non-Hermitian quantum continuity,24,repeated_reselection,8,7200,quantum state 2,0.958403914925654,0.8021298151318587,0.1402497834554076,0.08522079957385562,,
Open two-level probability,Non-Hermitian quantum continuity,24,repeated_reselection,9,7200,quantum state 2,0.9503105590062112,0.8139885565970514,0.13903002684290727,0.05771543626728409,,
Open two-level probability,Non-Hermitian quantum continuity,24,repeated_reselection,10,7200,quantum state 2,0.93261810653115,0.8058615664625047,0.1408662659762769,0.05058365799744285,,
Open two-level probability,Non-Hermitian quantum continuity,24,repeated_reselection,11,7200,quantum state 2,0.872953133822699,0.796340825575216,0.14712454070015088,0.01658379057051213,,
Open two-level probability,Non-Hermitian quantum continuity,24,repeated_reselection,12,7200,quantum state 2,0.9721437982307548,0.8075320607409809,0.14057634730209445,0.10406986484543984,,
Open two-level probability,Non-Hermitian quantum continuity,24,repeated_reselection,13,7200,quantum state 2,0.9264069264069265,0.8136861691903565,0.1404490060428449,0.06838412062333311,,
Open two-level probability,Non-Hermitian quantum continuity,24,repeated_reselection,14,7200,quantum state 2,0.9422172030867683,0.8087905393035844,0.1395045029827199,0.08308367436975923,,
Open two-level probability,Non-Hermitian quantum continuity,24,repeated_reselection,15,7200,quantum state 2,0.9433465085638999,0.8134007688145862,0.13991583291565687,0.05848021208194419,,
Open two-level probability,Non-Hermitian quantum continuity,24,repeated_reselection,16,7200,quantum state 2,0.9333709768492378,0.8032290000945975,0.1433824809379663,0.07594818812098546,,
Open two-level probability,Non-Hermitian quantum continuity,24,repeated_reselection,17,7200,quantum state 2,0.9521927348014304,0.7975514250541327,0.1450385482557967,0.07505679813985794,,
Open two-level probability,Non-Hermitian quantum continuity,24,repeated_reselection,18,7200,quantum state 2,0.9228307923960097,0.8055899238056071,0.1410086386621608,0.05309115851025914,,
Open two-level probability,Non-Hermitian quantum continuity,24,repeated_reselection,19,7200,quantum state 2,0.9424054206662902,0.8048985952180545,0.13970045856618046,0.07349765703820699,,
Open two-level probability,Non-Hermitian quantum continuity,24,repeated_reselection,20,7200,quantum state 2,0.9608507434594391,0.8125052719345143,0.1386145271446937,0.08877302828503167,,
Open two-level probability,Non-Hermitian quantum continuity,24,repeated_reselection,21,7200,quantum state 2,0.9414643327686806,0.7992980359517744,0.14363291993156196,0.07286327498066715,,
Open two-level probability,Non-Hermitian quantum continuity,24,repeated_reselection,22,7200,quantum state 2,0.9316770186335404,0.813721625800192,0.13868297699173995,0.0546923028007114,,
Open two-level probability,Non-Hermitian quantum continuity,24,repeated_reselection,23,7200,quantum state 2,0.9252776209297948,0.8083802973645535,0.1407756115099904,0.08082048522777219,,
Open two-level probability,Non-Hermitian quantum continuity,24,repeated_reselection,24,7200,quantum state 2,0.9499341238471674,0.8076514498017293,0.1396776725053931,0.0771673642045692,,
Open two-level probability,Non-Hermitian quantum continuity,24,repeated_reselection,25,7200,quantum state 2,0.9422172030867683,0.7992536862920623,0.14366173905678484,0.05838765189856225,,
Open two-level probability,Non-Hermitian quantum continuity,24,repeated_reselection,26,7200,quantum state 2,0.9433465085638999,0.8060755610969293,0.1404331000741448,0.0695219107251369,,
Open two-level probability,Non-Hermitian quantum continuity,24,repeated_reselection,27,7200,quantum state 2,0.9422172030867683,0.8128567711356265,0.138278798380561,0.07000892075670878,,
Open two-level probability,Non-Hermitian quantum continuity,24,repeated_reselection,28,7200,quantum state 2,0.9489930359495576,0.8097570517916496,0.1401277229806213,0.07531726508805178,,
Open two-level probability,Non-Hermitian quantum continuity,24,repeated_reselection,29,7200,quantum state 2,0.9286655373611895,0.8061244707025137,0.14155808620215388,0.08519587169760319,,
Open two-level probability,Non-Hermitian quantum continuity,24,repeated_reselection,30,7200,quantum state 2,0.9053265575004705,0.8193889406093947,0.13794192404170935,0.03559744668347961,,
Open two-level probability,Non-Hermitian quantum continuity,24,repeated_reselection,31,7200,quantum state 2,0.956145303971391,0.8126136873184145,0.1400396278558032,0.06777501032845189,,
Open two-level probability,Non-Hermitian quantum continuity,24,compressed_parent,0,7200,quantum state 2,1.0,0.8272050463506355,0.17037427142876363,0.45025863382502246,,
Open two-level probability,Non-Hermitian quantum continuity,24,compressed_parent,1,7200,quantum state 2,0.9806135893092415,0.8337114598709476,0.1686714045639335,0.4495927183070551,,
Open two-level probability,Non-Hermitian quantum continuity,24,compressed_parent,2,7200,quantum state 2,0.9904009034443817,0.8251599134004465,0.16947364475430754,0.45080513339137845,,
Open two-level probability,Non-Hermitian quantum continuity,24,compressed_parent,3,7200,quantum state 2,0.9826839826839827,0.8387430723191446,0.16737746336237813,0.44882824831820756,,
Open two-level probability,Non-Hermitian quantum continuity,24,compressed_parent,4,7200,quantum state 2,0.9977413890457368,0.8440612610390745,0.16524071187645953,0.44681947771614744,,
Open two-level probability,Non-Hermitian quantum continuity,24,compressed_parent,5,7200,quantum state 2,0.9958592132505176,0.8327145000479166,0.168572924564697,0.4515065408558916,,
Open two-level probability,Non-Hermitian quantum continuity,24,compressed_parent,6,7200,quantum state 2,1.0,0.8408120570381985,0.16656242788182507,0.44752491278547485,,
Open two-level probability,Non-Hermitian quantum continuity,24,compressed_parent,7,7200,quantum state 2,0.9798607189911538,0.8328603018459533,0.16879362899312828,0.4492904875585772,,
Open two-level probability,Non-Hermitian quantum continuity,24,compressed_parent,8,7200,quantum state 2,1.0,0.8269429759511978,0.17082105370904732,0.453370168322863,,
Open two-level probability,Non-Hermitian quantum continuity,24,compressed_parent,9,7200,quantum state 2,1.0,0.835254367667428,0.16844794065998123,0.44978657308200465,,
Open two-level probability,Non-Hermitian quantum continuity,24,compressed_parent,10,7200,quantum state 2,0.9851308112177677,0.832421273936198,0.168369584291273,0.45021209520931343,,
Open two-level probability,Non-Hermitian quantum continuity,24,compressed_parent,11,7200,quantum state 2,0.9951063429324299,0.8305611109191352,0.16985891935948494,0.4533712809097972,,
Open two-level probability,Non-Hermitian quantum continuity,24,compressed_parent,12,7200,quantum state 2,0.9907773386034255,0.8325775891659072,0.16859123487951644,0.4528059225399795,,
Open two-level probability,Non-Hermitian quantum continuity,24,compressed_parent,13,7200,quantum state 2,0.9836250705815923,0.8431591651849776,0.16573336966530738,0.4457617256184778,,
Open two-level probability,Non-Hermitian quantum continuity,24,compressed_parent,14,7200,quantum state 2,0.9939770374552983,0.8452965753985289,0.16674117852596657,0.4471669974256399,,
Open two-level probability,Non-Hermitian quantum continuity,24,compressed_parent,15,7200,quantum state 2,1.0,0.8403952646910321,0.1674871512591402,0.4495184329414258,,
Open two-level probability,Non-Hermitian quantum continuity,24,compressed_parent,16,7200,quantum state 2,0.9934123847167325,0.8488501948910627,0.16643621531613884,0.4518326682525921,,
Open two-level probability,Non-Hermitian quantum continuity,24,compressed_parent,17,7200,quantum state 2,0.9956709956709957,0.8335779289513211,0.167339827259425,0.44715894138852247,,
Open two-level probability,Non-Hermitian quantum continuity,24,compressed_parent,18,7200,quantum state 2,1.0,0.8364550621704501,0.16830918295381464,0.4477783006057958,,
Open two-level probability,Non-Hermitian quantum continuity,24,compressed_parent,19,7200,quantum state 2,0.9924712968191229,0.8324494717479376,0.1698157892291282,0.4519116768973771,,
Open two-level probability,Non-Hermitian quantum continuity,24,compressed_parent,20,7200,quantum state 2,0.9745906267645398,0.8307228729553194,0.16860284309718498,0.45025335161823765,,
Open two-level probability,Non-Hermitian quantum continuity,24,compressed_parent,21,7200,quantum state 2,0.9905891210239036,0.8347628066102567,0.16880509750953368,0.452232559253533,,
Open two-level probability,Non-Hermitian quantum continuity,24,compressed_parent,22,7200,quantum state 2,0.9860718991153774,0.8460495107068241,0.1659285450680967,0.44936549683967036,,
Open two-level probability,Non-Hermitian quantum continuity,24,compressed_parent,23,7200,quantum state 2,0.9968003011481272,0.8429957231842093,0.1669120414724988,0.4497107475401361,,
Open two-level probability,Non-Hermitian quantum continuity,24,compressed_parent,24,7200,quantum state 2,0.9943534726143421,0.835314781784173,0.1680792425865536,0.4477324025543595,,
Open two-level probability,Non-Hermitian quantum continuity,24,compressed_parent,25,7200,quantum state 2,0.992283079239601,0.8258725043319977,0.17073435418657748,0.45400160494988046,,
Open two-level probability,Non-Hermitian quantum continuity,24,compressed_parent,26,7200,quantum state 2,0.9936006022962545,0.8404136965977799,0.16821889174297042,0.45082310008346577,,
Open two-level probability,Non-Hermitian quantum continuity,24,compressed_parent,27,7200,quantum state 2,0.9920948616600791,0.8305539601445289,0.17061007607129658,0.45208863437700564,,
Open two-level probability,Non-Hermitian quantum continuity,24,compressed_parent,28,7200,quantum state 2,0.9956709956709957,0.8362299023808765,0.16805734899800365,0.4501254193091486,,
Open two-level probability,Non-Hermitian quantum continuity,24,compressed_parent,29,7200,quantum state 2,0.9781667607754564,0.8369980262941431,0.16729046534856684,0.4481362254141487,,
Open two-level probability,Non-Hermitian quantum continuity,24,compressed_parent,30,7200,quantum state 2,0.987012987012987,0.8452994868634567,0.16586489211668712,0.44550515712552385,,
Open two-level probability,Non-Hermitian quantum continuity,24,compressed_parent,31,7200,quantum state 2,1.0,0.839641821149051,0.1664274366560884,0.4483992685507131,,
Open two-level probability,Non-Hermitian quantum continuity,24,zero_other,0,7200,quantum state 2,0.0,0.0,0.2960076164651898,1.0,,
Open two-level probability,Non-Hermitian quantum continuity,24,zero_other,1,7200,quantum state 2,0.0,0.0,0.2960076164651898,1.0,,
Open two-level probability,Non-Hermitian quantum continuity,24,zero_other,2,7200,quantum state 2,0.0,0.0,0.2960076164651898,1.0,,
Open two-level probability,Non-Hermitian quantum continuity,24,zero_other,3,7200,quantum state 2,0.0,0.0,0.2960076164651898,1.0,,
Open two-level probability,Non-Hermitian quantum continuity,24,zero_other,4,7200,quantum state 2,0.0,0.0,0.2960076164651898,1.0,,
Open two-level probability,Non-Hermitian quantum continuity,24,zero_other,5,7200,quantum state 2,0.0,0.0,0.2960076164651898,1.0,,
Open two-level probability,Non-Hermitian quantum continuity,24,zero_other,6,7200,quantum state 2,0.0,0.0,0.2960076164651898,1.0,,
Open two-level probability,Non-Hermitian quantum continuity,24,zero_other,7,7200,quantum state 2,0.0,0.0,0.2960076164651898,1.0,,
Open two-level probability,Non-Hermitian quantum continuity,24,zero_other,8,7200,quantum state 2,0.0,0.0,0.2960076164651898,1.0,,
Open two-level probability,Non-Hermitian quantum continuity,24,zero_other,9,7200,quantum state 2,0.0,0.0,0.2960076164651898,1.0,,
Open two-level probability,Non-Hermitian quantum continuity,24,zero_other,10,7200,quantum state 2,0.0,0.0,0.2960076164651898,1.0,,
Open two-level probability,Non-Hermitian quantum continuity,24,zero_other,11,7200,quantum state 2,0.0,0.0,0.2960076164651898,1.0,,
Open two-level probability,Non-Hermitian quantum continuity,24,zero_other,12,7200,quantum state 2,0.0,0.0,0.2960076164651898,1.0,,
Open two-level probability,Non-Hermitian quantum continuity,24,zero_other,13,7200,quantum state 2,0.0,0.0,0.2960076164651898,1.0,,
Open two-level probability,Non-Hermitian quantum continuity,24,zero_other,14,7200,quantum state 2,0.0,0.0,0.2960076164651898,1.0,,
Open two-level probability,Non-Hermitian quantum continuity,24,zero_other,15,7200,quantum state 2,0.0,0.0,0.2960076164651898,1.0,,
Open two-level probability,Non-Hermitian quantum continuity,24,zero_other,16,7200,quantum state 2,0.0,0.0,0.2960076164651898,1.0,,
Open two-level probability,Non-Hermitian quantum continuity,24,zero_other,17,7200,quantum state 2,0.0,0.0,0.2960076164651898,1.0,,
Open two-level probability,Non-Hermitian quantum continuity,24,zero_other,18,7200,quantum state 2,0.0,0.0,0.2960076164651898,1.0,,
Open two-level probability,Non-Hermitian quantum continuity,24,zero_other,19,7200,quantum state 2,0.0,0.0,0.2960076164651898,1.0,,
Open two-level probability,Non-Hermitian quantum continuity,24,zero_other,20,7200,quantum state 2,0.0,0.0,0.2960076164651898,1.0,,
Open two-level probability,Non-Hermitian quantum continuity,24,zero_other,21,7200,quantum state 2,0.0,0.0,0.2960076164651898,1.0,,
Open two-level probability,Non-Hermitian quantum continuity,24,zero_other,22,7200,quantum state 2,0.0,0.0,0.2960076164651898,1.0,,
Open two-level probability,Non-Hermitian quantum continuity,24,zero_other,23,7200,quantum state 2,0.0,0.0,0.2960076164651898,1.0,,
Open two-level probability,Non-Hermitian quantum continuity,24,zero_other,24,7200,quantum state 2,0.0,0.0,0.2960076164651898,1.0,,
Open two-level probability,Non-Hermitian quantum continuity,24,zero_other,25,7200,quantum state 2,0.0,0.0,0.2960076164651898,1.0,,
Open two-level probability,Non-Hermitian quantum continuity,24,zero_other,26,7200,quantum state 2,0.0,0.0,0.2960076164651898,1.0,,
Open two-level probability,Non-Hermitian quantum continuity,24,zero_other,27,7200,quantum state 2,0.0,0.0,0.2960076164651898,1.0,,
Open two-level probability,Non-Hermitian quantum continuity,24,zero_other,28,7200,quantum state 2,0.0,0.0,0.2960076164651898,1.0,,
Open two-level probability,Non-Hermitian quantum continuity,24,zero_other,29,7200,quantum state 2,0.0,0.0,0.2960076164651898,1.0,,
Open two-level probability,Non-Hermitian quantum continuity,24,zero_other,30,7200,quantum state 2,0.0,0.0,0.2960076164651898,1.0,,
Open two-level probability,Non-Hermitian quantum continuity,24,zero_other,31,7200,quantum state 2,0.0,0.0,0.2960076164651898,1.0,,
Open two-level probability,Non-Hermitian quantum continuity,24,causal_state_space,0,7200,quantum state 2,0.8684359119141728,0.8066277773961302,0.15825487936672125,0.015621701539700928,0.00016029830551946833,0.0003529297481518052
Open two-level probability,Non-Hermitian quantum continuity,24,causal_state_space,1,7200,quantum state 2,0.8701298701298701,0.802572819045083,0.16118258407079752,0.013176965582413986,0.00015158426929573238,0.00035429288951985884
Open two-level probability,Non-Hermitian quantum continuity,24,causal_state_space,2,7200,quantum state 2,0.834180312441182,0.765677205980835,0.18439147388155344,0.01259348060229858,0.00012473132147909952,0.0003895122082134162
Open two-level probability,Non-Hermitian quantum continuity,24,causal_state_space,3,7200,quantum state 2,0.8460380199510634,0.7787164697797332,0.17947159694884499,0.018460510785732735,0.00012403970573754351,0.0003740645819548596
Open two-level probability,Non-Hermitian quantum continuity,24,causal_state_space,4,7200,quantum state 2,0.8744588744588745,0.8219263992615602,0.15180608543706534,0.014242707033277768,0.00016007099280439238,0.0003236832649397434
Open two-level probability,Non-Hermitian quantum continuity,24,causal_state_space,5,7200,quantum state 2,0.8594014680971203,0.8052142159401399,0.16209813852426214,0.01359091911050339,0.0001509064286330166,0.00033432507810966534
Open two-level probability,Non-Hermitian quantum continuity,24,causal_state_space,6,7200,quantum state 2,0.8723884810841332,0.8225312012624868,0.151915034440605,0.019084894745939673,0.00016985350845393756,0.000340491642054834
Open two-level probability,Non-Hermitian quantum continuity,24,causal_state_space,7,7200,quantum state 2,0.870694522868436,0.8213741775031435,0.15128280179517706,0.016788480090894144,0.00016429609981798732,0.0003403991107567074
Open two-level probability,Non-Hermitian quantum continuity,24,causal_state_space,8,7200,quantum state 2,0.8644833427442123,0.8103296336011793,0.15698493135268415,0.01709605997846305,0.00015507663342878702,0.00037367985479014364
Open two-level probability,Non-Hermitian quantum continuity,24,causal_state_space,9,7200,quantum state 2,0.8746470920383964,0.8112532897373742,0.15647294068349143,0.020131806107667353,0.00016601898817397291,0.0003417104360527379
Open two-level probability,Non-Hermitian quantum continuity,24,causal_state_space,10,7200,quantum state 2,0.8727649162431771,0.8094021553200655,0.15729551321480312,0.01197090441939597,0.0001621380125999076,0.0003834175130058691
Open two-level probability,Non-Hermitian quantum continuity,24,causal_state_space,11,7200,quantum state 2,0.8467908902691511,0.7946803675009473,0.16907552901911055,0.01583287693163937,0.00015749421345406008,0.0003601468712635864
Open two-level probability,Non-Hermitian quantum continuity,24,causal_state_space,12,7200,quantum state 2,0.8563899868247694,0.8227186467110587,0.1539783157648968,0.016120029090542838,0.0001743600337705972,0.00035215097660552466
Open two-level probability,Non-Hermitian quantum continuity,24,causal_state_space,13,7200,quantum state 2,0.8441558441558441,0.804660517377158,0.16350492980957881,0.012610418297663496,0.00016410035139412843,0.0003122852933654559
Open two-level probability,Non-Hermitian quantum continuity,24,causal_state_space,14,7200,quantum state 2,0.8708827404479579,0.8021853702910139,0.16397403681261688,0.020801584540240062,0.00014723065787064905,0.000344592580675713
Open two-level probability,Non-Hermitian quantum continuity,24,causal_state_space,15,7200,quantum state 2,0.867871259175607,0.8044256650944942,0.16356943593108336,0.018526359715528865,0.0001462975844418242,0.00033724079354397076
Open two-level probability,Non-Hermitian quantum continuity,24,causal_state_space,16,7200,quantum state 2,0.8475437605872389,0.8195723486506151,0.15743564977530616,0.01678683255200772,0.000162813918817736,0.0003708048034274155
Open two-level probability,Non-Hermitian quantum continuity,24,causal_state_space,17,7200,quantum state 2,0.854884246188594,0.7929129186566091,0.172207168527337,0.018591536895346348,0.00012817347145445936,0.0003385587742881193
Open two-level probability,Non-Hermitian quantum continuity,24,causal_state_space,18,7200,quantum state 2,0.8543195934500283,0.7814712680412492,0.1719869290443109,0.015769343671843204,0.00014214846908661735,0.0002940148318262661
Open two-level probability,Non-Hermitian quantum continuity,24,causal_state_space,19,7200,quantum state 2,0.8650479954827781,0.8092888524469832,0.1585310647901758,0.019447302267128142,0.00016242269669893808,0.00038943029547632593
Open two-level probability,Non-Hermitian quantum continuity,24,causal_state_space,20,7200,quantum state 2,0.8509316770186336,0.7879378752656251,0.17088452703673088,0.017138634500800592,0.00013186761373958257,0.0003248261697030372
Open two-level probability,Non-Hermitian quantum continuity,24,causal_state_space,21,7200,quantum state 2,0.8584603801995107,0.787362878290329,0.17259322391846033,0.018790071648462463,0.00012576809533991915,0.00039823671468002593
Open two-level probability,Non-Hermitian quantum continuity,24,causal_state_space,22,7200,quantum state 2,0.8695652173913043,0.8136460475242581,0.15779303979367879,0.02225069364244783,0.0001680545424653814,0.0003043353248288896
Open two-level probability,Non-Hermitian quantum continuity,24,causal_state_space,23,7200,quantum state 2,0.8607189911537738,0.8149117835812543,0.15698446609241382,0.015358092923802504,0.00016207756748835142,0.0003335603078387998
Open two-level probability,Non-Hermitian quantum continuity,24,causal_state_space,24,7200,quantum state 2,0.8580839450404668,0.7988768500419491,0.16196254529534682,0.01309239186183389,0.00016527456181403911,0.0003411321549498018
Open two-level probability,Non-Hermitian quantum continuity,24,causal_state_space,25,7200,quantum state 2,0.8650479954827781,0.7916068021299961,0.1696172196516774,0.014917738381173967,0.0001511411834281511,0.0003596091469560536
Open two-level probability,Non-Hermitian quantum continuity,24,causal_state_space,26,7200,quantum state 2,0.8511198945981555,0.7924115605648975,0.16880025530401005,0.01937666382337916,0.00015869772794279926,0.0003209122434904878
Open two-level probability,Non-Hermitian quantum continuity,24,causal_state_space,27,7200,quantum state 2,0.8659890833803877,0.8048278571593194,0.16132865672179933,0.0173686924936968,0.0001490482865622097,0.0003526456537860041
Open two-level probability,Non-Hermitian quantum continuity,24,causal_state_space,28,7200,quantum state 2,0.8580839450404668,0.7987200740206853,0.16566949583071974,0.017917365149994834,0.00014630930428195468,0.00032133911164435047
Open two-level probability,Non-Hermitian quantum continuity,24,causal_state_space,29,7200,quantum state 2,0.8676830415960851,0.8089786746416049,0.15917343482802498,0.017639896386200893,0.00015762181305548165,0.0004049993204280117
Open two-level probability,Non-Hermitian quantum continuity,24,causal_state_space,30,7200,quantum state 2,0.8673066064370413,0.8051984363227945,0.16127842626523842,0.012729672481020846,0.00015920903781048041,0.0003671088549104423
Open two-level probability,Non-Hermitian quantum continuity,24,causal_state_space,31,7200,quantum state 2,0.8691887822322605,0.8241873393918888,0.1517584508328859,0.016706430614054114,0.00018699728616576778,0.00034678302245452633
Open two-level probability,Non-Hermitian quantum continuity,18,ara_fixed_lineage,0,7200,quantum state 2,0.9585921325051759,0.806238228425573,0.1423804770735271,0.1264634707218579,,
Open two-level probability,Non-Hermitian quantum continuity,18,ara_fixed_lineage,1,7200,quantum state 2,0.9493694711086016,0.8029851798974291,0.14082709906661225,0.11250478168087627,,
Open two-level probability,Non-Hermitian quantum continuity,18,ara_fixed_lineage,2,7200,quantum state 2,0.9335591944287597,0.8014792545972003,0.14134403659461423,0.10346298992999875,,
Open two-level probability,Non-Hermitian quantum continuity,18,ara_fixed_lineage,3,7200,quantum state 2,0.9567099567099567,0.7993028330869135,0.1393200456112883,0.10135386942562115,,
Open two-level probability,Non-Hermitian quantum continuity,18,ara_fixed_lineage,4,7200,quantum state 2,0.9514398644833427,0.8010056157097305,0.141905055995724,0.11206846676810141,,
Open two-level probability,Non-Hermitian quantum continuity,18,ara_fixed_lineage,5,7200,quantum state 2,0.9791078486730661,0.8027778390272494,0.14355001011514476,0.11923318809363811,,
Open two-level probability,Non-Hermitian quantum continuity,18,ara_fixed_lineage,6,7200,quantum state 2,0.9550159984942593,0.7998307565851801,0.14644124900831385,0.12603890753971986,,
