salt,source,event_count_in_window,effective_delayed_weight,effective_sample_size,binned_mode_ara,kde_mode_ara,binned_mode_in_candidate_band,kde_mode_in_candidate_band
437,C,61,5.039161275248734,60.99964755360054,0.625,0.6,False,False
437,AC,36,2.9730599965051074,35.99976992706288,1.375,1.6540000000000001,True,False
438,C,45,4.095453197766532,44.99982031475092,1.125,1.228,False,False
438,AC,27,2.4588603778802254,26.99974960155651,1.625,1.594,False,False
439,C,39,3.7943902722969485,38.99999999999997,0.625,0.638,False,False
439,AC,27,2.626885573128658,26.999999999999982,1.875,1.8980000000000001,False,False
440,C,48,4.414825630780427,47.999594630821235,1.125,1.481,False,True
440,AC,23,2.114155414869399,23.00000000000001,1.125,1.223,False,False
442,C,37,3.3890594204940725,37.00000000000002,1.875,0.578,False,False
442,AC,18,1.6487316099700882,17.999999999999996,0.375,1.487,False,True
443,C,51,5.1778606182922315,50.998664846896034,0.375,0.6890000000000001,False,False
443,AC,32,3.252107784593508,31.998753529208006,0.125,0.188,False,False
444,C,81,7.354689547482375,80.99821626690547,1.625,1.542,False,False
444,AC,54,4.905160104418727,53.99886619867809,0.375,0.363,False,False
446,C,104,8.890986314387279,103.99299633630909,1.625,1.725,False,False
446,AC,59,5.0388212051107,58.99604145096409,1.625,1.616,False,False
447,C,40,2.9679766046169394,40.00000000000001,1.375,1.315,True,True
447,AC,20,1.4839883023084697,20.000000000000007,1.875,1.891,False,False
448,C,81,5.343269298754331,80.99649459203759,0.625,0.725,False,False
448,AC,41,2.704251022864245,40.99818573593236,1.125,1.2,False,False
450,C,106,10.826831453346044,105.99818371878186,1.125,0.5,False,False
450,AC,56,5.719134156002123,55.99902899859092,0.625,1.266,False,True
452,C,58,4.291533315464846,57.99997824122316,1.125,1.472,False,True
452,AC,31,2.2937813538917298,30.999989039917576,0.125,1.637,False,False
453,C,61,5.786699778461544,60.99999299663403,1.375,1.286,True,True
453,AC,43,4.079214648889356,42.999994746078535,1.625,1.385,False,True
454,C,66,6.331625318339112,65.99996341084386,0.625,0.75,False,False
454,AC,44,4.221453937944208,43.99997120803495,1.375,1.45,True,True
455,C,51,5.283508507198045,50.999392897234486,0.625,0.626,False,False
455,AC,29,3.009301056633442,28.99921887904471,1.875,0.299,False,False
456,C,57,6.014779631735472,56.99766295866663,1.875,0.747,False,False
456,AC,26,2.7423209682719403,25.999097320644864,0.875,0.913,False,False
457,C,85,8.707544772410179,84.9999391406614,0.625,1.7550000000000001,False,False
457,AC,55,5.635135610491083,54.99996540506974,1.125,0.6940000000000001,False,False
458,C,31,2.8155390226216834,30.999999999999957,0.875,0.777,False,False
458,AC,18,1.6348291099093655,17.999999999999996,1.125,1.2,False,False
459,C,59,6.019480452873194,58.99919947907442,0.875,0.843,False,False
459,AC,38,3.881874939827412,37.9992856004112,1.875,1.801,False,False
460,C,71,5.980864001190487,70.9978696381454,1.625,1.673,False,False
460,AC,49,4.120390958549458,48.99847172483604,1.875,1.635,False,False
462,C,38,3.514362744774622,38.00000000000002,0.625,0.748,False,False
462,AC,17,1.5722149121360152,17.0,1.125,1.416,False,True
463,C,48,4.540026393940483,47.99977953177665,0.625,0.671,False,False
463,AC,21,1.9870598826902228,20.99978573629731,1.375,1.2750000000000001,True,True
464,C,37,3.41371259346265,36.99999999999997,1.875,1.871,False,False
464,AC,20,1.845250050520352,19.99999999999999,0.625,1.077,False,False
465,C,41,3.1142076252280892,41.00000000000001,0.875,0.795,False,False
465,AC,26,1.9748633720958608,26.000000000000004,1.875,1.816,False,False
466,C,81,8.356322242858207,80.99976999507219,0.625,0.609,False,False
466,AC,52,5.363801896785693,51.99984740069307,1.125,1.6480000000000001,False,False
467,C,92,10.37517462237997,91.99911022281155,0.625,0.6900000000000001,False,False
467,AC,74,8.347208388664733,73.99929814982274,0.625,0.522,False,False
468,C,58,5.377840339716982,57.99964436842243,1.125,1.0,False,False
468,AC,27,2.5051396956013736,26.99966708462036,1.875,0.758,False,False
470,C,63,4.670149321696428,62.99973994423535,0.875,0.807,False,False
470,AC,32,2.3719756075697247,31.999860348540977,0.875,1.5290000000000001,False,False
471,C,78,6.77632641868332,77.99941284466502,0.625,0.687,False,False
471,AC,42,3.647027540358658,41.999631153402,1.375,1.344,True,True
474,C,60,4.858892784750378,59.99977851334355,0.625,0.552,False,False
474,AC,40,3.236927988524832,39.999789746571984,0.625,1.77,False,False
475,C,60,6.496955392831275,59.999358825182085,0.625,0.613,False,False
475,AC,37,4.006861685871589,36.99959328843514,1.625,0.762,False,False
476,C,61,3.814109322160229,60.999188026454185,1.375,0.583,True,False
476,AC,45,2.81667145845479,44.999798165744174,1.625,1.585,False,False
479,C,52,4.161824902675064,51.99996298104155,1.125,1.05,False,False
479,AC,36,2.880808139370702,35.99998682161256,0.625,1.54,False,False
480,C,25,1.8205764379055522,25.0,0.875,0.839,False,False
480,AC,15,1.0923458627433311,15.000000000000004,1.125,1.16,False,False
481,C,33,3.42265816932535,33.0,0.875,0.8210000000000001,False,False
481,AC,26,2.696639769771488,25.999999999999993,1.875,1.747,False,False
482,C,115,9.45498106295745,114.99187885346983,1.375,1.498,True,True
482,AC,49,4.028861394450762,48.99654446851708,1.125,1.108,False,False
483,C,29,2.600880276648495,29.000000000000018,1.125,0.267,False,False
483,AC,16,1.434968428495721,16.0,1.875,1.837,False,False
485,C,34,2.724182549132788,34.00000000000001,0.625,0.744,False,False
485,AC,12,0.9614761938115715,12.000000000000002,1.125,1.082,False,False
486,C,57,5.778516241052199,56.998995723951495,1.875,1.342,False,True
486,AC,30,3.0415513450082474,29.99945705774388,1.875,1.461,False,True
487,C,26,1.7263277260222825,26.0,0.875,0.8130000000000001,False,False
487,AC,14,0.9295610832427669,13.999999999999993,0.625,0.641,False,False
488,C,42,4.33478553049977,41.998928811789426,1.125,1.01,False,False
488,AC,33,3.4092005695483545,32.99874674458514,0.875,0.932,False,False
489,C,41,4.380035650060229,40.999540874363355,1.125,0.779,False,False
489,AC,23,2.455793096051648,22.999999999999996,1.625,1.604,False,False
490,C,76,5.801139542251568,75.99843854672305,1.875,0.8150000000000001,False,False
490,AC,39,2.9782749277145686,38.99928934330666,0.375,0.923,False,False
491,C,63,6.929438029814632,62.99939651966143,0.625,0.621,False,False
491,AC,44,4.839704901334263,43.99957571472147,1.375,1.399,True,True
494,C,112,11.369170702743624,111.99675272961736,0.125,0.6,False,False
494,AC,65,6.596000013374998,64.99809634232636,1.125,1.232,False,False
495,C,39,4.232766506739658,39.00000000000001,1.625,1.599,False,False
495,AC,32,3.4730391850171562,32.0,1.875,1.727,False,False
497,C,36,3.3454239440672064,36.00000000000001,0.375,0.425,False,False
497,AC,24,2.2302826293781375,24.000000000000004,1.875,1.804,False,False
498,C,33,2.7896007258057507,33.0,0.625,0.68,False,False
498,AC,14,1.183466974584258,13.999999999999996,1.625,1.488,False,True
499,C,84,6.427805352432516,83.99815964648175,0.625,0.626,False,False
499,AC,45,3.443226879834795,44.998996100827675,0.875,0.743,False,False
500,C,91,8.771645633822958,90.9988601550771,0.625,0.609,False,False
500,AC,51,4.911360909430018,50.99930800336721,1.875,1.75,False,False
502,C,29,2.1554723070715927,28.999999999999982,0.375,0.493,False,False
502,AC,15,1.1148994691749614,14.999999999999995,0.875,0.833,False,False
503,C,70,6.713831943540578,69.9997154696711,0.625,0.628,False,False
503,AC,45,4.312448097746257,44.999781992711746,1.375,1.493,True,True
504,C,45,4.437855605366315,44.99945781426085,1.125,1.199,False,False
504,AC,34,3.353288513503949,33.99956950315781,1.125,1.122,False,False
506,C,99,7.056202500614923,98.98833010439661,0.125,0.539,False,False
506,AC,58,4.133319968126448,57.993133532476094,0.625,0.521,False,False
507,C,58,5.3334248552864665,57.99968982288437,1.125,1.026,False,False
507,AC,35,3.2204024351698854,34.99972277364514,1.875,1.9100000000000001,False,False
508,C,137,16.749849523861183,136.34185822888287,0.625,0.643,False,False
508,AC,110,13.338398410918748,109.36945412593947,1.375,1.352,True,True
509,C,58,4.812430134698075,57.99999990973123,1.875,0.743,False,False
509,AC,41,3.401875439612814,40.99999994813025,1.625,1.526,False,False
510,C,129,13.140561480214645,128.61403203676755,1.625,1.504,False,False
510,AC,74,7.4664934808305565,73.66315247359346,1.875,1.799,False,False
513,C,40,2.6485155259120496,40.0,1.875,1.8,False,False
513,AC,27,1.7877479799906335,27.000000000000004,0.125,1.038,False,False
514,C,90,10.115397553529627,89.99998529006058,0.625,0.597,False,False
514,AC,57,6.406622502979103,56.999990442493626,1.875,1.493,False,True
519,C,46,3.1407043959089007,45.9999787570463,0.875,0.784,False,False
519,AC,28,1.9117825708286822,27.999989292863027,1.625,1.615,False,False
520,C,54,4.449841254742866,53.99978254343016,1.625,1.605,False,False
520,AC,28,2.3064165291612158,27.999953746024218,1.625,1.653,False,False
521,C,41,4.097624480758148,40.99999999999999,1.125,0.9460000000000001,False,False
521,AC,26,2.5984935731637018,26.00000000000001,1.625,1.6640000000000001,False,False
523,C,58,5.148047415266063,57.99999986685059,1.875,1.363,False,True
523,AC,38,3.3728214770406164,37.999999939502864,1.375,1.3800000000000001,True,True
524,C,58,4.741328387911416,57.99999985419063,0.875,0.747,False,False
524,AC,33,2.6976984350789426,32.999999843341556,1.625,1.468,False,True
525,C,95,10.790876991197903,94.99965518405644,0.625,0.671,False,False
525,AC,49,5.565011314582651,48.99981938045802,1.375,1.48,True,True
526,C,62,6.862171976891905,61.99939275196418,1.625,0.705,False,False
526,AC,32,3.5411650497291065,31.999704610330244,1.375,1.314,True,True
527,C,63,4.674147904733992,62.99921985547097,0.875,0.841,False,False
527,AC,37,2.7445012597010883,36.99949620911946,0.125,0.166,False,False
528,C,39,3.135578571946903,39.000000000000036,0.875,0.794,False,False
528,AC,19,1.5275895606920797,18.999999999999996,1.875,1.852,False,False
529,C,59,5.346097677945905,58.99994436219577,0.875,0.902,False,False
529,AC,38,3.4433824878039263,37.99996229975998,1.375,1.44,True,True
530,C,99,8.374737991883581,98.9962224214,1.875,1.62,False,False
530,AC,44,3.721280651959911,43.99830148195561,1.875,0.754,False,False
532,C,46,4.158651318355969,45.99974542066333,1.125,1.689,False,False
532,AC,37,3.3455077361759806,36.999749816933466,1.625,1.569,False,False
534,C,55,4.630596585781866,54.99969595321913,0.875,0.805,False,False
534,AC,23,1.935473071755105,22.999945539464555,0.625,0.785,False,False
535,C,72,7.393116988462614,71.99998675428992,0.625,0.627,False,False
535,AC,48,4.928220446047834,47.99999311640277,0.875,0.776,False,False
536,C,86,9.237218925458349,85.99997810832947,0.125,0.202,False,False
536,AC,53,5.692407948292319,52.999985984582494,1.625,1.557,False,False
537,C,51,4.305951050672837,50.9997100011034,1.875,1.7570000000000001,False,False
537,AC,29,2.4482246635572875,28.999852636167432,0.875,1.018,False,False
539,C,91,10.51632795462069,90.99959782076326,1.125,1.687,False,False
539,AC,57,6.589624795347531,56.99976726501301,1.125,1.11,False,False
540,C,43,3.757978170545576,42.99979628759727,1.625,0.67,False,False
540,AC,25,2.184723983646773,24.99989743432496,0.875,0.9410000000000001,False,False
541,C,28,1.7844653069025702,28.000000000000014,1.375,0.704,True,False
541,AC,16,1.0196944610871823,16.0,0.875,0.884,False,False
542,C,70,5.467426429595742,69.99799769440706,1.375,1.3940000000000001,True,True
542,AC,50,3.901238807553926,49.99841746463266,1.875,1.8980000000000001,False,False
543,C,100,7.793362597011924,99.99299103977131,0.625,0.608,False,False
543,AC,63,4.904757336603212,62.99541991646094,1.625,1.1260000000000001,False,False
544,C,22,1.708359399250884,21.99999999999999,0.625,0.624,False,False
544,AC,11,0.8541796996254423,10.999999999999996,1.375,1.432,True,True
545,C,140,16.481881487657304,139.39396486479924,0.625,0.5740000000000001,False,False
545,AC,84,9.764829751706191,83.48694096427597,1.125,0.865,False,False
546,C,31,3.004671442026859,30.99999999999999,1.375,0.706,True,False
546,AC,20,1.9384977045334575,19.999999999999996,0.875,0.8160000000000001,False,False
547,C,70,8.277807810869174,69.99927612574574,1.875,1.741,False,False
547,AC,59,6.979126048098756,58.99935368514113,1.875,1.856,False,False
548,C,25,1.6843384446611378,24.999999999999996,0.875,0.836,False,False
548,AC,11,0.7411089156509006,10.999999999999998,0.375,0.743,False,False
549,C,76,6.605989480729983,75.9995588546794,0.875,0.731,False,False
549,AC,39,3.389810901332344,38.99977074110054,1.625,1.6360000000000001,False,False
550,C,53,4.33222290974702,52.99996889690382,0.625,0.645,False,False
550,AC,39,3.1885706217568854,38.99996284439963,1.875,1.474,False,True
551,C,103,8.157287675096818,102.99349847893643,1.875,1.841,False,False
551,AC,62,4.908053355418863,61.996056992650196,1.625,1.701,False,False
552,C,33,2.658096108513305,33.0,0.875,0.851,False,False
552,AC,21,1.6915157054175576,21.000000000000007,1.875,1.707,False,False
553,C,68,6.24887753915945,67.99989613619141,1.375,0.8,True,False
553,AC,38,3.49235024705788,37.99993584566428,1.875,1.772,False,False
554,C,35,2.544850467174872,34.99999999999998,0.875,1.316,False,True
554,AC,22,1.5996202936527775,22.000000000000004,1.875,1.838,False,False
555,C,97,10.14872695678349,96.99898012495207,0.375,0.485,False,False
555,AC,67,7.008727385720951,66.99928058122252,1.625,1.712,False,False
556,C,29,1.9342555227369111,29.000000000000014,0.875,0.834,False,False
556,AC,12,0.8003815956152729,11.999999999999998,0.875,0.796,False,False
558,C,70,8.274895895643006,69.99951567584839,0.625,0.621,False,False
558,AC,52,6.144289142044189,51.999683414851724,1.125,1.118,False,False
559,C,82,7.517956286298669,81.99979840666283,0.625,0.674,False,False
559,AC,44,4.032664227233961,43.99987240479434,1.625,1.593,False,False
560,C,61,5.662002136399851,60.99993757322386,0.625,0.604,False,False
560,AC,34,3.156272252841969,33.99995962532964,1.875,1.832,False,False
561,C,35,3.3207189724693165,35.00000000000002,1.875,1.861,False,False
561,AC,25,2.3719421231923676,25.000000000000007,1.875,1.8920000000000001,False,False
562,C,22,1.4746448609725005,21.999999999999996,0.125,0.258,False,False
562,AC,11,0.7373224304862505,10.999999999999995,0.125,1.329,False,True
563,C,163,15.80382215415526,161.7316968695677,1.375,1.443,True,True
563,AC,113,10.917361056614505,112.0510788644778,1.875,1.709,False,False
566,C,76,7.147642948137359,75.99986098787502,1.375,1.3760000000000001,True,True
566,AC,58,5.453718619277837,57.999884948321984,1.625,1.688,False,False
567,C,59,6.513607260564906,58.99951673545507,0.625,0.265,False,False
567,AC,50,5.522334990871208,49.999525191203524,1.375,1.354,True,True
568,C,21,1.558467193611545,20.99999999999999,0.625,0.657,False,False
568,AC,10,0.7421272350531171,10.0,0.875,0.8310000000000001,False,False
569,C,14,0.8795045034726434,13.999999999999986,0.625,0.711,False,False
569,AC,10,0.6282175024804597,9.999999999999995,1.375,1.477,True,True
570,C,127,14.83055099167009,126.24635089569736,1.625,1.619,False,False
570,AC,77,8.966183459920298,76.5261443589518,1.375,1.389,True,True
571,C,44,4.877870013056309,43.998390997464305,1.625,1.563,False,False
571,AC,23,2.5536039391364658,22.998503009626276,1.625,0.42,False,False
572,C,34,2.40588488086641,33.99999999999999,1.375,1.345,True,True
572,AC,26,1.8397943206625484,25.999999999999996,1.875,0.749,False,False
573,C,47,3.5055447000568223,47.0,0.625,0.761,False,False
573,AC,19,1.4171350915123324,18.999999999999996,1.125,1.068,False,False
575,C,46,4.081588836065662,45.999999999999964,0.625,0.798,False,False
575,AC,19,1.685873649679297,19.0,1.875,1.846,False,False
577,C,101,12.936677687807432,100.99997366328755,1.625,1.718,False,False
577,AC,63,8.06945436083101,62.99998359700279,1.375,1.449,True,True
578,C,81,9.57753257696181,80.99910367959808,1.375,0.757,True,False
578,AC,54,6.391912874436287,53.999293905007974,1.875,1.841,False,False
579,C,69,7.827218404470413,68.9996454619022,0.625,0.674,False,False
579,AC,55,6.23946904094671,54.999709327028384,0.625,1.241,False,False
580,C,21,1.0867660834144353,21.0,0.625,0.749,False,False
580,AC,10,0.5175076587687787,9.999999999999998,0.125,1.242,False,False
581,C,83,10.088789593373834,82.99806677787575,1.875,1.7550000000000001,False,False
581,AC,46,5.589594454175751,45.99898961080916,1.375,1.302,True,True
582,C,54,4.745538083351599,53.99995479882895,1.875,1.838,False,False
582,AC,37,3.2503216202285703,36.99998369874458,0.875,0.848,False,False
583,C,64,6.44974843092017,63.9997033914611,1.875,1.6540000000000001,False,False
583,AC,30,3.023815727759206,29.999848530571462,1.875,1.77,False,False
584,C,34,2.9241046504200807,33.999738073736935,0.875,0.743,False,False
584,AC,29,2.4936189575335184,28.999821624479104,1.625,1.675,False,False
585,C,43,3.707322563553136,43.0,0.875,0.754,False,False
585,AC,17,1.4656856646605416,17.0,1.875,1.818,False,False
586,C,36,3.044366953279463,36.00000000000001,0.875,0.855,False,False
586,AC,21,1.775880722746353,21.000000000000007,0.875,0.858,False,False
587,C,55,4.646402777474305,54.99996619191847,0.875,0.719,False,False
587,AC,32,2.703198330946472,31.9999783759417,1.375,1.336,True,True
588,C,80,8.011880495134061,79.99975563151952,0.625,0.668,False,False
588,AC,45,4.5057042418260504,44.999854832305545,1.125,1.475,False,True
589,C,49,4.12378179002279,48.99977712542064,1.375,1.387,True,True
589,AC,23,1.935347098118661,22.999924280096074,1.625,0.767,False,False
592,C,31,2.4165739770561596,31.0,0.375,0.402,False,False
592,AC,17,1.325217987417894,17.0,0.625,0.667,False,False
593,C,54,5.0930718451505665,53.99962648376906,0.625,0.528,False,False
593,AC,39,3.6779968672148753,38.99974711237612,0.875,1.47,False,True
594,C,125,13.1164291646814,124.2873286841465,0.625,0.5690000000000001,False,False
594,AC,102,10.715097522027728,101.44863080411554,1.125,1.012,False,False
595,C,54,6.461882060643898,53.99575182137495,0.625,0.622,False,False
595,AC,33,3.9532000549986814,32.99688288427587,1.875,1.617,False,False
596,C,113,14.786955488341095,112.71833206108019,1.875,1.422,False,True
596,AC,75,9.786854028973613,74.78379210632008,1.875,1.7590000000000001,False,False
597,C,118,7.24930926234939,117.98158027432558,1.625,1.678,False,False
597,AC,67,4.1167387995770275,66.98958386547298,1.125,1.089,False,False
598,C,109,12.585270310148918,108.99937658636979,0.625,0.651,False,False
598,AC,62,7.155232799031101,61.99963138220198,0.375,1.304,False,True
599,C,76,7.808519226579384,75.99999956702992,0.375,0.7030000000000001,False,False
599,AC,53,5.4454601723834735,52.99999967076018,1.625,1.676,False,False
