salt,source,bin_low,bin_high,bin_center,effective_delayed_weight,proportion_of_split_weight,is_binned_mode,is_candidate_band
409,C,1.25,1.5,1.375,0.2644067223197555,0.19999999999999976,False,True
409,C,1.5,1.75,1.625,0.0528813444639511,0.03999999999999995,False,False
409,C,1.75,2.0,1.875,0.0528813444639511,0.03999999999999995,False,False
409,AC,0.0,0.25,0.125,0.10576268892790235,0.25000000000000006,True,False
409,AC,0.25,0.5,0.375,0.0,0.0,False,False
409,AC,0.5,0.75,0.625,0.10576268892790235,0.25000000000000006,False,False
409,AC,0.75,1.0,0.875,0.10576268892790233,0.25,False,False
409,AC,1.0,1.25,1.125,0.0,0.0,False,False
409,AC,1.25,1.5,1.375,0.0,0.0,False,True
409,AC,1.5,1.75,1.625,0.1057626889279023,0.24999999999999994,False,False
409,AC,1.75,2.0,1.875,0.0,0.0,False,False
410,C,0.0,0.25,0.125,0.44434796624567857,0.06765516326402417,False,False
410,C,0.25,0.5,0.375,0.7776089409299374,0.11839653571204227,False,False
410,C,0.5,0.75,0.625,1.1108699156141961,0.16913790816006036,False,False
410,C,0.75,1.0,0.875,1.3330438987370332,0.2029654897920721,True,False
410,C,1.0,1.25,1.125,0.44434796624567774,0.06765516326402403,False,False
410,C,1.25,1.5,1.375,0.6665219493685193,0.10148274489603645,False,True
410,C,1.5,1.75,1.625,1.2313775475164155,0.18748605900182166,False,False
410,C,1.75,2.0,1.875,0.5597170670529161,0.08522093590991894,False,False
410,AC,0.0,0.25,0.125,0.6665219493685178,0.1391855197070409,False,False
410,AC,0.25,0.5,0.375,0.33326097468425897,0.06959275985352045,False,False
410,AC,0.5,0.75,0.625,0.33326097468425886,0.06959275985352044,False,False
410,AC,0.75,1.0,0.875,0.6665219493685179,0.1391855197070409,False,False
410,AC,1.0,1.25,1.125,0.5554349578070974,0.11598793308920058,False,False
410,AC,1.25,1.5,1.375,0.6665219493685166,0.13918551970704063,False,True
410,AC,1.5,1.75,1.625,0.7836038938740826,0.16363499404131804,True,False
410,AC,1.75,2.0,1.875,0.7836038938740826,0.16363499404131804,False,False
411,C,0.0,0.25,0.125,0.1513878090570013,0.036362167889009894,False,False
411,C,0.25,0.5,0.375,0.6812451407565059,0.16362975550054454,False,False
411,C,0.5,0.75,0.625,0.378469522642503,0.09090541972252468,False,False
411,C,0.75,1.0,0.875,0.9083268543420071,0.2181730073340592,True,False
411,C,1.0,1.25,1.125,0.6055512362280062,0.14544867155603983,False,False
411,C,1.25,1.5,1.375,0.5298573316995054,0.12726758761153484,False,True
411,C,1.5,1.75,1.625,0.3027756181140031,0.07272433577801991,False,False
411,C,1.75,2.0,1.875,0.6057193643170238,0.14548905460826705,False,False
411,AC,0.0,0.25,0.125,0.3784695226425033,0.19998815452791308,True,False
411,AC,0.25,0.5,0.375,0.07569390452850067,0.03999763090558262,False,False
411,AC,0.5,0.75,0.625,0.15138780905700128,0.07999526181116522,False,False
411,AC,0.75,1.0,0.875,0.30277561811400266,0.1599905236223305,False,False
411,AC,1.0,1.25,1.125,0.22708171358550178,0.11999289271674775,False,False
411,AC,1.25,1.5,1.375,0.3027756181140022,0.15999052362233027,False,True
411,AC,1.5,1.75,1.625,0.3027756181140022,0.15999052362233027,False,False
411,AC,1.75,2.0,1.875,0.15149989444967948,0.08005448917160032,False,False
412,C,0.0,0.25,0.125,0.4407590801067025,0.13888888888888878,False,False
412,C,0.25,0.5,0.375,0.08815181602134048,0.027777777777777752,False,False
412,C,0.5,0.75,0.625,0.4407590801067024,0.13888888888888876,False,False
412,C,0.75,1.0,0.875,0.7052145281707247,0.2222222222222223,True,False
412,C,1.0,1.25,1.125,0.35260726408536214,0.11111111111111108,False,False
412,C,1.25,1.5,1.375,0.6170627121493841,0.1944444444444445,False,True
412,C,1.5,1.75,1.625,0.35260726408536236,0.11111111111111115,False,False
412,C,1.75,2.0,1.875,0.17630363204268118,0.05555555555555557,False,False
412,AC,0.0,0.25,0.125,0.0,0.0,False,False
412,AC,0.25,0.5,0.375,0.0881518160213405,0.06249999999999999,False,False
412,AC,0.5,0.75,0.625,0.26445544806402155,0.1875,False,False
412,AC,0.75,1.0,0.875,0.3526072640853619,0.2499999999999999,True,False
412,AC,1.0,1.25,1.125,0.08815181602134048,0.06249999999999997,False,False
412,AC,1.25,1.5,1.375,0.26445544806402155,0.1875,False,True
412,AC,1.5,1.75,1.625,0.17630363204268118,0.1250000000000001,False,False
412,AC,1.75,2.0,1.875,0.17630363204268118,0.1250000000000001,False,False
413,C,0.0,0.25,0.125,0.3818793653305225,0.13793103448275856,False,False
413,C,0.25,0.5,0.375,0.2864095239978918,0.1034482758620689,False,False
413,C,0.5,0.75,0.625,0.47734920666315317,0.1724137931034482,False,False
413,C,0.75,1.0,0.875,0.3818793653305228,0.13793103448275867,False,False
413,C,1.0,1.25,1.125,0.1909396826652614,0.06896551724137934,False,False
413,C,1.25,1.5,1.375,0.2864095239978921,0.10344827586206899,False,True
413,C,1.5,1.75,1.625,0.5728190479957842,0.20689655172413798,True,False
413,C,1.75,2.0,1.875,0.1909396826652614,0.06896551724137934,False,False
413,AC,0.0,0.25,0.125,0.09546984133263063,0.0588235294117647,False,False
413,AC,0.25,0.5,0.375,0.09546984133263063,0.0588235294117647,False,False
413,AC,0.5,0.75,0.625,0.19093968266526126,0.1176470588235294,False,False
413,AC,0.75,1.0,0.875,0.2864095239978918,0.17647058823529405,False,False
413,AC,1.0,1.25,1.125,0.19093968266526118,0.11764705882352934,False,False
413,AC,1.25,1.5,1.375,0.286409523997892,0.17647058823529416,False,True
413,AC,1.5,1.75,1.625,0.1909396826652614,0.11764705882352948,False,False
413,AC,1.75,2.0,1.875,0.2864095239978921,0.1764705882352942,True,False
414,C,0.0,0.25,0.125,0.17855378695319096,0.07142857142857144,False,False
414,C,0.25,0.5,0.375,0.08927689347659545,0.03571428571428571,False,False
414,C,0.5,0.75,0.625,0.6249382543361686,0.2500000000000001,True,False
414,C,0.75,1.0,0.875,0.1785537869531909,0.07142857142857142,False,False
414,C,1.0,1.25,1.125,0.44638446738297755,0.17857142857142866,False,False
414,C,1.25,1.5,1.375,0.535661360859573,0.2142857142857144,False,True
414,C,1.5,1.75,1.625,0.17855378695319057,0.07142857142857129,False,False
414,C,1.75,2.0,1.875,0.26783068042978586,0.10714285714285693,False,False
414,AC,0.0,0.25,0.125,0.08927689347659548,0.0588235294117647,False,False
414,AC,0.25,0.5,0.375,0.2678306804297864,0.17647058823529407,False,False
414,AC,0.5,0.75,0.625,0.17855378695319102,0.11764705882352942,False,False
414,AC,0.75,1.0,0.875,0.2678306804297865,0.17647058823529416,True,False
414,AC,1.0,1.25,1.125,0.17855378695319102,0.11764705882352942,False,False
414,AC,1.25,1.5,1.375,0.1785537869531909,0.11764705882352935,False,True
414,AC,1.5,1.75,1.625,0.08927689347659551,0.05882352941176471,False,False
414,AC,1.75,2.0,1.875,0.2678306804297865,0.17647058823529416,False,False
415,C,0.0,0.25,0.125,0.25151720527844973,0.1538461538461538,False,False
415,C,0.25,0.5,0.375,0.25151720527844973,0.1538461538461538,False,False
415,C,0.5,0.75,0.625,0.31439650659806195,0.19230769230769212,True,False
415,C,0.75,1.0,0.875,0.2515172052784498,0.15384615384615383,False,False
415,C,1.0,1.25,1.125,0.0628793013196125,0.03846153846153849,False,False
415,C,1.25,1.5,1.375,0.1886379039588375,0.11538461538461547,False,True
415,C,1.5,1.75,1.625,0.1886379039588375,0.11538461538461547,False,False
415,C,1.75,2.0,1.875,0.125758602639225,0.07692307692307698,False,False
415,AC,0.0,0.25,0.125,0.06287930131961243,0.125,False,False
415,AC,0.25,0.5,0.375,0.0,0.0,False,False
415,AC,0.5,0.75,0.625,0.12575860263922484,0.24999999999999994,False,False
415,AC,0.75,1.0,0.875,0.0,0.0,False,False
415,AC,1.0,1.25,1.125,0.06287930131961245,0.12500000000000003,False,False
415,AC,1.25,1.5,1.375,0.06287930131961245,0.12500000000000003,False,True
415,AC,1.5,1.75,1.625,0.18863790395883728,0.375,True,False
415,AC,1.75,2.0,1.875,0.0,0.0,False,False
416,C,0.0,0.25,0.125,0.995271585996833,0.11248280446426386,False,False
416,C,0.25,0.5,0.375,1.4929073789952483,0.16872420669639565,False,False
416,C,0.5,0.75,0.625,1.3684984307456443,0.15466385613836267,False,False
416,C,0.75,1.0,0.875,0.8708626377472282,0.09842245390623079,False,False
416,C,1.0,1.25,1.125,0.8708626377472282,0.09842245390623079,False,False
416,C,1.25,1.5,1.375,0.7489829659143652,0.08464795507814087,False,True
