split,cycle,start_sample,stop_sample,start_time_s,stop_time_s,period_s,p_AA,p_AB,p_BB,p_BA,all_four_seen,completion_u,transition_count,inequality,phi_template_distance,equal_template_distance,paired_template_distance,linear_template_distance,parent_amplitude,parent_retention,period_retention,child_allocation_retention,one_wave_phi_distance,one_wave_equal_distance
development,17,9177,9660,18.354,19.32,0.9660000000000011,0.4906832298136646,0.057971014492753624,0.44306418219461696,0.008281573498964804,True,0.9917184265010351,4,0.340105882938579,0.4058833670078609,0.4337474120082816,0.06625258799171845,0.3337474120082815,0.6685544387207556,0.6604624094438927,0.9233954451345739,0.9340955723291461,0.10047877784388742,0.06262939958592133
development,18,9660,10106,19.32,20.212,0.8919999999999995,0.48878923766816146,0.0,0.5089686098654709,0.002242152466367713,False,nan,3,0.4897862489371656,0.46989380253321167,0.49775784753363234,0.011210762331838566,0.39775784753363225,0.4415550754419195,0.5163137400179799,0.8796844181459567,0.966739193886486,0.10842341035324421,0.047085201793721984
development,19,10106,10613,20.212,21.226,1.0139999999999993,0.46548323471400394,0.007889546351084813,0.4990138067061144,0.027613412228796843,True,0.5009861932938856,4,0.39396670699720693,0.43663299641969766,0.46449704142011833,0.035502958579881665,0.3644970414201183,0.8552069046749424,0.585259835406719,0.928571428571429,0.9874612566920259,0.10385950237436556,0.028106508875739636
development,20,10613,11159,21.226,22.317999999999998,1.0919999999999987,0.47802197802197804,0.007326007326007326,0.4981684981684982,0.016483516483516484,True,0.5018315018315018,4,0.4202905531094996,0.44832643119005555,0.47619047619047616,0.023809523809523794,0.3761904761904762,1.4612431144888443,0.778747157537628,0.9512195121951181,0.9875368533905119,0.11639824568233963,0.015567765567765568
development,21,11159,11733,22.317999999999998,23.466,1.1480000000000032,0.4808362369337979,0.003484320557491289,0.4895470383275261,0.02613240418118467,True,0.4912891986062718,5,0.4108652692292142,0.44251923026090334,0.470383275261324,0.029616724738675975,0.370383275261324,1.8764025015632098,0.974909370868401,0.9878048780487749,0.9802340086892932,0.11715764888076721,0.015679442508710797
development,22,11733,12300,23.466,24.599999999999998,1.1339999999999968,0.47971781305114636,0.01763668430335097,0.4708994708994709,0.031746031746031744,True,0.9682539682539683,4,0.35961944013515057,0.4227532389501966,0.45061728395061723,0.04938271604938274,0.3506172839506172,1.8293223822948828,0.744744593905007,0.9506172839506226,0.9881582262534644,0.12041589923028419,0.04497354497354497
development,23,12300,12839,24.599999999999998,25.678,1.078000000000003,0.4749536178107607,0.02411873840445269,0.46382189239332094,0.03710575139146568,True,0.9628942486085343,4,0.3349054740032493,0.41091146520366095,0.4387755102040816,0.06122448979591838,0.3387755102040816,1.3623779547235424,0.6025949924769943,0.9220779220779194,0.9940421751286943,0.13053981411610383,0.05844155844155842
development,24,12839,13336,25.678,26.672,0.9939999999999998,0.48088531187122735,0.02414486921529175,0.46277665995975853,0.03219315895372234,True,0.9678068410462777,4,0.3441747627533228,0.41579792683056527,0.4436619718309859,0.0563380281690141,0.34366197183098585,0.8209621333774559,0.6872628765152118,0.9014084507042228,0.9548226861167002,0.13176796222553966,0.059356136820925554
development,25,13336,13784,26.672,27.567999999999998,0.8959999999999972,0.49330357142857145,0.011160714285714286,0.4955357142857143,0.0,False,nan,3,0.4613855171293082,0.46097524071386514,0.48883928571428575,0.011160714285714267,0.38883928571428567,0.5642167972950554,0.6921308335949159,0.897795591182361,0.9851086100772974,0.11857315410724806,0.02232142857142859
development,26,13784,14283,27.567999999999998,28.566,0.9980000000000011,0.48096192384769537,0.018036072144288578,0.49298597194388777,0.008016032064128256,True,0.5070140280561122,4,0.4143853002096045,0.44608385079116253,0.47394789579158314,0.02605210420841685,0.3739478957915831,0.815188068366385,0.6131165836765776,0.9275092936802949,0.9952805238730248,0.12144496916593685,0.015030060120240468
development,27,14283,14821,28.566,29.642000000000003,1.076000000000004,0.4851301115241636,0.01858736059479554,0.49256505576208176,0.0037174721189591076,True,0.5074349442379182,4,0.42682700799493356,0.44983112228582467,0.47769516728624534,0.022304832713754656,0.3776951672862453,1.3295808498248047,0.7656719363717432,0.9555950266429896,0.9936809576947712,0.12174296292296764,0.011152416356877304
development,28,14821,15384,29.642000000000003,30.768,1.1259999999999977,0.49023090586145646,0.012433392539964476,0.4937833037300178,0.003552397868561279,True,0.9964476021314387,5,0.4427565334290797,0.4561501645910536,0.48401420959147423,0.01598579040852576,0.38401420959147425,1.7364889408448643,0.9836632787494489,0.9946996466431093,0.9735829635534021,0.12796956364797377,0.006216696269982239
development,29,15384,15950,30.768,31.9,1.131999999999998,0.48939929328621906,0.02120141342756184,0.46819787985865724,0.02120141342756184,True,0.9787985865724381,4,0.3735680036877088,0.42973312814445563,0.4575971731448763,0.042402826855123685,0.35759717314487627,1.7653286224657059,0.8011334513870916,0.955830388692582,0.9869499617904287,0.12510112655908212,0.03356890459363958
development,30,15950,16491,31.9,32.982,1.0820000000000007,0.4824399260628466,0.029574861367837338,0.46210720887245843,0.025878003696857672,True,0.9741219963031423,4,0.34568506204136873,0.41668308993488434,0.444547134935305,0.055452865064695,0.344547134935305,1.4142638121483708,0.6626295799256652,0.9371534195933477,0.9958182487686256,0.12397257623120023,0.054528650646950075
development,31,16491,16998,32.982,33.996,1.014000000000003,0.48520710059171596,0.029585798816568046,0.4635108481262327,0.021696252465483234,True,0.9783037475345168,4,0.35470936433399636,0.42085390371752807,0.44871794871794873,0.0512820512820513,0.3487179487179487,0.9371330357479448,0.7001031021597253,0.9289940828402342,0.9614568022211334,0.11840176901102575,0.052268244575936915
development,32,16998,17469,33.996,34.938,0.9420000000000002,0.49256900212314225,0.010615711252653927,0.49469214437367304,0.0021231422505307855,True,0.9978768577494692,4,0.45300731685866236,0.4593971014963947,0.4872611464968153,0.01273885350318471,0.38726114649681526,0.6560897454634969,0.8146738344712298,0.9553752535496988,0.9836307024457048,0.11484927537409868,0.02441613588110403
development,33,17469,17962,34.938,35.924,0.9859999999999971,0.486815415821501,0.0,0.5030425963488844,0.010141987829614604,False,nan,3,0.46430046355184174,0.46199396716996477,0.4898580121703854,0.013184584178498986,0.38985801217038535,0.8053403923170515,0.6533079994572359,0.9301886792452783,0.9898350491790731,0.12233112281197132,0.013184584178498993
development,34,17962,18492,35.924,36.984,1.0600000000000023,0.47735849056603774,0.007547169811320755,0.5056603773584906,0.009433962264150943,True,0.49433962264150944,4,0.4383011195339459,0.4551548229241077,0.4830188679245283,0.02264150943396226,0.3830188679245283,1.2327116658392718,0.7615842321849439,0.9566787003610154,0.9863837613241605,0.11781506785387878,0.015094339622641506
