run,regime,arm,event_local,left_index,right_index,target_index,pred_index,left_time_s,right_time_s,target_time_s,pred_time_s,duration_s,direction,left_angle_rad,right_angle_rad,target_speed_rad_s,pred_speed_rad_s,flow_fraction,target_phase,pred_phase,error_plain,error_left,error_right,wrong_pred_index,error_wrong,event_id
run1,free,1,42,27870,28701,28445,28285.5,27.869999999999997,28.701,28.445,28.2855,0.8310000000000031,decreasing,0.2063339877340873,-0.35616817460768146,1.5946091568708343,0.8931764957540721,0.5601225177376934,0.6919374247894103,0.5,0.19193742478941034,0.6919374247894103,0.30806257521058966,28539.0,0.11311672683513839,42
run1,free,1,43,28701,29208,28919,28954.5,28.701,29.208,28.918999999999997,28.9545,0.5069999999999979,increasing,-0.35616817460768146,0.22801097745700538,1.9572973003757643,1.8803167153191391,0.9606699579865325,0.42998027613412226,0.5,0.07001972386587771,0.42998027613412226,0.5700197238658777,29369.0,0.8875739644970414,43
run1,free,1,44,29208,30037,29856,29622.5,29.208,30.037,29.856,29.6225,0.8290000000000006,decreasing,0.22801097745700538,-0.34250224665273876,1.5337810768079319,0.6240581001608965,0.4068756027813768,0.781664656212304,0.5,0.28166465621230397,0.781664656212304,0.218335343787696,29874.0,0.021712907117008445,44
run1,free,1,45,30037,30540,30299,30288.5,30.037,30.54,30.299,30.2885,0.5030000000000001,increasing,-0.34250224665273876,0.2693229204114065,1.8602514528598963,1.8525000820134978,0.9958331596330798,0.5208747514910537,0.5,0.020874751491053677,0.5208747514910537,0.47912524850894633,30717.0,0.831013916500994,45
run1,free,1,46,30540,31397,31212,30968.5,30.54,31.397,31.211999999999996,30.9685,0.8569999999999993,decreasing,0.2693229204114065,-0.3150133109049271,1.0996893914834056,0.6977227631286098,0.6344725779225984,0.7841306884480747,0.5,0.28413068844807465,0.7841306884480747,0.21586931155192532,31212.5,0.0005834305717619603,46
run1,free,1,47,31397,31885,31636,31641.0,31.397,31.884999999999998,31.636000000000003,31.641,0.48799999999999955,increasing,-0.3150133109049271,0.28267468914596705,2.019364492794262,2.0022046993476756,0.9915023793337866,0.48975409836065575,0.5,0.010245901639344262,0.48975409836065575,0.5102459016393442,32061.0,0.8709016393442623,47
run1,free,1,48,31885,32725,32561,32305.0,31.884999999999998,32.725,32.561,32.305,0.8400000000000034,decreasing,0.28267468914596705,-0.28469694176882854,1.0044311067407048,0.5271364468639189,0.524810953510224,0.8047619047619048,0.5,0.3047619047619048,0.8047619047619048,0.19523809523809524,32554.5,0.007738095238095238,48
run1,free,1,49,32725,33224,33007,32974.5,32.725,33.224,33.007,32.9745,0.4989999999999952,increasing,-0.28469694176882854,0.3085928284967494,1.9050731647738879,1.832765013775295,0.9620444231037315,0.5651302605210421,0.5,0.06513026052104208,0.5651302605210421,0.4348697394789579,33403.0,0.7935871743486974,49
run1,free,1,50,33224,34081,33389,33652.5,33.224,34.081,33.389,33.6525,0.8570000000000064,decreasing,0.3085928284967494,-0.2510819008057421,1.115833723334128,0.6652221808940516,0.5961660478465892,0.19253208868144692,0.5,0.3074679113185531,0.19253208868144692,0.8074679113185531,33899.5,0.5956826137689615,50
run1,free,1,51,34081,34575,34334,34328.0,34.081,34.575,34.333999999999996,34.328,0.4939999999999998,increasing,-0.2510819008057421,0.3093782268700771,1.8350424378445052,1.7994459219431378,0.9806018023522224,0.5121457489878543,0.5,0.012145748987854251,0.5121457489878543,0.48785425101214575,34736.5,0.8147773279352226,51
