run,field_g,turn_fraction,correlation_real,correlation_imag,anti_similarity
EMU00066584,20.0,0.66,-0.45325965959307246,-0.7498005074189661,0.45325965959307246
EMU00066584,20.0,0.67,-0.4010340370194658,-0.7778672561572219,0.4010340370194658
EMU00066584,20.0,0.68,-0.34587691493802564,-0.8022694952375908,0.34587691493802564
EMU00066584,20.0,0.69,-0.2898209536542762,-0.8230126435543803,0.2898209536542762
EMU00066584,20.0,0.7,-0.23356471422868308,-0.8420079852949476,0.23356471422868308
EMU00066578,63.0,0.3,-0.2639052754150786,0.4769752341810326,0.2639052754150786
EMU00066578,63.0,0.31,-0.31223363449706676,0.4641967820291358,0.31223363449706676
EMU00066578,63.0,0.32,-0.36157988076790254,0.44490459330297755,0.36157988076790254
EMU00066578,63.0,0.33,-0.41948018799583997,0.4381782385930459,0.41948018799583997
EMU00066578,63.0,0.34,-0.4690174313980977,0.4238637590119001,0.4690174313980977
EMU00066578,63.0,0.35,-0.5065015248857735,0.40021257345566985,0.5065015248857735
EMU00066578,63.0,0.36,-0.5493386992837331,0.3783033957540219,0.5493386992837331
EMU00066578,63.0,0.37,-0.6003562690411518,0.3661098056264918,0.6003562690411518
EMU00066578,63.0,0.38,-0.6364803231406837,0.34255755745743277,0.6364803231406837
EMU00066578,63.0,0.39,-0.654344036083577,0.3067852136029448,0.654344036083577
EMU00066578,63.0,0.4,-0.7082370141307756,0.2863347023163232,0.7082370141307756
EMU00066578,63.0,0.41,-0.7444409794969651,0.2622975786687594,0.7444409794969651
EMU00066578,63.0,0.42,-0.7610154447038253,0.23561070908435994,0.7610154447038253
EMU00066578,63.0,0.43,-0.7881690105392912,0.2115778387981191,0.7881690105392912
EMU00066578,63.0,0.44,-0.8212445842483838,0.18894228506757796,0.8212445842483838
EMU00066578,63.0,0.45,-0.8361979594001043,0.16114356659742154,0.8361979594001043
EMU00066578,63.0,0.46,-0.8339848542124217,0.1310408265032615,0.8339848542124217
EMU00066578,63.0,0.47,-0.8633726262147949,0.10247405734335172,0.8633726262147949
EMU00066578,63.0,0.48,-0.8798927616994195,0.07608876925769315,0.8798927616994195
EMU00066578,63.0,0.49,-0.8765805129834523,0.047725255209848036,0.8765805129834523
EMU00066578,63.0,0.5,-0.8764350227747744,0.009793854212406925,0.8764350227747744
EMU00066578,63.0,0.51,-0.8891119110661955,-0.01773944294217884,0.8891119110661955
EMU00066578,63.0,0.52,-0.8863160183465186,-0.049480812930058994,0.8863160183465186
EMU00066578,63.0,0.53,-0.868316738916531,-0.08545415314292336,0.868316738916531
EMU00066578,63.0,0.54,-0.8675461833735987,-0.11462323377823255,0.8675461833735987
EMU00066578,63.0,0.55,-0.8580484119739316,-0.14549820770449665,0.8580484119739316
EMU00066578,63.0,0.56,-0.8317703883927946,-0.17265151260343492,0.8317703883927946
EMU00066578,63.0,0.57,-0.8134429381555287,-0.19636335691590304,0.8134429381555287
EMU00066578,63.0,0.58,-0.8152238141677257,-0.22254180289817121,0.8152238141677257
EMU00066578,63.0,0.59,-0.7916954111438808,-0.24741492927536496,0.7916954111438808
EMU00066578,63.0,0.6,-0.7426950923856652,-0.27037847509357804,0.7426950923856652
EMU00066578,63.0,0.61,-0.7191139313238821,-0.30549304325405374,0.7191139313238821
EMU00066578,63.0,0.62,-0.6944213721190371,-0.3313207771186563,0.6944213721190371
EMU00066578,63.0,0.63,-0.6503096908452425,-0.34781378196216495,0.6503096908452425
EMU00066578,63.0,0.64,-0.5926751826104001,-0.36361611707531344,0.5926751826104001
EMU00066578,63.0,0.65,-0.5703001779391608,-0.3951655517542272,0.5703001779391608
EMU00066578,63.0,0.66,-0.5267722694737388,-0.41586436170686175,0.5267722694737388
EMU00066578,63.0,0.67,-0.4653340145661332,-0.4245782351389175,0.4653340145661332
EMU00066578,63.0,0.68,-0.42604283310231444,-0.4488888604909966,0.42604283310231444
EMU00066578,63.0,0.69,-0.37843228893543773,-0.4681487037751182,0.37843228893543773
EMU00066578,63.0,0.7,-0.3200887653847085,-0.4763946929932925,0.3200887653847085
EMU00066579,160.0,0.3,-0.2273538751046248,0.49782486717632846,0.2273538751046248
EMU00066579,160.0,0.31,-0.28043678698243313,0.48420331665977234,0.28043678698243313
EMU00066579,160.0,0.32,-0.32681785001684593,0.4641560664790101,0.32681785001684593
EMU00066579,160.0,0.33,-0.38310359887012607,0.4630238712579469,0.38310359887012607
EMU00066579,160.0,0.34,-0.43051932701404827,0.4487585323365414,0.43051932701404827
EMU00066579,160.0,0.35,-0.46491750454106634,0.4222939448135212,0.46491750454106634
EMU00066579,160.0,0.36,-0.5122388099931746,0.4068154324338662,0.5122388099931746
EMU00066579,160.0,0.37,-0.5645326040546012,0.3927454521831713,0.5645326040546012
EMU00066579,160.0,0.38,-0.6010438723000328,0.3673165709773989,0.6010438723000328
EMU00066579,160.0,0.39,-0.6236117921985437,0.33569928766727414,0.6236117921985437
EMU00066579,160.0,0.4,-0.6744232432813478,0.3218097704607738,0.6744232432813478
