scale_days,horizon_windows,candidate_model,control,n,mae,rmse,bias,r2,improvement_vs_clock_pct
1,2,full_child,pole_year_blocks_permuted,3497,8.179385398235768e-05,0.00010693623582054299,2.1608565995030853e-05,0.9747749372031207,-0.9103542442892006
1,4,clock_raw_pole,real_pole_child,3497,0.0002085276663883643,0.0002624414898158296,6.248998142164665e-05,0.8480686280791744,0.2513158117018203
1,4,clock_raw_pole,pole_shift_365d,3497,0.00020851993162217472,0.0002623334480429277,6.232151522089721e-05,0.8481936963825699,0.25501571763409575
1,4,clock_raw_pole,pole_reversed_chronology,3497,0.00021261795004640777,0.00026694874829027055,7.305098013333459e-05,0.8428051736984483,-1.7052610776538157
1,4,clock_raw_pole,traversal_reflected,3497,0.0002085276663883643,0.0002624414898158296,6.248998142164665e-05,0.8480686280791744,0.2513158117018203
1,4,clock_raw_pole,pole_year_blocks_permuted,3497,0.0002096807809610418,0.0002634940269202134,6.353916348180217e-05,0.8468475248346976,-0.30027364083977104
1,4,clock_pole_diara,real_pole_child,3497,0.00020823145322469805,0.0002621128521214107,5.834346738230339e-05,0.8484488965618738,0.3930086327394479
1,4,clock_pole_diara,pole_shift_365d,3497,0.00020825533582988435,0.0002622557879567618,5.886948090448284e-05,0.8482835632728309,0.381584448679935
1,4,clock_pole_diara,pole_reversed_chronology,3497,0.00021062048456239407,0.0002644853177044337,6.713277722194111e-05,0.8456930074635827,-0.7497784925716383
1,4,clock_pole_diara,traversal_reflected,3497,0.00020818074585370419,0.0002621439271364989,5.890132028659972e-05,0.8484129598883801,0.4172643759839247
1,4,clock_pole_diara,pole_year_blocks_permuted,3497,0.00020876828162799742,0.00026258290302943446,5.983930175682783e-05,0.8479048514442273,0.1362181176416175
1,4,full_child,real_pole_child,3497,0.00020810814150243548,0.0002619844442645474,6.032760304932492e-05,0.8485973485395057,0.45199448461090336
1,4,full_child,pole_shift_365d,3497,0.00020809577649363468,0.0002619918152511941,6.0488255322791597e-05,0.8485888289296901,0.4579092554382876
1,4,full_child,pole_reversed_chronology,3497,0.00021330755309568618,0.00026765116968097965,7.47694941630609e-05,0.8419768328339757,-2.0351309600014638
1,4,full_child,traversal_reflected,3497,0.00020808099390143186,0.00026202774262518136,6.089096037873808e-05,0.8485472995502437,0.46498047119906644
1,4,full_child,pole_year_blocks_permuted,3497,0.00020957475383492975,0.0002633392864067848,6.231889265736992e-05,0.8470273538362544,-0.2495558320179564
7,1,clock_raw_pole,real_pole_child,499,0.00024955268479580925,0.0003051059446390415,3.0222672243232193e-05,0.7619626116581307,2.158754421450934
7,1,clock_raw_pole,pole_shift_365d,499,0.0002476916861030333,0.0003036731291025354,3.241082661232332e-05,0.7641930685569258,2.8883896496603017
7,1,clock_raw_pole,pole_reversed_chronology,499,0.0002589646894892657,0.00031614064552563064,7.506472085863614e-05,0.7444331563605606,-1.5313772369298133
7,1,clock_raw_pole,traversal_reflected,499,0.00024955268479580925,0.0003051059446390415,3.0222672243232193e-05,0.7619626116581307,2.158754421450934
7,1,clock_raw_pole,pole_year_blocks_permuted,499,0.00025131120699514747,0.0003098043503037509,4.9195027132464514e-05,0.754574965036038,1.4692967924874878
7,1,clock_pole_diara,real_pole_child,499,0.00025397753450718977,0.0003120026388456078,6.259242688111317e-05,0.7510796676413904,0.42391911958435424
7,1,clock_pole_diara,pole_shift_365d,499,0.0002542448641847347,0.00031200930685397363,6.395312346338826e-05,0.7510690278557712,0.3191081108287832
7,1,clock_pole_diara,pole_reversed_chronology,499,0.0002572206787889246,0.000315904867254419,7.910165256932124e-05,0.7448142186471978,-0.8476090804649417
7,1,clock_pole_diara,traversal_reflected,499,0.00025411968150896794,0.0003128953968960898,6.797346553250975e-05,0.7496531183825043,0.3681880433163832
7,1,clock_pole_diara,pole_year_blocks_permuted,499,0.00025532165060641193,0.0003138006006943998,6.871859713591534e-05,0.7482025202083356,-0.10306376364001145
7,1,full_child,real_pole_child,499,0.0002490265640151907,0.00030492492317886374,2.286822523176168e-05,0.7622449863126487,2.3650287500264753
7,1,full_child,pole_shift_365d,499,0.00024695794199502795,0.0003031317639494419,2.647429841785217e-05,0.7650330761452278,3.1760661277631352
7,1,full_child,pole_reversed_chronology,499,0.00025955257893133123,0.00031713031572840674,7.948682471528706e-05,0.7428305609073539,-1.7618689878850693
7,1,full_child,traversal_reflected,499,0.0002489854134736521,0.00030503658077035754,2.8284835326906657e-05,0.7620708318851053,2.381162498471868
7,1,full_child,pole_year_blocks_permuted,499,0.00025134207390999585,0.0003102089026342354,4.645013027001025e-05,0.7539335789742417,1.457194909478682
7,2,clock_raw_pole,real_pole_child,499,0.00022224309979448946,0.00028177500881905714,-1.1932110112645913e-05,0.7969753446625621,4.286866159635229
7,2,clock_raw_pole,pole_shift_365d,499,0.00022129549127242906,0.00028085770207024376,-7.547076534156664e-06,0.7982950695432643,4.694971434373154
7,2,clock_raw_pole,pole_reversed_chronology,499,0.0002374222381446462,0.00030586596833950515,7.59178124215991e-05,0.7607752248516948,-2.2503127306584343
7,2,clock_raw_pole,traversal_reflected,499,0.0002222430997944895,0.00028177500881905714,-1.1932110112645913e-05,0.7969753446625621,4.286866159635217
7,2,clock_raw_pole,pole_year_blocks_permuted,499,0.00023531188533215759,0.0003039983179256353,3.347232503538381e-05,0.7636877697434289,-1.3414499521114598
7,2,clock_pole_diara,real_pole_child,499,0.00023150308860881325,0.00029863374889559167,6.561729158217306e-05,0.7719544456812618,0.29887935795172893
