scale_days,horizon_windows,model,feature,standardized_beta
7,4,clock_raw_pole,lod_slope,0.16540548882906436
7,4,clock_raw_pole,u_clock,0.3483984584012433
7,4,clock_raw_pole,pole_x,-0.4728343707703452
7,4,clock_raw_pole,pole_y,-0.2169068419535187
7,4,clock_raw_pole,dpx,0.010381698890721356
7,4,clock_raw_pole,dpy,-0.4923060978723877
7,4,clock_raw_pole,pole_radius,0.17504703435443983
7,4,clock_pole_diara,lod,0.35174389854155574
7,4,clock_pole_diara,lod_lag1,0.26203894847562
7,4,clock_pole_diara,lod_lag2,-0.08858261423939527
7,4,clock_pole_diara,lod_slope,0.16383324959712872
7,4,clock_pole_diara,u_clock,0.35174384419581256
7,4,clock_pole_diara,pole_amount_ara,-0.05347443189599934
7,4,clock_pole_diara,pole_traversal_ara,0.0013837185488749996
7,4,clock_pole_diara,pole_log_ratio,0.05397354157835619
7,4,clock_pole_diara,pole_turn_rad,0.0013837185489031377
7,4,clock_pole_diara,pole_displacement,0.02823259226221744
7,4,full_child,lod,0.34793720126509314
7,4,full_child,lod_lag1,0.25737736608735734
7,4,full_child,lod_lag2,-0.08773107507808663
7,4,full_child,lod_slope,0.1653984001808017
7,4,full_child,u_clock,0.34793714701122497
7,4,full_child,pole_x,-0.4733652122755238
7,4,full_child,pole_y,-0.18513390334706928
7,4,full_child,dpx,0.007158726953817304
7,4,full_child,dpy,-0.4965671615387247
7,4,full_child,pole_radius,0.14538136795204928
7,4,full_child,pole_amount_ara,-0.049674722092072084
7,4,full_child,pole_traversal_ara,0.001781609067934576
7,4,full_child,pole_log_ratio,0.05433529934288645
7,4,full_child,pole_turn_rad,0.001781609067961908
7,4,full_child,pole_displacement,0.013350296152062603
30,1,clock_only,lod,0.2845572476360376
30,1,clock_only,lod_lag1,0.1602746895217309
30,1,clock_only,lod_lag2,0.17226427231971114
30,1,clock_only,lod_slope,0.2949089745471077
30,1,clock_only,u_clock,0.2845572213206966
30,1,clock_raw_pole,lod,0.2871036240248375
30,1,clock_raw_pole,lod_lag1,0.17172196014025817
30,1,clock_raw_pole,lod_lag2,0.13638885718377905
30,1,clock_raw_pole,lod_slope,0.2737808921779582
30,1,clock_raw_pole,u_clock,0.28710359544403985
30,1,clock_raw_pole,pole_x,-0.5738322462764429
30,1,clock_raw_pole,pole_y,-0.2115320322237973
30,1,clock_raw_pole,dpx,0.193942023961165
30,1,clock_raw_pole,dpy,-0.5784570796038027
30,1,clock_raw_pole,pole_radius,0.1045665243290729
30,1,clock_pole_diara,lod,0.28421100160646207
30,1,clock_pole_diara,lod_lag1,0.15993078831104066
30,1,clock_pole_diara,lod_lag2,0.16823990908354808
30,1,clock_pole_diara,lod_slope,0.2949035180445323
30,1,clock_pole_diara,u_clock,0.2842109796779026
30,1,clock_pole_diara,pole_amount_ara,-0.024422634884968132
